Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|48.15|48.25|47.72|47.78|2544921|USD|0
2012-01-04|47.79|47.89|47.49|47.72|1880054|USD|1
2012-01-05|47.76|48.21|47.6|48.07|2633010|USD|2
2012-01-06|48.08|48.25|47.67|48.14|2183091|USD|3
2012-01-09|48.04|48.15|47.69|47.96|1872541|USD|4
2012-01-10|48.07|48.21|47.73|47.95|2707453|USD|5
2012-01-11|47.9|48.05|47.72|47.91|1969637|USD|6
2012-01-12|47.97|48.25|47.79|48.21|2058489|USD|7
2012-01-13|47.88|48.22|47.69|48.21|1790169|USD|8
2012-01-17|48.25|49.0|48.16|48.83|2356050|USD|9
2012-01-18|48.93|49.58|48.82|49.57|2694913|USD|10
2012-01-19|49.71|49.98|49.43|49.92|1887274|USD|11
2012-01-20|49.93|50.09|49.47|49.82|2567717|USD|12
2012-01-23|49.93|50.07|49.36|49.72|2287992|USD|13
2012-01-24|49.31|49.91|49.18|49.77|2404130|USD|14
2012-01-25|49.36|50.0|49.19|49.93|3082063|USD|15
2012-01-26|49.18|49.43|48.81|48.97|3861142|USD|16
2012-01-27|48.95|49.19|48.51|48.55|2931073|USD|17
2012-01-30|48.24|48.32|47.85|48.16|3634430|USD|18
2012-01-31|48.31|48.49|47.78|48.06|3130865|USD|19
2012-02-01|48.48|48.67|48.21|48.21|3224929|USD|20
2012-02-02|48.33|48.48|48.09|48.09|2883327|USD|21
2012-02-03|48.6|48.85|48.46|48.7|2904062|USD|22
2012-02-06|48.38|48.54|48.17|48.36|2251252|USD|23
2012-02-07|48.21|48.25|47.93|48.14|2977969|USD|24
2012-02-08|48.07|48.18|47.81|47.89|2176720|USD|25
2012-02-09|48.14|48.16|47.74|47.87|2638423|USD|26
2012-02-10|47.68|47.78|47.3|47.38|3135401|USD|27
2012-02-13|47.65|47.94|47.35|47.57|2053679|USD|28
2012-02-14|47.57|47.77|47.28|47.59|2087886|USD|29
2012-02-15|47.46|47.67|47.09|47.19|2352962|USD|30
2012-02-16|47.34|47.53|47.23|47.23|2529847|USD|31
2012-02-17|47.36|47.78|47.3|47.59|2917587|USD|32
2012-02-21|47.66|47.71|47.07|47.25|2374740|USD|33
2012-02-22|47.16|47.59|47.16|47.21|2196227|USD|34
2012-02-23|47.14|47.45|47.14|47.2|1855013|USD|35
2012-02-24|47.34|47.34|47.04|47.21|1758384|USD|36
