Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
0|0|2012-01-03|44.63|44.67|43.67|43.85|1121882|USD|0|0.97|0.5615021764398712|2010-04-15|1|2010-04-15|1|2010-04-15|1
1|1|2012-01-04|43.31|43.44|42.91|43.23|1075047|USD|1|0.98|0.5917368707871613|2010-04-19|1|2010-04-19|1|2010-04-19|1
2|2|2012-01-05|42.44|43.16|42.23|42.77|2828197|USD|2|1.0|0.6412399208787474|2010-05-24|1|2010-05-24|1|2010-05-24|1
3|3|2012-01-06|42.43|42.79|42.13|42.49|2052359|USD|3|1.008|0.6345270528550596|2010-07-14|1|2010-07-14|1|2010-07-14|1
4|4|2012-01-09|42.79|43.3|42.7|42.83|2074382|USD|4|1.0090000000000001|0.6082622663921897|2010-07-16|1|2010-07-16|1|2010-07-16|1
5|5|2012-01-10|43.17|43.3|42.87|43.12|2127367|USD|5|1.0|0.6074269158389859|2010-10-13|2|2010-10-13|2|2010-10-13|2
6|6|2012-01-11|43.18|43.6|42.91|43.45|1528045|USD|6|1.005|0.6074269158389859|2011-01-19|1|2011-01-19|1|2011-01-19|1
7|7|2012-01-12|43.4|43.58|42.94|43.35|1152771|USD|7|0.9890000000000001|0.5818526289248749|2011-02-07|1|2011-02-07|1|2011-02-07|1
8|8|2012-01-13|42.94|43.0|42.27|42.87|1525326|USD|8|1.032|0.6106802132005997|2011-04-12|1|2011-04-12|1|2011-04-12|1
9|9|2012-01-17|44.32|44.84|43.88|44.23|1808571|USD|9|1.02|0.5954244621078043|2011-04-13|1|2011-04-13|1|2011-04-13|1
10|10|2012-01-18|45.19|45.21|42.8|43.85|5088621|USD|10|0.978|0.5429939983627909|2011-10-12|1|2011-10-12|1|2011-10-12|1
11|11|2012-01-19|44.18|44.22|43.67|44.04|1537354|USD|11|0.997|0.563487378080026|2011-10-31|1|2011-10-31|1|2011-10-31|1
12|12|2012-01-20|44.06|44.94|43.94|44.86|2592532|USD|12|1.0270000000000001|0.5615104979423533|2011-11-16|1|2011-11-16|1|2011-11-16|1
13|13|2012-01-23|45.26|45.61|45.1|45.52|1369837|USD|13|0.997|0.5150450302366216|2011-12-15|2|2011-12-15|2|2011-12-15|2
14|14|2012-01-24|45.12|45.53|44.92|45.18|1420904|USD|14|0.992|0.5356215310718005|2011-12-16|1|2011-12-16|1|2011-12-16|1
15|15|2012-01-25|44.76|44.96|44.32|44.92|1609168|USD|15|1.008|0.5613797127755936|2012-03-07|1|2012-03-07|1|2012-03-07|1
16|16|2012-01-26|45.1|45.61|44.44|44.63|1605657|USD|16|0.9940000000000001|0.5622052761736064|2012-04-12|1|2012-04-12|1|2012-04-12|1
17|17|2012-01-27|44.85|45.23|44.37|44.77|1815175|USD|17|0.997|0.5704988035180938|2012-04-16|1|2012-04-16|1|2012-04-16|1
18|18|2012-01-30|44.72|44.74|44.26|44.6|1515216|USD|18|1.006|0.5777155096668333|2012-05-02|1|2012-05-02|1|2012-05-02|1
19|19|2012-01-31|45.0|45.12|44.37|44.65|1270305|USD|19|1.0190000000000001|0.5801968002760111|2012-05-17|3|2012-05-17|3|2012-05-17|3
20|20|2012-02-01|45.87|46.17|45.75|45.8|1381939|USD|20|1.006|0.5709245075770811|2012-06-08|1|2012-06-08|1|2012-06-08|1
21|21|2012-02-02|46.15|46.45|45.9|46.14|1002143|USD|21|1.013|0.5766545553359221|2012-06-13|1|2012-06-13|1|2012-06-13|1
22|22|2012-02-03|46.74|47.3|46.57|47.3|1105130|USD|22|1.0070000000000001|0.5682854177297452|2012-06-19|1|2012-06-19|1|2012-06-19|1
23|23|2012-02-06|47.06|47.06|46.39|46.67|1452978|USD|23|0.9940000000000001|0.5533901851227261|2012-06-22|1|2012-06-22|1|2012-06-22|1
24|24|2012-02-07|46.79|46.94|46.47|46.87|1414499|USD|24|1.004|0.5766593774302916|2012-06-25|1|2012-06-25|1|2012-06-25|1
25|25|2012-02-08|46.97|47.35|46.65|47.03|920908|USD|25|1.006|0.5476754030695037|2012-06-26|2|2012-06-26|2|2012-06-26|2
26|26|2012-02-09|47.26|47.31|46.86|47.18|1341066|USD|26|1.004|0.5418709736057704|2012-07-09|1|2012-07-09|1|2012-07-09|1
