|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|42.2|42.27|41.1|41.22|3061878|USD|0|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-04|41.15|41.71|41.1|41.3|2457548|USD|1|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-05|41.36|41.87|40.83|41.51|2038882|USD|2|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-06|41.24|41.62|40.92|41.28|2046688|USD|3|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-09|41.5|41.66|41.21|41.62|2170788|USD|4|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-10|41.84|41.94|41.22|41.35|2717734|USD|5|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-11|41.44|41.63|40.79|41.01|2878562|USD|6|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-12|41.15|41.62|41.01|41.49|2369242|USD|7|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-13|41.44|41.62|41.3|41.38|1706648|USD|8|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-17|41.62|42.02|41.48|41.98|1511984|USD|9|DLTR|Q3|280200000.0|0.0|280200000.0|0.0|1005400000.0|46900000.0|1332500000.0|816500000.0|173500000.0|0.0|173000000.0|0.0|15000000.0|267200000.0|1098700000.0|110000000.0|2431200000.0|351900000.0|15500000.0|10700000.0|0.0|209000000.0|587100000.0|250000000.0|0.0|15200000.0|132000000.0|397200000.0|0.0|984300000.0|119.0|0.0|0.0|1446899881.0|1446900000.0|2431200000.0|0.0|265500000.0|-14700000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|104500000.0|41100000.0|0.0|5900000.0|-167100000.0|0.0|0.0|0.0|745400000.0|0.0|59500000.0|-75500000.0|0.0|-249500000.0|0.0|373300000.0|48300000.0|0.0|0.0|-249500000.0|0.0|1300000.0|-248200000.0|-1000000.0|-141400000.0|280200000.0|421600000.0|59500000.0|75500000.0|-16000000.0|2011-10-29|2011-10-29|2012-01-28|DLTR|Q3|1596600000.0|1036000000.0|560600000.0|0.3511211324063635|0.0|395700000.0|0.0|0.0|395700000.0|1431700000.0|0.0|41100000.0|206000000.0|0.129024176375|164900000.0|0.103281974195|0.0|164200000.0|0.10284354252800001|59700000.0|104500000.0|0.06545158461730001|0.87|0.86|121000000.0|122000000.0|2011-10-29|2011-10-29|2012-01-28
