Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|12.98|13.26|12.95|13.19|10587854|USD|0
2012-01-04|12.87|12.88|12.44|12.69|32904756|USD|1
2012-01-05|12.71|12.94|12.62|12.93|13245156|USD|2
2012-01-06|12.91|13.02|12.87|12.89|7330508|USD|3
2012-01-09|13.05|13.08|12.7|12.84|7992092|USD|4
2012-01-10|13.03|13.19|12.96|13.13|9307940|USD|5
2012-01-11|13.19|13.43|13.19|13.27|9395900|USD|6
2012-01-12|13.36|13.47|13.19|13.29|8692666|USD|7
2012-01-13|13.24|13.28|12.86|12.89|12257614|USD|8
2012-01-17|13.11|13.15|12.75|12.85|14448240|USD|9
2012-01-18|12.67|12.8|12.58|12.77|31528002|USD|10
2012-01-19|13.17|13.44|13.05|13.26|24826652|USD|11
2012-01-20|13.26|13.45|13.19|13.44|13052519|USD|12
2012-01-23|13.36|13.66|13.35|13.46|11980652|USD|13
2012-01-24|13.35|13.57|13.35|13.45|7164510|USD|14
2012-01-25|13.37|13.5|13.27|13.44|7872387|USD|15
2012-01-26|13.5|13.59|13.24|13.35|6635570|USD|16
2012-01-27|13.32|13.48|13.24|13.4|7272419|USD|17
2012-01-30|13.28|13.38|13.24|13.29|8202732|USD|18
2012-01-31|13.36|13.43|13.19|13.3|7548833|USD|19
2012-02-01|13.43|13.68|13.36|13.55|11591112|USD|20
2012-02-02|13.55|13.8|13.49|13.76|11089666|USD|21
2012-02-03|13.89|14.0|13.82|13.87|9055400|USD|22
2012-02-06|13.76|13.78|13.63|13.74|8794173|USD|23
2012-02-07|13.75|13.88|13.64|13.83|6912417|USD|24
2012-02-08|13.85|14.05|13.78|13.91|9859718|USD|25
2012-02-09|13.94|14.01|13.72|14.0|7949785|USD|26
2012-02-10|13.84|14.01|13.73|13.9|7313661|USD|27
2012-02-13|14.01|14.1|13.89|13.96|5364899|USD|28
2012-02-14|13.89|13.99|13.77|13.87|6530365|USD|29
2012-02-15|13.96|14.25|13.84|14.02|13587180|USD|30
2012-02-16|14.03|14.56|14.03|14.52|14200110|USD|31
2012-02-17|14.51|14.82|14.41|14.76|16244743|USD|32
2012-02-21|14.76|14.87|14.7|14.79|9470201|USD|33
2012-02-22|14.73|14.75|14.48|14.59|7665731|USD|34
2012-02-23|14.63|15.21|14.6|15.16|18720528|USD|35
2012-02-24|15.15|15.37|15.08|15.3|9357243|USD|36
2012-02-27|15.22|15.49|15.17|15.39|9735441|USD|37
2012-02-28|15.42|15.47|15.3|15.41|9200289|USD|38
2012-02-29|15.41|15.43|15.0|15.04|13751629|USD|39
2012-03-01|15.1|15.36|15.08|15.31|8568426|USD|40
2012-03-02|15.29|15.3|15.08|15.26|11976510|USD|41
2012-03-05|14.97|15.13|14.92|15.03|11897279|USD|42
2012-03-06|14.87|14.98|14.66|14.77|10241424|USD|43
2012-03-07|14.83|15.15|14.83|14.98|9814639|USD|44
2012-03-08|15.09|15.15|14.96|15.06|6963249|USD|45
2012-03-09|15.08|15.33|15.06|15.26|8254697|USD|46
2012-03-12|15.3|15.32|15.04|15.23|4857522|USD|47
2012-03-13|15.27|15.72|15.08|15.71|14638470|USD|48
2012-03-14|15.7|15.88|15.6|15.83|12490405|USD|49
2012-03-15|15.64|15.75|15.46|15.5|12731788|USD|50
2012-03-16|15.51|15.95|15.51|15.86|18395224|USD|51
2012-03-19|15.68|15.99|15.61|15.9|11106764|USD|52
2012-03-20|15.78|15.8|15.62|15.74|6131986|USD|53
2012-03-21|15.75|15.86|15.63|15.75|9031157|USD|54
2012-03-22|15.64|15.89|15.57|15.83|7149298|USD|55
2012-03-23|15.89|15.9|15.54|15.61|9098743|USD|56
2012-03-26|15.78|16.03|15.72|16.03|7458756|USD|57
2012-03-27|16.04|16.07|15.89|15.94|8786142|USD|58
2012-03-28|15.9|15.94|15.55|15.68|9366583|USD|59
2012-03-29|15.61|15.63|15.45|15.57|12615958|USD|60
2012-03-30|15.7|15.74|15.43|15.53|9623822|USD|61
2012-04-02|15.44|15.48|15.26|15.4|11697764|USD|62
2012-04-03|15.33|15.51|15.28|15.42|11762142|USD|63
2012-04-04|15.27|15.28|14.94|15.04|12117222|USD|64
2012-04-05|14.96|15.1|14.88|14.99|8242690|USD|65
2012-04-09|14.95|15.35|14.92|15.28|10722557|USD|66
2012-04-10|15.21|15.43|14.86|14.93|11734201|USD|67
2012-04-11|15.08|15.23|15.0|15.05|7756091|USD|68
2012-04-12|15.11|15.45|15.1|15.35|6937224|USD|69
2012-04-13|15.29|15.36|15.15|15.2|7226943|USD|70
2012-04-16|15.26|15.3|14.91|14.94|9247281|USD|71
2012-04-17|15.04|15.29|15.04|15.19|8548545|USD|72
2012-04-18|15.21|15.27|14.94|15.1|12028095|USD|73
2012-04-19|16.47|17.61|16.43|17.1|60621248|USD|74
2012-04-20|17.09|17.21|16.94|16.96|16412594|USD|75
2012-04-23|16.58|16.79|16.54|16.69|15940228|USD|76
2012-04-24|16.64|16.83|16.45|16.54|11539062|USD|77
2012-04-25|16.67|17.02|16.5|16.78|10558173|USD|78
2012-04-26|16.92|17.36|16.84|17.28|18730400|USD|79
2012-04-27|17.48|17.5|17.12|17.35|10706621|USD|80
2012-04-30|17.41|17.66|17.2|17.26|18260964|USD|81
2012-05-01|17.13|17.43|17.13|17.15|12145090|USD|82
2012-05-02|17.07|17.36|16.98|17.32|8701263|USD|83
2012-05-03|17.27|17.31|16.84|17.0|10064257|USD|84
2012-05-04|16.81|16.83|16.55|16.6|10478978|USD|85
2012-05-07|16.5|16.99|16.41|16.86|11686249|USD|86
2012-05-08|16.79|16.96|16.53|16.92|11068688|USD|87
2012-05-09|16.76|17.19|16.69|17.07|16377445|USD|88
