Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2019-03-13|39.0|39.9|38.7|39.75|20477364|USD|0
2019-03-14|39.75|41.4|39.75|40.65|6248563|USD|1
2019-03-15|41.38|41.87|41.24|41.7|7107258|USD|2
2019-03-18|41.95|41.95|41.05|41.7|4020942|USD|3
2019-03-19|41.55|41.7|39.84|40.34|10118472|USD|4
2019-03-20|40.49|40.81|38.24|38.62|15683238|USD|5
2019-03-21|39.0|40.07|38.75|40.02|12751732|USD|6
2019-03-22|39.93|39.99|37.69|38.72|10897994|USD|7
2019-03-25|38.89|38.96|37.39|37.44|9338926|USD|8
2019-03-26|37.65|38.28|37.51|37.54|6287100|USD|9
2019-03-27|37.52|37.91|36.76|36.92|5578118|USD|10
2019-03-28|36.85|37.15|36.34|36.4|5326238|USD|11
2019-03-29|36.55|36.91|36.15|36.71|5895347|USD|12
2019-04-01|36.91|37.15|36.71|36.85|5311201|USD|13
2019-04-02|36.96|37.18|35.9|36.28|6704831|USD|14
2019-04-03|36.37|36.56|35.9|36.08|8393708|USD|15
2019-04-04|36.2|36.8|36.01|36.76|4908406|USD|16
2019-04-05|36.79|37.85|36.69|37.68|7344894|USD|17
2019-04-08|37.6|37.68|37.26|37.47|3393260|USD|18
2019-04-09|37.42|37.65|37.17|37.31|5725894|USD|19
2019-04-10|37.33|37.53|36.36|36.48|4828362|USD|20
2019-04-11|36.57|37.16|35.99|37.09|4791432|USD|21
2019-04-12|37.15|37.62|36.47|37.53|6368477|USD|22
2019-04-15|37.46|37.57|36.99|37.53|3927062|USD|23
2019-04-16|37.67|37.85|37.47|37.75|5721982|USD|24
2019-04-17|37.87|38.85|37.76|38.84|7603795|USD|25
2019-04-18|38.91|39.0|38.43|38.44|4737418|USD|26
2019-04-22|38.36|38.44|37.62|37.7|7675316|USD|27
2019-04-23|37.79|38.39|37.63|38.08|6328827|USD|28
2019-04-24|37.95|38.31|37.81|37.96|5323550|USD|29
2019-04-25|37.98|38.2|37.54|38.15|5309675|USD|30
2019-04-26|38.08|38.53|37.9|38.48|5297417|USD|31
2019-04-29|38.54|39.53|38.31|39.2|6885177|USD|32
2019-04-30|39.19|39.33|38.47|38.99|5044352|USD|33
2019-05-01|39.12|39.49|38.66|39.4|5149829|USD|34
2019-05-02|39.23|39.47|37.08|37.28|11495855|USD|35
2019-05-03|37.41|37.75|37.12|37.47|4809763|USD|36
2019-05-06|37.17|37.99|36.96|37.92|4801609|USD|37
2019-05-07|37.58|37.81|37.12|37.26|6053297|USD|38
2019-05-08|37.34|37.7|36.85|37.42|8635285|USD|39
2019-05-09|38.5|39.25|37.51|38.5|15210152|USD|40
2019-05-10|38.64|38.75|37.44|38.53|6742528|USD|41
2019-05-13|37.77|38.68|37.73|37.97|5604035|USD|42
2019-05-14|38.05|38.52|37.87|37.89|6198619|USD|43
2019-05-15|37.7|37.97|37.57|37.71|2975433|USD|44
2019-05-16|37.91|38.08|36.7|36.74|8705008|USD|45
2019-05-17|36.56|37.59|36.55|37.32|5507954|USD|46
2019-05-20|37.18|37.64|37.0|37.14|3670004|USD|47
2019-05-21|37.26|38.0|37.1|37.69|4668608|USD|48
2019-05-22|37.66|37.76|37.06|37.12|3431178|USD|49
2019-05-23|36.82|37.08|36.63|36.91|4431862|USD|50
2019-05-24|37.05|37.21|36.85|36.92|2878988|USD|51
2019-05-28|36.97|37.34|36.51|36.64|4380381|USD|52
2019-05-29|36.5|36.65|35.79|35.79|3691294|USD|53
2019-05-30|35.88|36.15|35.15|35.22|4730387|USD|54
2019-05-31|34.97|35.27|34.7|35.23|6706125|USD|55
2019-06-03|35.05|35.3|33.78|34.24|7665044|USD|56
2019-06-04|34.52|35.25|34.15|34.48|8058934|USD|57
2019-06-05|34.62|34.98|34.28|34.36|6240649|USD|58
2019-06-06|34.66|34.66|33.98|34.12|5288296|USD|59
2019-06-07|34.18|34.44|34.0|34.01|4226794|USD|60
2019-06-10|34.05|34.4|33.9|34.03|5620499|USD|61
2019-06-11|34.23|34.41|34.01|34.18|3166916|USD|62
2019-06-12|34.2|35.1|34.16|35.05|4426934|USD|63
2019-06-13|35.17|35.5|34.96|35.29|4384777|USD|64
2019-06-14|35.24|35.5|34.93|35.24|4362353|USD|65
2019-06-17|35.42|36.33|35.34|36.13|7195391|USD|66
2019-06-18|36.45|37.05|36.08|36.19|4938850|USD|67
2019-06-19|36.26|36.42|35.68|35.99|4790143|USD|68
2019-06-20|36.38|36.47|35.56|35.58|5916524|USD|69
2019-06-21|35.61|37.29|35.31|36.18|11402191|USD|70
2019-06-24|36.01|36.07|35.6|35.8|5280111|USD|71
2019-06-25|35.78|35.86|35.14|35.34|7204375|USD|72
2019-06-26|35.79|36.1|35.33|35.47|4297292|USD|73
2019-06-27|35.53|36.33|35.2|35.99|5083896|USD|74
2019-06-28|35.98|36.76|35.81|36.64|10930138|USD|75
2019-07-01|36.46|36.99|35.74|35.92|6407228|USD|76
2019-07-02|36.01|36.62|35.92|36.59|3599546|USD|77
2019-07-03|36.6|36.82|36.27|36.35|3160332|USD|78
2019-07-05|36.24|36.8|36.08|36.6|1981977|USD|79
2019-07-08|36.53|36.67|36.08|36.13|1644620|USD|80
2019-07-09|36.03|36.27|35.82|36.02|2379561|USD|81
2019-07-10|36.19|36.43|36.08|36.14|2400697|USD|82
2019-07-11|36.17|36.35|35.85|36.29|2986996|USD|83
2019-07-12|36.46|37.04|36.1|36.96|2755739|USD|84
2019-07-15|37.03|37.16|36.64|37.01|2861593|USD|85
2019-07-16|36.93|37.11|36.63|36.69|2721520|USD|86
2019-07-17|36.73|36.76|36.11|36.17|5740483|USD|87
2019-07-18|36.17|36.72|35.96|36.55|5313845|USD|88
2019-07-19|36.7|36.74|36.14|36.43|4402023|USD|89
2019-07-22|36.51|36.61|36.06|36.1|7865704|USD|90
2019-07-23|36.19|36.39|35.84|36.22|5573558|USD|91
2019-07-24|36.13|36.86|36.13|36.6|5980591|USD|92
2019-07-25|36.63|37.34|36.63|37.17|3251722|USD|93
2019-07-26|37.29|37.8|37.08|37.21|2669100|USD|94
2019-07-29|37.16|37.57|37.07|37.51|2130637|USD|95
2019-07-30|37.35|37.98|37.32|37.82|2971835|USD|96
2019-07-31|37.67|37.69|36.81|37.32|5280629|USD|97
2019-08-01|37.25|37.49|36.72|36.89|3280662|USD|98
2019-08-02|36.73|36.96|36.33|36.63|2419011|USD|99
2019-08-05|36.47|36.56|35.77|36.05|4517227|USD|100
2019-08-06|36.16|36.6|35.93|36.45|3366690|USD|101
2019-08-07|35.89|37.15|35.8|37.04|4657381|USD|102
2019-08-08|37.22|37.25|35.0|35.13|9539872|USD|103
2019-08-09|35.11|35.65|34.98|35.4|4234434|USD|104
2019-08-12|35.04|35.32|34.7|34.95|4172864|USD|105
2019-08-13|34.84|35.59|34.8|35.06|2940835|USD|106
2019-08-14|34.7|34.75|33.38|33.69|7489849|USD|107
2019-08-15|33.88|34.09|32.72|32.75|7043951|USD|108
2019-08-16|33.0|33.3|32.67|32.99|3256831|USD|109
2019-08-19|33.32|34.03|33.29|33.87|3915125|USD|110
2019-08-20|33.83|34.05|33.52|33.59|2810834|USD|111
2019-08-21|33.64|33.72|33.01|33.41|3050409|USD|112
2019-08-22|33.38|33.54|32.95|33.05|3725374|USD|113
2019-08-23|32.93|33.08|31.63|31.75|3868329|USD|114
2019-08-26|31.84|32.14|31.58|32.08|3235649|USD|115
2019-08-27|32.22|32.38|31.92|31.93|3449444|USD|116
2019-08-28|32.05|32.28|31.62|31.79|3567237|USD|117
2019-08-29|32.0|33.13|31.88|32.74|3687745|USD|118
2019-08-30|33.72|33.72|32.79|33.17|2926088|USD|119
2019-09-03|32.66|33.11|32.54|32.77|2092384|USD|120
2019-09-04|32.99|33.61|32.9|33.56|2282398|USD|121
2019-09-05|33.64|34.4|33.56|34.25|3946927|USD|122
2019-09-06|34.32|34.74|34.06|34.23|2514623|USD|123
2019-09-09|33.39|34.34|33.39|34.3|2659833|USD|124
2019-09-10|33.85|34.72|33.85|34.3|3198116|USD|125
2019-09-11|34.28|34.43|33.8|34.0|3287051|USD|126
2019-09-12|34.19|34.19|33.67|33.79|4290524|USD|127
2019-09-13|33.96|34.21|33.51|33.83|4606058|USD|128
2019-09-16|33.68|33.83|33.47|33.6|2175629|USD|129
2019-09-17|33.59|33.59|32.79|32.86|6702742|USD|130
2019-09-18|32.88|32.96|32.13|32.64|5597093|USD|131
2019-09-19|32.48|32.78|31.96|32.04|4925050|USD|132
