|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|31.0|31.91|30.83|31.73|2862646|USD|0|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-04|31.91|32.77|31.11|31.43|5421204|USD|1|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-05|31.94|32.5|31.31|31.5|2258627|USD|2|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-06|31.75|32.01|31.24|31.77|2165036|USD|3|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-09|31.93|32.44|31.08|31.82|2455620|USD|4|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-10|29.57|33.84|28.72|33.01|12969516|USD|5|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-11|33.11|35.16|33.01|34.01|4386439|USD|6|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-12|34.25|36.68|34.15|36.23|5384808|USD|7|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-13|36.35|36.76|35.22|35.71|3130096|USD|8|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-17|36.26|36.78|35.85|36.0|2899761|USD|9|ILMN|FY|302978000.0|886590000.0|1189568000.0|173886000.0|128781000.0|52384000.0|1544619000.0|143483000.0|321853000.0|106475000.0|428328000.0|0.0|19675000.0|59735000.0|651221000.0|79410000.0|2195840000.0|49806000.0|0.0|19339000.0|52573000.0|115862000.0|237580000.0|807369000.0|0.0|23188000.0|69954000.0|900511000.0|-17466000.0|1120625000.0|1668000.0|-68707000.0|2117000.0|1140137000.0|1075215000.0|2195840000.0|886590000.0|807369000.0|504391000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|11720000.0|36461000.0|-13018000.0|21816000.0|100038000.0|-4467000.0|12837000.0|-6200000.0|1307039000.0|0.0|108300000.0|-27114000.0|0.0|-2385000.0|160007000.0|-173468000.0|-42960000.0|0.0|1881000.0|0.0|0.0|5967000.0|7848000.0|-56000.0|73132000.0|302978000.0|229846000.0|108300000.0|27764000.0|80536000.0|2012-01-01|2012-01-01|2012-04-01|ILMN|FY|250071000.0|79485000.0|170586000.0|0.6821502693235121|45513000.0|60918000.0|0.0|36856000.0|143287000.0|222772000.0|9185000.0|36461000.0|63760000.0|0.254967589205|27299000.0|0.10916499714099999|-35000.0|20222000.0|0.0808650343303|8502000.0|11720000.0|0.0468666898601|0.1|0.1|123399000.0|138937000.0|2012-01-01|2012-01-01|2012-04-01
