|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|15.05|15.46|14.98|14.99|1052743|USD|0|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-04|14.87|15.17|14.74|14.78|1219013|USD|1|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-05|14.72|15.58|14.72|15.45|1507467|USD|2|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-06|15.44|16.38|15.44|16.3|2159402|USD|3|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-09|16.31|16.75|16.2|16.27|1764026|USD|4|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-10|16.5|16.7|15.78|16.06|2187372|USD|5|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-11|16.0|16.24|15.71|16.17|2905788|USD|6|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-12|16.2|16.43|15.58|16.42|1731739|USD|7|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-13|16.19|16.88|16.15|16.87|1294390|USD|8|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
2012-01-17|16.99|17.22|16.77|16.95|1741558|USD|9|INCY|FY|273164000.0|4430000.0|277594000.0|6415000.0|3536000.0|23233000.0|310778000.0|6431000.0|0.0|8217000.0|8217000.0|4430000.0|0.0|11753000.0|18184000.0|0.0|328962000.0|14939000.0|0.0|0.0|2332000.0|118343000.0|135614000.0|298193000.0|104272000.0|0.0|0.0|402465000.0|17960000.0|556039000.0|126000.0|-1609570000.0|1642000.0|1380725000.0|-227077000.0|328962000.0|4430000.0|298193000.0|25029000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|-55079000.0|7042000.0|0.0|7447000.0|-50297000.0|-3953000.0|-3536000.0|3901000.0|175164000.0|0.0|-39779000.0|-992000.0|0.0|0.0|-147000.0|0.0|-1139000.0|0.0|-17714000.0|39164000.0|0.0|-19696000.0|1754000.0|0.0|378748000.0|273164000.0|-105584000.0|-39779000.0|992000.0|-40771000.0|2011-12-31|2011-12-31|2012-03-31|INCY|FY|28890000.0|0.0|28890000.0|1.0|51877000.0|21152000.0|0.0|0.0|73029000.0|73029000.0|11153000.0|7042000.0|-37097000.0|-1.2840775354794047|-44139000.0|-1.5278296988577362|213000.0|-55079000.0|-1.9065074420214607|0.0|-55079000.0|-1.9065074420214607|-0.44|-0.44|125362000.0|125362000.0|2011-12-31|2011-12-31|2012-03-31
