Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|24.62|24.89|24.39|24.54|44851032|USD|0
2012-01-04|24.57|25.13|24.53|25.11|47508608|USD|1
2012-01-05|25.06|25.45|24.98|25.4|49492052|USD|2
2012-01-06|25.21|25.4|25.01|25.25|36345172|USD|3
2012-01-09|25.4|25.56|25.22|25.46|47478544|USD|4
2012-01-10|25.71|25.92|25.51|25.59|41060876|USD|5
2012-01-11|25.43|25.89|25.34|25.8|57172312|USD|6
2012-01-12|25.85|25.9|25.54|25.75|44421960|USD|7
2012-01-13|25.69|25.72|25.1|25.14|63317336|USD|8
2012-01-17|25.18|25.4|24.97|25.04|60443396|USD|9
2012-01-18|25.13|25.48|25.01|25.39|62695616|USD|10
2012-01-19|25.52|25.68|25.37|25.63|64946208|USD|11
2012-01-20|25.87|26.47|25.5|26.38|101282200|USD|12
2012-01-23|26.35|26.89|26.34|26.71|69668864|USD|13
2012-01-24|26.7|26.98|26.61|26.89|56220364|USD|14
2012-01-25|26.84|26.95|26.5|26.9|54757808|USD|15
2012-01-26|26.95|27.0|26.6|26.75|61678136|USD|16
2012-01-27|26.66|26.84|26.59|26.73|50589868|USD|17
2012-01-30|26.51|26.8|26.27|26.74|60694068|USD|18
2012-01-31|26.79|26.8|26.28|26.42|45330708|USD|19
2012-02-01|26.74|26.84|26.51|26.55|46334704|USD|20
2012-02-02|26.59|26.74|26.46|26.49|34780240|USD|21
2012-02-03|26.66|26.95|26.58|26.74|42194132|USD|22
2012-02-06|26.55|26.73|26.36|26.72|36777892|USD|23
2012-02-07|26.63|26.74|26.43|26.64|33104970|USD|24
2012-02-08|26.66|26.99|26.61|26.85|37072048|USD|25
2012-02-09|26.91|27.0|26.79|26.86|35755016|USD|26
2012-02-10|26.74|26.79|26.45|26.7|33624236|USD|27
2012-02-13|26.83|26.84|26.52|26.7|24727212|USD|28
2012-02-14|26.57|26.78|26.5|26.78|25413700|USD|29
2012-02-15|26.88|26.88|26.5|26.58|35832552|USD|30
2012-02-16|26.4|26.95|26.35|26.82|42457732|USD|31
2012-02-17|26.86|27.5|26.82|27.37|74254032|USD|32
2012-02-21|27.34|27.37|27.01|27.16|34913272|USD|33
2012-02-22|27.06|27.35|26.51|26.73|51979380|USD|34
2012-02-23|26.56|26.86|26.35|26.66|33801412|USD|35
2012-02-24|26.72|26.8|26.45|26.7|39311240|USD|36
2012-02-27|26.52|27.2|26.45|26.89|46027008|USD|37
2012-02-28|26.93|27.3|26.82|27.24|32823452|USD|38
2012-02-29|27.25|27.3|26.84|26.88|41861800|USD|39
2012-03-01|27.06|27.14|26.71|26.86|39415008|USD|40
2012-03-02|26.9|27.03|26.77|26.91|29634028|USD|41
2012-03-05|26.91|26.91|26.36|26.54|32336068|USD|42
2012-03-06|26.25|26.63|26.2|26.61|37196664|USD|43
2012-03-07|26.58|27.0|26.52|26.91|32725476|USD|44
2012-03-08|27.0|27.04|26.75|26.84|37264480|USD|45
2012-03-09|26.94|27.16|26.87|27.07|29406616|USD|46
2012-03-12|27.0|27.08|26.91|26.98|24016824|USD|47
2012-03-13|27.12|27.5|27.12|27.49|33796756|USD|48
2012-03-14|27.45|27.9|27.34|27.46|46835632|USD|49
2012-03-15|27.5|27.85|27.43|27.75|34193224|USD|50
2012-03-16|27.82|27.96|27.7|27.73|54672268|USD|51
2012-03-19|27.66|27.9|27.54|27.74|26941760|USD|52
2012-03-20|27.65|27.9|27.56|27.75|22685408|USD|53
2012-03-21|27.79|27.89|27.7|27.77|22213496|USD|54
2012-03-22|27.73|27.95|27.61|27.89|23395544|USD|55
2012-03-23|27.94|27.99|27.68|27.88|24901400|USD|56
2012-03-26|28.01|28.26|27.96|28.19|32807678|USD|57
2012-03-27|28.24|28.28|28.07|28.19|24372048|USD|58
2012-03-28|28.13|28.25|27.8|27.8|35154500|USD|59
2012-03-29|27.75|28.18|27.67|28.16|39624100|USD|60
2012-03-30|28.39|28.45|28.02|28.11|43024388|USD|61
2012-04-02|28.04|28.45|27.99|28.38|28854184|USD|62
2012-04-03|28.31|28.37|27.95|28.11|34152416|USD|63
2012-04-04|27.87|28.03|27.6|27.93|30845072|USD|64
2012-04-05|27.87|28.1|27.8|28.07|22039042|USD|65
2012-04-09|27.73|27.9|27.59|27.76|22970314|USD|66
2012-04-10|27.7|27.86|27.41|27.45|36272068|USD|67
2012-04-11|27.68|28.0|27.63|27.85|26676812|USD|68
2012-04-12|27.97|28.52|27.93|28.48|37053420|USD|69
2012-04-13|28.35|28.39|28.08|28.09|34483248|USD|70
2012-04-16|28.26|28.55|28.14|28.41|37479936|USD|71
2012-04-17|28.45|28.78|28.41|28.47|61287912|USD|72
2012-04-18|27.58|28.11|27.46|27.95|72256464|USD|73
2012-04-19|27.87|28.09|27.44|27.69|43042968|USD|74
2012-04-20|27.72|27.97|27.57|27.6|38064820|USD|75
2012-04-23|27.33|27.57|27.24|27.45|37792688|USD|76
2012-04-24|27.35|27.6|27.24|27.31|35010516|USD|77
2012-04-25|27.43|27.91|27.35|27.86|40863576|USD|78
2012-04-26|27.8|28.3|27.75|28.22|46649640|USD|79
2012-04-27|28.11|28.53|28.1|28.38|33312328|USD|80
2012-04-30|28.42|28.54|28.29|28.39|28812624|USD|81
2012-05-01|28.47|29.05|28.37|28.95|43317856|USD|82
2012-05-02|28.82|29.27|28.72|29.18|40434660|USD|83
2012-05-03|29.26|29.27|28.42|28.56|41225996|USD|84
2012-05-04|28.32|28.38|27.84|27.9|34575688|USD|85
2012-05-07|27.83|27.98|27.65|27.76|37385884|USD|86
2012-05-08|27.48|27.6|27.01|27.37|53089336|USD|87
2012-05-09|27.08|27.35|26.75|27.19|40607560|USD|88
2012-05-10|27.34|27.46|26.95|27.24|36238936|USD|89
2012-05-11|27.26|27.95|27.2|27.63|34941404|USD|90
2012-05-14|27.35|27.4|26.88|27.02|39447240|USD|91
2012-05-15|27.05|27.25|26.82|26.88|35712024|USD|92
2012-05-16|26.91|26.99|26.49|26.5|44629248|USD|93
2012-05-17|26.47|26.66|26.19|26.19|31505042|USD|94
2012-05-18|26.24|26.57|26.05|26.07|43444808|USD|95
2012-05-21|26.06|26.19|25.68|26.15|41395584|USD|96
2012-05-22|26.27|26.28|25.77|26.03|46047436|USD|97
2012-05-23|25.47|25.51|24.92|25.44|61969600|USD|98
2012-05-24|25.57|25.78|25.31|25.65|37131848|USD|99
2012-05-25|25.72|25.85|25.57|25.74|19123768|USD|100
2012-05-29|26.04|26.32|25.86|26.09|35057936|USD|101
2012-05-30|25.9|26.19|25.8|26.13|33092340|USD|102
2012-05-31|25.78|26.07|25.7|25.84|42248448|USD|103
2012-06-01|25.4|25.71|25.12|25.14|40250644|USD|104
2012-06-04|25.28|25.36|24.84|25.04|39904812|USD|105
2012-06-05|25.04|25.57|25.0|25.43|29491242|USD|106
2012-06-06|25.51|26.11|25.43|26.07|33555692|USD|107
2012-06-07|26.37|26.43|25.89|25.94|29538008|USD|108
2012-06-08|25.88|26.48|25.85|26.41|26753372|USD|109
2012-06-11|26.55|26.63|25.96|25.98|28044084|USD|110
2012-06-12|26.12|26.54|26.05|26.52|29136808|USD|111
2012-06-13|26.46|26.86|26.34|26.54|30520282|USD|112
2012-06-14|26.58|27.06|26.42|26.98|38301124|USD|113
2012-06-15|27.02|27.44|26.88|27.34|51840984|USD|114
2012-06-18|27.29|27.61|27.22|27.42|30439578|USD|115
2012-06-19|27.59|27.63|27.25|27.51|30067030|USD|116
2012-06-20|27.48|27.75|27.38|27.64|28168004|USD|117
2012-06-21|27.51|27.59|26.61|26.71|47574616|USD|118
2012-06-22|26.88|26.96|26.67|26.93|100360640|USD|119
2012-06-25|26.6|26.65|25.88|26.05|41787216|USD|120
2012-06-26|26.16|26.28|25.74|26.0|34935512|USD|121
2012-06-27|26.11|26.34|26.06|26.22|23644208|USD|122
2012-06-28|26.0|26.03|25.45|25.83|40168256|USD|123
2012-06-29|26.28|26.65|26.21|26.65|35082292|USD|124
2012-07-02|26.51|26.73|26.39|26.66|21741084|USD|125
2012-07-03|26.72|26.86|26.56|26.86|12519339|USD|126
2012-07-05|26.81|26.84|26.37|26.55|20326846|USD|127
2012-07-06|26.44|26.5|25.93|26.16|32524052|USD|128
2012-07-09|26.05|26.21|25.81|26.17|27910108|USD|129
2012-07-10|25.85|26.42|25.44|25.56|47236660|USD|130
2012-07-11|25.57|25.62|25.22|25.39|34809144|USD|131
2012-07-12|25.16|25.17|24.68|24.74|53150568|USD|132
2012-07-13|24.8|25.39|24.76|25.25|35976152|USD|133
2012-07-16|25.23|25.31|25.0|25.13|36989228|USD|134
2012-07-17|25.33|25.66|24.85|25.38|63631492|USD|135
2012-07-18|25.2|26.42|25.05|26.21|67503408|USD|136
2012-07-19|26.35|26.35|25.82|26.06|36559764|USD|137
2012-07-20|25.87|26.0|25.5|25.52|48849276|USD|138
2012-07-23|25.05|25.36|24.8|25.26|36384176|USD|139
2012-07-24|25.19|25.22|24.79|25.0|33644080|USD|140
2012-07-25|25.02|25.52|25.0|25.13|34407796|USD|141
2012-07-26|25.59|25.84|25.34|25.5|37809372|USD|142
2012-07-27|25.68|26.07|25.47|26.02|33345264|USD|143
2012-07-30|25.98|26.2|25.68|25.76|25884832|USD|144
2012-07-31|25.76|26.04|25.7|25.7|26620960|USD|145
2012-08-01|25.83|26.0|25.67|25.93|29213200|USD|146
2012-08-02|25.74|26.26|25.68|25.91|34310624|USD|147
2012-08-03|26.25|26.35|25.98|26.23|30701164|USD|148
2012-08-06|26.22|26.56|26.2|26.31|24619428|USD|149
2012-08-07|26.46|26.64|26.35|26.5|27077716|USD|150
2012-08-08|26.48|26.74|26.3|26.6|27035384|USD|151
2012-08-09|26.64|26.89|26.57|26.7|26468324|USD|152
2012-08-10|26.7|26.9|26.53|26.88|24931992|USD|153
2012-08-13|26.76|26.83|26.41|26.69|23623918|USD|154
2012-08-14|26.8|26.81|26.38|26.48|27477260|USD|155
2012-08-15|26.23|26.47|26.19|26.27|26081908|USD|156
2012-08-16|26.44|26.65|26.34|26.59|25702364|USD|157
2012-08-17|26.57|26.63|26.21|26.33|30379904|USD|158
2012-08-20|26.22|26.33|26.1|26.23|25602646|USD|159
2012-08-21|26.33|26.34|25.99|26.11|31663616|USD|160
2012-08-22|25.89|26.01|25.66|25.73|33629348|USD|161
2012-08-23|25.58|25.59|24.93|25.04|51404064|USD|162
2012-08-24|25.05|25.07|24.7|24.91|45187476|USD|163
2012-08-27|24.86|24.94|24.75|24.84|34434216|USD|164
2012-08-28|24.79|25.01|24.68|25.0|33121060|USD|165
2012-08-29|24.93|24.96|24.54|24.67|60466740|USD|166
2012-08-30|24.57|24.64|24.15|24.27|37184068|USD|167
2012-08-31|24.5|25.0|24.48|24.83|43448216|USD|168
2012-09-04|25.03|25.06|24.27|24.41|40696296|USD|169
