Unnamed: 0|Unnamed: 0.1|Date_x|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|prctChangeOPEN|TargetProbability|Date_y|No Articles|Date_x|No_Articles_x|Date_y|No_Articles_y
0|0|2014-05-23|21.25|21.25|19.94|20.1|20890284|USD|0|0.9540000000000001|0.5894250293720544|2014-05-10|1|2014-05-10|1|2014-05-10|1
1|1|2014-05-27|20.28|22.98|20.25|22.97|15338016|USD|1|1.133|0.5933961443418281|2014-05-12|1|2014-05-12|1|2014-05-12|1
2|2|2014-05-28|22.98|25.3|22.8|24.78|16782984|USD|2|1.09|0.5460969147674819|2014-05-19|1|2014-05-19|1|2014-05-19|1
3|3|2014-05-29|25.04|25.69|24.24|25.4|8525826|USD|3|1.0090000000000001|0.5393602433436697|2014-05-21|2|2014-05-21|2|2014-05-21|2
4|4|2014-05-30|25.27|25.56|23.79|25.0|6302714|USD|4|1.005|0.5376509426088041|2014-05-22|8|2014-05-22|8|2014-05-22|8
5|5|2014-06-02|25.4|25.44|24.07|24.6|3808755|USD|5|0.9520000000000001|0.5430169801431277|2014-05-23|1|2014-05-23|1|2014-05-23|1
6|6|2014-06-03|24.17|25.25|24.03|25.1|3388490|USD|6|1.034|0.5652325768817795|2014-05-30|1|2014-05-30|1|2014-05-30|1
7|7|2014-06-04|24.99|25.28|24.44|24.54|2991224|USD|7|0.992|0.5576682852999895|2014-06-03|2|2014-06-03|2|2014-06-03|2
8|8|2014-06-05|24.8|26.75|24.6|25.78|7935624|USD|8|1.069|0.5464495679382263|2014-06-04|1|2014-06-04|1|2014-06-04|1
9|9|2014-06-06|26.5|27.04|26.31|26.58|4322660|USD|9|1.0190000000000001|0.5223018293383019|2014-06-06|1|2014-06-06|1|2014-06-06|1
10|10|2014-06-09|27.0|29.09|26.58|28.43|10659766|USD|10|1.067|0.5303301887043179|2014-06-09|1|2014-06-09|1|2014-06-09|1
11|11|2014-06-10|28.82|28.86|27.7|28.35|5623469|USD|11|0.975|0.506969135678911|2014-06-13|1|2014-06-13|1|2014-06-13|1
12|12|2014-06-11|28.1|29.49|28.1|29.0|6558796|USD|12|1.053|0.5046239370848162|2014-06-23|1|2014-06-23|1|2014-06-23|1
13|13|2014-06-12|29.59|29.6|26.34|27.17|9165623|USD|13|0.935|0.499215105189735|2014-06-24|1|2014-06-24|1|2014-06-24|1
14|14|2014-06-13|27.68|28.2|27.13|27.79|5165783|USD|14|0.983|0.5285269780147798|2014-06-26|1|2014-06-26|1|2014-06-26|1
15|15|2014-06-16|27.22|27.44|26.38|26.89|6162189|USD|15|1.0|0.5436769460432678|2014-06-27|1|2014-06-27|1|2014-06-27|1
16|16|2014-06-17|27.22|27.45|26.63|27.02|3653127|USD|16|1.008|0.5470166748394342|2014-07-01|3|2014-07-01|3|2014-07-01|3
17|17|2014-06-18|27.44|27.89|26.03|26.52|5281182|USD|17|0.9840000000000001|0.5208614757096939|2014-07-02|1|2014-07-02|1|2014-07-02|1
18|18|2014-06-19|27.0|27.0|25.8|25.83|3719805|USD|18|0.9540000000000001|0.5282117336869991|2014-07-03|1|2014-07-03|1|2014-07-03|1
19|19|2014-06-20|25.75|25.97|24.92|25.45|7613541|USD|19|0.975|0.5433326686226791|2014-07-25|1|2014-07-25|1|2014-07-25|1
20|20|2014-06-23|25.11|26.46|25.1|26.37|5598292|USD|20|1.056|0.5465043581381283|2014-07-28|1|2014-07-28|1|2014-07-28|1
21|21|2014-06-24|26.51|27.34|26.51|27.04|5739377|USD|21|1.028|0.5220282598394834|2014-07-29|1|2014-07-29|1|2014-07-29|1
22|22|2014-06-25|27.25|27.35|26.45|27.07|1927951|USD|22|0.996|0.5129426892203993|2014-07-31|1|2014-07-31|1|2014-07-31|1
23|23|2014-06-26|27.14|28.35|26.81|28.3|3624099|USD|23|1.045|0.5160719475934127|2014-08-01|2|2014-08-01|2|2014-08-01|2
24|24|2014-06-27|28.36|28.5|27.71|28.01|3066340|USD|24|0.993|0.5113444904072035|2014-08-06|1|2014-08-06|1|2014-08-06|1
25|25|2014-06-30|28.17|28.53|27.68|28.51|3988201|USD|25|1.0290000000000001|0.5067740666168375|2014-08-08|1|2014-08-08|1|2014-08-08|1
26|26|2014-07-01|29.0|31.22|28.86|29.69|12625969|USD|26|1.048|0.5040887713272372|2014-08-12|1|2014-08-12|1|2014-08-12|1
27|27|2014-07-02|30.4|30.41|28.5|28.96|6108938|USD|27|0.963|0.5049785356062969|2014-08-15|2|2014-08-15|2|2014-08-15|2
28|28|2014-07-03|29.28|29.35|27.53|27.79|4398182|USD|28|0.9570000000000001|0.4964968176749311|2014-08-18|2|2014-08-18|2|2014-08-18|2
29|29|2014-07-07|28.01|28.73|27.45|27.63|3827893|USD|29|1.002|0.5361479263256224|2014-08-20|1|2014-08-20|1|2014-08-20|1
30|30|2014-07-08|28.08|28.08|25.81|26.47|6454715|USD|30|0.965|0.5404302467076617|2014-08-26|1|2014-08-26|1|2014-08-26|1
31|31|2014-07-09|27.09|27.15|26.05|26.36|4549861|USD|31|0.953|0.5520020898431067|2014-08-27|1|2014-08-27|1|2014-08-27|1
32|32|2014-07-10|25.83|27.8|25.28|27.7|4718485|USD|32|1.065|0.5897045838519291|2014-08-28|8|2014-08-28|8|2014-08-28|8
33|33|2014-07-11|27.51|27.9|26.85|27.04|3315394|USD|33|1.004|0.5612387438785565|2014-09-02|3|2014-09-02|3|2014-09-02|3
34|34|2014-07-14|27.63|28.23|27.5|28.04|2851143|USD|34|1.021|0.5669459253282595|2014-09-04|1|2014-09-04|1|2014-09-04|1
35|35|2014-07-15|28.2|28.4|27.75|28.21|3427547|USD|35|1.011|0.5549176454522413|2014-09-05|2|2014-09-05|2|2014-09-05|2
36|36|2014-07-16|28.5|29.3|28.3|29.11|3799570|USD|36|1.011|0.5595353732715723|2014-09-12|1|2014-09-12|1|2014-09-12|1
37|37|2014-07-17|28.82|29.39|27.5|27.56|3749238|USD|37|0.963|0.5609406875827276|2014-09-15|1|2014-09-15|1|2014-09-15|1
38|38|2014-07-18|27.74|28.33|27.5|27.82|1994402|USD|38|0.997|0.5687752715595839|2014-09-16|1|2014-09-16|1|2014-09-16|1
39|39|2014-07-21|27.67|28.66|27.67|28.54|2098841|USD|39|1.042|0.5776902449782181|2014-09-19|1|2014-09-19|1|2014-09-19|1
40|40|2014-07-22|28.84|29.38|28.5|28.73|2304691|USD|40|1.002|0.5498694577204256|2014-09-22|2|2014-09-22|2|2014-09-22|2
41|41|2014-07-23|28.89|29.06|27.81|27.88|2476889|USD|41|0.9690000000000001|0.5368722429613983|2014-09-23|2|2014-09-23|2|2014-09-23|2
42|42|2014-07-24|28.0|29.23|27.9|29.05|2736422|USD|42|1.0390000000000001|0.5459753572581129|2014-09-24|2|2014-09-24|2|2014-09-24|2
43|43|2014-07-25|29.1|29.48|28.5|29.03|3872197|USD|43|1.005|0.502573727244514|2014-09-29|1|2014-09-29|1|2014-09-29|1
44|44|2014-07-28|29.26|30.35|29.07|29.49|5041223|USD|44|1.0190000000000001|0.5041140506143318|2014-10-01|2|2014-10-01|2|2014-10-01|2
45|45|2014-07-29|29.83|30.22|29.5|29.62|3318470|USD|45|1.008|0.4911848902816406|2014-10-03|1|2014-10-03|1|2014-10-03|1
46|46|2014-07-30|30.06|30.1|29.02|29.07|3085052|USD|46|0.948|0.480335104164485|2014-10-06|1|2014-10-06|1|2014-10-06|1
47|47|2014-07-31|28.5|28.9|28.1|28.58|2988701|USD|47|1.002|0.5202918312570981|2014-10-08|2|2014-10-08|2|2014-10-08|2
48|48|2014-08-01|28.55|28.79|27.3|27.94|4572505|USD|48|0.988|0.5240869334514411|2014-10-09|1|2014-10-09|1|2014-10-09|1
49|49|2014-08-04|28.2|28.3|27.56|27.79|5315640|USD|49|0.982|0.5111507778686961|2014-10-17|1|2014-10-17|1|2014-10-17|1
50|50|2014-08-05|27.7|28.19|27.5|27.73|2893713|USD|50|0.995|0.5100680291527553|2014-10-27|1|2014-10-27|1|2014-10-27|1
51|51|2014-08-06|27.56|27.73|27.3|27.51|2412767|USD|51|1.0070000000000001|0.510600691425163|2014-10-28|1|2014-10-28|1|2014-10-28|1
52|52|2014-08-07|27.75|28.07|27.38|27.48|3865335|USD|52|1.003|0.541465427456597|2014-10-29|1|2014-10-29|1|2014-10-29|1
53|53|2014-08-08|27.84|28.38|27.6|28.36|3737871|USD|53|1.034|0.5037515743103972|2014-10-31|1|2014-10-31|1|2014-10-31|1
54|54|2014-08-11|28.8|29.0|28.09|28.21|4218746|USD|54|0.983|0.4793602494588955|2014-11-05|2|2014-11-05|2|2014-11-05|2
