Unnamed: 0|Unnamed: 0.1|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date_x.1|Start Date|End Date|prctChangeOPEN|TargetProbability|Date_y.1|No_Articles_x|Date|No_Articles_y
0|2012-01-03|39.17|39.63|38.1|38.16|3310798|USD|0|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|0.972|0.5243268069637078|2010-04-29|1|2010-04-29|1
1|2012-01-04|38.09|38.3|37.69|37.72|3048953|USD|1|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|0.989|0.5398143344368076|2010-08-14|1|2010-08-14|1
2|2012-01-05|37.67|38.25|37.59|38.21|3034391|USD|2|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|1.014|0.5788208149933344|2010-09-11|1|2010-09-11|1
3|2012-01-06|38.18|38.75|37.92|38.37|2765506|USD|3|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|1.01|0.5290276027047837|2010-10-08|1|2010-10-08|1
4|2012-01-09|38.58|39.14|38.44|38.74|2976714|USD|4|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|1.016|0.5077487141408666|2010-12-03|1|2010-12-03|1
5|2012-01-10|39.18|39.61|38.94|39.05|2331569|USD|5|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|0.995|0.5007839690623329|2011-01-18|1|2011-01-18|1
6|2012-01-11|38.99|40.0|38.95|39.65|2718054|USD|6|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|1.018|0.5078447580957063|2011-01-21|1|2011-01-21|1
7|2012-01-12|39.71|39.82|39.18|39.23|2937250|USD|7|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|0.983|0.47811137983876206|2011-02-07|1|2011-02-07|1
8|2012-01-13|39.03|39.22|38.34|38.51|2309867|USD|8|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|0.999|0.5023554650456599|2011-05-05|1|2011-05-05|1
9|2012-01-17|38.99|39.4|38.93|39.01|2697993|USD|9|KLAC|Q2|824986000.0|1351659000.0|2176645000.0|544098000.0|639641000.0|388675000.0|3749059000.0|267629000.0|327813000.0|70218000.0|398031000.0|73193000.0|296206000.0|-83130000.0|951929000.0|0.0|4700988000.0|129064000.0|462033000.0|20078000.0|48165000.0|170640000.0|829980000.0|746561000.0|0.0|38736000.0|80358000.0|865655000.0|36881000.0|1732516000.0|1050788000.0|1928396000.0|-10712000.0|0.0|2968472000.0|4700988000.0|1424852000.0|1208594000.0|383608000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|110797000.0|23267000.0|0.0|19646000.0|56379000.0|-83819000.0|-33142000.0|14580000.0|2919079000.0|0.0|187232000.0|-14918000.0|0.0|-80432000.0|18353000.0|65057000.0|-11940000.0|-11544000.0|39396000.0|-63580000.0|-58101000.0|-11544000.0|-93829000.0|-2424000.0|79039000.0|824986000.0|745947000.0|187232000.0|14918000.0|172314000.0|2011-12-31|2011-12-31|2012-03-31|KLAC|Q2|642482000.0|272855000.0|369627000.0|0.5753110592981593|116363000.0|93801000.0|0.0|272855000.0|210164000.0|483019000.0|13296000.0|23267000.0|182730000.0|0.284412637241|159463000.0|0.24819839310699998|740000.0|146907000.0|0.22865543314800002|36110000.0|110797000.0|0.17245152393399998|0.67|0.65|166513000.0|169650000.0|2011-12-31|2011-12-31|2012-03-31|1.009|0.5154840567837383|2011-08-05|1|2011-08-05|1
