|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2013-07-01|32.23|32.56|31.65|32.52|2833066|USD|374|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-02|32.52|33.12|32.42|32.97|1824506|USD|375|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-03|32.75|33.76|32.64|33.68|1600890|USD|376|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-05|33.72|33.81|33.48|33.71|1164588|USD|377|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-08|33.72|34.1|33.64|33.81|1600290|USD|378|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-09|34.0|34.13|33.92|34.02|1901796|USD|379|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-10|34.05|34.16|33.43|33.86|1601742|USD|380|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-11|34.46|34.6|34.24|34.58|1814134|USD|381|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-12|34.64|34.66|34.09|34.54|1173928|USD|382|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
2013-07-15|34.57|34.92|34.51|34.81|1165390|USD|383|LBTYK|Q2|2125000000.0|621700000.0|2746700000.0|1533800000.0|0.0|733900000.0|5014400000.0|22779000000.0|22382300000.0|6074800000.0|28457100000.0|1336000000.0|0.0|6119100000.0|58691200000.0|7456000000.0|63705600000.0|1203000000.0|845000000.0|461600000.0|1272200000.0|3369500000.0|7151300000.0|41059200000.0|0.0|1539700000.0|3947700000.0|46546600000.0|-2036300000.0|51661600000.0|0.0|-2361300000.0|1127300000.0|13278000000.0|12044000000.0|63705600000.0|1957700000.0|41904200000.0|39779200000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-12877300000.0|-1204200000.0|-256900000.0|-107600000.0|0.0|0.0|0.0|0.0|-2136900000.0|0.0|-1745300000.0|-94500000.0|-4065200000.0|2866100000.0|0.0|-14525100000.0|-15818700000.0|105300000.0|0.0|2866100000.0|-524400000.0|9257800000.0|11704800000.0|35000000.0|-7295900000.0|2125000000.0|9420900000.0|-1745300000.0|94500000.0|-1839800000.0|2013-06-30|2013-06-30|2013-09-30|LBTYK|Q2|-2629700000.0|2388500000.0|241200000.0|-0.09172148914324828|0.0|-443600000.0|0.0|961200000.0|517600000.0|-3137300000.0|-58500000.0|-1204200000.0|-696600000.0|0.264897136556|507600000.0|-0.193025820436|-185100000.0|322500000.0|-0.12263756322000001|232600000.0|-12920500000.0|4.91329809484|0.13|0.13|0.0|0.0|2013-06-30|2013-06-30|2013-09-30
