Unnamed: 0|Unnamed: 0.1|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date_x.1|Start Date|End Date|prctChangeOPEN|TargetProbability|Date_y.1|No_Articles_x|Date|No_Articles_y
0|2012-01-03|47.5|48.71|46.88|47.03|2332638|USD|0|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.014|0.6631482760628055|2010-04-10|1|2010-04-10|1
1|2012-01-04|48.17|51.25|48.15|51.15|7477100|USD|1|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.055|0.6470682263020652|2010-04-15|1|2010-04-15|1
2|2012-01-05|50.84|52.53|50.14|52.1|4089535|USD|2|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.026|0.6360739489665379|2010-04-17|1|2010-04-17|1
3|2012-01-06|52.16|53.94|51.8|53.68|4564076|USD|3|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.02|0.6207658570666728|2010-05-25|1|2010-05-25|1
4|2012-01-09|53.18|54.08|52.42|53.44|2973872|USD|4|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.128|0.5957846948894415|2010-06-10|1|2010-06-10|1
5|2012-01-10|59.99|62.25|59.15|59.87|13783726|USD|5|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|0.988|0.5758291421004438|2010-06-17|1|2010-06-17|1
6|2012-01-11|59.28|61.38|58.5|60.57|4372416|USD|6|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.015|0.6090804614820439|2010-07-03|1|2010-07-03|1
7|2012-01-12|60.14|61.73|59.93|61.24|3367620|USD|7|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.015|0.5851293451618422|2010-09-10|2|2010-09-10|2
8|2012-01-13|61.06|62.12|60.76|61.96|2815159|USD|8|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|1.022|0.5899389163309092|2010-09-20|1|2010-09-20|1
9|2012-01-17|62.39|62.68|60.55|60.68|2704073|USD|9|LULU|Q3|276946000.0|0.0|276946000.0|10814000.0|129169000.0|0.0|416929000.0|153119000.0|0.0|0.0|32351000.0|0.0|0.0|0.0|185470000.0|0.0|602399000.0|6040000.0|0.0|0.0|18350000.0|0.0|24390000.0|18549000.0|0.0|0.0|0.0|18549000.0|0.0|0.0|547000.0|300201000.0|21831000.0|0.0|0.0|602399000.0|0.0|18549000.0|-258397000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|38794000.0|7327000.0|31000.0|2679000.0|52031000.0|0.0|-40831000.0|1465000.0|392539000.0|0.0|33991000.0|-13366000.0|0.0|0.0|0.0|0.0|-19020000.0|0.0|0.0|0.0|0.0|0.0|2379000.0|0.0|12218000.0|276946000.0|264728000.0|33991000.0|13366000.0|20625000.0|2011-10-30|2011-10-30|2012-01-29|LULU|Q3|230216000.0|101721000.0|128495000.0|0.5581497376376968|0.0|68774000.0|0.0|619000.0|68774000.0|170495000.0|0.0|7327000.0|67048000.0|0.2912395315703513|59721000.0|0.2594128991903256|619000.0|60340000.0|0.2621016784237412|21398000.0|38942000.0|0.16915418563436074|0.0|0.0|143826000.0|145698000.0|2011-10-30|2011-10-30|2012-01-29|0.977|0.5787005209545966|2010-09-24|1|2010-09-24|1
