Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|15.78|16.18|15.63|16.01|885624|USD|0
2012-01-04|15.86|16.17|15.72|16.17|629157|USD|1
2012-01-05|15.95|16.5|15.82|16.5|802427|USD|2
2012-01-06|16.46|16.96|15.88|16.9|1570620|USD|3
2012-01-09|17.0|17.86|16.78|17.68|1448241|USD|4
2012-01-10|17.86|18.0|17.13|17.44|1212774|USD|5
2012-01-11|17.44|17.72|17.01|17.58|1548183|USD|6
2012-01-12|17.53|18.0|17.4|17.6|1588324|USD|7
2012-01-13|17.39|17.53|16.44|17.16|2204741|USD|8
2012-01-17|17.29|17.6|17.03|17.19|934235|USD|9
2012-01-18|17.54|19.72|17.52|18.98|3587885|USD|10
2012-01-19|19.19|19.63|18.83|19.24|3272527|USD|11
2012-01-20|19.0|20.63|18.94|20.55|2046587|USD|12
2012-01-23|20.41|20.67|20.12|20.55|1392253|USD|13
2012-01-24|20.45|21.84|20.25|21.75|1799464|USD|14
2012-01-25|21.94|22.0|21.02|21.04|1607610|USD|15
2012-01-26|21.7|21.75|21.07|21.3|2012666|USD|16
2012-01-27|21.12|21.9|21.08|21.77|873054|USD|17
2012-01-30|21.23|21.23|20.44|20.87|1267418|USD|18
2012-01-31|21.09|21.78|21.02|21.23|1296684|USD|19
2012-02-01|21.6|22.35|21.48|22.07|1255230|USD|20
2012-02-02|22.34|22.55|21.95|22.05|1061244|USD|21
2012-02-03|22.6|23.04|22.26|22.75|1697591|USD|22
2012-02-06|22.53|22.68|21.68|21.74|1433543|USD|23
2012-02-07|21.65|22.01|21.03|21.78|1215288|USD|24
2012-02-08|21.96|22.19|21.73|21.88|733245|USD|25
2012-02-09|21.85|22.07|21.46|21.99|1084144|USD|26
2012-02-10|23.17|23.44|21.54|21.63|2873472|USD|27
2012-02-13|22.15|22.67|21.71|22.62|1855160|USD|28
2012-02-14|22.37|23.9|22.37|23.65|1786879|USD|29
2012-02-15|23.88|25.04|23.4|24.95|2710321|USD|30
2012-02-16|24.8|25.91|24.71|25.83|1955879|USD|31
2012-02-17|25.83|25.83|24.87|25.37|1671997|USD|32
2012-02-21|25.46|25.46|24.05|24.25|1213886|USD|33
2012-02-22|24.03|24.2|23.12|23.65|1324478|USD|34
2012-02-23|23.6|24.74|22.7|24.55|1926758|USD|35
2012-02-24|24.94|25.3|24.55|24.98|2319266|USD|36
2012-02-27|24.55|24.98|24.22|24.89|1587812|USD|37
2012-02-28|24.76|25.2|24.72|25.09|1578831|USD|38
2012-02-29|25.16|25.21|24.64|24.8|1444066|USD|39
2012-03-01|24.9|25.39|24.22|24.29|1303384|USD|40
2012-03-02|24.19|24.68|23.5|23.59|1194266|USD|41
2012-03-05|23.64|23.65|22.75|23.05|1195672|USD|42
2012-03-06|22.75|22.82|22.05|22.55|2308320|USD|43
2012-03-07|22.69|24.17|22.55|23.47|2058647|USD|44
