|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|24.24|24.27|23.52|23.64|5587716|USD|0|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-04|23.64|24.19|23.52|23.81|5613612|USD|1|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-05|24.02|25.3|23.88|25.21|10055752|USD|2|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-06|25.23|25.46|25.06|25.37|4871726|USD|3|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-09|25.41|25.42|25.09|25.19|4782746|USD|4|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-10|25.39|25.4|25.01|25.16|5283690|USD|5|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-11|25.18|25.39|25.11|25.35|3297664|USD|6|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-12|25.41|25.62|25.36|25.57|3638228|USD|7|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-13|25.49|25.75|25.43|25.57|2990574|USD|8|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
2012-01-17|25.8|26.03|25.68|25.83|3670220|USD|9|ROST|Q3|552924000.0|298000.0|553222000.0|62384000.0|1233616000.0|171262000.0|1958100000.0|1088244000.0|0.0|0.0|0.0|5984000.0|-111516000.0|241132000.0|1223844000.0|135600000.0|3181944000.0|759708000.0|0.0|1628000.0|19914000.0|507736000.0|1269072000.0|150000000.0|0.0|-111516000.0|204105000.0|242589000.0|223032000.0|1734693000.0|1145000.0|730056000.0|535000.0|715515000.0|1447251000.0|3181944000.0|6282000.0|150000000.0|-402924000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|143969000.0|39921000.0|9416000.0|11131000.0|-16103000.0|0.0|-44093000.0|50565000.0|689028000.0|0.0|252026000.0|-85629000.0|0.0|-112506000.0|0.0|120263000.0|-77872000.0|75559000.0|3738000.0|-112506000.0|-25366000.0|3926000.0|-133946000.0|0.0|40208000.0|552924000.0|512716000.0|252026000.0|85629000.0|166397000.0|2011-10-29|2011-10-29|2012-01-28|ROST|Q3|2046427000.0|1490213000.0|556214000.0|0.2717976258131856|0.0|332226000.0|0.0|0.0|332226000.0|1825004000.0|0.0|39921000.0|261344000.0|0.127707462812|221423000.0|0.10819980385299999|0.0|221423000.0|0.10819980385299999|77454000.0|143969000.0|0.0703513978266|1.29|1.27|113562000.0|115552000.0|2011-10-29|2011-10-29|2012-01-28
