|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date
2012-01-03|23.43|23.52|22.64|22.64|12923554|USD|0|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-04|22.7|23.32|22.64|23.09|13892148|USD|1|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-05|23.09|23.2|22.77|23.18|9732780|USD|2|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-06|23.19|23.45|23.11|23.36|8105486|USD|3|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-09|23.36|23.4|23.14|23.3|7262744|USD|4|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-10|23.53|23.64|23.2|23.41|7868346|USD|5|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-11|23.32|23.61|23.23|23.56|8200930|USD|6|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-12|23.66|23.82|23.52|23.8|8973490|USD|7|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-13|23.75|23.8|23.47|23.68|9538494|USD|8|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
2012-01-17|23.97|24.0|23.77|23.86|7536506|USD|9|SBUX|Q1|1569600000.0|703600000.0|2273200000.0|431000000.0|1124000000.0|408900000.0|4237100000.0|2347300000.0|337100000.0|0.0|337000000.0|146100000.0|228800000.0|876300000.0|3598500000.0|914000000.0|7835600000.0|365900000.0|0.0|0.0|673800000.0|1119100000.0|2158800000.0|549500000.0|0.0|228800000.0|352000000.0|1130300000.0|-226300000.0|3062800000.0|800000.0|4551200000.0|42100000.0|178700000.0|4772800000.0|7835600000.0|849700000.0|549500000.0|-1020100000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|382200000.0|143600000.0|-30000000.0|39800000.0|359200000.0|0.0|-157700000.0|-178200000.0|2078300000.0|0.0|466300000.0|-153500000.0|-29700000.0|-637800000.0|0.0|801300000.0|-19700000.0|0.0|40000000.0|-15700000.0|-126800000.0|115900000.0|-26600000.0|1500000.0|421500000.0|1569600000.0|1148100000.0|466300000.0|153500000.0|312800000.0|2012-01-01|2012-01-01|2012-04-01|SBUX|Q1|3435900000.0|1496100000.0|1939800000.0|0.5645682353968392|0.0|191500000.0|0.0|2733000000.0|191500000.0|1687600000.0|8600000.0|143600000.0|699600000.0|0.203614773422|556000000.0|0.16182077476099999|23000000.0|570600000.0|0.166070025321|30000000.0|382100000.0|0.111208125964|0.51|0.5|747900000.0|768500000.0|2012-01-01|2012-01-01|2012-04-01
