Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.84|1.88|1.83|1.86|44067276|USD|0
2012-01-04|1.85|1.92|1.8|1.83|69355312|USD|1
2012-01-05|1.9|2.04|1.88|2.04|121839024|USD|2
2012-01-06|2.05|2.06|1.97|2.0|46052312|USD|3
2012-01-09|2.02|2.08|2.0|2.04|75565264|USD|4
2012-01-10|2.07|2.09|2.04|2.05|59659096|USD|5
2012-01-11|2.04|2.06|2.02|2.04|36889784|USD|6
2012-01-12|2.05|2.12|2.04|2.11|71261808|USD|7
2012-01-13|2.11|2.17|2.11|2.14|81275056|USD|8
2012-01-17|2.16|2.19|2.14|2.16|65423200|USD|9
2012-01-18|2.13|2.17|2.13|2.16|63145392|USD|10
2012-01-19|2.16|2.18|2.14|2.15|63362504|USD|11
2012-01-20|2.15|2.15|2.08|2.1|56976928|USD|12
2012-01-23|2.04|2.12|2.03|2.1|49935956|USD|13
2012-01-24|2.09|2.15|2.07|2.08|40936756|USD|14
2012-01-25|2.1|2.1|2.06|2.08|72228456|USD|15
2012-01-26|2.1|2.12|2.06|2.08|91136584|USD|16
2012-01-27|2.05|2.07|2.04|2.04|55812192|USD|17
2012-01-30|2.03|2.04|2.0|2.03|75043920|USD|18
2012-01-31|2.05|2.09|2.03|2.08|66841512|USD|19
2012-02-01|2.1|2.16|2.09|2.14|74000208|USD|20
2012-02-02|2.16|2.16|2.11|2.12|30994026|USD|21
2012-02-03|2.14|2.16|2.13|2.15|67181864|USD|22
2012-02-06|2.14|2.16|2.13|2.15|27930256|USD|23
2012-02-07|2.13|2.14|2.09|2.12|57474492|USD|24
2012-02-08|2.12|2.19|2.1|2.19|104175312|USD|25
2012-02-09|2.16|2.2|2.13|2.19|114360528|USD|26
2012-02-10|2.14|2.19|2.13|2.15|49788396|USD|27
2012-02-13|2.15|2.16|2.13|2.15|30155588|USD|28
2012-02-14|2.14|2.17|2.13|2.15|35055016|USD|29
2012-02-15|2.16|2.18|2.14|2.14|40130504|USD|30
2012-02-16|2.14|2.16|2.14|2.15|18968312|USD|31
2012-02-17|2.15|2.16|2.13|2.15|33294960|USD|32
2012-02-21|2.14|2.15|2.11|2.12|40007600|USD|33
2012-02-22|2.11|2.12|2.08|2.09|54145784|USD|34
2012-02-23|2.1|2.12|2.09|2.1|36590304|USD|35
2012-02-24|2.1|2.2|2.09|2.2|115626328|USD|36
2012-02-27|2.19|2.25|2.17|2.23|63727636|USD|37
2012-02-28|2.24|2.25|2.17|2.21|55313260|USD|38
2012-02-29|2.25|2.28|2.23|2.26|93896456|USD|39
2012-03-01|2.27|2.28|2.23|2.23|47316416|USD|40
2012-03-02|2.23|2.34|2.22|2.31|104398656|USD|41
2012-03-05|2.34|2.35|2.25|2.25|50428816|USD|42
2012-03-06|2.23|2.24|2.2|2.21|48754428|USD|43
2012-03-07|2.23|2.26|2.22|2.25|25199374|USD|44
2012-03-08|2.26|2.3|2.26|2.29|43292376|USD|45
2012-03-09|2.33|2.36|2.32|2.35|64074232|USD|46
2012-03-12|2.35|2.35|2.29|2.32|36635504|USD|47
2012-03-13|2.34|2.34|2.28|2.29|49336104|USD|48
2012-03-14|2.3|2.31|2.28|2.29|21376178|USD|49
2012-03-15|2.29|2.3|2.27|2.28|27787160|USD|50
2012-03-16|2.27|2.28|2.26|2.26|27871024|USD|51
2012-03-19|2.26|2.28|2.25|2.27|21903456|USD|52
2012-03-20|2.25|2.28|2.25|2.26|21137452|USD|53
2012-03-21|2.26|2.27|2.25|2.26|9825461|USD|54
2012-03-22|2.26|2.27|2.25|2.27|13236091|USD|55
2012-03-23|2.26|2.27|2.25|2.26|15500576|USD|56
2012-03-26|2.26|2.28|2.23|2.25|52620948|USD|57
2012-03-27|2.24|2.26|2.2|2.25|75270048|USD|58
2012-03-28|2.25|2.27|2.23|2.24|40812420|USD|59
2012-03-29|2.24|2.25|2.2|2.21|54658284|USD|60
2012-03-30|2.28|2.33|2.26|2.31|112852368|USD|61
2012-04-02|2.31|2.41|2.3|2.4|140953632|USD|62
2012-04-03|2.36|2.39|2.31|2.33|105015808|USD|63
2012-04-04|2.3|2.33|2.24|2.29|94894104|USD|64
2012-04-05|2.28|2.35|2.28|2.35|60999424|USD|65
2012-04-09|2.31|2.34|2.29|2.33|32605380|USD|66
2012-04-10|2.32|2.33|2.19|2.22|76080200|USD|67
2012-04-11|2.27|2.28|2.23|2.25|35796840|USD|68
2012-04-12|2.24|2.26|2.23|2.26|35032040|USD|69
2012-04-13|2.24|2.25|2.22|2.23|22630682|USD|70
2012-04-16|2.23|2.25|2.15|2.17|61396308|USD|71
2012-04-17|2.19|2.26|2.18|2.24|56156888|USD|72
2012-04-18|2.21|2.27|2.21|2.27|30766246|USD|73
2012-04-19|2.26|2.27|2.21|2.23|35521900|USD|74
2012-04-20|2.23|2.24|2.2|2.23|46576512|USD|75
2012-04-23|2.2|2.21|2.11|2.14|49851012|USD|76
2012-04-24|2.17|2.2|2.16|2.19|40985620|USD|77
2012-04-25|2.22|2.22|2.19|2.21|22566668|USD|78
2012-04-26|2.2|2.22|2.15|2.2|32880570|USD|79
2012-04-27|2.2|2.24|2.16|2.21|39673256|USD|80
2012-04-30|2.21|2.27|2.21|2.25|51685292|USD|81
2012-05-01|2.26|2.31|2.21|2.23|99041584|USD|82
2012-05-02|2.24|2.27|2.21|2.25|42908736|USD|83
2012-05-03|2.23|2.25|2.18|2.21|37081296|USD|84
2012-05-04|2.19|2.24|2.13|2.16|88074744|USD|85
2012-05-07|2.13|2.18|2.11|2.17|92897728|USD|86
2012-05-08|2.24|2.25|2.07|2.14|160538272|USD|87
2012-05-09|2.12|2.19|2.07|2.18|144002656|USD|88
2012-05-10|2.2|2.21|2.12|2.17|91606216|USD|89
2012-05-11|2.17|2.18|2.12|2.12|36654608|USD|90
2012-05-14|2.08|2.11|1.97|2.02|92140680|USD|91
2012-05-15|2.02|2.02|1.97|1.98|86497200|USD|92
2012-05-16|1.96|2.02|1.96|1.96|62255148|USD|93
2012-05-17|1.95|1.97|1.78|1.83|176573456|USD|94
2012-05-18|1.8|1.9|1.79|1.89|97471120|USD|95
2012-05-21|1.85|1.98|1.83|1.98|56664272|USD|96
2012-05-22|2.01|2.02|1.89|1.96|53459064|USD|97
2012-05-23|1.92|2.0|1.91|1.99|46219688|USD|98
2012-05-24|1.97|1.99|1.95|1.99|25381656|USD|99
2012-05-25|1.97|1.97|1.92|1.93|19853664|USD|100
2012-05-29|1.95|1.96|1.9|1.93|30794408|USD|101
2012-05-30|1.9|1.91|1.84|1.89|42631304|USD|102
2012-05-31|1.91|1.93|1.86|1.89|56843052|USD|103
2012-06-01|1.85|1.94|1.83|1.84|34021200|USD|104
2012-06-04|1.84|1.9|1.84|1.9|35088912|USD|105
2012-06-05|1.86|1.9|1.86|1.89|30780580|USD|106
2012-06-06|1.9|1.92|1.9|1.92|29312408|USD|107
2012-06-07|1.91|1.95|1.86|1.86|36693016|USD|108
2012-06-08|1.85|1.9|1.85|1.86|16212215|USD|109
2012-06-11|1.87|1.88|1.86|1.86|12338016|USD|110
2012-06-12|1.87|1.89|1.85|1.86|19714204|USD|111
2012-06-13|1.86|1.88|1.81|1.82|32213250|USD|112
2012-06-14|1.82|1.86|1.8|1.85|32808248|USD|113
2012-06-15|1.84|1.87|1.82|1.87|37764364|USD|114
2012-06-18|1.85|1.86|1.81|1.83|41876088|USD|115
2012-06-19|1.82|1.92|1.81|1.91|55735336|USD|116
2012-06-20|1.9|1.92|1.88|1.92|22354712|USD|117
2012-06-21|1.91|1.92|1.87|1.88|35704792|USD|118
2012-06-22|1.87|1.92|1.87|1.89|41136944|USD|119
2012-06-25|1.89|1.9|1.8|1.81|48701896|USD|120
2012-06-26|1.82|1.85|1.82|1.83|23486628|USD|121
2012-06-27|1.83|1.89|1.83|1.87|17438548|USD|122
2012-06-28|1.85|1.87|1.84|1.86|18569304|USD|123
2012-06-29|1.88|1.89|1.82|1.85|37079136|USD|124
2012-07-02|1.84|1.99|1.84|1.99|67844536|USD|125
2012-07-03|1.99|2.08|1.98|2.04|53607896|USD|126
2012-07-05|2.04|2.13|2.04|2.09|52421104|USD|127
2012-07-06|2.08|2.09|2.02|2.04|29737024|USD|128
2012-07-09|2.11|2.12|2.05|2.08|49087940|USD|129
2012-07-10|2.08|2.09|2.02|2.04|43589396|USD|130
2012-07-11|2.04|2.07|2.02|2.03|23087620|USD|131
2012-07-12|2.01|2.08|1.99|2.06|38368760|USD|132
2012-07-13|2.06|2.1|2.01|2.05|45088040|USD|133
2012-07-16|2.04|2.08|2.04|2.07|30744644|USD|134
2012-07-17|2.08|2.1|2.02|2.08|49843336|USD|135
2012-07-18|2.08|2.13|2.07|2.11|37493876|USD|136
2012-07-19|2.12|2.16|2.1|2.11|46911916|USD|137
2012-07-20|2.12|2.13|2.08|2.1|44160312|USD|138
2012-07-23|2.06|2.1|2.06|2.08|21794408|USD|139
2012-07-24|2.07|2.08|2.03|2.04|17295204|USD|140
2012-07-25|2.05|2.11|2.04|2.08|42978796|USD|141
2012-07-26|2.11|2.12|2.08|2.1|51842176|USD|142
2012-07-27|2.12|2.17|2.1|2.16|68744864|USD|143
2012-07-30|2.18|2.2|2.15|2.19|32261074|USD|144
2012-07-31|2.19|2.2|2.14|2.16|25607032|USD|145
2012-08-01|2.18|2.18|2.09|2.15|34384520|USD|146
2012-08-02|2.14|2.16|2.1|2.11|31491054|USD|147
2012-08-03|2.13|2.17|2.12|2.16|31141184|USD|148
2012-08-06|2.17|2.23|2.17|2.2|67440664|USD|149
2012-08-07|2.25|2.34|2.22|2.3|191528576|USD|150
2012-08-08|2.28|2.51|2.28|2.48|325221888|USD|151
2012-08-09|2.49|2.49|2.33|2.4|121589416|USD|152
2012-08-10|2.38|2.49|2.37|2.48|137657776|USD|153
2012-08-13|2.49|2.52|2.48|2.5|75479584|USD|154
2012-08-14|2.52|2.54|2.47|2.53|83452920|USD|155
2012-08-15|2.56|2.57|2.48|2.55|81718792|USD|156
2012-08-16|2.55|2.6|2.51|2.59|85855336|USD|157
2012-08-17|2.6|2.6|2.55|2.56|35728168|USD|158
2012-08-20|2.6|2.64|2.56|2.56|68035632|USD|159
2012-08-21|2.6|2.62|2.56|2.57|36490160|USD|160
2012-08-22|2.56|2.58|2.55|2.56|22930480|USD|161
2012-08-23|2.54|2.54|2.48|2.5|46559872|USD|162
2012-08-24|2.48|2.55|2.47|2.54|47146528|USD|163
2012-08-27|2.55|2.56|2.5|2.54|98675904|USD|164
2012-08-28|2.54|2.55|2.52|2.53|35931292|USD|165
2012-08-29|2.52|2.55|2.51|2.54|41354384|USD|166
2012-08-30|2.53|2.54|2.51|2.54|36268884|USD|167
2012-08-31|2.51|2.54|2.49|2.53|46258220|USD|168
2012-09-04|2.52|2.55|2.51|2.54|39627492|USD|169
2012-09-05|2.54|2.55|2.49|2.52|29522050|USD|170
2012-09-06|2.53|2.56|2.52|2.54|32701518|USD|171
2012-09-07|2.54|2.56|2.5|2.53|54965032|USD|172
2012-09-10|2.51|2.53|2.5|2.51|26044552|USD|173
2012-09-11|2.49|2.51|2.46|2.5|73609504|USD|174
2012-09-12|2.5|2.5|2.4|2.42|93766224|USD|175
2012-09-13|2.4|2.49|2.38|2.48|69193248|USD|176
2012-09-14|2.49|2.52|2.44|2.47|52613232|USD|177
2012-09-17|2.44|2.45|2.38|2.39|53669264|USD|178
2012-09-18|2.37|2.43|2.33|2.43|97448576|USD|179
2012-09-19|2.42|2.49|2.41|2.49|74679408|USD|180
2012-09-20|2.47|2.59|2.43|2.57|117410152|USD|181
2012-09-21|2.56|2.58|2.53|2.54|62655528|USD|182
2012-09-24|2.53|2.54|2.5|2.5|43077200|USD|183
2012-09-25|2.51|2.53|2.47|2.48|66968720|USD|184
2012-09-26|2.47|2.52|2.44|2.5|72935832|USD|185
2012-09-27|2.51|2.6|2.51|2.58|77743760|USD|186
2012-09-28|2.58|2.6|2.54|2.59|56929200|USD|187
2012-10-01|2.59|2.62|2.56|2.56|59937796|USD|188
2012-10-02|2.65|2.68|2.6|2.62|89117032|USD|189
2012-10-03|2.65|2.73|2.64|2.73|92607944|USD|190
2012-10-04|2.75|2.75|2.68|2.7|43013368|USD|191
2012-10-05|2.7|2.73|2.64|2.69|52142736|USD|192
2012-10-08|2.67|2.69|2.65|2.67|31861804|USD|193
2012-10-09|2.69|2.71|2.63|2.63|88306224|USD|194
2012-10-10|2.65|2.76|2.64|2.75|224157824|USD|195
2012-10-11|2.77|2.79|2.73|2.73|73285696|USD|196
2012-10-12|2.74|2.78|2.7|2.78|57938072|USD|197
2012-10-15|2.78|2.8|2.76|2.8|59002136|USD|198
2012-10-16|2.81|2.85|2.78|2.84|87593736|USD|199
2012-10-17|2.86|2.86|2.8|2.83|62085436|USD|200
2012-10-18|2.84|2.97|2.82|2.94|174367968|USD|201
2012-10-19|2.95|2.97|2.88|2.92|137924768|USD|202
2012-10-22|2.94|2.95|2.85|2.91|73925728|USD|203
2012-10-23|2.88|2.88|2.8|2.87|47708824|USD|204
2012-10-24|2.85|2.93|2.84|2.89|82832304|USD|205
2012-10-25|2.92|2.92|2.79|2.85|101791840|USD|206
2012-10-26|2.85|2.89|2.81|2.82|73283088|USD|207
2012-10-31|2.84|2.84|2.74|2.8|60666216|USD|208
2012-11-01|2.81|2.96|2.81|2.81|126075656|USD|209
2012-11-02|2.85|2.94|2.84|2.9|68394504|USD|210
2012-11-05|2.9|2.9|2.82|2.83|56486480|USD|211
2012-11-06|2.86|2.86|2.8|2.81|58531108|USD|212
2012-11-07|2.79|2.8|2.67|2.74|104087192|USD|213
2012-11-08|2.75|2.78|2.66|2.67|62959712|USD|214
2012-11-09|2.74|2.78|2.69|2.75|64404304|USD|215
2012-11-12|2.77|2.81|2.75|2.78|49176836|USD|216
2012-11-13|2.75|2.84|2.74|2.79|85218088|USD|217
2012-11-14|2.8|2.8|2.68|2.7|67156704|USD|218
2012-11-15|2.71|2.72|2.55|2.65|123923264|USD|219
2012-11-16|2.64|2.71|2.6|2.69|85725200|USD|220
2012-11-19|2.71|2.74|2.69|2.7|81250808|USD|221
2012-11-20|2.7|2.79|2.7|2.77|80772368|USD|222
2012-11-21|2.78|2.82|2.72|2.73|58311136|USD|223
2012-11-23|2.76|2.8|2.76|2.78|18814712|USD|224
2012-11-26|2.76|2.8|2.76|2.76|51314332|USD|225
2012-11-27|2.75|2.78|2.69|2.7|58040520|USD|226
2012-11-28|2.7|2.75|2.67|2.7|103141680|USD|227
2012-11-29|2.72|2.75|2.71|2.74|55847484|USD|228
2012-11-30|2.76|2.79|2.75|2.77|82226712|USD|229
2012-12-03|2.79|2.83|2.79|2.8|56158144|USD|230
2012-12-04|2.82|2.85|2.73|2.76|100897608|USD|231
2012-12-05|2.78|2.81|2.73|2.77|89687872|USD|232
2012-12-06|2.85|2.85|2.79|2.79|120929816|USD|233
2012-12-07|2.81|2.82|2.75|2.75|74771240|USD|234
2012-12-10|2.78|2.78|2.73|2.74|44711752|USD|235
2012-12-11|2.75|2.78|2.72|2.73|57753792|USD|236
2012-12-12|2.74|2.79|2.72|2.78|41906696|USD|237
2012-12-13|2.78|2.82|2.74|2.77|66917228|USD|238
2012-12-14|2.75|2.93|2.68|2.91|121952464|USD|239
2012-12-17|2.86|2.93|2.85|2.92|85320056|USD|240
2012-12-18|2.97|3.01|2.94|2.96|89536664|USD|241
2012-12-19|2.97|3.0|2.9|2.96|125925680|USD|242
2012-12-20|2.95|3.0|2.94|2.99|46522780|USD|243
2012-12-21|2.92|2.97|2.9|2.94|57791168|USD|244
2012-12-24|2.93|2.95|2.93|2.95|15452417|USD|245
2012-12-26|2.94|2.96|2.92|2.92|19110966|USD|246
2012-12-27|2.93|2.95|2.9|2.9|29660108|USD|247
2012-12-28|2.89|2.92|2.88|2.89|33521532|USD|248
2012-12-31|2.88|2.91|2.88|2.89|47769260|USD|249
2013-01-02|2.95|3.04|2.95|3.02|84920408|USD|250
2013-01-03|3.04|3.1|2.99|3.08|80584912|USD|251
2013-01-04|3.09|3.15|3.06|3.1|107412320|USD|252
2013-01-07|3.11|3.12|3.06|3.08|49237612|USD|253
2013-01-08|3.07|3.14|3.06|3.14|72547216|USD|254
2013-01-09|3.15|3.16|3.09|3.12|71474944|USD|255
2013-01-10|3.14|3.19|3.12|3.13|83789368|USD|256
2013-01-11|3.12|3.18|3.11|3.16|142625728|USD|257
2013-01-14|3.15|3.18|3.14|3.15|88397016|USD|258
2013-01-15|3.15|3.16|3.14|3.14|39529668|USD|259
2013-01-16|3.14|3.16|3.12|3.12|28336046|USD|260
2013-01-17|3.14|3.16|3.13|3.15|38342360|USD|261
2013-01-18|3.19|3.19|3.15|3.16|39746120|USD|262
2013-01-22|3.17|3.17|3.13|3.15|45634824|USD|263
2013-01-23|3.14|3.15|3.11|3.12|37916048|USD|264
2013-01-24|3.12|3.12|3.08|3.09|65253344|USD|265
2013-01-25|3.11|3.15|3.09|3.15|33794996|USD|266
2013-01-28|3.15|3.16|3.12|3.15|30619090|USD|267
2013-01-29|3.15|3.15|3.12|3.13|30078072|USD|268
2013-01-30|3.13|3.18|3.12|3.15|44489168|USD|269
2013-01-31|3.14|3.18|3.13|3.14|38961332|USD|270
2013-02-01|3.17|3.25|3.16|3.23|82598992|USD|271
2013-02-04|3.23|3.24|3.16|3.17|55860516|USD|272
2013-02-05|3.13|3.21|3.11|3.2|116697456|USD|273
2013-02-06|3.2|3.2|3.15|3.16|49055720|USD|274
2013-02-07|3.13|3.16|3.1|3.15|63167084|USD|275
2013-02-08|3.17|3.17|3.11|3.12|51071968|USD|276
2013-02-11|3.13|3.16|3.13|3.14|40721384|USD|277
2013-02-12|3.14|3.2|3.13|3.19|91225712|USD|278
2013-02-13|3.2|3.23|3.19|3.2|42958212|USD|279
2013-02-14|3.18|3.21|3.17|3.17|36539228|USD|280
