Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|11.73|12.52|11.66|12.36|5021431|USD|0
2012-01-04|12.16|12.31|11.55|11.57|6093929|USD|1
2012-01-05|11.0|11.08|10.34|10.54|7372157|USD|2
2012-01-06|10.66|10.94|10.54|10.55|3093168|USD|3
2012-01-09|10.62|10.82|10.4|10.79|2776305|USD|4
2012-01-10|10.98|10.99|10.82|10.92|1500248|USD|5
2012-01-11|10.79|11.19|10.75|11.09|1937098|USD|6
2012-01-12|11.12|11.32|11.03|11.27|1648387|USD|7
2012-01-13|11.12|11.12|10.92|10.99|1500385|USD|8
2012-01-17|11.19|11.19|10.79|11.04|1612564|USD|9
2012-01-18|11.02|11.45|10.96|11.42|1537260|USD|10
2012-01-19|11.44|11.83|11.4|11.75|2227305|USD|11
2012-01-20|11.74|11.8|11.46|11.48|1553776|USD|12
2012-01-23|11.46|11.54|11.34|11.5|1033240|USD|13
2012-01-24|11.36|11.45|11.11|11.27|1528618|USD|14
2012-01-25|11.24|11.7|11.11|11.61|3018094|USD|15
2012-01-26|11.65|11.83|11.41|11.55|2728940|USD|16
2012-01-27|11.45|11.71|11.38|11.5|2194994|USD|17
2012-01-30|11.36|11.59|11.3|11.57|1137224|USD|18
2012-01-31|11.63|11.67|11.23|11.63|2030529|USD|19
2012-02-01|11.73|12.11|11.63|12.0|3156481|USD|20
2012-02-02|12.03|12.24|11.95|12.13|1502191|USD|21
2012-02-03|12.3|12.7|12.19|12.42|3093997|USD|22
2012-02-06|12.32|12.66|12.23|12.65|2017556|USD|23
2012-02-07|12.57|12.63|12.46|12.57|1801260|USD|24
2012-02-08|12.55|12.74|12.48|12.62|1751182|USD|25
2012-02-09|12.63|12.79|12.55|12.7|1439426|USD|26
2012-02-10|12.55|12.92|12.5|12.91|2293487|USD|27
2012-02-13|13.04|13.15|12.9|13.11|2498063|USD|28
2012-02-14|13.04|13.21|12.94|13.15|3555932|USD|29
2012-02-15|13.19|13.24|13.03|13.2|2503464|USD|30
2012-02-16|13.27|13.69|13.24|13.62|2721183|USD|31
2012-02-17|13.67|13.74|13.46|13.61|2339220|USD|32
2012-02-21|13.61|13.73|13.4|13.57|2464545|USD|33
2012-02-22|13.63|13.78|13.45|13.53|1832741|USD|34
2012-02-23|14.49|15.63|14.32|15.4|7648566|USD|35
2012-02-24|15.62|16.01|15.62|15.81|6541820|USD|36
2012-02-27|15.91|15.99|15.41|15.57|7162705|USD|37
2012-02-28|15.56|15.62|14.33|14.5|6394160|USD|38
2012-02-29|14.13|14.13|13.23|13.56|7803407|USD|39
2012-03-01|13.56|14.36|13.36|14.31|6816077|USD|40
2012-03-02|14.04|14.13|13.73|13.9|3954434|USD|41
2012-03-05|13.4|13.5|12.96|13.11|4227805|USD|42
2012-03-06|12.83|12.91|12.59|12.7|3025162|USD|43
2012-03-07|12.77|13.38|12.66|12.96|3947620|USD|44
2012-03-08|13.13|13.17|12.87|13.12|2439189|USD|45
2012-03-09|13.15|13.41|13.13|13.38|2299338|USD|46
2012-03-12|13.38|13.44|12.84|12.94|1514678|USD|47
2012-03-13|13.06|13.29|12.99|13.15|1793960|USD|48
2012-03-14|13.12|13.27|12.74|12.87|1970122|USD|49
2012-03-15|12.95|13.33|12.79|13.08|1491403|USD|50
2012-03-16|13.15|13.41|12.99|13.29|1780043|USD|51
2012-03-19|13.15|13.38|13.04|13.16|1249181|USD|52
2012-03-20|13.13|13.19|12.92|13.06|1318429|USD|53
2012-03-21|13.11|13.15|12.9|12.91|1116829|USD|54
2012-03-22|12.83|13.0|12.73|12.83|893522|USD|55
2012-03-23|12.9|12.9|12.57|12.63|1537654|USD|56
2012-03-26|12.79|12.91|12.67|12.87|1801489|USD|57
2012-03-27|12.87|12.94|12.23|12.28|3016981|USD|58
2012-03-28|12.28|12.61|12.19|12.32|1816882|USD|59
2012-03-29|12.3|12.42|11.92|12.16|2923278|USD|60
2012-03-30|12.27|12.3|11.76|11.87|2325747|USD|61
2012-04-02|11.86|12.05|11.79|11.99|1708611|USD|62
2012-04-03|12.05|12.25|11.9|12.12|2104126|USD|63
2012-04-04|11.96|12.0|11.63|11.77|1790081|USD|64
2012-04-05|11.67|11.84|11.61|11.65|1167960|USD|65
2012-04-09|11.27|11.36|11.07|11.21|2393500|USD|66
2012-04-10|11.16|11.37|10.9|10.92|1514474|USD|67
2012-04-11|11.07|11.5|11.07|11.28|2918881|USD|68
2012-04-12|11.34|11.5|11.28|11.34|1264871|USD|69
2012-04-13|11.29|11.3|11.03|11.05|1332671|USD|70
2012-04-16|11.17|11.26|10.86|10.91|1411143|USD|71
2012-04-17|11.0|11.24|10.88|10.9|1871954|USD|72
2012-04-18|10.9|10.91|10.46|10.52|3025025|USD|73
2012-04-19|10.53|10.87|10.5|10.71|2073318|USD|74
2012-04-20|10.77|10.86|10.58|10.58|2154470|USD|75
2012-04-23|10.48|10.65|10.28|10.45|3302212|USD|76
2012-04-24|10.5|10.57|10.36|10.48|4632277|USD|77
2012-04-25|10.65|10.66|10.33|10.45|3628986|USD|78
2012-04-26|8.96|9.67|8.94|9.32|10561284|USD|79
2012-04-27|9.32|9.33|9.13|9.23|5178756|USD|80
2012-04-30|9.08|9.7|9.01|9.61|4904628|USD|81
2012-05-01|9.55|9.66|9.37|9.38|4429911|USD|82
2012-05-02|9.29|9.37|9.21|9.28|2166938|USD|83
2012-05-03|9.28|9.28|8.94|9.08|3075139|USD|84
2012-05-04|9.05|9.07|8.72|8.75|3808322|USD|85
2012-05-07|8.73|8.91|8.48|8.79|2940912|USD|86
2012-05-08|8.67|8.69|8.39|8.63|4043725|USD|87
2012-05-09|8.48|11.12|8.32|9.87|16497195|USD|88
2012-05-10|10.0|10.0|9.23|9.29|6388619|USD|89
2012-05-11|9.26|9.57|9.21|9.26|4147528|USD|90
2012-05-14|9.15|9.16|8.78|8.86|2812665|USD|91
2012-05-15|8.74|8.86|8.37|8.49|2375533|USD|92
2012-05-16|8.51|8.98|8.45|8.59|4564920|USD|93
2012-05-17|8.59|8.74|8.29|8.38|2783828|USD|94
2012-05-18|8.42|8.54|8.26|8.41|2525139|USD|95
2012-05-21|8.41|8.54|8.37|8.44|1354649|USD|96
2012-05-22|8.45|8.76|8.38|8.45|2007201|USD|97
2012-05-23|8.38|8.5|8.25|8.46|2267993|USD|98
2012-05-24|8.41|8.51|8.32|8.48|2041560|USD|99
2012-05-25|8.46|8.7|8.42|8.58|1309474|USD|100
