|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX|symbol_x|period_x|cashAndCashEquivalents|shortTermInvestments|cashAndShortTermInvestments|netReceivables|inventory_x|otherCurrentAssets|totalCurrentAssets|propertyPlantEquipmentNet|goodwill|intangibleAssets|goodwillAndIntangibleAssets|longTermInvestments|taxAssets|otherNonCurrentAssets|totalNonCurrentAssets|otherAssets|totalAssets|accountPayables|shortTermDebt|taxPayables|deferredRevenue|otherCurrentLiabilities|totalCurrentLiabilities|longTermDebt|deferredRevenueNonCurrent|deferredTaxLiabilitiesNonCurrent|otherNonCurrentLiabilities|totalNonCurrentLiabilities|otherLiabilities|totalLiabilities|commonStock|retainedEarnings|accumulatedOtherComprehensiveIncomeLoss|othertotalStockholdersEquity|totalStockholdersEquity|totalLiabilitiesAndStockholdersEquity|totalInvestments|totalDebt|netDebt|Date_x|Start Date_x|End Date_x|symbol_y|period_y|netIncome_x|depreciationAndAmortization_x|deferredIncomeTax|stockBasedCompensation|changeInWorkingCapital|accountsReceivables|inventory_y|accountsPayables|otherWorkingCapital|otherNonCashItems|netCashProvidedByOperatingActivities|investmentsInPropertyPlantAndEquipment|acquisitionsNet|purchasesOfInvestments|salesMaturitiesOfInvestments|otherInvestingActivites|netCashUsedForInvestingActivites|debtRepayment|commonStockIssued|commonStockRepurchased|dividendsPaid|otherFinancingActivites|netCashUsedProvidedByFinancingActivities|effectOfForexChangesOnCash|netChangeInCash|cashAtEndOfPeriod|cashAtBeginningOfPeriod|operatingCashFlow|capitalExpenditure|freeCashFlow|Date_y|Start Date_y|End Date_y|symbol|period|revenue|costOfRevenue|grossProfit|grossProfitRatio|researchAndDevelopmentExpenses|generalAndAdministrativeExpenses|sellingAndMarketingExpenses|otherExpenses|operatingExpenses|costAndExpenses|interestExpense|depreciationAndAmortization_y|ebitda|ebitdaratio|operatingIncome|operatingIncomeRatio|totalOtherIncomeExpensesNet|incomeBeforeTax|incomeBeforeTaxRatio|incomeTaxExpense|netIncome_y|netIncomeRatio|eps|epsdiluted|weightedAverageShsOut|weightedAverageShsOutDil|Date|Start Date|End Date|prctChangeOPEN|TargetProbability
2012-01-03|19.23|19.27|18.74|18.9|3909904|USD|0|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|0.983|0.6101090416218165
2012-01-04|18.9|19.2|18.44|18.52|5809109|USD|1|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|0.976|0.6088607857538166
2012-01-05|18.45|18.59|17.67|18.39|8124715|USD|2|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|1.003|0.6326573442161144
2012-01-06|18.5|18.55|18.17|18.21|3904488|USD|3|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|0.992|0.6170462115131322
2012-01-09|18.35|18.35|17.85|17.93|5323136|USD|4|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|0.984|0.5688180614210115
2012-01-10|18.05|18.05|17.25|17.48|10105369|USD|5|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|0.959|0.5678542941335424
2012-01-11|17.31|18.08|17.31|18.01|6210892|USD|6|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|1.04|0.586883709001972
2012-01-12|18.0|18.89|17.66|18.53|9987929|USD|7|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|1.025|0.5644235013843544
2012-01-13|18.45|18.7|18.28|18.43|5281255|USD|8|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|1.004|0.5428614432701944
2012-01-17|18.53|18.6|18.14|18.23|4511230|USD|9|UAL|FY|6246000000.0|1516000000.0|7762000000.0|1358000000.0|615000000.0|2620000000.0|10997000000.0|16419000000.0|4523000000.0|4750000000.0|9273000000.0|0.0|615000000.0|-15735000000.0|10572000000.0|16419000000.0|37988000000.0|1998000000.0|1186000000.0|24000000.0|615000000.0|8186000000.0|11394000000.0|10496000000.0|0.0|1603000000.0|1265000000.0|13364000000.0|11424000000.0|36182000000.0|3000000.0|-4863000000.0|-417000000.0|7083000000.0|1806000000.0|37988000000.0|1516000000.0|11682000000.0|5436000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|-138000000.0|375000000.0|6000000.0|-23000000.0|-485000000.0|316000000.0|0.0|176000000.0|-397000000.0|0.0|265000000.0|-190000000.0|0.0|574000000.0|0.0|-327000000.0|-517000000.0|-442000000.0|24000000.0|738000000.0|0.0|-782000000.0|-486000000.0|0.0|-738000000.0|6246000000.0|6984000000.0|265000000.0|190000000.0|75000000.0|2011-12-31|2011-12-31|2012-03-31|UAL|FY|8928000000.0|3105000000.0|5823000000.0|0.6522177419354839|0.0|1910000000.0|0.0|1493000000.0|3403000000.0|8883000000.0|218000000.0|375000000.0|420000000.0|0.047043010752699996|45000000.0|0.005040322580649999|-191000000.0|-146000000.0|-0.019025280166796974|-8000000.0|-138000000.0|-0.017982799061767002|-0.42|-0.33|329000000.0|383000000.0|2011-12-31|2011-12-31|2012-03-31|0.981|0.5519191896953772
