Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|11.43|11.45|11.06|11.24|180196|USD|0
2012-01-04|11.28|11.46|11.22|11.24|71496|USD|1
2012-01-05|11.17|11.33|11.0|11.21|99554|USD|2
2012-01-06|11.14|11.59|11.08|11.37|98392|USD|3
2012-01-09|11.38|11.38|10.94|11.16|91754|USD|4
2012-01-10|10.89|11.1|10.26|10.58|182574|USD|5
2012-01-11|10.49|10.95|10.46|10.74|106024|USD|6
2012-01-12|10.79|10.93|10.4|10.69|210122|USD|7
2012-01-13|10.6|10.72|10.21|10.62|164746|USD|8
2012-01-17|10.6|10.6|10.38|10.54|87122|USD|9
2012-01-18|10.51|10.55|10.27|10.54|91902|USD|10
2012-01-19|10.59|10.62|10.42|10.56|114688|USD|11
2012-01-20|10.57|10.69|10.43|10.54|66360|USD|12
2012-01-23|10.68|10.82|10.25|10.6|133730|USD|13
2012-01-24|10.51|10.7|10.5|10.59|238398|USD|14
2012-01-25|10.6|11.05|10.5|10.98|130230|USD|15
2012-01-26|11.08|11.1|10.67|10.88|101530|USD|16
2012-01-27|11.0|11.59|10.81|11.59|219862|USD|17
2012-01-30|11.48|11.56|11.3|11.51|79612|USD|18
2012-01-31|11.54|11.56|10.88|10.97|114494|USD|19
2012-02-01|11.06|11.06|10.13|10.45|126642|USD|20
2012-02-02|10.4|10.96|10.4|10.52|73954|USD|21
2012-02-03|10.64|10.73|10.27|10.56|66104|USD|22
2012-02-06|10.52|10.68|10.45|10.54|78578|USD|23
2012-02-07|10.55|10.7|10.38|10.58|90666|USD|24
2012-02-08|10.61|10.69|10.5|10.67|38680|USD|25
2012-02-09|10.92|11.34|10.68|10.74|73176|USD|26
2012-02-10|10.64|11.01|10.45|10.53|70292|USD|27
2012-02-13|10.51|10.69|10.35|10.62|73892|USD|28
2012-02-14|10.54|10.86|10.4|10.62|80044|USD|29
2012-02-15|10.68|10.88|10.52|10.71|86492|USD|30
2012-02-16|10.7|11.26|10.68|10.9|138512|USD|31
2012-02-17|10.98|11.12|10.88|10.89|49038|USD|32
2012-02-21|10.93|11.12|10.83|11.04|77280|USD|33
2012-02-22|11.06|11.49|10.91|11.34|98808|USD|34
2012-02-23|11.36|11.46|11.19|11.45|59226|USD|35
2012-02-24|11.47|11.69|11.44|11.6|72944|USD|36
2012-02-27|11.6|11.82|11.28|11.49|140062|USD|37
2012-02-28|11.5|11.55|11.29|11.44|47862|USD|38
2012-02-29|11.34|11.36|11.09|11.23|54482|USD|39
2012-03-01|11.35|11.62|11.21|11.61|57758|USD|40
2012-03-02|11.65|12.12|11.52|12.11|194964|USD|41
2012-03-05|12.02|12.5|11.97|12.44|114394|USD|42
2012-03-06|12.39|12.39|11.96|12.13|275988|USD|43
2012-03-07|12.15|12.15|11.35|11.51|153402|USD|44
2012-03-08|11.54|12.09|11.27|11.78|166732|USD|45
2012-03-09|11.88|12.2|11.57|12.12|129556|USD|46
2012-03-12|12.14|12.37|11.94|12.28|221272|USD|47
2012-03-13|13.15|13.5|12.8|12.97|449266|USD|48
2012-03-14|13.03|13.25|12.8|13.06|436210|USD|49
2012-03-15|13.06|13.2|13.03|13.04|253384|USD|50
2012-03-16|13.0|13.22|12.84|13.22|271180|USD|51
2012-03-19|13.21|13.34|12.54|12.54|192986|USD|52
2012-03-20|12.57|12.68|12.25|12.34|179970|USD|53
2012-03-21|12.31|12.5|12.13|12.25|69146|USD|54
2012-03-22|12.21|12.29|12.0|12.08|81222|USD|55
2012-03-23|12.03|12.11|11.89|11.98|78500|USD|56
2012-03-26|12.11|12.46|12.1|12.3|75494|USD|57
2012-03-27|12.28|12.62|12.16|12.28|136388|USD|58
2012-03-28|12.29|12.43|12.09|12.22|84560|USD|59
2012-03-29|12.25|12.35|11.97|12.3|58058|USD|60
2012-03-30|12.37|12.46|12.05|12.15|33558|USD|61
2012-04-02|12.11|12.38|12.07|12.38|30020|USD|62
2012-04-03|12.29|12.48|12.07|12.15|40396|USD|63
2012-04-04|12.03|12.06|11.12|11.49|375034|USD|64
2012-04-05|11.49|11.69|11.34|11.61|109246|USD|65
2012-04-09|11.4|11.4|11.04|11.31|62848|USD|66
2012-04-10|11.19|11.4|10.95|11.15|111344|USD|67
2012-04-11|11.16|11.34|11.09|11.12|140604|USD|68
2012-04-12|11.1|11.21|11.02|11.11|107838|USD|69
2012-04-13|11.11|11.19|10.73|11.16|194710|USD|70
2012-04-16|11.23|11.52|10.89|11.32|110604|USD|71
2012-04-17|11.38|11.87|11.27|11.35|147070|USD|72
2012-04-18|11.38|12.15|11.38|11.91|117758|USD|73
2012-04-19|11.95|12.19|11.81|11.97|76770|USD|74
2012-04-20|12.02|12.05|11.72|11.99|61504|USD|75
2012-04-23|11.76|11.89|11.46|11.84|71846|USD|76
2012-04-24|11.81|12.1|11.81|12.05|81374|USD|77
2012-04-25|12.2|12.56|11.95|12.24|153370|USD|78
2012-04-26|12.21|12.86|12.21|12.83|179008|USD|79
2012-04-27|12.77|13.17|12.51|13.09|121028|USD|80
2012-04-30|13.05|13.5|12.85|13.44|153186|USD|81
2012-05-01|13.15|14.14|13.15|14.03|162576|USD|82
2012-05-02|13.68|14.24|13.57|14.1|131622|USD|83
2012-05-03|14.01|14.2|13.86|14.17|82858|USD|84
2012-05-04|14.12|14.37|13.84|14.2|109600|USD|85
2012-05-07|14.21|14.3|13.75|14.12|174414|USD|86
2012-05-08|13.93|14.83|13.93|14.47|408086|USD|87
