Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|15.83|16.25|15.75|16.15|281808|USD|0
2012-01-04|16.0|16.39|15.94|16.18|255606|USD|1
2012-01-05|16.12|16.49|15.87|16.17|156615|USD|2
2012-01-06|16.15|16.29|15.79|15.86|344711|USD|3
2012-01-09|15.98|16.35|15.82|15.94|325569|USD|4
2012-01-10|16.21|16.96|16.06|16.93|250581|USD|5
2012-01-11|16.86|17.6|15.82|17.44|335103|USD|6
2012-01-12|17.46|17.57|16.87|17.42|215238|USD|7
2012-01-13|17.13|17.41|16.92|17.3|135142|USD|8
2012-01-17|17.44|17.47|17.08|17.31|158283|USD|9
2012-01-18|17.29|17.56|17.2|17.43|211608|USD|10
2012-01-19|16.95|17.79|16.95|17.65|238833|USD|11
2012-01-20|17.52|17.74|17.07|17.62|151484|USD|12
2012-01-23|17.64|17.76|17.16|17.21|133442|USD|13
2012-01-24|17.06|17.49|16.95|17.17|286170|USD|14
2012-01-25|17.13|17.71|16.94|17.57|193837|USD|15
2012-01-26|17.63|17.63|16.99|17.31|145689|USD|16
2012-01-27|17.16|17.43|16.99|17.29|207407|USD|17
2012-01-30|17.14|17.32|16.94|17.12|224208|USD|18
2012-01-31|17.23|17.38|16.66|17.07|165579|USD|19
2012-02-01|17.17|17.5|17.0|17.15|392852|USD|20
2012-02-02|17.15|17.67|17.05|17.58|222008|USD|21
2012-02-03|18.0|18.7|17.94|18.62|569294|USD|22
2012-02-06|18.57|18.87|18.37|18.5|154817|USD|23
2012-02-07|18.51|18.72|17.91|17.98|205250|USD|24
2012-02-08|17.98|18.73|17.88|18.61|267731|USD|25
2012-02-09|18.66|18.97|18.5|18.86|390184|USD|26
2012-02-10|18.53|18.53|17.99|18.38|286695|USD|27
2012-02-13|18.53|18.58|18.33|18.35|130986|USD|28
2012-02-14|18.2|18.2|17.52|17.98|229295|USD|29
2012-02-15|18.11|18.26|17.56|17.63|202882|USD|30
2012-02-16|17.71|18.5|17.71|18.2|201765|USD|31
2012-02-17|18.33|18.62|18.11|18.4|205031|USD|32
2012-02-21|18.38|18.55|18.03|18.11|107802|USD|33
2012-02-22|18.08|18.33|17.8|17.8|178973|USD|34
2012-02-23|17.81|18.62|17.67|18.46|258574|USD|35
2012-02-24|18.41|18.41|17.64|17.83|216315|USD|36
2012-02-27|17.56|18.15|17.41|17.94|316913|USD|37
2012-02-28|18.0|18.58|17.74|17.97|238366|USD|38
2012-02-29|18.0|18.37|17.56|17.61|571305|USD|39
2012-03-01|17.81|18.36|17.79|18.09|325026|USD|40
2012-03-02|18.09|18.24|17.72|18.12|361534|USD|41
2012-03-05|18.09|18.46|17.92|18.24|203481|USD|42
2012-03-06|17.93|18.14|17.53|17.66|387989|USD|43
2012-03-07|17.82|18.1|17.38|17.63|240735|USD|44
2012-03-08|17.73|18.24|17.58|18.15|153680|USD|45
2012-03-09|18.12|18.94|17.91|18.9|339702|USD|46
2012-03-12|18.83|18.9|18.34|18.51|204728|USD|47
2012-03-13|18.74|19.38|18.62|19.35|266416|USD|48
2012-03-14|19.37|20.25|18.74|18.86|442636|USD|49
2012-03-15|18.83|19.32|18.73|19.3|207357|USD|50
2012-03-16|19.38|19.45|18.45|18.62|1125894|USD|51
2012-03-19|18.61|18.91|18.43|18.55|256014|USD|52
2012-03-20|18.31|18.48|17.96|18.08|173778|USD|53
2012-03-21|18.07|18.63|17.98|18.09|228426|USD|54
2012-03-22|17.81|18.11|17.46|17.82|158406|USD|55
2012-03-23|17.8|17.98|17.43|17.96|107571|USD|56
2012-03-26|18.15|18.5|17.95|18.41|141544|USD|57
2012-03-27|18.4|18.51|18.14|18.16|99372|USD|58
2012-03-28|18.2|18.28|17.76|18.2|187748|USD|59
2012-03-29|18.09|18.27|17.75|18.2|131586|USD|60
2012-03-30|18.41|18.56|17.75|17.83|132539|USD|61
2012-04-02|17.72|18.49|17.48|18.37|215108|USD|62
2012-04-03|18.29|18.48|18.05|18.2|145961|USD|63
2012-04-04|17.88|18.06|17.48|17.69|301264|USD|64
2012-04-05|17.54|17.82|17.41|17.49|127383|USD|65
2012-04-09|17.16|17.39|16.9|17.2|182069|USD|66
2012-04-10|17.22|17.22|16.76|16.84|315413|USD|67
2012-04-11|17.09|17.34|16.97|17.22|132715|USD|68
2012-04-12|17.21|18.01|17.21|17.89|137821|USD|69
2012-04-13|17.77|17.77|17.32|17.42|112957|USD|70
2012-04-16|17.5|17.86|17.24|17.38|109930|USD|71
2012-04-17|17.56|18.34|17.28|17.98|121658|USD|72
2012-04-18|17.9|17.9|17.18|17.45|175018|USD|73
2012-04-19|17.32|17.62|17.0|17.11|209569|USD|74
2012-04-20|17.4|17.78|17.06|17.07|376999|USD|75
2012-04-23|16.86|17.0|16.66|16.74|248824|USD|76
2012-04-24|16.74|16.96|16.72|16.85|240078|USD|77
2012-04-25|17.27|18.1|17.17|17.56|165845|USD|78
2012-04-26|17.5|17.81|17.36|17.53|251636|USD|79
2012-04-27|17.63|17.97|17.27|17.71|293971|USD|80
2012-04-30|17.64|18.31|17.23|18.25|520227|USD|81
2012-05-01|18.17|18.48|17.99|18.4|393407|USD|82
2012-05-02|18.25|18.5|17.96|18.43|245868|USD|83
2012-05-03|18.44|18.46|18.02|18.15|203262|USD|84
2012-05-04|18.12|18.12|17.6|17.79|189846|USD|85
2012-05-07|17.68|18.08|17.55|17.87|148539|USD|86
2012-05-08|17.64|18.35|17.38|18.23|332276|USD|87
2012-05-09|17.92|18.44|17.45|17.78|401644|USD|88
2012-05-10|18.01|18.24|17.61|17.69|117228|USD|89
2012-05-11|17.47|17.96|17.46|17.83|174900|USD|90
2012-05-14|17.58|17.82|17.4|17.56|148588|USD|91
