Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|14.04|14.48|13.59|13.92|21992|USD|0
2012-01-04|13.83|13.83|13.13|13.33|38890|USD|1
2012-01-05|13.24|13.47|12.86|13.28|14392|USD|2
2012-01-06|13.23|13.28|13.05|13.16|17531|USD|3
2012-01-09|13.3|13.3|13.01|13.14|11290|USD|4
2012-01-10|13.42|13.72|13.23|13.4|15918|USD|5
2012-01-11|13.25|13.96|13.25|13.89|10028|USD|6
2012-01-12|13.91|13.94|13.7|13.86|16288|USD|7
2012-01-13|13.58|13.82|13.44|13.52|24839|USD|8
2012-01-17|13.69|13.69|13.24|13.4|58228|USD|9
2012-01-18|13.42|14.81|13.24|14.53|20124|USD|10
2012-01-19|14.73|14.92|14.38|14.72|13850|USD|11
2012-01-20|14.65|14.96|13.9|14.51|31401|USD|12
2012-01-23|14.58|14.8|14.58|14.76|6376|USD|13
2012-01-24|14.59|15.45|14.35|15.35|12882|USD|14
2012-01-25|15.35|16.41|14.9|16.18|13347|USD|15
2012-01-26|16.21|16.5|15.5|15.97|27521|USD|16
2012-01-27|15.93|16.14|14.41|14.78|90419|USD|17
2012-01-30|14.58|14.7|14.27|14.36|26092|USD|18
2012-01-31|14.55|14.55|13.76|14.22|111687|USD|19
2012-02-01|14.39|14.4|14.14|14.27|39881|USD|20
2012-02-02|14.25|14.3|14.05|14.22|20436|USD|21
2012-02-03|14.55|14.98|14.16|14.24|45965|USD|22
2012-02-06|14.17|14.4|14.01|14.13|56324|USD|23
2012-02-07|14.16|14.31|14.01|14.09|37324|USD|24
2012-02-08|14.09|14.3|14.05|14.21|16150|USD|25
2012-02-09|14.21|14.29|14.04|14.22|41265|USD|26
2012-02-10|14.01|14.08|13.88|13.89|9294|USD|27
2012-02-13|14.14|14.34|14.05|14.27|15752|USD|28
2012-02-14|14.11|14.15|13.69|13.8|30500|USD|29
2012-02-15|13.91|14.02|13.66|13.7|18223|USD|30
2012-02-16|13.74|14.21|13.74|14.0|36286|USD|31
2012-02-17|14.08|14.11|13.93|13.97|21133|USD|32
2012-02-21|14.22|14.22|13.34|13.6|166019|USD|33
2012-02-22|13.68|14.0|13.58|13.84|135686|USD|34
2012-02-23|13.81|15.35|13.81|15.3|31954|USD|35
2012-02-24|15.33|15.44|15.17|15.26|9002|USD|36
2012-02-27|15.09|15.2|14.85|15.09|10860|USD|37
2012-02-28|15.06|15.55|15.06|15.32|15059|USD|38
2012-02-29|15.31|15.31|14.06|14.21|26324|USD|39
2012-03-01|14.37|15.36|14.25|14.8|24211|USD|40
2012-03-02|14.8|15.12|13.88|13.93|59536|USD|41
2012-03-05|13.9|14.1|13.24|13.47|32814|USD|42
