Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|7.12|7.2|6.94|7.18|17298|USD|0
2012-01-04|7.14|7.24|7.04|7.06|9300|USD|1
2012-01-05|7.08|7.2|6.88|7.15|9414|USD|2
2012-01-06|7.08|7.18|7.0|7.15|38499|USD|3
2012-01-09|7.18|7.36|7.04|7.31|12800|USD|4
2012-01-10|7.51|7.55|7.3|7.34|5106|USD|5
2012-01-11|7.31|7.31|7.11|7.11|5210|USD|6
2012-01-12|7.16|7.36|7.1|7.12|7800|USD|7
2012-01-13|7.04|7.04|6.8|6.99|15585|USD|8
2012-01-17|7.04|7.19|6.96|6.98|4838|USD|9
2012-01-18|7.0|7.05|6.77|6.91|9100|USD|10
2012-01-19|6.94|7.28|6.94|7.15|11650|USD|11
2012-01-20|7.13|7.81|7.13|7.81|27272|USD|12
2012-01-23|7.8|8.24|7.8|7.85|29476|USD|13
2012-01-24|7.81|7.81|7.45|7.66|13158|USD|14
2012-01-25|7.72|8.29|7.64|8.29|14850|USD|15
2012-01-26|8.42|8.42|8.05|8.18|19328|USD|16
2012-01-27|8.16|8.62|8.16|8.52|4048|USD|17
2012-01-30|8.51|8.51|8.24|8.48|13460|USD|18
2012-01-31|8.57|8.57|8.3|8.32|7732|USD|19
2012-02-01|8.3|8.53|8.15|8.18|35108|USD|20
2012-02-02|8.25|8.73|8.25|8.68|12392|USD|21
2012-02-03|8.65|8.67|8.51|8.55|6833|USD|22
2012-02-06|8.51|8.51|8.33|8.5|7716|USD|23
2012-02-07|8.45|8.62|8.37|8.6|5968|USD|24
2012-02-08|8.64|8.64|8.26|8.37|8350|USD|25
2012-02-09|8.43|8.43|8.16|8.2|5801|USD|26
2012-02-10|8.09|8.09|7.86|8.06|5501|USD|27
2012-02-13|8.2|8.51|8.2|8.37|12825|USD|28
2012-02-14|8.34|8.4|8.25|8.3|5230|USD|29
2012-02-15|8.48|9.36|8.48|8.73|33239|USD|30
2012-02-16|8.73|8.87|8.62|8.75|9425|USD|31
2012-02-17|8.77|9.32|8.77|9.24|9619|USD|32
2012-02-21|9.36|9.8|9.36|9.68|30750|USD|33
2012-02-22|9.67|9.81|9.5|9.64|19434|USD|34
2012-02-23|9.71|9.8|9.55|9.6|18282|USD|35
2012-02-24|9.61|9.74|9.45|9.55|6758|USD|36
2012-02-27|9.54|9.92|9.52|9.75|12542|USD|37
2012-02-28|9.91|10.16|9.84|10.14|24719|USD|38
2012-02-29|10.24|10.62|9.57|9.62|23935|USD|39
2012-03-01|9.76|10.35|9.66|10.27|18529|USD|40
2012-03-02|10.28|10.63|10.25|10.28|19443|USD|41
2012-03-05|10.2|10.2|9.72|9.72|5275|USD|42
2012-03-06|9.33|9.43|9.08|9.29|15700|USD|43
2012-03-07|9.35|9.72|9.35|9.71|5965|USD|44
2012-03-08|9.82|10.47|9.82|10.36|20928|USD|45
2012-03-09|10.24|10.4|10.03|10.03|10340|USD|46
2012-03-12|9.86|9.96|9.58|9.9|62990|USD|47
2012-03-13|9.84|10.08|9.79|9.8|8260|USD|48
