Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|68.93|69.92|68.81|69.53|600836|USD|0
2012-01-04|69.37|70.52|68.35|68.46|492014|USD|1
2012-01-05|68.25|69.47|67.17|68.65|384019|USD|2
2012-01-06|68.79|70.45|68.78|69.57|512580|USD|3
2012-01-09|70.16|70.6|69.57|70.34|402783|USD|4
2012-01-10|71.9|72.61|70.81|70.92|546475|USD|5
2012-01-11|68.11|69.1|67.8|68.63|2725155|USD|6
2012-01-12|69.37|69.95|68.01|68.26|789000|USD|7
2012-01-13|68.0|68.48|66.92|67.92|800852|USD|8
2012-01-17|68.95|69.33|67.57|68.26|620725|USD|9
2012-01-18|68.17|68.67|67.79|68.39|434756|USD|10
2012-01-19|68.46|68.48|67.04|67.7|542845|USD|11
2012-01-20|67.66|68.5|66.78|67.51|781032|USD|12
2012-01-23|68.0|68.6|67.8|68.06|654714|USD|13
2012-01-24|67.81|68.06|67.2|67.83|369295|USD|14
2012-01-25|67.61|71.86|67.21|71.79|1221005|USD|15
2012-01-26|72.42|76.93|72.42|74.02|1498363|USD|16
2012-01-27|74.13|75.55|73.56|75.42|579547|USD|17
2012-01-30|74.75|76.9|74.43|76.28|790959|USD|18
2012-01-31|77.27|77.92|74.77|76.12|1601711|USD|19
2012-02-01|77.03|77.75|76.31|77.34|846436|USD|20
2012-02-02|77.25|78.32|76.02|76.63|737756|USD|21
2012-02-03|76.86|76.86|73.14|73.49|1184168|USD|22
2012-02-06|73.29|73.9|72.5|73.02|624386|USD|23
2012-02-07|73.28|73.28|71.91|72.23|677036|USD|24
2012-02-08|72.44|72.7|70.36|70.97|689175|USD|25
2012-02-09|71.3|71.85|70.25|70.28|518837|USD|26
2012-02-10|69.8|70.45|68.81|70.39|742776|USD|27
2012-02-13|70.5|71.09|70.0|70.82|422613|USD|28
2012-02-14|70.63|71.21|69.43|69.73|759397|USD|29
2012-02-15|70.86|71.2|69.56|69.69|463403|USD|30
2012-02-16|69.11|71.96|68.54|71.62|667026|USD|31
2012-02-17|71.92|72.12|69.16|69.79|599215|USD|32
2012-02-21|70.36|71.62|70.0|70.57|887937|USD|33
2012-02-22|70.42|71.93|69.91|71.49|734110|USD|34
2012-02-23|71.77|72.45|71.16|71.93|668814|USD|35
2012-02-24|71.93|72.66|71.01|71.59|407176|USD|36
2012-02-27|71.49|71.92|70.67|71.14|292016|USD|37
2012-02-28|71.53|72.56|71.14|72.32|327918|USD|38
2012-02-29|72.12|72.47|69.1|69.45|972882|USD|39
2012-03-01|69.67|70.79|68.92|70.08|480708|USD|40
2012-03-02|69.75|70.4|69.0|69.61|445492|USD|41
2012-03-05|69.21|69.21|67.46|67.8|572269|USD|42
2012-03-06|66.41|66.49|64.33|66.32|924609|USD|43
2012-03-07|66.25|67.32|65.47|66.74|450998|USD|44
2012-03-08|67.39|67.47|66.19|67.02|351073|USD|45
2012-03-09|67.19|67.6|66.15|66.97|368029|USD|46
2012-03-12|66.52|66.85|65.96|66.05|346371|USD|47
2012-03-13|65.94|67.41|65.94|66.64|556454|USD|48
2012-03-14|65.92|66.18|64.96|65.21|1032249|USD|49
2012-03-15|65.15|65.46|63.81|64.24|844201|USD|50
2012-03-16|64.03|64.55|63.12|63.57|1290188|USD|51
2012-03-19|63.63|64.48|62.97|63.0|610136|USD|52
2012-03-20|62.0|63.89|61.6|63.6|580514|USD|53
2012-03-21|64.62|65.46|63.81|63.97|586599|USD|54
2012-03-22|63.23|63.75|62.82|63.2|526808|USD|55
2012-03-23|63.69|64.81|63.29|63.84|591122|USD|56
2012-03-26|64.52|64.67|63.91|64.5|415119|USD|57
2012-03-27|64.65|65.13|64.04|64.7|505315|USD|58
2012-03-28|64.47|64.98|64.17|64.75|588330|USD|59
2012-03-29|64.09|64.39|63.3|64.36|609708|USD|60
2012-03-30|64.56|65.29|63.83|65.22|369385|USD|61
2012-04-02|64.99|67.49|64.8|67.46|698422|USD|62
2012-04-03|67.3|67.49|65.97|66.48|757781|USD|63
2012-04-04|65.33|65.66|62.61|62.89|1069548|USD|64
2012-04-05|63.0|63.22|61.07|61.48|831345|USD|65
2012-04-09|61.41|62.58|61.22|61.24|363067|USD|66
2012-04-10|61.28|63.32|61.02|63.11|670855|USD|67
2012-04-11|63.34|63.7|62.0|62.16|400474|USD|68
2012-04-12|62.12|64.12|61.75|63.69|462153|USD|69
2012-04-13|63.13|64.31|62.5|63.93|562638|USD|70
2012-04-16|63.0|63.89|60.15|60.42|868503|USD|71
2012-04-17|60.22|61.68|59.63|60.77|821981|USD|72
2012-04-18|60.68|60.95|60.04|60.6|437718|USD|73
2012-04-19|60.94|61.64|60.21|60.67|294884|USD|74
2012-04-20|60.71|61.35|60.01|60.28|339559|USD|75
2012-04-23|59.74|59.74|58.01|59.09|636450|USD|76
2012-04-24|59.24|59.83|58.84|59.25|400220|USD|77
2012-04-25|59.6|61.15|59.3|60.92|532213|USD|78
2012-04-26|60.78|61.9|60.78|61.37|378202|USD|79
2012-04-27|61.92|62.1|61.45|62.01|416422|USD|80
2012-04-30|61.43|62.46|60.82|61.96|444793|USD|81
2012-05-01|62.05|62.59|61.43|61.74|294974|USD|82
2012-05-02|61.4|61.7|60.15|61.03|360918|USD|83
2012-05-03|60.16|60.63|58.3|59.16|779840|USD|84
2012-05-04|58.48|61.93|58.48|61.07|577415|USD|85
2012-05-07|61.04|61.81|58.77|60.17|470423|USD|86
2012-05-08|59.1|59.1|57.0|58.66|647344|USD|87
2012-05-09|57.59|60.7|57.24|59.95|815432|USD|88
2012-05-10|60.69|61.43|59.51|60.6|594744|USD|89
2012-05-11|61.0|64.21|60.41|63.2|1471180|USD|90
2012-05-14|62.23|63.45|61.55|61.72|1368255|USD|91
2012-05-15|61.55|62.94|61.12|61.25|1567695|USD|92
2012-05-16|61.27|63.32|60.8|61.73|883033|USD|93
2012-05-17|62.31|64.86|61.82|63.4|979366|USD|94
2012-05-18|64.27|64.94|62.43|62.76|949095|USD|95
2012-05-21|62.8|67.31|62.78|67.01|1115747|USD|96
2012-05-22|66.85|68.32|65.75|67.01|1013723|USD|97
2012-05-23|66.51|67.73|64.69|67.62|1023603|USD|98
2012-05-24|68.1|69.14|67.4|69.06|778574|USD|99
2012-05-25|69.06|69.73|68.16|69.03|447596|USD|100
2012-05-29|69.8|69.89|68.13|69.1|716757|USD|101
2012-05-30|68.51|70.61|67.54|68.7|1043949|USD|102
2012-05-31|68.84|69.28|66.71|67.64|845748|USD|103
2012-06-01|68.67|75.3|68.67|74.75|2114654|USD|104
2012-06-04|75.62|77.57|74.21|77.0|9317389|USD|105
2012-06-05|76.74|77.92|76.05|77.56|1557058|USD|106
2012-06-06|78.6|80.55|77.52|78.68|1962195|USD|107
2012-06-07|78.5|78.75|76.52|77.34|1653183|USD|108
2012-06-08|76.62|79.64|76.37|79.11|1048970|USD|109
2012-06-11|79.28|79.89|78.13|78.47|844318|USD|110
2012-06-12|78.5|80.75|78.5|80.19|842875|USD|111
2012-06-13|80.37|80.97|79.27|79.64|1039020|USD|112
2012-06-14|78.57|79.63|76.8|78.01|2584979|USD|113
2012-06-15|78.2|78.2|76.64|77.49|2973300|USD|114
2012-06-18|77.16|79.8|76.55|79.49|1237223|USD|115
2012-06-19|79.8|79.8|78.58|79.29|606064|USD|116
2012-06-20|78.5|80.63|77.64|78.07|1462212|USD|117
2012-06-21|77.73|77.87|75.93|75.94|968296|USD|118
2012-06-22|76.24|76.25|74.28|75.56|896529|USD|119
2012-06-25|75.44|76.42|74.8|76.25|752399|USD|120
2012-06-26|75.8|77.32|75.02|77.12|645994|USD|121
2012-06-27|77.77|78.24|76.95|77.2|585519|USD|122
2012-06-28|76.3|77.13|75.15|76.9|705450|USD|123
2012-06-29|78.33|78.92|77.71|78.4|646625|USD|124
2012-07-02|78.25|78.97|78.02|78.7|439204|USD|125
2012-07-03|79.1|80.5|79.0|79.78|588165|USD|126
2012-07-05|79.11|79.23|76.66|77.33|1064038|USD|127
2012-07-06|76.33|77.29|75.92|77.01|543647|USD|128
2012-07-09|77.14|78.27|76.17|77.8|664601|USD|129
2012-07-10|77.86|78.5|74.19|74.96|1147219|USD|130
2012-07-11|74.7|74.96|72.02|73.32|1079839|USD|131
2012-07-12|72.69|74.34|71.79|73.58|1024383|USD|132
2012-07-13|74.07|74.89|73.58|74.58|627202|USD|133
2012-07-16|74.52|74.72|73.2|73.49|543217|USD|134
2012-07-17|73.61|73.9|71.36|73.6|621110|USD|135
2012-07-18|72.96|73.91|72.57|72.85|416583|USD|136
2012-07-19|73.22|73.67|72.01|72.47|343573|USD|137
2012-07-20|72.0|75.1|72.0|74.21|800994|USD|138
2012-07-23|72.97|73.72|72.5|72.88|530369|USD|139
2012-07-24|73.43|73.89|72.51|73.52|497745|USD|140
2012-07-25|74.23|76.26|73.8|75.3|647856|USD|141
2012-07-26|74.89|75.58|72.95|73.33|874751|USD|142
2012-07-27|73.39|75.96|73.32|75.55|604107|USD|143
2012-07-30|75.1|77.5|75.1|77.06|657080|USD|144
2012-07-31|77.18|77.48|75.38|75.68|482952|USD|145
2012-08-01|75.06|76.99|72.85|76.0|630353|USD|146
2012-08-02|75.58|78.38|74.87|77.0|749829|USD|147
2012-08-03|77.13|78.5|77.05|77.6|480891|USD|148
2012-08-06|77.72|79.93|77.72|78.81|506582|USD|149
2012-08-07|79.43|79.78|78.63|79.2|309463|USD|150
2012-08-08|78.9|79.97|78.17|78.79|385779|USD|151
2012-08-09|77.36|78.01|76.05|76.78|894479|USD|152
2012-08-10|76.41|76.73|74.22|75.5|1129047|USD|153
2012-08-13|76.18|76.92|74.41|75.32|544913|USD|154
2012-08-14|75.29|75.94|75.01|75.23|353867|USD|155
2012-08-15|75.38|76.25|75.05|75.64|251119|USD|156
2012-08-16|75.84|77.81|75.53|77.58|617897|USD|157
2012-08-17|77.58|78.36|77.32|78.04|462470|USD|158
2012-08-20|78.04|78.82|77.41|78.48|311921|USD|159
2012-08-21|79.6|82.0|79.39|81.52|1181169|USD|160
