Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|78.95|80.34|77.4|77.49|517860|USD|0
2012-01-04|77.31|77.31|76.05|76.72|500369|USD|1
2012-01-05|76.62|77.04|75.75|76.93|283325|USD|2
2012-01-06|76.92|77.7|76.5|77.45|274607|USD|3
2012-01-09|77.84|78.14|77.0|77.36|347516|USD|4
2012-01-10|78.97|80.39|78.56|79.81|669450|USD|5
2012-01-11|80.2|80.92|79.51|80.77|582677|USD|6
2012-01-12|81.0|83.91|80.77|83.66|822848|USD|7
2012-01-13|83.41|84.72|82.82|84.06|842332|USD|8
2012-01-17|84.5|84.77|84.0|84.17|422924|USD|9
2012-01-18|83.98|84.06|82.96|84.06|542222|USD|10
2012-01-19|84.28|84.29|83.27|83.56|388984|USD|11
2012-01-20|83.75|84.8|83.48|84.3|344097|USD|12
2012-01-23|84.01|84.66|83.25|84.11|227580|USD|13
2012-01-24|84.16|84.67|83.49|84.29|317514|USD|14
2012-01-25|83.86|84.9|83.84|84.17|426556|USD|15
2012-01-26|84.23|84.67|82.99|83.72|501610|USD|16
2012-01-27|83.5|83.94|83.1|83.5|356872|USD|17
2012-01-30|82.59|83.09|81.77|82.89|445613|USD|18
2012-01-31|83.16|84.23|82.79|84.02|486458|USD|19
2012-02-01|84.39|85.39|84.14|85.02|585534|USD|20
2012-02-02|84.89|86.11|84.71|85.3|473250|USD|21
2012-02-03|86.2|88.1|85.95|86.9|724246|USD|22
2012-02-06|86.93|87.16|85.97|86.14|425344|USD|23
2012-02-07|85.8|85.98|84.03|84.76|652338|USD|24
2012-02-08|84.51|84.84|84.27|84.79|408175|USD|25
2012-02-09|85.0|85.33|84.23|85.27|274989|USD|26
2012-02-10|84.56|84.99|84.33|84.53|428084|USD|27
2012-02-13|85.02|86.24|84.86|86.24|356587|USD|28
2012-02-14|86.23|88.05|85.88|87.94|683443|USD|29
2012-02-15|87.95|88.0|86.16|86.91|502830|USD|30
2012-02-16|87.01|87.85|86.69|87.59|395151|USD|31
2012-02-17|87.48|88.42|87.48|88.05|592546|USD|32
2012-02-21|88.5|88.52|87.69|88.09|335892|USD|33
2012-02-22|87.84|88.43|87.64|87.91|448432|USD|34
2012-02-23|87.62|89.3|87.22|89.27|273045|USD|35
2012-02-24|89.54|89.91|89.11|89.23|503375|USD|36
2012-02-27|88.36|88.37|87.29|87.96|428978|USD|37
2012-02-28|88.23|88.31|86.52|86.87|424301|USD|38
2012-02-29|86.76|87.01|86.06|86.77|302466|USD|39
2012-03-01|86.69|86.95|86.06|86.59|270294|USD|40
2012-03-02|87.64|87.64|85.53|85.94|309489|USD|41
2012-03-05|86.02|86.71|85.7|86.24|231793|USD|42
2012-03-06|85.52|86.41|85.35|85.41|400668|USD|43
2012-03-07|85.18|85.76|84.7|85.45|225600|USD|44
2012-03-08|85.58|86.93|85.51|86.67|259147|USD|45
2012-03-09|86.57|88.2|86.46|87.75|334804|USD|46
2012-03-12|87.6|88.21|87.22|87.8|180539|USD|47
2012-03-13|88.01|88.4|86.92|87.86|318775|USD|48
2012-03-14|87.55|88.0|86.26|87.0|366004|USD|49
2012-03-15|86.98|86.98|86.0|86.44|305364|USD|50
2012-03-16|86.12|87.04|85.98|86.88|432731|USD|51
2012-03-19|86.64|87.43|86.17|86.81|275132|USD|52
2012-03-20|86.62|86.63|85.28|85.39|376379|USD|53
2012-03-21|85.49|85.78|84.56|85.43|311032|USD|54
2012-03-22|85.05|85.49|84.4|85.44|292361|USD|55
2012-03-23|85.18|86.11|84.17|84.66|444676|USD|56
2012-03-26|84.99|86.11|84.7|85.9|311726|USD|57
2012-03-27|85.67|86.23|85.38|85.47|339160|USD|58
2012-03-28|85.15|85.45|84.76|84.94|257271|USD|59
2012-03-29|84.48|84.95|83.86|84.18|368969|USD|60
2012-03-30|84.68|84.81|83.54|83.64|496765|USD|61
2012-04-02|83.54|84.45|83.46|84.2|466250|USD|62
2012-04-03|84.06|84.55|83.71|84.43|338361|USD|63
2012-04-04|84.0|84.7|83.64|84.65|284740|USD|64
2012-04-05|84.15|85.62|84.15|85.57|306457|USD|65
2012-04-09|84.65|85.14|84.46|84.77|302006|USD|66
2012-04-10|84.41|85.1|84.09|84.44|641313|USD|67
2012-04-11|84.89|85.66|84.67|85.57|481158|USD|68
2012-04-12|85.45|87.11|85.23|86.67|504411|USD|69
2012-04-13|86.66|86.73|85.92|86.1|457442|USD|70
2012-04-16|86.84|86.84|85.4|86.12|329084|USD|71
2012-04-17|86.32|87.28|85.71|87.02|381141|USD|72
2012-04-18|86.69|88.0|86.53|87.75|399428|USD|73
2012-04-19|87.48|87.88|86.98|87.28|336233|USD|74
2012-04-20|87.79|88.89|87.46|87.91|402883|USD|75
2012-04-23|86.78|87.29|86.55|87.11|264757|USD|76
2012-04-24|87.39|87.94|86.9|87.22|313991|USD|77
2012-04-25|88.06|88.06|86.38|87.1|459498|USD|78
2012-04-26|86.0|86.89|85.42|85.97|670422|USD|79
2012-04-27|86.0|88.0|85.48|87.64|444211|USD|80
2012-04-30|86.99|87.99|86.43|86.6|466243|USD|81
2012-05-01|87.07|87.95|86.83|87.54|504869|USD|82
2012-05-02|87.16|87.5|86.44|87.38|370439|USD|83
2012-05-03|87.2|87.51|86.27|86.53|409763|USD|84
2012-05-04|85.9|86.39|84.55|84.62|489191|USD|85
2012-05-07|84.62|85.59|84.17|85.22|349262|USD|86
2012-05-08|84.56|85.09|83.99|84.87|395285|USD|87
2012-05-09|84.11|84.28|83.09|83.19|389852|USD|88
2012-05-10|83.51|83.87|82.92|83.32|319638|USD|89
2012-05-11|83.25|84.0|83.0|83.24|220724|USD|90
2012-05-14|82.8|82.86|81.26|81.45|503050|USD|91
2012-05-15|81.22|82.18|81.16|81.78|548535|USD|92
2012-05-16|82.19|83.36|82.07|83.07|430786|USD|93
2012-05-17|83.14|83.46|82.25|82.4|469932|USD|94
2012-05-18|82.82|82.83|81.18|81.37|473671|USD|95
2012-05-21|81.5|83.08|81.3|82.82|383009|USD|96
2012-05-22|83.3|84.7|83.01|83.95|352233|USD|97
2012-05-23|83.46|85.96|83.26|85.76|719427|USD|98
2012-05-24|85.89|86.81|85.26|86.8|668751|USD|99
2012-05-25|86.72|87.24|86.03|86.31|597920|USD|100
2012-05-29|86.89|87.45|86.33|87.01|495310|USD|101
2012-05-30|86.62|87.19|85.85|86.93|517653|USD|102
2012-05-31|86.77|87.59|86.23|87.26|888839|USD|103
2012-06-01|86.15|86.82|85.37|85.76|585037|USD|104
2012-06-04|85.72|86.13|85.29|85.84|333734|USD|105
2012-06-05|85.54|86.16|85.21|85.83|391400|USD|106
2012-06-06|86.21|87.04|86.13|86.72|406345|USD|107
2012-06-07|87.0|87.1|85.32|86.04|758760|USD|108
2012-06-08|85.61|87.54|85.61|87.54|385217|USD|109
2012-06-11|87.89|88.62|87.16|87.71|642358|USD|110
2012-06-12|87.74|88.04|86.95|88.04|308024|USD|111
2012-06-13|88.09|88.15|87.13|87.56|358175|USD|112
2012-06-14|87.76|88.52|87.45|88.02|477852|USD|113
2012-06-15|88.07|88.63|87.32|87.77|618833|USD|114
2012-06-18|87.5|89.21|87.31|89.18|431960|USD|115
2012-06-19|89.76|91.89|89.46|90.75|969720|USD|116
2012-06-20|91.12|91.3|90.05|90.36|507600|USD|117
2012-06-21|90.45|90.58|88.65|88.68|553316|USD|118
2012-06-22|88.65|88.95|87.63|88.47|626285|USD|119
2012-06-25|87.93|88.71|87.67|88.4|348732|USD|120
2012-06-26|88.41|89.39|88.27|88.76|396254|USD|121
2012-06-27|89.37|90.4|89.37|89.78|400113|USD|122
2012-06-28|89.45|90.09|88.73|89.55|275709|USD|123
2012-06-29|90.86|91.69|90.67|91.67|457036|USD|124
2012-07-02|91.7|92.96|91.53|92.56|492873|USD|125
2012-07-03|92.26|93.0|92.13|92.93|174527|USD|126
2012-07-05|92.4|93.01|92.4|92.82|333723|USD|127
2012-07-06|92.5|93.17|91.87|92.47|253479|USD|128
2012-07-09|92.53|92.72|92.02|92.51|259062|USD|129
2012-07-10|92.65|93.59|92.3|93.42|572252|USD|130
2012-07-11|93.0|93.41|91.53|92.38|473229|USD|131
2012-07-12|92.04|92.81|91.44|92.53|580716|USD|132
2012-07-13|92.51|93.3|92.27|92.82|352908|USD|133
2012-07-16|92.33|93.75|92.33|93.02|363705|USD|134
