Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|31.8|32.29|30.97|31.76|118307|USD|0
2012-01-04|31.47|32.0|30.98|31.37|124504|USD|1
2012-01-05|30.96|32.0|30.28|31.7|169096|USD|2
2012-01-06|31.37|31.52|29.65|30.51|299116|USD|3
2012-01-09|30.36|31.15|30.36|31.04|239275|USD|4
2012-01-10|31.32|32.5|31.32|32.4|222643|USD|5
2012-01-11|32.05|33.4|32.05|33.22|128931|USD|6
2012-01-12|33.17|33.5|32.61|33.46|101145|USD|7
2012-01-13|32.69|33.13|31.9|32.86|68791|USD|8
2012-01-17|32.98|33.49|32.44|32.81|83977|USD|9
2012-01-18|32.82|34.09|32.67|34.02|56750|USD|10
2012-01-19|34.22|34.3|33.06|34.05|57159|USD|11
2012-01-20|33.93|34.0|32.6|33.02|101804|USD|12
2012-01-23|33.6|33.63|32.41|32.84|57590|USD|13
2012-01-24|32.42|33.08|31.75|31.93|159593|USD|14
2012-01-25|31.95|32.47|31.27|32.41|117712|USD|15
2012-01-26|32.55|32.94|31.6|31.95|70538|USD|16
2012-01-27|31.73|32.7|31.61|32.29|55498|USD|17
2012-01-30|31.87|32.14|30.81|31.37|128707|USD|18
2012-01-31|31.46|32.04|30.25|31.77|387890|USD|19
2012-02-01|32.08|33.24|31.81|32.97|105435|USD|20
2012-02-02|32.95|34.02|32.84|33.85|105656|USD|21
2012-02-03|34.48|35.5|34.25|34.96|127928|USD|22
2012-02-06|34.66|34.86|33.03|34.02|144616|USD|23
2012-02-07|34.01|34.42|33.67|33.69|52262|USD|24
2012-02-08|33.78|34.12|33.02|33.73|73828|USD|25
2012-02-09|33.93|33.93|32.54|33.47|64070|USD|26
2012-02-10|33.03|33.21|32.17|32.3|103361|USD|27
2012-02-13|32.8|33.11|32.54|33.04|71204|USD|28
2012-02-14|32.84|33.07|31.94|32.81|72733|USD|29
2012-02-15|32.94|33.33|31.6|32.5|85805|USD|30
2012-02-16|34.91|37.6|34.88|36.85|321121|USD|31
2012-02-17|36.96|37.33|35.6|35.62|125233|USD|32
2012-02-21|35.88|36.1|34.16|34.32|66396|USD|33
2012-02-22|34.33|34.45|33.11|33.21|100080|USD|34
2012-02-23|33.36|34.04|32.65|33.97|85724|USD|35
2012-02-24|33.99|34.28|32.46|32.6|80902|USD|36
2012-02-27|32.6|33.39|32.0|33.08|104216|USD|37
2012-02-28|33.16|33.53|32.16|32.66|75439|USD|38
2012-02-29|32.74|33.21|32.09|32.14|93686|USD|39
2012-03-01|32.43|32.91|31.8|31.83|125505|USD|40
2012-03-02|31.76|31.78|30.48|30.5|102164|USD|41
2012-03-05|30.41|30.85|29.96|30.47|69476|USD|42
2012-03-06|29.94|30.49|29.39|29.52|94958|USD|43
2012-03-07|29.72|30.49|29.48|30.4|74928|USD|44
2012-03-08|30.66|32.63|30.61|32.2|123684|USD|45
2012-03-09|32.16|32.66|31.88|32.31|148965|USD|46
2012-03-12|32.22|33.11|32.2|32.87|66371|USD|47
2012-03-13|33.13|34.33|32.96|34.26|113460|USD|48
2012-03-14|34.27|34.64|34.06|34.15|80875|USD|49
2012-03-15|34.24|35.2|33.18|35.17|150974|USD|50
2012-03-16|35.28|35.28|34.25|34.41|276672|USD|51
2012-03-19|34.31|35.62|34.23|34.95|88051|USD|52
2012-03-20|34.52|35.08|34.26|34.68|74351|USD|53
2012-03-21|34.76|35.42|34.65|35.01|114359|USD|54
2012-03-22|34.49|34.89|33.67|34.46|89485|USD|55
2012-03-23|34.22|34.22|32.76|33.92|85269|USD|56
2012-03-26|34.41|35.02|33.99|34.96|49513|USD|57
2012-03-27|34.9|35.69|34.39|34.41|64159|USD|58
2012-03-28|34.4|35.13|34.13|34.95|99956|USD|59
2012-03-29|34.54|35.3|33.98|35.19|47859|USD|60
2012-03-30|35.51|35.82|34.48|34.48|88810|USD|61
2012-04-02|34.3|34.67|33.7|34.65|96163|USD|62
2012-04-03|34.48|34.58|33.7|33.94|85979|USD|63
2012-04-04|33.39|33.68|32.79|33.45|66777|USD|64
2012-04-05|33.24|33.98|33.14|33.56|76530|USD|65
2012-04-09|32.78|33.07|32.2|32.52|68618|USD|66
2012-04-10|32.4|32.61|30.92|31.51|115790|USD|67
2012-04-11|31.91|32.08|31.5|32.05|66844|USD|68
2012-04-12|31.97|33.66|31.95|33.37|102954|USD|69
2012-04-13|33.17|33.17|31.92|32.12|98085|USD|70
2012-04-16|32.35|32.7|31.44|32.3|44544|USD|71
2012-04-17|32.72|33.06|32.34|32.41|66597|USD|72
2012-04-18|32.16|32.58|31.68|32.33|79149|USD|73
2012-04-19|35.94|37.47|34.65|34.98|358287|USD|74
2012-04-20|35.55|35.85|34.83|35.0|275775|USD|75
2012-04-23|34.29|34.34|33.74|34.32|166776|USD|76
2012-04-24|34.44|35.81|34.07|35.79|144458|USD|77
2012-04-25|36.3|37.25|35.73|36.5|112907|USD|78
2012-04-26|36.51|37.35|35.9|37.24|142964|USD|79
2012-04-27|37.35|38.55|37.05|38.43|132340|USD|80
2012-04-30|38.3|38.62|36.98|37.4|132318|USD|81
2012-05-01|37.63|37.76|36.91|37.15|161167|USD|82
2012-05-02|36.86|37.56|36.8|37.45|181528|USD|83
2012-05-03|37.45|37.45|35.89|36.95|96893|USD|84
2012-05-04|36.65|37.04|36.21|36.31|74189|USD|85
2012-05-07|36.04|37.05|36.01|36.74|55029|USD|86
2012-05-08|36.2|37.13|35.7|36.98|85955|USD|87
2012-05-09|36.36|37.26|35.95|36.92|69185|USD|88
2012-05-10|37.37|37.65|36.9|37.21|73613|USD|89
2012-05-11|36.75|38.38|36.72|37.46|129448|USD|90
2012-05-14|37.04|38.39|36.61|38.23|155846|USD|91
2012-05-15|38.16|38.52|37.84|38.08|233868|USD|92
2012-05-16|38.39|38.48|37.48|37.57|71200|USD|93
2012-05-17|37.7|37.7|35.79|36.47|105537|USD|94
2012-05-18|36.44|36.84|35.47|36.24|130077|USD|95
2012-05-21|36.48|36.99|35.68|36.91|89416|USD|96
2012-05-22|36.93|37.23|35.61|36.04|66351|USD|97
2012-05-23|35.58|36.67|35.06|36.52|135583|USD|98
2012-05-24|36.69|38.05|36.65|37.61|112985|USD|99
2012-05-25|37.63|38.04|36.89|37.41|58438|USD|100
2012-05-29|37.84|38.85|37.57|38.27|116335|USD|101
2012-05-30|37.54|37.95|37.09|37.2|146090|USD|102
2012-05-31|37.4|38.05|36.04|37.65|129831|USD|103
2012-06-01|36.67|36.67|35.42|35.75|112853|USD|104
2012-06-04|35.9|35.91|33.88|34.1|137493|USD|105
2012-06-05|33.99|35.05|33.57|35.01|73108|USD|106
2012-06-06|35.34|36.58|35.1|36.51|84411|USD|107
2012-06-07|36.9|38.04|36.9|37.38|101831|USD|108
2012-06-08|37.14|38.06|37.06|37.99|58629|USD|109
2012-06-11|38.5|38.56|37.07|37.15|111474|USD|110
2012-06-12|37.27|38.22|37.15|38.02|118627|USD|111
2012-06-13|37.96|38.56|37.35|37.66|86839|USD|112
2012-06-14|37.83|38.72|37.41|38.66|107863|USD|113
2012-06-15|38.5|38.99|38.25|38.31|378679|USD|114
2012-06-18|38.13|38.51|37.7|38.05|82464|USD|115
2012-06-19|38.29|39.04|38.2|38.52|143162|USD|116
2012-06-20|38.6|39.0|38.25|38.35|90121|USD|117
2012-06-21|38.24|38.56|36.73|36.91|72073|USD|118
2012-06-22|37.25|38.22|36.8|37.96|145963|USD|119
2012-06-25|37.23|37.53|37.03|37.3|46348|USD|120
2012-06-26|37.25|38.71|37.25|38.05|91903|USD|121
2012-06-27|38.13|38.71|38.04|38.6|50377|USD|122
2012-06-28|38.14|38.91|37.38|38.7|39364|USD|123
2012-06-29|39.62|39.62|38.8|38.98|120477|USD|124
2012-07-02|39.25|39.25|38.41|39.1|90725|USD|125
2012-07-03|39.22|39.51|38.95|39.38|34402|USD|126
2012-07-05|39.15|39.69|38.92|39.18|55953|USD|127
2012-07-06|38.74|39.13|38.48|38.99|42320|USD|128
2012-07-09|38.93|39.35|38.52|39.05|92368|USD|129
2012-07-10|39.28|39.57|38.4|38.85|59860|USD|130
2012-07-11|39.05|39.22|38.46|38.97|59687|USD|131
2012-07-12|38.89|39.84|38.51|39.55|104743|USD|132
2012-07-13|39.86|40.0|39.66|39.97|108589|USD|133
2012-07-16|39.67|40.33|39.06|39.67|75655|USD|134
2012-07-17|39.86|40.37|39.29|39.94|78512|USD|135
2012-07-18|39.78|40.65|39.67|40.31|216592|USD|136
2012-07-19|40.68|41.33|40.11|40.44|132076|USD|137
2012-07-20|39.5|39.5|31.26|33.99|576086|USD|138
2012-07-23|33.01|33.32|31.33|32.97|263605|USD|139
2012-07-24|33.0|33.05|31.81|32.03|204511|USD|140
2012-07-25|32.19|32.19|31.53|31.86|145101|USD|141
2012-07-26|32.35|33.91|32.26|33.56|139888|USD|142
2012-07-27|33.64|33.97|32.25|32.95|128612|USD|143
2012-07-30|33.11|33.11|31.91|32.17|47540|USD|144
2012-07-31|32.12|32.3|31.59|31.93|88015|USD|145
2012-08-01|32.33|33.46|31.71|31.82|124100|USD|146
2012-08-02|31.53|33.23|31.53|32.84|89514|USD|147
2012-08-03|33.4|34.64|33.4|34.17|72184|USD|148
2012-08-06|34.09|34.93|33.61|34.46|135975|USD|149
2012-08-07|35.01|35.01|34.35|34.59|118680|USD|150
2012-08-08|34.3|35.3|34.07|34.88|55345|USD|151
2012-08-09|34.72|35.45|34.31|34.79|68611|USD|152
2012-08-10|34.75|34.75|32.84|34.01|40164|USD|153
2012-08-13|33.9|33.9|32.91|33.31|56290|USD|154
2012-08-14|33.66|33.86|33.08|33.31|66028|USD|155
2012-08-15|33.11|33.6|33.04|33.5|69331|USD|156
2012-08-16|33.33|34.31|30.76|34.06|168249|USD|157
2012-08-17|33.97|35.38|33.75|35.31|57925|USD|158
2012-08-20|35.15|35.73|35.04|35.51|59122|USD|159
2012-08-21|35.49|37.55|35.49|36.66|109202|USD|160
2012-08-22|36.49|37.18|36.49|36.98|60662|USD|161
2012-08-23|36.83|37.18|36.27|36.93|68095|USD|162
2012-08-24|36.76|37.23|36.5|36.77|32427|USD|163
2012-08-27|36.88|37.06|36.31|36.6|27464|USD|164
2012-08-28|36.47|37.17|36.08|37.12|41128|USD|165
2012-08-29|37.09|38.07|36.35|37.34|59808|USD|166
2012-08-30|36.94|37.84|36.34|37.26|44470|USD|167
2012-08-31|37.71|38.76|37.61|38.43|51823|USD|168
2012-09-04|38.54|39.44|38.23|39.16|49974|USD|169
2012-09-05|39.32|39.82|38.56|38.64|91448|USD|170
2012-09-06|38.73|39.79|38.34|38.62|102377|USD|171
2012-09-07|38.86|40.4|38.27|40.01|118489|USD|172
2012-09-10|40.0|40.17|39.72|39.98|77058|USD|173
2012-09-11|39.98|40.47|39.71|39.95|135551|USD|174
2012-09-12|40.07|40.89|39.78|40.89|63478|USD|175
2012-09-13|40.9|41.89|39.7|41.33|91951|USD|176
2012-09-14|41.66|42.77|41.58|41.8|261719|USD|177
2012-09-17|41.69|42.12|41.49|41.85|73649|USD|178
2012-09-18|41.69|42.03|40.88|41.88|96267|USD|179
2012-09-19|42.02|42.52|41.6|42.34|77370|USD|180
2012-09-20|41.92|43.25|41.49|41.99|94211|USD|181
2012-09-21|42.0|42.82|41.6|42.47|230690|USD|182
2012-09-24|42.1|42.97|41.65|42.74|100462|USD|183
2012-09-25|43.0|43.36|41.66|41.79|126722|USD|184
2012-09-26|41.78|42.39|40.3|40.52|103956|USD|185
2012-09-27|40.93|41.87|39.88|41.78|67463|USD|186
2012-09-28|41.48|42.3|41.46|41.54|50993|USD|187
2012-10-01|42.01|42.88|41.6|41.78|60397|USD|188
2012-10-02|42.0|42.5|41.66|42.05|44790|USD|189
2012-10-03|42.03|42.87|41.99|42.45|43726|USD|190
2012-10-04|42.55|43.04|41.77|42.57|47765|USD|191
2012-10-05|42.9|42.96|42.17|42.35|49663|USD|192
2012-10-08|41.99|42.58|41.79|42.09|39176|USD|193
2012-10-09|42.03|42.25|41.05|41.35|52257|USD|194
2012-10-10|41.43|41.72|40.87|41.03|41291|USD|195
2012-10-11|41.54|41.54|39.86|40.4|53065|USD|196
2012-10-12|40.33|40.84|39.92|40.7|52395|USD|197
2012-10-15|40.6|42.18|40.6|41.6|50537|USD|198
2012-10-16|41.81|42.13|41.67|41.79|29173|USD|199
2012-10-17|42.03|42.73|41.71|42.25|183821|USD|200
2012-10-18|39.9|39.9|37.19|37.4|446889|USD|201
2012-10-19|37.16|37.8|36.29|36.47|196839|USD|202
2012-10-22|36.47|36.9|36.19|36.82|119315|USD|203
2012-10-23|36.44|37.81|36.11|37.41|60589|USD|204
2012-10-24|37.57|37.91|37.01|37.58|54242|USD|205
