Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|11.1|11.13|10.56|11.02|584848|USD|0
2012-01-04|10.98|11.32|10.9|11.0|651048|USD|1
2012-01-05|10.89|11.18|10.81|11.17|489868|USD|2
2012-01-06|11.13|11.16|10.72|11.03|475090|USD|3
2012-01-09|11.11|11.4|11.04|11.22|325212|USD|4
2012-01-10|11.38|11.39|11.2|11.33|271592|USD|5
2012-01-11|11.31|11.39|11.08|11.31|456827|USD|6
2012-01-12|11.28|11.68|11.18|11.66|312785|USD|7
2012-01-13|11.48|11.6|11.09|11.16|319266|USD|8
2012-01-17|11.09|11.33|10.95|11.01|527081|USD|9
2012-01-18|10.96|11.3|10.95|11.3|383827|USD|10
2012-01-19|11.34|11.5|11.16|11.19|335472|USD|11
2012-01-20|11.16|11.18|10.3|10.72|781043|USD|12
2012-01-23|10.74|11.0|10.61|10.97|468704|USD|13
2012-01-24|10.9|11.01|10.82|10.95|414377|USD|14
2012-01-25|10.91|11.06|10.85|11.04|394866|USD|15
2012-01-26|11.13|11.2|10.96|11.03|432231|USD|16
2012-01-27|10.72|11.28|10.72|11.26|289260|USD|17
2012-01-30|11.13|11.29|11.07|11.13|360088|USD|18
2012-01-31|11.12|11.4|10.5|10.64|456725|USD|19
2012-02-01|10.76|11.08|10.7|11.04|548589|USD|20
2012-02-02|11.13|11.2|10.9|10.98|338925|USD|21
2012-02-03|11.2|11.2|10.97|11.01|307511|USD|22
2012-02-06|10.88|10.93|10.6|10.76|249970|USD|23
2012-02-07|10.67|10.69|10.54|10.64|274538|USD|24
2012-02-08|10.64|10.77|10.47|10.68|291030|USD|25
2012-02-09|10.74|10.85|10.61|10.73|268493|USD|26
2012-02-10|10.57|10.93|10.5|10.84|259670|USD|27
2012-02-13|10.93|11.04|10.62|11.0|318437|USD|28
2012-02-14|10.93|11.04|10.76|10.92|277721|USD|29
2012-02-15|10.95|11.05|10.85|11.01|320446|USD|30
2012-02-16|11.02|11.34|10.99|11.27|147762|USD|31
2012-02-17|11.37|11.6|11.28|11.49|245535|USD|32
2012-02-21|11.88|12.45|11.72|12.43|724386|USD|33
2012-02-22|12.41|12.73|12.16|12.56|667442|USD|34
2012-02-23|12.57|12.64|12.4|12.46|482659|USD|35
2012-02-24|12.43|12.58|12.25|12.53|313943|USD|36
2012-02-27|12.35|12.43|12.05|12.28|294676|USD|37
2012-02-28|12.29|12.46|12.08|12.19|256359|USD|38
2012-02-29|12.21|12.36|11.98|12.0|354182|USD|39
2012-03-01|12.2|12.31|12.01|12.02|326143|USD|40
2012-03-02|11.95|12.13|11.76|11.86|351774|USD|41
2012-03-05|11.8|11.86|11.43|11.61|343376|USD|42
