Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.26|5.7|5.26|5.64|9821|USD|0
2012-01-04|5.95|6.8|5.66|6.75|45004|USD|1
2012-01-05|6.72|6.99|6.52|6.83|6500|USD|2
2012-01-06|7.1|8.35|7.1|8.15|49322|USD|3
2012-01-09|8.6|8.61|8.15|8.61|15508|USD|4
2012-01-10|8.6|8.61|8.42|8.54|10534|USD|5
2012-01-11|8.6|8.6|8.48|8.48|8636|USD|6
2012-01-12|8.55|8.6|8.46|8.6|5484|USD|7
2012-01-13|8.6|8.6|8.2|8.49|5280|USD|8
2012-01-17|8.45|8.45|8.18|8.18|9660|USD|9
2012-01-18|8.15|8.27|7.83|7.83|6705|USD|10
2012-01-19|7.98|8.25|7.89|7.94|6653|USD|11
2012-01-20|7.87|8.19|7.87|8.0|11921|USD|12
2012-01-23|8.01|8.02|7.8|7.81|3229|USD|13
2012-01-24|7.63|8.1|7.63|7.97|14818|USD|14
2012-01-25|7.98|8.0|7.85|7.95|5351|USD|15
2012-01-26|7.92|8.3|7.5|8.13|13553|USD|16
2012-01-27|8.17|8.25|8.17|8.25|2500|USD|17
2012-01-30|8.3|8.35|8.26|8.33|4823|USD|18
2012-01-31|8.39|9.0|8.38|8.81|57066|USD|19
2012-02-01|8.86|9.53|8.86|9.15|83388|USD|20
2012-02-02|9.24|9.53|9.05|9.4|17075|USD|21
2012-02-03|9.39|9.55|9.12|9.53|26412|USD|22
2012-02-06|9.4|9.5|9.16|9.43|10600|USD|23
2012-02-07|9.31|9.69|9.31|9.32|6808|USD|24
2012-02-08|9.47|9.63|9.39|9.55|9494|USD|25
2012-02-09|9.52|9.52|9.3|9.38|3500|USD|26
2012-02-10|9.3|9.31|9.16|9.28|7822|USD|27
2012-02-13|9.3|9.58|9.13|9.25|8030|USD|28
2012-02-14|9.57|9.57|9.12|9.28|1351|USD|29
2012-02-15|9.23|9.34|8.59|8.9|49502|USD|30
2012-02-16|8.88|9.31|8.8|9.06|6350|USD|31
2012-02-17|7.9|9.0|7.9|8.82|6488|USD|32
2012-02-21|8.4|8.6|7.96|7.96|17430|USD|33
2012-02-22|7.48|7.94|6.5|7.52|28332|USD|34
2012-02-23|7.28|8.24|7.26|7.93|12726|USD|35
2012-02-24|7.91|8.24|7.84|7.84|7620|USD|36
2012-02-27|8.0|8.04|7.72|7.72|2800|USD|37
2012-02-28|7.77|7.77|7.51|7.65|5880|USD|38
2012-02-29|7.65|7.77|7.6|7.65|5449|USD|39
2012-03-01|7.95|7.98|7.65|7.9|2900|USD|40
2012-03-02|7.84|7.84|7.56|7.61|3452|USD|41
2012-03-05|7.61|7.91|7.61|7.77|5170|USD|42
2012-03-06|7.88|7.9|7.66|7.9|5392|USD|43
2012-03-07|7.96|7.99|7.67|7.87|2500|USD|44
2012-03-08|7.98|7.99|7.91|7.91|1000|USD|45
2012-03-09|7.73|7.87|7.73|7.87|880|USD|46
2012-03-12|7.66|7.79|7.66|7.79|1820|USD|47
2012-03-13|7.73|7.9|7.73|7.9|2463|USD|48
2012-03-14|7.76|7.76|7.55|7.59|7975|USD|49
2012-03-15|7.59|7.7|7.41|7.65|2790|USD|50
2012-03-16|7.68|7.68|7.5|7.58|500|USD|51
2012-03-19|7.55|7.58|7.3|7.58|4601|USD|52
2012-03-20|7.3|7.54|7.22|7.46|7545|USD|53
2012-03-21|7.4|7.45|7.07|7.25|9416|USD|54
2012-03-22|7.25|7.27|6.66|6.76|11276|USD|55
2012-03-23|6.6|6.98|6.52|6.94|11400|USD|56
2012-03-26|6.97|7.23|6.7|7.23|7475|USD|57
2012-03-27|7.19|7.19|7.0|7.18|6706|USD|58
2012-03-28|7.06|7.06|6.86|6.86|4839|USD|59
2012-03-29|6.91|7.01|6.42|6.5|21165|USD|60
2012-03-30|6.66|6.85|6.66|6.75|2200|USD|61
2012-04-02|6.8|6.81|6.8|6.81|1000|USD|62
2012-04-03|6.82|6.85|6.62|6.7|1300|USD|63
2012-04-04|6.75|6.76|6.59|6.68|6819|USD|64
2012-04-05|6.75|6.94|6.58|6.94|6133|USD|65
2012-04-09|6.85|6.85|6.6|6.85|3497|USD|66
2012-04-10|6.77|6.99|6.65|6.99|5214|USD|67
2012-04-11|7.0|7.68|7.0|7.0|24914|USD|68
2012-04-12|7.53|7.53|6.85|7.19|18768|USD|69
2012-04-13|6.99|7.02|6.65|6.76|13985|USD|70
2012-04-16|6.82|7.07|6.6|6.75|24150|USD|71
2012-04-17|6.83|6.98|6.67|6.86|3200|USD|72
2012-04-18|6.82|6.9|6.64|6.9|8325|USD|73
2012-04-19|6.83|6.83|6.51|6.71|3226|USD|74
2012-04-20|6.68|6.78|6.48|6.52|8425|USD|75
2012-04-23|6.41|6.73|6.4|6.64|27124|USD|76
2012-04-24|6.59|6.67|6.42|6.67|10800|USD|77
2012-04-25|6.62|6.83|6.51|6.68|9366|USD|78
2012-04-26|6.56|6.86|6.56|6.75|3985|USD|79
2012-04-27|6.85|6.96|6.79|6.82|2838|USD|80
2012-04-30|6.9|7.18|6.73|7.15|10467|USD|81
2012-05-01|7.01|7.1|6.68|6.68|2430|USD|82
2012-05-02|6.8|6.86|6.65|6.86|10549|USD|83
2012-05-03|6.85|6.93|6.85|6.93|500|USD|84
2012-05-04|6.95|7.02|6.95|7.01|2625|USD|85
2012-05-07|6.95|7.13|6.95|7.09|1611|USD|86
2012-05-08|7.05|7.17|7.0|7.17|3131|USD|87
2012-05-09|7.07|7.24|7.0|7.2|1774|USD|88
2012-05-10|7.07|7.19|7.0|7.11|6600|USD|89
2012-05-11|7.19|7.45|7.1|7.24|16738|USD|90
2012-05-14|7.23|7.28|7.12|7.12|6529|USD|91
2012-05-15|7.27|7.34|7.1|7.34|919|USD|92
2012-05-16|7.25|7.4|7.17|7.17|2575|USD|93
2012-05-17|7.17|7.3|7.1|7.3|2940|USD|94
2012-05-18|7.2|7.3|7.11|7.3|4100|USD|95
2012-05-21|7.29|7.29|7.14|7.14|2818|USD|96
2012-05-22|7.27|7.35|7.2|7.22|1000|USD|97
2012-05-23|7.38|7.38|7.15|7.15|3550|USD|98
2012-05-24|7.15|7.3|7.15|7.3|1440|USD|99
2012-05-25|7.11|7.15|7.01|7.15|1922|USD|100
2012-05-29|7.16|7.36|7.15|7.32|17252|USD|101
2012-05-30|7.27|7.41|7.17|7.38|9558|USD|102
2012-05-31|7.43|7.45|7.43|7.45|1620|USD|103
2012-06-01|7.36|7.45|7.27|7.45|1958|USD|104
2012-06-04|7.41|7.41|7.11|7.35|5807|USD|105
2012-06-05|7.25|7.45|7.25|7.45|1760|USD|106
2012-06-06|7.46|7.46|7.26|7.26|7604|USD|107
2012-06-07|7.31|7.32|6.93|7.32|9048|USD|108
2012-06-08|7.13|7.2|7.13|7.2|1689|USD|109
2012-06-11|7.21|7.21|6.75|6.81|13038|USD|110
2012-06-12|6.77|7.06|6.77|6.95|1750|USD|111
2012-06-13|6.88|7.06|6.86|7.06|300|USD|112
2012-06-14|7.02|7.21|7.02|7.21|2901|USD|113
2012-06-15|7.21|7.21|7.04|7.13|2658|USD|114
2012-06-18|7.08|7.24|7.03|7.13|6480|USD|115
2012-06-19|7.07|7.22|7.07|7.22|400|USD|116
2012-06-20|7.17|7.25|7.17|7.25|2537|USD|117
2012-06-21|7.24|7.25|7.11|7.2|3560|USD|118
2012-06-22|7.13|7.2|7.13|7.2|4248|USD|119
2012-06-25|7.16|7.19|6.75|7.14|12882|USD|120
2012-06-26|7.02|7.08|6.94|7.05|5357|USD|121
2012-06-27|7.01|7.19|7.0|7.19|2775|USD|122
2012-06-28|7.11|7.11|7.02|7.09|900|USD|123
2012-06-29|7.19|7.24|6.75|6.75|12311|USD|124
2012-07-02|7.12|7.19|6.9|7.19|2638|USD|125
2012-07-03|7.15|7.28|7.15|7.28|9256|USD|126
2012-07-05|7.27|7.8|7.27|7.77|8692|USD|127
2012-07-06|7.63|7.65|7.42|7.5|6123|USD|128
2012-07-09|7.5|7.6|7.42|7.45|8051|USD|129
2012-07-10|7.64|7.73|7.42|7.5|7692|USD|130
2012-07-11|7.5|8.8|7.5|8.49|70831|USD|131
2012-07-12|8.49|8.5|8.04|8.12|21488|USD|132
2012-07-13|7.99|8.15|7.8|8.15|15633|USD|133
2012-07-16|8.01|8.14|7.71|7.73|15488|USD|134
2012-07-17|7.84|7.84|7.03|7.67|13440|USD|135
2012-07-18|7.62|7.62|7.38|7.38|9054|USD|136
2012-07-19|7.4|7.58|7.4|7.58|6577|USD|137
2012-07-20|7.37|7.67|7.33|7.35|4950|USD|138
2012-07-23|7.35|7.35|6.9|7.34|8440|USD|139
2012-07-24|7.23|7.44|7.01|7.08|10425|USD|140
2012-07-25|7.39|7.39|7.25|7.25|200|USD|141
2012-07-26|7.32|7.32|7.28|7.28|500|USD|142
2012-07-27|7.27|7.28|7.0|7.28|3253|USD|143
2012-07-30|7.01|7.12|7.01|7.12|1120|USD|144
2012-07-31|7.16|7.18|7.15|7.15|8712|USD|145
2012-08-01|7.03|7.15|6.92|7.0|8134|USD|146
2012-08-02|6.93|6.93|6.51|6.75|15505|USD|147
2012-08-03|6.75|6.85|6.75|6.77|5435|USD|148
2012-08-06|6.87|6.87|6.7|6.7|2742|USD|149
2012-08-07|6.66|6.85|6.66|6.74|10180|USD|150
2012-08-08|6.77|6.79|6.63|6.65|6475|USD|151
2012-08-09|6.71|6.76|6.49|6.65|14895|USD|152
2012-08-10|6.67|6.81|6.57|6.61|9295|USD|153
2012-08-13|6.61|6.61|6.21|6.3|27484|USD|154
2012-08-14|6.3|6.35|6.15|6.3|14749|USD|155
2012-08-15|6.24|6.63|6.2|6.27|4154|USD|156
2012-08-16|6.59|6.59|6.24|6.48|10047|USD|157
2012-08-17|6.6|6.63|6.51|6.62|2400|USD|158
2012-08-20|6.36|6.65|6.36|6.65|940|USD|159
2012-08-21|6.61|6.61|6.4|6.58|2500|USD|160
2012-08-23|6.35|6.55|6.34|6.53|1599|USD|161
2012-08-24|6.5|6.73|6.5|6.73|1684|USD|162
2012-08-27|6.68|7.0|6.6|6.89|2972|USD|163
2012-08-28|6.82|6.82|6.81|6.81|1050|USD|164
2012-08-29|6.7|6.75|6.7|6.75|706|USD|165
2012-08-30|6.73|6.73|6.67|6.71|1000|USD|166
2012-08-31|6.79|6.85|6.72|6.72|1203|USD|167
2012-09-04|6.67|6.67|6.67|6.67|385|USD|168
2012-09-05|6.64|6.64|6.21|6.28|25420|USD|169
2012-09-06|6.29|6.35|6.21|6.34|5686|USD|170
2012-09-07|6.34|6.34|6.27|6.34|4008|USD|171
2012-09-10|6.34|6.34|6.06|6.12|7555|USD|172
2012-09-11|6.1|6.34|6.1|6.26|4600|USD|173
2012-09-12|6.24|6.24|6.2|6.22|1970|USD|174
2012-09-13|6.22|6.47|6.2|6.42|5965|USD|175
2012-09-14|6.43|6.43|6.25|6.36|3050|USD|176
2012-09-17|6.54|6.54|6.35|6.35|1455|USD|177
2012-09-18|6.35|6.35|6.12|6.15|2300|USD|178
2012-09-19|6.5|6.5|6.15|6.22|2000|USD|179
2012-09-20|6.26|6.44|6.2|6.38|1807|USD|180
2012-09-21|6.54|6.54|6.21|6.25|3149|USD|181
2012-09-25|6.16|6.4|6.16|6.38|1202|USD|182
2012-09-26|6.23|6.34|6.18|6.18|1880|USD|183
2012-09-27|6.25|6.55|6.16|6.55|5896|USD|184
2012-10-01|6.4|6.5|6.25|6.47|7233|USD|185
2012-10-02|6.36|6.47|6.34|6.34|2051|USD|186
2012-10-03|6.39|6.43|6.33|6.42|1230|USD|187
2012-10-04|6.48|6.48|6.48|6.48|100|USD|188
2012-10-05|6.36|6.37|6.25|6.25|3779|USD|189
2012-10-08|6.3|6.39|6.3|6.39|670|USD|190
2012-10-10|6.35|6.39|6.35|6.39|2200|USD|191
2012-10-11|6.35|6.49|6.35|6.49|1778|USD|192
2012-10-12|6.48|6.57|6.44|6.57|10269|USD|193
