Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|0.561|0.598|0.56|0.57|9504|USD|0
2012-01-04|0.564|0.587|0.551|0.561|12887|USD|1
2012-01-05|0.551|0.598|0.551|0.59|1500|USD|2
2012-01-06|0.57|0.598|0.57|0.598|3873|USD|3
2012-01-09|0.58|0.599|0.562|0.597|9385|USD|4
2012-01-10|0.602|0.617|0.57|0.58|7605|USD|5
2012-01-11|0.609|0.609|0.578|0.58|1500|USD|6
2012-01-12|0.575|0.601|0.575|0.59|19117|USD|7
2012-01-13|0.58|0.61|0.58|0.6|19240|USD|8
2012-01-17|0.59|0.626|0.58|0.618|45136|USD|9
2012-01-18|0.63|0.63|0.582|0.6|14404|USD|10
2012-01-19|0.6|0.6|0.58|0.6|7699|USD|11
2012-01-20|0.576|0.62|0.551|0.6|19564|USD|12
2012-01-23|0.586|0.6|0.581|0.6|4166|USD|13
2012-01-24|0.567|0.6|0.56|0.6|26798|USD|14
2012-01-25|0.57|0.6|0.561|0.598|21599|USD|15
2012-01-26|0.592|0.621|0.57|0.6|53482|USD|16
2012-01-27|0.76|0.88|0.75|0.8|1184395|USD|17
2012-01-30|0.847|0.847|0.691|0.71|147598|USD|18
2012-01-31|0.69|0.74|0.672|0.7|101510|USD|19
2012-02-01|0.7|0.747|0.67|0.739|83468|USD|20
2012-02-02|0.722|0.747|0.691|0.729|43433|USD|21
2012-02-03|0.735|0.735|0.68|0.71|69333|USD|22
2012-02-06|0.671|0.73|0.642|0.7|230266|USD|23
2012-02-07|0.7|0.72|0.68|0.71|67146|USD|24
2012-02-08|0.739|0.76|0.712|0.759|69838|USD|25
2012-02-09|0.76|0.76|0.71|0.75|16195|USD|26
2012-02-10|0.74|0.75|0.69|0.71|6129|USD|27
2012-02-13|0.69|0.73|0.684|0.7|6870|USD|28
2012-02-14|0.75|0.75|0.69|0.7|11299|USD|29
2012-02-15|0.7|0.745|0.688|0.707|25550|USD|30
2012-02-16|0.71|0.74|0.71|0.74|1199|USD|31
