Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.94|17.98|17.02|17.27|52459|USD|0
2012-01-04|17.11|17.32|16.92|17.03|46596|USD|1
2012-01-05|16.92|17.0|16.72|16.88|39970|USD|2
2012-01-06|16.91|17.12|16.68|16.83|31677|USD|3
2012-01-09|16.95|16.99|16.32|16.46|44815|USD|4
2012-01-10|16.66|16.71|16.47|16.56|25741|USD|5
2012-01-11|16.46|16.69|16.03|16.6|19507|USD|6
2012-01-12|16.6|16.61|16.32|16.46|25547|USD|7
2012-01-13|16.24|16.51|16.24|16.3|27623|USD|8
2012-01-17|16.41|16.52|16.06|16.1|25827|USD|9
2012-01-18|16.02|16.02|15.65|15.98|48725|USD|10
2012-01-19|16.07|16.15|15.64|15.96|19821|USD|11
2012-01-20|15.71|15.86|15.34|15.71|27719|USD|12
2012-01-23|15.76|15.81|15.39|15.42|23277|USD|13
2012-01-24|15.35|15.95|15.16|15.92|28916|USD|14
2012-01-25|15.84|16.41|15.73|16.24|19288|USD|15
2012-01-26|16.34|16.68|15.78|16.13|31606|USD|16
2012-01-27|15.98|16.41|15.98|16.36|14315|USD|17
2012-01-30|16.17|16.52|16.17|16.36|20952|USD|18
2012-01-31|16.51|16.51|16.16|16.43|30070|USD|19
2012-02-01|16.44|16.82|16.3|16.72|51969|USD|20
2012-02-02|16.65|16.79|16.22|16.27|53873|USD|21
2012-02-03|16.61|16.67|16.35|16.42|64480|USD|22
2012-02-06|17.7|18.03|17.01|17.24|92434|USD|23
2012-02-07|17.21|17.21|16.69|16.85|75652|USD|24
2012-02-08|16.94|17.59|16.87|17.53|61701|USD|25
2012-02-09|17.63|17.68|17.36|17.5|33797|USD|26
2012-02-10|17.35|17.64|17.22|17.33|42802|USD|27
2012-02-13|17.51|17.72|17.33|17.72|35367|USD|28
2012-02-14|17.66|17.69|17.44|17.67|40486|USD|29
2012-02-15|17.77|17.77|17.5|17.58|36585|USD|30
2012-02-16|17.53|17.63|17.3|17.52|18538|USD|31
2012-02-17|17.63|17.63|17.26|17.28|18822|USD|32
2012-02-21|17.27|17.27|16.35|16.57|52400|USD|33
2012-02-22|16.49|16.66|16.29|16.33|41461|USD|34
2012-02-23|16.42|17.2|16.26|17.0|24367|USD|35
2012-02-24|17.09|17.17|16.95|17.04|11255|USD|36
2012-02-27|16.99|17.07|16.7|16.87|18285|USD|37
