Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|19.25|19.77|18.77|19.73|56840|USD|0
2012-01-04|19.51|19.51|19.03|19.06|17363|USD|1
2012-01-05|18.93|19.4|18.93|19.33|9874|USD|2
2012-01-06|19.21|19.3|18.67|18.68|18305|USD|3
2012-01-09|18.75|18.75|17.5|17.53|47368|USD|4
2012-01-10|17.88|18.36|17.75|18.35|18801|USD|5
2012-01-11|18.19|18.94|18.16|18.86|20479|USD|6
2012-01-12|18.84|19.59|18.58|19.41|20880|USD|7
2012-01-13|19.0|19.32|18.75|18.84|18814|USD|8
2012-01-17|19.14|19.14|18.12|19.02|27572|USD|9
2012-01-18|18.94|20.0|18.94|19.99|26464|USD|10
2012-01-19|20.1|20.1|19.2|19.76|22323|USD|11
2012-01-20|19.64|20.23|19.26|20.23|22095|USD|12
2012-01-23|20.19|20.43|19.75|20.21|7534|USD|13
2012-01-24|20.0|20.23|19.62|20.09|26698|USD|14
2012-01-25|19.98|20.4|19.33|20.27|21517|USD|15
2012-01-26|20.37|20.37|19.9|20.17|19575|USD|16
2012-01-27|20.13|20.49|20.06|20.41|42946|USD|17
2012-01-30|20.1|20.42|19.66|20.12|27047|USD|18
2012-01-31|20.32|20.39|19.9|20.24|25657|USD|19
2012-02-01|20.41|21.0|19.98|20.89|44781|USD|20
2012-02-02|20.79|20.97|20.02|20.56|37827|USD|21
2012-02-03|20.99|20.99|20.59|20.72|31693|USD|22
2012-02-06|20.72|20.8|20.03|20.54|39249|USD|23
2012-02-07|20.25|20.62|20.15|20.49|35071|USD|24
2012-02-08|20.46|20.6|20.02|20.08|30228|USD|25
2012-02-09|20.09|20.09|19.11|19.11|10433|USD|26
2012-02-10|19.06|19.28|18.64|18.81|18895|USD|27
2012-02-13|19.17|19.23|18.94|19.11|116678|USD|28
2012-02-14|18.93|19.19|18.65|19.15|22665|USD|29
2012-02-15|19.22|19.22|18.61|18.64|46061|USD|30
2012-02-16|18.64|19.56|18.64|19.22|22029|USD|31
2012-02-17|19.29|19.64|18.98|19.53|25659|USD|32
2012-02-21|19.54|19.92|18.55|18.8|30321|USD|33
2012-02-22|18.91|18.91|18.6|18.64|10301|USD|34
2012-02-23|18.31|19.05|18.31|19.0|15196|USD|35
2012-02-24|18.45|18.9|18.43|18.47|6922|USD|36
2012-02-27|18.26|18.3|17.9|18.0|57222|USD|37
2012-02-28|18.09|18.09|17.82|17.97|6280|USD|38
2012-02-29|17.95|17.95|17.45|17.48|36828|USD|39
2012-03-01|17.69|17.91|17.0|17.0|27097|USD|40
2012-03-02|17.1|17.32|16.38|16.71|79940|USD|41
2012-03-05|16.68|17.8|16.3|17.24|68924|USD|42
2012-03-06|16.92|17.49|16.88|17.01|34887|USD|43
2012-03-07|16.91|17.33|16.87|17.33|37336|USD|44
2012-03-08|17.41|17.53|17.17|17.25|16627|USD|45
2012-03-09|17.4|18.22|17.17|17.76|17822|USD|46
2012-03-12|17.64|17.89|17.28|17.41|25316|USD|47
2012-03-13|17.6|18.62|17.57|18.49|28540|USD|48
2012-03-14|18.44|18.68|18.26|18.31|17475|USD|49
2012-03-15|18.4|18.51|17.97|18.18|16350|USD|50
2012-03-16|18.28|18.28|17.42|17.62|49834|USD|51
2012-03-19|17.61|18.76|17.57|18.47|36946|USD|52
2012-03-20|18.22|18.81|18.15|18.36|28230|USD|53
2012-03-21|18.51|18.93|18.38|18.42|26266|USD|54
2012-03-22|18.19|18.56|17.76|17.99|18418|USD|55
2012-03-23|17.92|18.77|17.75|18.62|24984|USD|56
2012-03-26|18.96|19.85|18.82|19.73|54679|USD|57
2012-03-27|19.65|20.1|19.19|19.51|35116|USD|58
2012-03-28|19.55|19.79|19.2|19.47|27722|USD|59
2012-03-29|19.25|19.43|18.94|19.05|32173|USD|60
2012-03-30|19.25|19.25|17.67|17.67|37956|USD|61
2012-04-02|17.97|18.83|17.3|18.45|47119|USD|62
2012-04-03|18.3|18.52|17.14|17.33|33472|USD|63
2012-04-04|17.0|17.08|16.66|16.96|46082|USD|64
2012-04-05|16.91|16.93|16.6|16.81|28228|USD|65
2012-04-09|16.31|16.61|16.15|16.53|54152|USD|66
2012-04-10|16.44|16.57|15.8|15.89|26786|USD|67
2012-04-11|16.11|16.54|15.97|16.53|33057|USD|68
2012-04-12|16.4|16.92|16.4|16.72|36153|USD|69
2012-04-13|16.56|16.92|16.29|16.6|48245|USD|70
2012-04-16|16.64|17.35|16.32|17.22|19292|USD|71
2012-04-17|17.45|18.05|17.15|17.85|18556|USD|72
2012-04-18|17.75|17.84|16.41|16.44|18590|USD|73
2012-04-19|16.5|17.06|15.64|15.96|22360|USD|74
2012-04-20|16.45|16.45|15.66|15.99|22811|USD|75
2012-04-23|15.62|15.94|15.33|15.57|34342|USD|76
2012-04-24|15.7|16.06|15.55|15.97|35877|USD|77
2012-04-25|16.28|16.47|16.08|16.15|15596|USD|78
2012-04-26|15.96|16.41|15.96|16.24|33822|USD|79
2012-04-27|16.49|18.11|16.44|18.08|51497|USD|80
