Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.0|8.0|7.59|7.7|3393|USD|0
2012-01-04|7.6|7.72|7.6|7.6|3000|USD|1
2012-01-05|7.53|7.74|7.36|7.65|4909|USD|2
2012-01-06|7.62|7.62|7.29|7.3|10709|USD|3
2012-01-09|7.36|7.4|7.31|7.37|1800|USD|4
2012-01-10|7.38|7.45|7.37|7.45|4790|USD|5
2012-01-11|7.61|7.61|7.46|7.49|2200|USD|6
2012-01-12|7.45|7.67|7.4|7.54|28244|USD|7
2012-01-13|7.55|8.1|7.55|8.01|11890|USD|8
2012-01-17|8.15|8.24|7.86|8.02|11378|USD|9
2012-01-18|8.09|8.18|7.87|8.0|10480|USD|10
2012-01-19|7.92|8.14|7.87|8.13|7380|USD|11
2012-01-20|8.12|8.12|7.91|8.09|3199|USD|12
2012-01-23|7.98|7.98|7.87|7.87|6230|USD|13
2012-01-24|7.75|8.08|7.7|7.86|4518|USD|14
2012-01-25|7.84|8.15|7.84|8.12|3530|USD|15
2012-01-26|8.1|8.1|7.75|8.0|10934|USD|16
2012-01-27|7.93|8.03|7.93|8.03|10051|USD|17
2012-01-30|7.97|8.08|7.97|8.08|1558|USD|18
2012-01-31|8.11|8.74|8.11|8.72|17667|USD|19
2012-02-01|8.73|8.82|8.6|8.66|23576|USD|20
2012-02-02|8.71|8.88|8.57|8.67|8200|USD|21
2012-02-03|8.69|8.82|8.66|8.75|7216|USD|22
2012-02-06|8.77|8.89|8.7|8.7|8555|USD|23
2012-02-07|8.71|8.97|8.71|8.95|5700|USD|24
2012-02-08|8.92|9.1|8.92|9.05|11353|USD|25
2012-02-09|9.02|9.1|9.0|9.06|6750|USD|26
2012-02-10|9.09|9.13|9.0|9.13|9447|USD|27
2012-02-13|9.14|9.15|9.1|9.15|5640|USD|28
2012-02-14|9.2|9.28|9.12|9.12|7081|USD|29
2012-02-15|9.16|9.2|9.15|9.15|1100|USD|30
2012-02-16|9.41|9.41|9.2|9.22|2349|USD|31
2012-02-17|9.28|9.6|9.28|9.46|6668|USD|32
2012-02-21|9.59|9.75|9.5|9.53|12535|USD|33
2012-02-22|9.51|9.51|8.95|9.0|71786|USD|34
2012-02-23|8.9|9.42|8.86|9.0|18464|USD|35
2012-02-24|9.08|9.11|9.0|9.05|9880|USD|36
2012-02-27|8.99|9.09|8.95|9.09|15582|USD|37
2012-02-28|9.05|9.05|8.98|9.02|4939|USD|38
2012-02-29|9.04|9.45|8.95|9.45|18329|USD|39
2012-03-01|9.41|9.41|9.27|9.29|2701|USD|40
2012-03-02|9.25|9.33|9.24|9.33|1200|USD|41
2012-03-05|9.28|9.29|9.21|9.21|1327|USD|42
2012-03-06|9.21|9.42|8.87|9.19|6980|USD|43
2012-03-07|9.15|9.19|9.01|9.15|15860|USD|44
2012-03-08|9.14|9.22|9.11|9.2|21913|USD|45
2012-03-09|9.26|9.43|9.25|9.38|6270|USD|46
2012-03-12|9.12|9.45|9.12|9.24|5731|USD|47
2012-03-13|9.23|9.37|9.23|9.37|5846|USD|48
2012-03-14|9.39|9.39|9.21|9.32|3633|USD|49
2012-03-15|9.25|9.3|8.95|9.15|15451|USD|50
2012-03-16|8.95|9.09|8.95|9.09|1543|USD|51
2012-03-19|9.14|9.27|9.1|9.13|2017|USD|52
2012-03-20|9.11|9.16|8.99|8.99|2672|USD|53
2012-03-21|9.11|9.13|8.95|9.01|15856|USD|54
2012-03-22|9.0|9.07|8.85|8.96|1600|USD|55
2012-03-23|9.01|9.08|8.9|8.95|5854|USD|56
2012-03-26|9.0|9.17|9.0|9.15|3720|USD|57
2012-03-27|9.16|9.16|9.0|9.08|6432|USD|58
2012-03-28|9.14|9.22|8.99|9.22|3206|USD|59
2012-03-29|9.19|9.37|9.15|9.34|5069|USD|60
2012-03-30|9.38|9.73|9.05|9.66|16753|USD|61
2012-04-02|9.73|9.93|9.59|9.83|7170|USD|62
2012-04-03|9.8|9.9|9.8|9.9|1795|USD|63
2012-04-04|9.5|10.0|9.5|9.97|8800|USD|64
2012-04-05|9.84|10.05|9.84|10.01|8450|USD|65
2012-04-09|9.95|10.12|9.9|9.96|3150|USD|66
2012-04-10|9.95|9.95|9.65|9.82|5147|USD|67
2012-04-11|9.51|10.16|9.51|10.15|26560|USD|68
2012-04-12|10.17|10.17|9.06|10.15|2870|USD|69
2012-04-13|10.13|10.17|10.0|10.11|3964|USD|70
2012-04-16|10.01|10.18|10.0|10.1|3992|USD|71
2012-04-17|10.21|10.21|10.0|10.0|6874|USD|72
2012-04-18|9.93|9.95|9.72|9.75|5328|USD|73
2012-04-19|9.79|10.01|9.78|9.85|1762|USD|74
2012-04-20|9.98|9.98|9.87|9.91|750|USD|75
2012-04-23|9.79|9.9|8.95|9.75|6921|USD|76
2012-04-24|9.88|9.88|8.95|9.8|5058|USD|77
2012-04-25|9.88|9.88|9.73|9.86|3290|USD|78
2012-04-26|9.86|9.87|9.62|9.71|17907|USD|79
2012-04-27|9.75|9.92|9.74|9.8|6600|USD|80
2012-04-30|9.8|9.89|9.59|9.89|19139|USD|81
2012-05-01|9.92|9.92|9.34|9.59|3290|USD|82
2012-05-02|9.45|9.45|9.05|9.35|1659|USD|83
2012-05-03|9.37|9.48|9.05|9.39|5343|USD|84
2012-05-04|9.0|9.14|8.91|8.95|3400|USD|85
2012-05-07|8.9|9.11|8.25|8.55|14423|USD|86
2012-05-08|8.49|8.55|8.4|8.47|9250|USD|87
2012-05-09|8.55|8.69|8.38|8.67|4970|USD|88
2012-05-10|8.64|8.78|8.54|8.54|600|USD|89
2012-05-11|8.55|8.55|8.2|8.35|4888|USD|90
2012-05-14|8.35|8.43|8.35|8.35|9268|USD|91
2012-05-15|8.35|8.37|8.25|8.3|3000|USD|92
2012-05-16|8.35|8.35|8.25|8.25|2485|USD|93
2012-05-17|8.3|8.32|8.19|8.3|6900|USD|94
2012-05-18|8.29|8.29|8.1|8.29|5200|USD|95
2012-05-21|8.15|8.2|8.15|8.17|1700|USD|96
2012-05-22|8.17|8.3|8.17|8.3|1612|USD|97
2012-05-23|8.27|8.27|8.15|8.24|12525|USD|98
2012-05-24|8.24|8.34|8.24|8.34|4903|USD|99
2012-05-25|8.34|8.34|8.32|8.34|1100|USD|100
2012-05-29|8.36|8.59|8.36|8.59|5762|USD|101
2012-05-30|8.53|8.83|8.53|8.83|8603|USD|102
2012-05-31|8.75|9.37|8.59|9.25|80948|USD|103
2012-06-01|9.12|9.12|8.14|8.4|17498|USD|104
2012-06-04|8.4|8.4|8.34|8.34|10480|USD|105
2012-06-05|8.37|8.4|8.12|8.34|1106|USD|106
2012-06-06|8.41|9.41|8.41|8.8|1574|USD|107
2012-06-07|8.84|8.95|8.45|8.5|15966|USD|108
2012-06-08|8.41|8.45|8.4|8.45|1800|USD|109
2012-06-11|8.49|8.49|8.1|8.29|7500|USD|110
2012-06-12|8.17|8.17|8.15|8.15|2420|USD|111
2012-06-13|8.06|8.15|7.95|8.06|2597|USD|112
2012-06-14|8.09|8.09|8.02|8.02|2323|USD|113
2012-06-15|7.96|8.14|7.95|8.04|6788|USD|114
2012-06-18|7.96|8.08|7.9|8.0|1427|USD|115
2012-06-19|8.01|8.01|7.86|7.86|911|USD|116
2012-06-21|7.91|7.99|7.89|7.96|1996|USD|117
2012-06-22|8.04|8.04|7.96|7.96|285|USD|118
2012-06-25|8.05|8.05|8.03|8.05|1100|USD|119
2012-06-26|8.05|8.11|8.0|8.03|7037|USD|120
2012-06-27|8.05|8.2|7.81|8.17|4327|USD|121
2012-06-28|8.15|8.19|7.87|8.19|3300|USD|122
2012-06-29|8.25|8.6|8.23|8.45|7500|USD|123
2012-07-02|8.41|8.64|8.12|8.16|5097|USD|124
2012-07-03|8.11|8.4|7.93|8.15|7600|USD|125
2012-07-05|8.28|8.36|8.11|8.26|5804|USD|126
2012-07-06|8.03|8.27|7.98|8.05|5267|USD|127
2012-07-09|7.88|8.0|7.88|8.0|300|USD|128
2012-07-10|7.93|7.93|7.85|7.9|2074|USD|129
2012-07-11|8.08|8.08|7.85|8.0|1000|USD|130
2012-07-12|7.99|8.12|7.99|8.09|1451|USD|131
2012-07-13|8.14|8.16|8.12|8.16|2150|USD|132
2012-07-16|8.22|8.22|8.08|8.08|1200|USD|133
2012-07-17|8.01|8.01|7.99|7.99|649|USD|134
2012-07-18|8.02|8.1|7.73|8.01|7625|USD|135
2012-07-19|8.11|8.11|8.11|8.11|100|USD|136
2012-07-20|7.53|8.28|7.53|8.11|1199|USD|137
2012-07-23|8.04|8.04|7.86|7.99|1574|USD|138
2012-07-24|7.96|7.96|7.75|7.75|731|USD|139
2012-07-25|8.21|8.21|8.21|8.21|100|USD|140
2012-07-26|8.19|8.19|8.0|8.0|600|USD|141
2012-07-27|8.0|8.0|7.75|7.95|2085|USD|142
2012-07-30|7.5|7.91|7.5|7.89|5037|USD|143
2012-07-31|7.72|8.35|7.72|8.27|14906|USD|144
2012-08-01|8.37|8.37|7.91|7.91|1600|USD|145
