Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|2.96|3.04|2.95|3.0|96680|USD|0
2012-01-04|2.98|3.01|2.92|2.98|32118|USD|1
2012-01-05|2.95|2.99|2.88|2.99|356381|USD|2
2012-01-06|2.99|2.99|2.96|2.96|69427|USD|3
2012-01-09|2.96|3.03|2.95|3.02|48315|USD|4
2012-01-10|3.05|3.05|3.01|3.03|45800|USD|5
2012-01-11|3.02|3.05|2.99|3.04|37405|USD|6
2012-01-12|3.05|3.05|2.99|3.03|27401|USD|7
2012-01-13|2.98|3.02|2.97|3.02|29996|USD|8
2012-01-17|3.04|3.05|2.99|3.02|72093|USD|9
2012-01-18|3.02|3.07|3.02|3.07|103492|USD|10
2012-01-19|3.08|3.14|3.08|3.14|27334|USD|11
2012-01-20|3.12|3.2|3.12|3.16|117767|USD|12
2012-01-23|3.18|3.2|3.14|3.16|32366|USD|13
2012-01-24|3.14|3.16|3.04|3.11|84053|USD|14
2012-01-25|3.11|3.14|3.11|3.12|71269|USD|15
2012-01-26|3.14|3.14|3.08|3.11|42711|USD|16
2012-01-27|3.1|3.16|3.08|3.14|39078|USD|17
2012-01-30|3.11|3.12|3.07|3.08|27959|USD|18
2012-01-31|3.1|3.1|3.04|3.08|30824|USD|19
2012-02-01|3.1|3.13|3.05|3.11|71892|USD|20
2012-02-02|3.11|3.17|3.11|3.17|74231|USD|21
2012-02-03|3.17|3.24|3.17|3.23|94829|USD|22
2012-02-06|3.22|3.27|3.18|3.26|22089|USD|23
2012-02-07|3.25|3.25|3.17|3.19|28084|USD|24
2012-02-08|3.2|3.31|3.14|3.3|16941|USD|25
2012-02-09|3.3|3.3|3.16|3.17|40087|USD|26
2012-02-10|3.12|3.17|3.11|3.13|41482|USD|27
2012-02-13|3.17|3.2|3.14|3.14|17010|USD|28
2012-02-14|3.14|3.14|3.11|3.12|13840|USD|29
2012-02-15|3.14|3.17|3.1|3.12|55082|USD|30
2012-02-16|3.14|3.16|3.11|3.15|27898|USD|31
2012-02-17|3.17|3.23|3.11|3.22|39088|USD|32
2012-02-21|3.21|3.23|3.12|3.12|32100|USD|33
2012-02-22|3.11|3.17|3.11|3.14|96193|USD|34
2012-02-23|3.17|3.24|3.12|3.22|91121|USD|35
2012-02-24|3.21|3.21|3.17|3.18|17350|USD|36
2012-02-27|3.14|3.24|3.14|3.15|20158|USD|37
2012-02-28|3.15|3.17|3.1|3.15|31165|USD|38
2012-02-29|3.15|3.15|3.11|3.14|46990|USD|39
2012-03-01|3.21|3.23|3.03|3.11|42305|USD|40
2012-03-02|3.11|3.11|3.01|3.01|93610|USD|41
2012-03-05|2.99|2.99|2.93|2.95|52729|USD|42
2012-03-06|2.88|2.92|2.77|2.88|57270|USD|43
2012-03-07|2.92|2.97|2.88|2.94|55333|USD|44
2012-03-08|2.95|2.99|2.87|2.98|41922|USD|45
2012-03-09|2.97|3.08|2.96|3.0|95018|USD|46
2012-03-12|2.99|3.03|2.93|3.0|27919|USD|47
