Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|35.19|36.28|35.13|35.76|29469|USD|0
2012-01-04|36.03|36.21|35.03|35.67|27218|USD|1
2012-01-05|35.89|35.89|35.3|35.84|28244|USD|2
2012-01-06|35.45|36.81|35.45|36.37|36287|USD|3
2012-01-09|35.92|38.45|35.63|37.8|45121|USD|4
2012-01-10|37.69|37.98|37.19|37.6|41846|USD|5
2012-01-11|38.24|38.24|36.91|37.5|32383|USD|6
2012-01-12|37.12|38.42|36.91|37.11|23268|USD|7
2012-01-13|37.11|37.4|36.91|37.24|25521|USD|8
2012-01-17|37.29|37.29|36.81|37.1|23045|USD|9
2012-01-18|36.62|37.01|36.62|36.74|11270|USD|10
2012-01-19|36.65|36.95|36.51|36.59|39351|USD|11
2012-01-20|36.32|36.75|36.32|36.54|17590|USD|12
2012-01-23|37.11|37.28|36.24|36.52|8973|USD|13
2012-01-24|37.1|37.1|36.47|36.67|17635|USD|14
2012-01-25|36.77|37.2|36.72|37.11|11085|USD|15
2012-01-26|37.2|37.59|36.94|36.97|11977|USD|16
2012-01-27|36.7|37.27|36.7|36.85|4856|USD|17
2012-01-30|36.8|37.17|36.62|36.7|6158|USD|18
2012-01-31|36.92|37.5|36.86|37.21|6790|USD|19
2012-02-01|37.49|37.5|37.22|37.26|5594|USD|20
2012-02-02|37.5|37.68|37.14|37.14|7854|USD|21
2012-02-03|37.46|38.36|37.13|38.2|16375|USD|22
2012-02-06|38.21|38.36|37.73|38.15|8744|USD|23
2012-02-07|38.09|38.43|37.96|38.16|10992|USD|24
2012-02-08|38.41|38.93|38.13|38.57|7695|USD|25
2012-02-09|38.83|39.01|38.11|38.91|14268|USD|26
2012-02-10|38.55|38.86|38.08|38.1|9285|USD|27
2012-02-13|38.29|39.06|38.29|38.76|13232|USD|28
2012-02-14|38.57|39.06|38.2|38.58|9100|USD|29
2012-02-15|39.3|40.03|39.08|39.3|57428|USD|30
2012-02-16|39.22|39.84|39.22|39.84|18871|USD|31
2012-02-17|40.03|40.03|39.79|39.92|7801|USD|32
2012-02-21|39.89|40.3|39.79|40.22|5793|USD|33
2012-02-22|40.04|40.5|40.04|40.46|8944|USD|34
2012-02-23|40.18|40.6|39.76|40.6|4349|USD|35
2012-02-24|40.38|40.9|39.79|40.88|11162|USD|36
2012-02-27|40.53|40.89|40.04|40.17|5867|USD|37
2012-02-28|40.39|41.51|40.2|41.5|11472|USD|38
2012-02-29|41.59|41.7|40.77|41.7|9107|USD|39
2012-03-01|41.91|41.93|41.08|41.72|10043|USD|40
2012-03-02|41.83|41.99|41.22|41.92|6752|USD|41
2012-03-05|41.91|42.23|40.91|40.91|9721|USD|42
2012-03-06|40.47|41.01|40.18|40.96|12002|USD|43
2012-03-07|40.52|41.35|40.52|41.01|3370|USD|44
2012-03-08|41.74|41.94|41.2|41.72|5448|USD|45
2012-03-09|41.76|42.32|41.27|41.94|6529|USD|46
