Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|7.87|7.9|7.51|7.55|336827|USD|0
2012-01-04|7.51|7.64|7.26|7.3|399166|USD|1
2012-01-05|7.29|7.31|7.12|7.19|206884|USD|2
2012-01-06|7.19|7.26|7.15|7.21|367185|USD|3
2012-01-09|7.22|7.3|7.18|7.23|229742|USD|4
2012-01-10|7.33|7.47|7.2|7.23|205860|USD|5
2012-01-11|7.22|7.46|7.2|7.46|196593|USD|6
2012-01-12|7.46|7.6|7.3|7.58|322816|USD|7
2012-01-13|7.5|7.6|7.41|7.59|184999|USD|8
2012-01-17|7.64|7.64|7.5|7.53|305251|USD|9
2012-01-18|7.52|7.68|7.46|7.59|187389|USD|10
2012-01-19|7.62|7.76|7.54|7.59|309617|USD|11
2012-01-20|7.58|7.75|7.51|7.53|382306|USD|12
2012-01-23|7.62|7.65|7.5|7.55|254040|USD|13
2012-01-24|7.5|7.75|7.36|7.69|212802|USD|14
2012-01-25|7.7|7.82|7.6|7.75|180928|USD|15
2012-01-26|7.81|7.94|7.74|7.89|370481|USD|16
2012-01-27|7.89|8.1|7.85|8.07|415398|USD|17
2012-01-30|8.0|8.05|7.89|7.94|162530|USD|18
2012-01-31|7.99|8.07|7.9|7.99|209564|USD|19
2012-02-01|8.03|8.07|7.95|8.02|319229|USD|20
2012-02-02|8.07|8.15|8.03|8.13|522860|USD|21
2012-02-03|8.25|8.26|8.15|8.25|359120|USD|22
2012-02-06|8.24|8.29|8.1|8.22|238259|USD|23
2012-02-07|8.21|8.4|8.11|8.25|246220|USD|24
2012-02-08|8.28|8.35|8.2|8.32|186943|USD|25
2012-02-09|8.37|8.39|8.25|8.33|190302|USD|26
2012-02-10|8.27|8.27|8.2|8.23|239456|USD|27
2012-02-13|8.31|8.31|8.21|8.26|138669|USD|28
2012-02-14|8.26|8.26|7.89|7.93|340426|USD|29
2012-02-15|7.99|8.03|7.73|8.01|418536|USD|30
2012-02-16|8.04|8.23|7.98|8.08|249806|USD|31
2012-02-17|8.13|8.16|7.97|8.07|145307|USD|32
2012-02-21|8.12|8.19|7.97|8.0|327091|USD|33
2012-02-22|8.0|8.01|7.54|7.79|1518143|USD|34
2012-02-23|7.81|7.96|7.67|7.96|266546|USD|35
2012-02-24|7.97|7.97|7.83|7.86|117985|USD|36
2012-02-27|7.82|8.11|7.7|8.06|234467|USD|37
2012-02-28|8.07|8.1|7.72|7.82|353785|USD|38
2012-02-29|7.84|7.9|7.63|7.64|291560|USD|39
2012-03-01|7.7|7.81|7.55|7.56|337110|USD|40
2012-03-02|7.53|7.63|7.36|7.48|343256|USD|41
2012-03-05|7.48|7.52|7.36|7.4|260713|USD|42
2012-03-06|7.85|8.27|7.64|8.19|674602|USD|43
2012-03-07|8.25|8.81|8.1|8.76|668187|USD|44
2012-03-08|8.79|8.95|8.56|8.79|819349|USD|45
2012-03-09|8.8|8.89|8.64|8.88|456949|USD|46
2012-03-12|8.86|8.95|8.74|8.82|339716|USD|47
2012-03-13|8.89|9.01|8.8|9.01|463314|USD|48
2012-03-14|9.0|9.0|8.81|8.92|274556|USD|49
2012-03-15|8.94|9.1|8.85|9.1|399645|USD|50
2012-03-16|9.08|9.37|9.05|9.32|853387|USD|51
2012-03-19|9.28|9.5|9.15|9.39|656080|USD|52
2012-03-20|9.35|9.39|9.15|9.23|271371|USD|53
2012-03-21|9.24|9.25|9.12|9.18|230684|USD|54
2012-03-22|9.07|9.23|8.95|9.15|303647|USD|55
2012-03-23|9.16|9.18|9.07|9.15|248817|USD|56
2012-03-26|9.22|9.31|9.16|9.27|252829|USD|57
2012-03-27|9.29|9.3|8.96|9.01|219319|USD|58
2012-03-28|9.01|9.04|8.69|8.77|512780|USD|59
2012-03-29|8.74|8.86|8.6|8.84|264483|USD|60
2012-03-30|8.74|8.8|8.63|8.76|337626|USD|61
2012-04-02|8.7|8.78|8.65|8.7|274076|USD|62
2012-04-03|8.7|8.72|8.55|8.62|280306|USD|63
2012-04-04|8.55|8.61|8.45|8.57|241940|USD|64
2012-04-05|8.54|8.63|8.46|8.54|290564|USD|65
2012-04-09|8.39|8.48|8.16|8.27|305279|USD|66
2012-04-10|8.25|8.5|8.16|8.49|468466|USD|67
2012-04-11|8.54|8.69|8.49|8.61|409892|USD|68
2012-04-12|8.62|8.73|8.6|8.73|254937|USD|69
2012-04-13|8.68|8.71|8.46|8.66|294069|USD|70
2012-04-16|8.66|8.66|8.48|8.61|213979|USD|71
2012-04-17|8.63|8.79|8.58|8.69|170798|USD|72
2012-04-18|8.63|8.71|8.53|8.7|264762|USD|73
2012-04-19|8.68|8.76|8.53|8.66|352991|USD|74
2012-04-20|8.72|8.72|8.56|8.68|368799|USD|75
2012-04-23|8.59|8.59|8.36|8.51|332989|USD|76
2012-04-24|8.54|8.54|8.34|8.53|539356|USD|77
2012-04-25|8.6|8.66|8.34|8.47|365170|USD|78
2012-04-26|8.42|8.61|8.39|8.55|334997|USD|79
2012-04-27|8.55|8.75|8.39|8.73|298883|USD|80
2012-04-30|8.73|8.86|8.63|8.79|333082|USD|81
2012-05-01|8.78|8.91|8.7|8.84|381596|USD|82
2012-05-02|8.75|8.92|8.71|8.91|251353|USD|83
2012-05-03|8.9|9.01|8.44|9.0|637196|USD|84
2012-05-04|8.99|8.99|8.7|8.81|462367|USD|85
2012-05-07|8.79|8.91|8.79|8.87|219458|USD|86
2012-05-08|8.84|8.97|8.65|8.79|377875|USD|87
2012-05-09|8.71|8.84|8.62|8.77|227970|USD|88
2012-05-10|8.84|8.85|8.69|8.79|438963|USD|89
2012-05-11|8.72|8.8|8.62|8.64|160955|USD|90
2012-05-14|8.65|8.7|8.32|8.39|317817|USD|91
2012-05-15|8.37|8.54|8.28|8.46|232032|USD|92
2012-05-16|8.47|8.63|8.39|8.61|324529|USD|93
2012-05-17|8.59|8.68|8.48|8.49|469300|USD|94
2012-05-18|8.51|8.73|8.42|8.48|376402|USD|95
