Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|6.64|7.13|6.13|6.62|5300|USD|0
2012-01-04|6.42|7.1|6.11|6.35|5495|USD|1
2012-01-05|6.52|7.0|6.52|6.99|2550|USD|2
2012-01-06|7.0|7.0|6.97|6.97|455|USD|3
2012-01-09|6.9|6.9|6.9|6.9|145|USD|4
2012-01-10|7.1|7.1|6.6|6.73|818|USD|5
2012-01-11|6.96|6.96|6.81|6.81|700|USD|6
2012-01-12|7.12|7.12|7.04|7.04|225|USD|7
2012-01-13|6.85|6.85|6.85|6.85|100|USD|8
2012-01-17|7.08|7.11|7.08|7.11|500|USD|9
2012-01-18|6.85|6.87|6.85|6.87|503|USD|10
2012-01-19|6.89|7.1|6.47|6.58|5890|USD|11
2012-01-20|6.58|6.63|6.58|6.63|200|USD|12
2012-01-23|6.29|6.52|6.27|6.52|2900|USD|13
2012-01-24|6.4|6.6|6.4|6.6|1617|USD|14
2012-01-25|6.46|6.46|6.25|6.38|2300|USD|15
2012-01-26|6.4|6.71|6.05|6.69|11899|USD|16
2012-01-27|6.64|6.64|6.64|6.64|0|USD|17
2012-01-30|6.31|6.54|6.23|6.41|2400|USD|18
2012-01-31|6.22|6.42|6.21|6.34|1800|USD|19
2012-02-01|6.32|6.37|6.32|6.37|351|USD|20
2012-02-02|6.27|6.65|6.27|6.63|3300|USD|21
2012-02-03|6.67|6.69|6.07|6.07|955|USD|22
2012-02-06|6.19|6.23|6.1|6.15|4039|USD|23
2012-02-07|6.25|6.35|6.25|6.26|950|USD|24
2012-02-10|6.24|6.49|6.24|6.49|400|USD|25
2012-02-13|6.5|6.61|6.5|6.61|1900|USD|26
2012-02-14|6.75|7.06|6.75|7.03|3331|USD|27
2012-02-15|7.04|7.04|6.82|6.91|1200|USD|28
2012-02-16|7.12|7.26|7.06|7.06|5270|USD|29
2012-02-17|6.97|7.15|6.94|7.15|1400|USD|30
2012-02-21|7.1|7.15|7.05|7.05|3998|USD|31
2012-02-23|7.06|7.06|6.7|6.83|1200|USD|32
2012-02-24|6.57|6.57|6.55|6.55|985|USD|33
2012-02-27|6.64|6.64|6.5|6.5|2550|USD|34
2012-02-28|6.38|6.97|6.38|6.85|2780|USD|35
2012-02-29|7.26|7.26|6.27|6.27|4812|USD|36
2012-03-01|6.35|7.01|6.02|6.96|15977|USD|37
2012-03-02|6.75|6.86|6.3|6.31|6190|USD|38
2012-03-05|6.27|7.07|6.27|6.81|8042|USD|39
2012-03-06|6.7|6.91|6.4|6.63|12845|USD|40
2012-03-07|6.66|6.88|6.51|6.62|3828|USD|41
2012-03-08|6.61|6.74|6.55|6.63|8325|USD|42
2012-03-09|6.79|6.79|6.71|6.77|420|USD|43
2012-03-12|6.79|6.82|6.57|6.82|3900|USD|44
2012-03-14|6.56|6.65|6.56|6.65|1200|USD|45
2012-03-19|6.8|6.8|6.53|6.71|4650|USD|46
2012-03-21|6.68|6.78|6.68|6.78|600|USD|47
2012-03-22|6.74|6.74|6.56|6.58|965|USD|48
2012-03-23|6.64|7.15|6.64|6.78|350|USD|49
2012-03-26|6.54|6.62|6.54|6.62|300|USD|50
2012-03-27|6.7|6.86|6.7|6.86|900|USD|51
2012-03-28|6.61|6.61|6.61|6.61|1700|USD|52
2012-03-29|6.65|6.72|6.53|6.6|3002|USD|53
2012-03-30|6.65|6.75|6.65|6.75|300|USD|54
2012-04-02|6.65|6.91|6.6|6.6|8759|USD|55
2012-04-03|6.89|6.89|6.61|6.76|1925|USD|56
2012-04-04|6.7|6.75|6.68|6.7|2344|USD|57
2012-04-09|6.8|7.19|6.77|6.77|2852|USD|58
2012-04-10|6.75|7.12|6.75|7.12|2000|USD|59
2012-04-11|7.2|7.7|6.94|7.7|3299|USD|60
2012-04-12|7.31|7.31|6.75|7.22|7616|USD|61
2012-04-13|7.09|7.29|7.0|7.0|1600|USD|62
2012-04-16|7.0|7.08|7.0|7.08|540|USD|63
2012-04-17|7.09|7.8|7.09|7.79|5000|USD|64
2012-04-18|7.5|7.56|7.3|7.36|2900|USD|65
2012-04-19|7.3|7.45|7.29|7.41|2437|USD|66
2012-04-20|7.4|7.45|7.4|7.45|1884|USD|67
2012-04-23|7.46|7.46|7.46|7.46|100|USD|68
2012-04-24|7.45|7.55|7.16|7.2|8060|USD|69
2012-04-25|7.21|7.21|6.71|6.71|1100|USD|70
2012-04-26|7.01|7.11|6.65|6.68|10218|USD|71
2012-04-27|6.66|7.16|6.65|7.16|5197|USD|72
2012-04-30|7.02|7.28|6.95|7.04|1507|USD|73
2012-05-01|6.8|6.8|6.67|6.77|2425|USD|74
2012-05-02|7.0|7.02|6.7|6.77|6595|USD|75
2012-05-03|6.71|7.7|6.67|7.0|1100|USD|76
2012-05-04|6.88|6.88|6.5|6.51|2448|USD|77
2012-05-07|6.51|6.51|6.5|6.5|320|USD|78
2012-05-08|6.52|6.52|6.46|6.46|350|USD|79
2012-05-09|6.39|6.39|6.0|6.24|2950|USD|80
2012-05-10|6.31|6.31|6.31|6.31|100|USD|81
2012-05-11|6.0|6.0|5.67|5.85|8965|USD|82
2012-05-14|6.15|6.15|6.15|6.15|200|USD|83
2012-05-15|5.99|5.99|5.99|5.99|267|USD|84
2012-05-16|5.92|6.11|5.92|6.11|450|USD|85
2012-05-17|5.55|6.12|5.55|6.12|300|USD|86
2012-05-18|5.85|6.16|5.55|6.13|2360|USD|87
2012-05-21|6.64|6.64|5.58|5.79|9972|USD|88
2012-05-22|5.75|5.82|5.6|5.61|4424|USD|89
2012-05-23|5.59|5.59|5.37|5.37|4118|USD|90
2012-05-24|5.48|5.9|5.48|5.6|5975|USD|91
2012-05-25|5.63|5.91|5.31|5.31|3507|USD|92
2012-05-29|5.39|5.39|5.11|5.17|6879|USD|93
2012-05-30|5.16|5.19|5.1|5.15|3280|USD|94
2012-05-31|5.15|5.16|5.15|5.15|1798|USD|95
2012-06-01|5.2|5.2|4.64|5.12|9746|USD|96
2012-06-04|5.02|5.17|4.77|5.12|3624|USD|97
2012-06-05|5.04|5.17|5.04|5.17|2471|USD|98
2012-06-06|5.11|5.38|4.93|5.3|5761|USD|99
2012-06-07|5.31|5.32|5.3|5.31|700|USD|100
2012-06-08|5.28|5.3|5.28|5.29|1200|USD|101
2012-06-11|5.29|5.29|5.29|5.29|200|USD|102
2012-06-12|5.28|5.63|5.01|5.04|7702|USD|103
2012-06-13|5.14|5.26|5.07|5.08|2755|USD|104
2012-06-14|5.18|5.18|5.15|5.15|700|USD|105
2012-06-15|5.11|5.4|5.1|5.4|1487|USD|106
2012-06-18|5.34|5.34|5.34|5.34|0|USD|107
2012-06-19|5.3|5.39|5.1|5.25|4743|USD|108
2012-06-20|5.25|5.25|5.1|5.1|1051|USD|109
2012-06-21|5.04|5.04|5.04|5.04|800|USD|110
2012-06-22|5.02|5.25|4.98|5.15|6181|USD|111
2012-06-25|5.07|5.3|5.04|5.08|6580|USD|112
2012-06-26|5.1|5.1|4.84|4.97|7472|USD|113
2012-06-27|5.0|5.0|4.85|4.97|9076|USD|114
2012-06-28|5.04|5.07|4.75|5.07|5800|USD|115
2012-06-29|4.95|5.11|4.95|5.1|4819|USD|116
2012-07-02|4.77|5.48|4.77|5.1|6000|USD|117
2012-07-03|4.82|5.1|4.82|5.1|600|USD|118
2012-07-05|5.08|5.09|5.08|5.09|801|USD|119
2012-07-06|5.01|5.09|5.01|5.09|901|USD|120
2012-07-09|5.0|5.0|5.0|5.0|300|USD|121
2012-07-10|5.09|5.1|4.97|5.1|2000|USD|122
2012-07-11|5.08|5.12|5.08|5.12|1800|USD|123
2012-07-12|5.11|5.36|4.99|5.36|4800|USD|124
2012-07-13|5.3|5.44|5.29|5.44|3000|USD|125
2012-07-16|5.48|5.48|5.48|5.48|1500|USD|126
2012-07-17|5.21|5.36|5.2|5.25|4340|USD|127
2012-07-18|5.21|5.31|5.21|5.31|640|USD|128
2012-07-19|5.25|5.3|4.83|5.18|4740|USD|129
2012-07-20|5.21|5.21|4.9|4.93|2100|USD|130
2012-07-23|4.94|4.94|4.83|4.91|6660|USD|131
2012-07-24|4.9|5.01|4.88|4.93|7800|USD|132
