Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.32|8.35|8.31|8.35|1714|USD|0
2012-01-04|8.32|8.32|8.32|8.32|0|USD|1
2012-01-05|8.34|8.5|8.34|8.5|2328|USD|2
2012-01-06|8.54|8.75|8.54|8.75|5364|USD|3
2012-01-09|8.78|8.78|8.78|8.78|0|USD|4
2012-01-10|8.63|8.64|8.37|8.43|2433|USD|5
2012-01-11|8.55|8.55|8.52|8.55|333|USD|6
2012-01-12|8.37|8.55|8.37|8.4|3350|USD|7
2012-01-17|8.55|8.76|8.55|8.76|15390|USD|8
2012-01-18|8.41|8.6|8.4|8.6|2598|USD|9
2012-01-19|8.74|8.74|8.55|8.65|3000|USD|10
2012-01-20|8.76|8.76|8.7|8.76|4500|USD|11
2012-01-23|8.75|8.77|8.75|8.75|7200|USD|12
2012-01-24|8.75|8.95|8.75|8.95|6037|USD|13
2012-01-25|8.94|9.44|8.94|9.44|9930|USD|14
2012-01-26|9.45|9.69|8.9|9.24|13105|USD|15
2012-01-27|9.21|9.55|9.21|9.39|7155|USD|16
2012-01-30|9.37|9.4|9.25|9.27|4350|USD|17
2012-01-31|9.28|9.35|9.28|9.35|2100|USD|18
2012-02-01|9.38|9.44|9.38|9.44|1200|USD|19
2012-02-02|9.44|9.55|9.34|9.45|15252|USD|20
2012-02-03|9.4|9.67|9.0|9.37|15370|USD|21
2012-02-06|9.37|9.5|9.37|9.5|1200|USD|22
2012-02-07|9.54|9.54|9.43|9.53|1245|USD|23
2012-02-08|9.4|9.66|9.37|9.66|1550|USD|24
2012-02-10|9.37|9.37|9.25|9.34|2642|USD|25
2012-02-13|9.35|9.35|9.35|9.35|200|USD|26
2012-02-14|9.31|9.5|9.16|9.25|15148|USD|27
2012-02-16|9.21|9.21|8.9|8.9|5159|USD|28
2012-02-21|8.95|8.95|8.8|8.92|716|USD|29
2012-02-22|8.98|9.0|8.95|9.0|1600|USD|30
2012-02-23|9.0|9.0|8.25|8.33|28775|USD|31
2012-02-24|8.35|8.62|8.35|8.5|1488|USD|32
2012-02-27|8.36|8.58|8.36|8.5|1700|USD|33
2012-02-28|8.41|8.48|8.41|8.45|1500|USD|34
