Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|32.23|32.6|31.96|32.08|129605|USD|0
2012-01-04|31.94|32.03|31.45|31.72|76746|USD|1
2012-01-05|31.46|31.96|31.01|31.73|50802|USD|2
2012-01-06|31.74|32.11|31.36|31.69|79969|USD|3
2012-01-09|31.76|31.76|31.21|31.4|62687|USD|4
2012-01-10|31.86|32.04|31.58|31.79|62126|USD|5
2012-01-11|31.59|31.9|31.01|31.87|46149|USD|6
2012-01-12|31.93|31.94|31.42|31.78|65115|USD|7
2012-01-13|31.36|31.55|31.05|31.19|78390|USD|8
2012-01-17|31.45|31.59|30.9|31.0|81167|USD|9
2012-01-18|30.93|31.75|30.84|31.64|65984|USD|10
2012-01-19|31.66|31.9|31.51|31.57|35701|USD|11
2012-01-20|31.43|32.15|31.28|32.05|42873|USD|12
2012-01-23|31.95|32.5|31.73|31.95|39129|USD|13
2012-01-24|31.7|32.26|31.67|32.22|75002|USD|14
2012-01-25|32.22|32.85|31.96|32.76|49061|USD|15
2012-01-26|33.0|33.0|32.6|32.74|66217|USD|16
2012-01-27|32.67|33.27|31.95|33.02|178272|USD|17
2012-01-30|32.73|33.19|32.43|32.94|102558|USD|18
2012-01-31|33.24|33.4|32.78|32.96|161907|USD|19
2012-02-01|33.24|34.05|33.05|34.01|121686|USD|20
2012-02-02|33.92|34.01|33.57|33.69|110367|USD|21
2012-02-03|34.18|34.36|33.74|33.78|98374|USD|22
2012-02-06|33.66|33.83|33.18|33.22|207802|USD|23
2012-02-07|33.23|33.4|32.8|33.25|166992|USD|24
2012-02-08|33.25|33.58|32.84|33.05|140109|USD|25
2012-02-09|33.1|33.32|32.91|33.31|170153|USD|26
2012-02-10|32.94|33.1|31.94|31.97|177478|USD|27
2012-02-13|32.3|32.7|32.01|32.19|152260|USD|28
2012-02-14|32.05|32.34|31.56|31.74|196962|USD|29
2012-02-15|31.79|31.88|31.41|31.62|236990|USD|30
2012-02-16|31.67|31.95|31.54|31.9|172064|USD|31
2012-02-17|32.02|32.02|31.6|31.64|92126|USD|32
2012-02-21|31.61|31.81|31.46|31.66|77601|USD|33
2012-02-22|31.68|31.81|31.54|31.62|92366|USD|34
2012-02-23|31.69|31.95|31.51|31.82|95505|USD|35
2012-02-24|31.78|31.9|31.66|31.69|57623|USD|36
2012-02-27|31.54|31.54|30.88|31.26|148246|USD|37
2012-02-28|31.24|31.37|30.96|31.27|291510|USD|38
2012-02-29|31.42|31.42|30.78|31.02|246286|USD|39
2012-03-01|31.07|31.24|30.64|30.68|246597|USD|40
2012-03-02|30.72|30.72|30.29|30.4|215299|USD|41
2012-03-05|30.27|30.57|30.18|30.54|337796|USD|42
2012-03-06|30.2|30.62|30.0|30.56|229727|USD|43
2012-03-07|30.59|30.67|30.32|30.67|177714|USD|44
2012-03-08|30.78|31.31|30.5|31.22|84593|USD|45
2012-03-09|31.18|32.13|31.11|31.65|107003|USD|46
2012-03-12|31.63|31.85|31.55|31.7|101207|USD|47
2012-03-13|32.03|32.45|31.85|32.37|129510|USD|48
2012-03-14|32.32|32.45|31.7|31.77|69730|USD|49
2012-03-15|31.84|32.11|31.63|32.02|82792|USD|50
2012-03-16|32.07|32.21|31.83|31.85|140210|USD|51
2012-03-19|31.84|32.5|31.68|32.17|91411|USD|52
