Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|6.24|6.31|5.87|5.99|112251|USD|0
2012-01-04|5.92|6.03|5.86|5.88|66483|USD|1
2012-01-05|5.81|5.91|5.7|5.81|104232|USD|2
2012-01-06|5.81|5.81|5.52|5.68|94081|USD|3
2012-01-09|5.95|6.09|5.86|6.0|242466|USD|4
2012-01-10|6.24|6.25|6.01|6.2|248701|USD|5
2012-01-11|6.19|6.45|6.19|6.41|194207|USD|6
2012-01-12|6.41|6.94|6.41|6.91|191638|USD|7
2012-01-13|6.82|7.6|6.64|7.47|255478|USD|8
2012-01-17|7.56|7.6|7.01|7.04|214820|USD|9
2012-01-18|7.05|7.29|7.0|7.1|91480|USD|10
2012-01-19|7.14|7.5|7.07|7.46|81528|USD|11
2012-01-20|7.43|7.43|7.15|7.3|92399|USD|12
2012-01-23|7.27|7.34|7.2|7.24|56053|USD|13
2012-01-24|7.15|7.27|7.06|7.22|56481|USD|14
2012-01-25|7.2|7.39|7.01|7.26|94386|USD|15
2012-01-26|7.32|7.39|7.14|7.37|66397|USD|16
2012-01-27|7.32|7.62|7.23|7.49|78863|USD|17
2012-01-30|7.42|7.96|7.38|7.87|132084|USD|18
2012-01-31|7.9|8.0|7.62|7.81|135897|USD|19
2012-02-01|7.94|8.5|7.88|8.37|190502|USD|20
2012-02-02|8.42|9.08|8.26|8.94|247187|USD|21
2012-02-03|9.2|9.3|8.96|9.05|202377|USD|22
2012-02-06|8.93|9.32|8.92|9.08|150886|USD|23
2012-02-07|9.09|9.21|8.93|9.15|112937|USD|24
2012-02-08|9.15|9.36|8.8|9.34|153438|USD|25
2012-02-09|9.4|9.69|9.31|9.5|152148|USD|26
2012-02-10|9.35|9.36|8.8|9.16|189340|USD|27
2012-02-13|9.3|10.3|9.29|10.16|252890|USD|28
2012-02-14|10.12|10.19|9.71|10.0|136426|USD|29
2012-02-15|10.06|10.12|9.56|9.57|121971|USD|30
2012-02-16|9.54|10.12|9.45|10.09|133492|USD|31
2012-02-17|10.06|10.11|9.68|9.74|123532|USD|32
2012-02-21|9.79|10.0|9.48|9.69|164195|USD|33
2012-02-22|9.62|9.79|9.43|9.45|129354|USD|34
2012-02-23|9.51|9.76|9.37|9.66|99363|USD|35
2012-02-24|9.7|9.78|9.42|9.46|90503|USD|36
2012-02-27|9.39|9.59|8.86|9.49|134753|USD|37
2012-02-28|9.52|9.66|9.25|9.25|100002|USD|38
2012-02-29|9.24|9.45|8.94|8.94|154109|USD|39
2012-03-01|9.0|9.23|8.75|8.79|173621|USD|40
2012-03-02|8.75|8.87|8.27|8.62|223878|USD|41
2012-03-05|8.6|8.86|8.44|8.85|223384|USD|42
2012-03-06|8.67|8.7|8.26|8.28|158554|USD|43
2012-03-07|8.32|8.49|8.26|8.3|95964|USD|44
2012-03-08|8.37|8.52|8.19|8.46|58160|USD|45
2012-03-09|8.42|8.68|8.34|8.44|153653|USD|46
2012-03-12|8.46|8.46|7.65|7.86|263076|USD|47
2012-03-13|7.95|8.5|7.56|8.45|256518|USD|48
2012-03-14|8.44|8.5|8.19|8.37|90189|USD|49
2012-03-15|8.36|8.58|8.12|8.55|83933|USD|50
2012-03-16|8.57|8.58|8.11|8.33|131971|USD|51
2012-03-19|8.27|9.13|8.14|8.9|243947|USD|52
2012-03-20|8.77|9.03|8.48|8.59|154460|USD|53
2012-03-21|8.66|8.92|8.66|8.86|176212|USD|54
2012-03-22|8.71|8.98|8.71|8.9|129384|USD|55
2012-03-23|8.91|9.11|8.74|8.87|210564|USD|56
2012-03-26|9.07|9.48|8.98|9.08|238584|USD|57
2012-03-27|9.07|9.28|8.87|8.88|195420|USD|58
2012-03-28|8.88|9.03|8.6|8.77|144210|USD|59
2012-03-29|8.64|8.69|8.28|8.48|174283|USD|60
2012-03-30|8.59|8.59|8.1|8.16|174870|USD|61
2012-04-02|8.2|8.87|8.07|8.79|169497|USD|62
2012-04-03|8.79|8.87|8.2|8.25|159386|USD|63
2012-04-04|8.08|8.39|8.0|8.34|142781|USD|64
2012-04-05|8.26|8.31|7.99|8.02|131836|USD|65
2012-04-09|7.78|7.9|7.62|7.73|125539|USD|66
2012-04-10|7.73|8.12|7.32|7.39|252456|USD|67
2012-04-11|7.5|7.77|7.44|7.48|151968|USD|68
2012-04-12|7.49|8.17|7.43|8.13|231038|USD|69
2012-04-13|8.07|8.25|7.75|7.86|114529|USD|70
2012-04-16|7.9|8.09|7.77|8.02|78875|USD|71
