Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|13.41|13.47|13.3|13.47|1150|USD|0
2012-01-04|13.64|13.64|13.28|13.28|1610|USD|1
2012-01-05|13.35|13.77|12.89|13.74|4444|USD|2
2012-01-06|13.74|13.74|13.44|13.63|4183|USD|3
2012-01-09|13.67|14.09|13.35|13.76|5235|USD|4
2012-01-10|13.49|13.9|13.41|13.78|9443|USD|5
2012-01-11|13.77|14.14|13.77|14.14|2770|USD|6
2012-01-12|14.06|14.17|13.91|14.12|7756|USD|7
2012-01-13|13.91|14.31|13.91|13.96|3792|USD|8
2012-01-17|14.24|14.25|14.21|14.25|4902|USD|9
2012-01-18|14.24|14.57|14.24|14.24|3146|USD|10
2012-01-19|14.59|14.6|14.24|14.41|5345|USD|11
2012-01-20|14.44|14.44|13.11|13.91|9666|USD|12
2012-01-23|13.85|14.0|13.71|13.85|1599|USD|13
2012-01-24|13.67|14.24|13.67|14.21|4294|USD|14
2012-01-25|13.96|14.38|13.96|14.38|1488|USD|15
2012-01-26|14.47|15.18|14.47|14.69|3601|USD|16
2012-01-27|14.67|15.19|14.67|15.19|3353|USD|17
2012-01-30|15.09|15.09|14.9|14.99|2904|USD|18
2012-01-31|14.82|15.12|14.82|14.99|3592|USD|19
2012-02-01|14.43|15.17|14.4|15.16|14581|USD|20
2012-02-02|15.17|15.51|15.17|15.5|2100|USD|21
2012-02-03|15.56|16.03|15.09|15.97|4852|USD|22
2012-02-06|15.98|16.47|15.25|15.71|6236|USD|23
2012-02-07|15.6|15.72|15.37|15.37|12436|USD|24
2012-02-08|15.27|15.58|15.27|15.55|591|USD|25
2012-02-09|15.48|16.03|15.48|15.64|1950|USD|26
2012-02-10|15.52|15.72|15.49|15.49|3104|USD|27
2012-02-13|15.25|15.7|15.25|15.7|911|USD|28
2012-02-14|15.57|15.57|15.56|15.56|1465|USD|29
2012-02-15|15.02|15.73|14.89|15.45|2017|USD|30
2012-02-16|15.75|15.75|15.61|15.73|1158|USD|31
2012-02-17|15.74|15.74|15.64|15.64|1074|USD|32
2012-02-21|15.54|15.7|15.54|15.6|810|USD|33
2012-02-22|15.43|15.43|15.3|15.3|543|USD|34
2012-02-23|15.51|16.0|15.3|16.0|7756|USD|35
2012-02-24|15.97|16.03|15.56|15.56|3125|USD|36
2012-02-27|15.64|15.86|15.56|15.56|1666|USD|37
2012-02-28|15.33|15.42|15.33|15.42|811|USD|38
2012-02-29|15.37|15.37|14.62|14.87|5398|USD|39
2012-03-01|14.85|15.04|14.48|14.48|4368|USD|40
2012-03-02|14.57|14.65|13.3|13.3|3423|USD|41
2012-03-05|13.42|13.58|13.02|13.16|4716|USD|42
2012-03-06|12.91|12.91|12.35|12.35|2774|USD|43
2012-03-07|12.71|12.71|12.31|12.52|4957|USD|44
2012-03-08|12.55|12.55|12.08|12.39|2149|USD|45
2012-03-09|12.52|12.97|12.52|12.95|4525|USD|46
2012-03-12|12.4|12.8|12.4|12.58|1220|USD|47
2012-03-13|12.61|13.05|12.61|12.91|2443|USD|48
2012-03-14|12.83|12.95|12.57|12.57|1132|USD|49
2012-03-15|12.7|13.06|12.48|12.8|5493|USD|50
2012-03-16|12.7|13.06|12.25|12.25|6539|USD|51
2012-03-19|12.21|12.82|12.07|12.32|3257|USD|52
2012-03-20|12.16|12.49|12.12|12.22|2221|USD|53
2012-03-21|12.25|13.8|12.25|13.54|8885|USD|54
2012-03-22|14.09|14.09|12.27|12.47|14295|USD|55
2012-03-23|12.48|13.18|11.61|11.79|31938|USD|56
2012-03-26|12.0|12.33|11.84|12.04|6003|USD|57
2012-03-27|12.13|12.43|12.07|12.22|2236|USD|58
2012-03-28|12.21|12.32|11.93|11.93|1479|USD|59
2012-03-29|11.92|12.33|11.79|12.12|2253|USD|60
2012-03-30|12.31|12.48|11.98|11.98|3075|USD|61
2012-04-02|11.99|12.3|11.99|12.26|2046|USD|62
2012-04-03|12.23|12.23|12.07|12.08|8650|USD|63
2012-04-04|12.04|12.16|11.89|11.89|2969|USD|64
2012-04-05|11.88|12.11|11.81|11.81|3460|USD|65
2012-04-09|11.89|12.05|11.89|12.0|7421|USD|66
2012-04-10|12.0|12.09|11.88|11.91|5143|USD|67
2012-04-11|12.13|12.13|11.93|12.11|3145|USD|68
2012-04-12|11.98|12.24|11.93|12.24|2938|USD|69
2012-04-13|12.04|12.14|11.66|11.66|2867|USD|70
2012-04-16|11.77|12.0|11.74|11.88|3115|USD|71
2012-04-17|12.02|12.11|11.74|11.92|14641|USD|72
2012-04-18|11.69|11.93|11.63|11.64|3914|USD|73
2012-04-19|11.69|11.69|11.55|11.55|4746|USD|74
2012-04-20|11.85|11.88|11.38|11.39|8920|USD|75
2012-04-23|11.13|11.13|11.0|11.0|4724|USD|76
2012-04-24|11.06|11.49|11.01|11.34|6574|USD|77
2012-04-25|11.34|11.55|11.34|11.55|1756|USD|78
2012-04-26|11.15|11.59|11.15|11.41|1175|USD|79
2012-04-27|11.45|13.32|11.45|12.74|38886|USD|80
2012-04-30|12.83|13.21|12.41|12.68|58739|USD|81
2012-05-01|12.73|12.77|12.03|12.03|13749|USD|82
2012-05-02|11.47|12.41|11.47|11.97|7418|USD|83
2012-05-03|11.97|11.97|10.84|10.84|29167|USD|84
2012-05-04|10.95|11.98|10.6|10.6|39108|USD|85
2012-05-07|10.64|11.38|10.64|10.92|5492|USD|86
2012-05-08|10.84|11.15|10.84|10.9|11617|USD|87
2012-05-09|10.84|11.01|10.75|10.75|2217|USD|88
2012-05-10|11.01|11.14|11.01|11.06|2274|USD|89
2012-05-11|10.97|11.79|10.97|11.79|12471|USD|90
2012-05-14|11.66|11.66|11.08|11.08|13164|USD|91
2012-05-15|11.02|11.49|10.42|10.71|10400|USD|92
2012-05-16|10.95|11.65|10.67|10.85|9404|USD|93
2012-05-17|10.86|10.87|10.54|10.58|5023|USD|94
2012-05-18|10.53|10.74|10.53|10.65|3417|USD|95
2012-05-21|10.73|11.25|10.73|11.25|2031|USD|96
2012-05-22|11.42|11.42|10.8|10.95|5327|USD|97
2012-05-23|10.85|11.13|10.54|10.6|5897|USD|98
2012-05-24|10.64|10.84|10.64|10.78|4087|USD|99
2012-05-25|10.84|11.07|10.53|10.65|4779|USD|100
