Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|21.68|21.82|21.41|21.49|58666|USD|0
2012-01-04|21.26|21.92|21.14|21.68|83949|USD|1
2012-01-05|21.51|22.56|21.27|22.25|58246|USD|2
2012-01-06|22.16|22.92|21.89|22.63|97621|USD|3
2012-01-09|22.84|23.0|22.42|22.84|43464|USD|4
2012-01-10|23.19|23.55|23.01|23.2|61849|USD|5
2012-01-11|23.05|23.68|23.05|23.44|19295|USD|6
2012-01-12|23.46|23.68|23.12|23.28|48821|USD|7
2012-01-13|22.95|22.95|21.97|22.33|156248|USD|8
2012-01-17|22.57|22.7|21.5|21.62|79171|USD|9
2012-01-18|21.62|21.99|21.11|21.96|97372|USD|10
2012-01-19|22.19|22.22|21.83|21.99|74286|USD|11
2012-01-20|21.92|22.1|21.48|21.76|45943|USD|12
2012-01-23|21.81|22.22|21.33|21.54|63140|USD|13
2012-01-24|21.26|21.9|21.18|21.47|56859|USD|14
2012-01-25|21.4|22.12|21.4|21.92|40741|USD|15
2012-01-26|22.14|22.14|21.54|21.83|42639|USD|16
2012-01-27|21.79|21.96|21.41|21.65|39612|USD|17
2012-01-30|21.44|22.57|21.4|22.07|68216|USD|18
2012-01-31|22.32|22.78|21.5|21.74|70575|USD|19
2012-02-01|21.92|22.6|21.87|22.47|62581|USD|20
2012-02-02|22.47|22.78|22.28|22.78|40468|USD|21
2012-02-03|23.3|23.84|23.0|23.3|66811|USD|22
2012-02-06|23.19|23.56|22.9|23.31|26656|USD|23
2012-02-07|23.29|23.36|22.68|23.06|37293|USD|24
2012-02-08|23.13|23.22|22.73|23.17|22049|USD|25
2012-02-09|23.19|23.19|22.68|22.89|55862|USD|26
2012-02-10|22.54|22.87|22.29|22.56|84013|USD|27
2012-02-13|22.3|22.3|20.4|20.65|285025|USD|28
2012-02-14|20.6|20.65|19.86|20.25|107616|USD|29
2012-02-15|20.35|20.83|19.83|20.67|138937|USD|30
2012-02-16|20.8|21.4|20.74|21.3|124254|USD|31
2012-02-17|24.4|27.35|24.27|25.33|1632589|USD|32
2012-02-21|25.73|27.73|25.61|27.56|729305|USD|33
2012-02-22|27.4|28.25|27.29|27.44|346483|USD|34
2012-02-23|27.45|28.08|26.95|27.82|342670|USD|35
2012-02-24|27.97|28.11|27.31|27.32|270351|USD|36
2012-02-27|27.16|28.48|27.0|28.34|286048|USD|37
2012-02-28|28.69|30.18|28.4|29.25|388112|USD|38
2012-02-29|29.3|29.59|27.54|27.65|284530|USD|39
2012-03-01|27.78|29.13|27.22|27.47|286946|USD|40
2012-03-02|27.43|27.73|26.96|27.02|186672|USD|41
2012-03-05|26.97|27.17|26.43|26.56|151305|USD|42
2012-03-06|26.18|26.38|25.58|26.12|150698|USD|43
2012-03-07|26.18|26.82|25.9|25.98|115795|USD|44
2012-03-08|26.2|26.95|25.9|26.64|144706|USD|45
2012-03-09|26.62|26.88|26.0|26.15|154042|USD|46
2012-03-12|25.51|25.78|24.02|24.44|347493|USD|47
2012-03-13|24.61|25.36|24.37|25.29|169959|USD|48
2012-03-14|25.3|25.75|24.5|24.92|108467|USD|49
2012-03-15|25.0|26.3|24.98|25.97|205040|USD|50
2012-03-16|25.62|26.27|23.32|23.9|571822|USD|51
2012-03-19|24.05|24.2|23.7|24.0|299695|USD|52
2012-03-20|23.76|23.76|23.16|23.48|127098|USD|53
2012-03-21|23.53|23.91|23.29|23.65|171325|USD|54
2012-03-22|23.5|23.5|22.61|22.86|109196|USD|55
2012-03-23|22.85|22.9|22.4|22.86|112184|USD|56
2012-03-26|23.17|23.38|23.1|23.29|129803|USD|57
2012-03-27|23.3|23.74|23.29|23.38|174890|USD|58
2012-03-28|23.47|23.47|21.85|21.96|229457|USD|59
2012-03-29|21.79|22.22|21.43|21.88|199432|USD|60
2012-03-30|22.05|22.9|22.05|22.49|164375|USD|61
2012-04-02|22.32|22.89|22.07|22.25|147284|USD|62
2012-04-03|22.18|22.27|21.53|21.62|236340|USD|63
2012-04-04|21.44|22.15|21.26|22.05|106285|USD|64
2012-04-05|21.9|22.46|21.81|22.42|106861|USD|65
2012-04-09|21.96|22.43|21.73|22.25|162357|USD|66
2012-04-10|22.24|22.33|21.45|21.6|171149|USD|67
2012-04-11|21.84|22.29|21.84|22.25|96490|USD|68
2012-04-12|22.32|23.25|22.32|22.91|95574|USD|69
2012-04-13|22.85|22.93|22.26|22.29|77400|USD|70
2012-04-16|22.41|22.81|21.85|21.93|168242|USD|71
2012-04-17|22.16|23.4|22.16|22.93|166190|USD|72
2012-04-18|22.74|23.0|22.1|22.43|90445|USD|73
2012-04-19|22.48|22.64|21.36|21.64|88953|USD|74
2012-04-20|21.98|22.24|21.61|22.02|143162|USD|75
2012-04-23|21.62|22.01|21.31|21.56|117696|USD|76
2012-04-24|21.63|22.23|21.48|22.2|160267|USD|77
2012-04-25|23.16|23.97|22.56|22.62|143247|USD|78
2012-04-26|22.61|22.72|22.29|22.34|100750|USD|79
2012-04-27|22.44|22.48|21.91|22.27|82067|USD|80
2012-04-30|22.06|22.49|20.93|21.6|224086|USD|81
2012-05-01|21.68|22.03|21.51|21.56|136776|USD|82
2012-05-02|21.31|21.97|21.22|21.89|75178|USD|83
2012-05-03|21.85|21.93|21.51|21.71|107739|USD|84
2012-05-04|21.57|21.57|20.56|20.8|127010|USD|85
2012-05-07|20.63|20.87|20.31|20.76|112965|USD|86
2012-05-08|24.0|24.01|20.13|21.26|749864|USD|87
2012-05-09|20.97|21.64|20.11|21.44|215344|USD|88
2012-05-10|21.7|22.21|21.37|21.59|125012|USD|89
2012-05-11|21.43|22.09|21.18|21.67|91820|USD|90
2012-05-14|21.28|21.5|20.89|21.0|78902|USD|91
2012-05-15|21.02|21.12|20.3|20.58|110085|USD|92
2012-05-16|20.59|21.1|20.35|20.38|92982|USD|93
2012-05-17|20.39|20.71|19.79|19.84|108901|USD|94
2012-05-18|19.87|20.11|19.2|19.29|113384|USD|95
2012-05-21|19.39|19.92|19.11|19.89|72360|USD|96
2012-05-22|19.99|20.55|19.65|20.51|153119|USD|97
2012-05-23|20.35|20.39|19.04|19.89|176170|USD|98
2012-05-24|20.12|20.53|20.08|20.53|103121|USD|99
2012-05-25|20.58|20.69|20.12|20.55|81154|USD|100
2012-05-29|20.9|21.45|20.78|20.95|168270|USD|101
2012-05-30|20.78|20.89|20.49|20.6|82424|USD|102
2012-05-31|20.59|20.59|19.58|19.83|146474|USD|103
2012-06-01|19.25|19.72|18.11|19.49|90738|USD|104
2012-06-04|19.57|19.89|19.14|19.55|93918|USD|105
2012-06-05|19.43|19.88|19.27|19.58|75274|USD|106
2012-06-06|19.74|20.98|19.74|20.81|109390|USD|107
2012-06-07|21.07|21.36|20.68|20.83|76926|USD|108
