Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.01|3.33|3.01|3.25|25036|USD|0
2012-01-04|3.34|3.35|3.27|3.33|6842|USD|1
2012-01-05|3.2|3.72|3.2|3.54|38395|USD|2
2012-01-06|3.73|3.73|3.34|3.37|21673|USD|3
2012-01-09|3.43|3.65|3.21|3.36|15612|USD|4
2012-01-10|3.32|3.42|3.05|3.42|18737|USD|5
2012-01-11|3.45|3.52|3.27|3.49|7994|USD|6
2012-01-12|3.45|3.63|3.34|3.57|17265|USD|7
2012-01-13|3.48|3.49|3.27|3.49|1700|USD|8
2012-01-17|3.26|3.43|3.25|3.27|4078|USD|9
2012-01-18|3.31|3.45|3.23|3.35|23952|USD|10
2012-01-19|3.46|3.46|3.41|3.42|3500|USD|11
2012-01-20|3.39|3.54|3.13|3.46|3456|USD|12
2012-01-23|3.46|3.51|3.42|3.46|15528|USD|13
2012-01-24|3.49|3.5|3.49|3.5|2700|USD|14
2012-01-25|3.5|3.91|3.47|3.9|105300|USD|15
2012-01-26|3.95|4.19|3.81|3.82|66090|USD|16
2012-01-27|3.84|3.86|3.75|3.84|3200|USD|17
2012-01-30|4.04|4.07|3.84|3.89|29437|USD|18
2012-01-31|3.87|4.04|3.84|4.0|21994|USD|19
2012-02-01|4.0|4.25|4.0|4.24|57445|USD|20
2012-02-02|4.35|4.48|4.24|4.35|51685|USD|21
2012-02-03|4.44|4.73|4.4|4.51|51429|USD|22
2012-02-06|4.55|4.74|4.52|4.71|65242|USD|23
2012-02-07|4.74|5.18|4.74|5.1|136353|USD|24
2012-02-08|5.15|5.3|4.76|5.11|94241|USD|25
2012-02-09|5.16|5.16|4.72|4.72|51523|USD|26
2012-02-10|4.72|4.83|4.51|4.57|28853|USD|27
2012-02-13|4.74|4.75|4.56|4.6|6500|USD|28
2012-02-14|4.69|4.69|4.3|4.38|29503|USD|29
2012-02-15|4.27|4.62|4.2|4.3|29992|USD|30
2012-02-16|4.28|4.4|3.9|4.07|82830|USD|31
2012-02-17|4.03|4.38|4.01|4.29|26706|USD|32
2012-02-21|4.36|4.65|4.3|4.52|40385|USD|33
2012-02-22|4.41|4.51|4.37|4.4|14944|USD|34
2012-02-23|4.4|4.48|4.3|4.45|15023|USD|35
2012-02-24|4.47|4.54|4.31|4.38|28641|USD|36
2012-02-27|4.4|4.4|4.23|4.24|49586|USD|37
2012-02-28|4.25|4.34|4.23|4.23|53671|USD|38
2012-02-29|4.27|4.29|4.2|4.2|14603|USD|39
2012-03-01|4.23|4.25|4.17|4.17|50103|USD|40
2012-03-02|4.15|4.15|4.09|4.1|12717|USD|41
2012-03-05|4.05|4.15|4.01|4.05|14475|USD|42
2012-03-06|4.06|4.17|3.99|4.02|34184|USD|43
2012-03-07|4.02|4.25|4.02|4.25|28651|USD|44
2012-03-08|4.23|4.36|4.1|4.36|31971|USD|45
2012-03-09|4.66|5.0|4.42|4.97|33717|USD|46
2012-03-12|4.98|5.0|4.77|4.92|14957|USD|47
2012-03-13|5.01|5.01|4.78|4.8|13956|USD|48
2012-03-14|4.8|5.0|4.78|5.0|35779|USD|49
2012-03-15|4.86|5.06|4.86|4.87|25749|USD|50
2012-03-16|4.88|4.88|4.26|4.51|46084|USD|51
2012-03-19|4.55|4.8|4.55|4.71|2730|USD|52
2012-03-20|4.93|4.93|4.52|4.59|6059|USD|53
2012-03-21|4.69|4.69|4.52|4.64|5157|USD|54
2012-03-22|4.58|4.66|4.53|4.58|1700|USD|55
