Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|26.55|26.72|26.0|26.1|93949|USD|0
2012-01-04|25.84|26.3|25.68|25.82|47290|USD|1
2012-01-05|25.61|25.95|25.16|25.84|73053|USD|2
2012-01-06|25.88|25.88|25.54|25.7|42181|USD|3
2012-01-09|25.76|25.95|25.47|25.79|66016|USD|4
2012-01-10|26.13|26.13|25.87|26.0|38998|USD|5
2012-01-11|25.84|26.31|25.82|26.06|62771|USD|6
2012-01-12|26.0|26.49|25.66|26.4|46577|USD|7
2012-01-13|26.03|26.21|25.88|26.05|23997|USD|8
2012-01-17|26.18|26.41|25.85|25.93|54707|USD|9
2012-01-18|25.97|26.47|25.86|26.34|67699|USD|10
2012-01-19|26.49|26.55|26.11|26.28|46475|USD|11
2012-01-20|26.2|27.14|26.2|26.88|98071|USD|12
2012-01-23|26.84|27.02|26.35|26.54|40503|USD|13
2012-01-24|26.29|27.38|26.26|27.2|68133|USD|14
2012-01-25|27.26|27.5|26.98|27.23|35488|USD|15
2012-01-26|27.35|27.41|27.03|27.24|39989|USD|16
2012-01-27|27.11|27.45|26.95|27.09|68158|USD|17
2012-01-30|26.84|27.45|26.84|27.27|39450|USD|18
2012-01-31|27.42|27.47|27.04|27.3|37318|USD|19
2012-02-01|27.49|28.13|27.09|28.12|149390|USD|20
2012-02-02|28.2|28.6|27.75|28.42|95418|USD|21
2012-02-03|28.64|29.52|28.64|28.74|103334|USD|22
2012-02-06|28.74|28.9|28.63|28.74|73976|USD|23
2012-02-07|28.7|29.0|28.52|28.58|38967|USD|24
2012-02-08|28.61|28.9|28.35|28.53|61342|USD|25
2012-02-09|28.55|28.65|28.1|28.24|55509|USD|26
2012-02-10|27.94|28.14|27.52|27.97|37618|USD|27
2012-02-13|28.34|28.36|28.0|28.14|31371|USD|28
2012-02-14|28.01|28.18|27.8|28.15|41799|USD|29
2012-02-15|28.25|28.25|27.76|27.89|59100|USD|30
2012-02-16|27.8|28.81|27.8|28.76|36215|USD|31
2012-02-17|28.93|28.93|28.54|28.6|42297|USD|32
2012-02-21|28.79|28.79|27.94|28.44|116244|USD|33
2012-02-22|29.9|29.9|29.0|29.51|258141|USD|34
2012-02-23|29.66|30.05|29.53|29.67|236890|USD|35
2012-02-24|29.62|29.94|29.11|29.58|84626|USD|36
2012-02-27|29.35|29.95|28.68|29.42|113367|USD|37
2012-02-28|29.59|29.92|29.34|29.52|80981|USD|38
2012-02-29|29.64|29.99|29.01|29.13|164446|USD|39
2012-03-01|29.25|29.51|28.96|29.0|102547|USD|40
2012-03-02|29.05|29.34|28.22|28.44|91453|USD|41
2012-03-05|28.38|29.36|28.38|29.17|71717|USD|42
2012-03-06|28.77|29.17|28.42|28.6|78356|USD|43
2012-03-07|28.81|28.96|28.57|28.93|59695|USD|44
2012-03-08|29.0|29.36|28.52|29.35|64800|USD|45
2012-03-09|29.34|29.89|29.22|29.64|74722|USD|46
2012-03-12|29.62|29.8|29.46|29.61|45275|USD|47
2012-03-13|29.81|30.33|29.73|30.32|85798|USD|48
2012-03-14|30.19|30.62|29.8|29.93|76173|USD|49
2012-03-15|29.99|30.17|29.68|30.14|53387|USD|50
2012-03-16|30.27|30.27|29.81|30.0|130185|USD|51
2012-03-19|30.0|30.32|29.8|30.11|99257|USD|52
2012-03-20|29.84|30.17|29.51|29.54|38395|USD|53
2012-03-21|29.58|29.8|29.43|29.53|56165|USD|54
2012-03-22|29.19|29.26|28.8|29.17|42754|USD|55
2012-03-23|29.16|29.6|28.66|29.58|61852|USD|56
2012-03-26|29.97|30.59|29.6|30.54|77648|USD|57
2012-03-27|30.54|30.74|30.08|30.12|77108|USD|58
2012-03-28|30.11|30.24|29.72|30.04|49578|USD|59
2012-03-29|29.79|30.25|29.71|30.18|29571|USD|60
2012-03-30|30.47|30.53|29.7|29.73|76033|USD|61
2012-04-02|29.64|30.03|29.61|30.0|79198|USD|62
2012-04-03|29.91|30.16|29.42|29.6|58608|USD|63
2012-04-04|29.17|30.19|28.85|28.93|64633|USD|64
2012-04-05|28.76|29.05|28.51|28.73|57383|USD|65
2012-04-09|28.24|28.49|27.98|28.3|97804|USD|66
2012-04-10|28.28|28.28|27.42|27.47|106587|USD|67
2012-04-11|27.79|27.91|27.51|27.71|92945|USD|68
