Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|38.0|38.1|37.1|37.1|55396|USD|0
2012-01-04|37.0|38.8|36.7|38.0|40684|USD|1
2012-01-05|37.8|39.3|36.99|38.1|45388|USD|2
2012-01-06|38.0|38.3|37.0|37.1|48539|USD|3
2012-01-09|37.3|38.7|37.1|37.5|48487|USD|4
2012-01-10|38.2|40.8|38.0|39.4|74034|USD|5
2012-01-11|39.3|42.4|39.2|42.2|110784|USD|6
2012-01-12|42.4|44.7|40.6|44.6|118815|USD|7
2012-01-13|44.1|45.4|42.9|43.5|83331|USD|8
2012-01-17|44.2|46.0|43.5|43.5|82523|USD|9
2012-01-18|43.7|55.5|43.5|55.5|401144|USD|10
2012-01-19|55.1|58.6|52.0|52.5|256337|USD|11
2012-01-20|52.1|57.0|51.8|56.4|121888|USD|12
2012-01-23|56.4|57.5|53.2|53.8|85645|USD|13
2012-01-24|53.1|53.41|50.4|51.0|114114|USD|14
2012-01-25|51.1|53.0|51.0|51.9|65608|USD|15
2012-01-26|52.6|53.2|50.9|51.5|65608|USD|16
2012-01-27|51.5|54.9|51.4|53.8|80844|USD|17
2012-01-30|53.5|54.5|52.5|53.2|57709|USD|18
2012-01-31|53.5|53.9|50.3|50.5|91617|USD|19
2012-02-01|51.4|53.5|50.7|51.2|69250|USD|20
2012-02-02|51.6|53.0|51.1|51.6|58402|USD|21
2012-02-03|52.9|59.9|52.3|57.8|212363|USD|22
2012-02-06|55.0|56.7|54.0|54.8|90178|USD|23
2012-02-07|54.4|55.3|53.0|54.35|73451|USD|24
2012-02-08|54.5|60.5|53.5|60.3|237608|USD|25
2012-02-09|58.8|58.8|53.2|55.7|222472|USD|26
2012-02-10|53.7|55.9|50.6|51.1|130108|USD|27
2012-02-13|51.6|51.9|45.5|47.4|246705|USD|28
2012-02-14|47.4|47.5|45.1|47.2|106051|USD|29
2012-02-15|47.5|49.5|45.8|46.1|104299|USD|30
2012-02-16|46.3|47.7|45.7|47.3|60854|USD|31
2012-02-17|47.4|48.5|46.3|47.0|67000|USD|32
2012-02-21|48.7|48.8|46.5|47.1|49257|USD|33
2012-02-22|47.0|48.1|46.7|46.7|39036|USD|34
2012-02-23|46.5|46.6|44.9|45.2|61852|USD|35
2012-02-24|45.4|46.0|44.4|45.2|31554|USD|36
2012-02-27|44.8|44.8|43.2|44.0|53572|USD|37
2012-02-28|43.9|44.8|43.0|43.2|42545|USD|38
2012-02-29|43.2|46.2|43.0|44.8|96282|USD|39
2012-03-01|45.3|45.3|41.5|41.6|76901|USD|40
2012-03-02|41.5|41.8|39.8|39.8|74821|USD|41
2012-03-05|39.8|40.2|37.1|37.4|64187|USD|42
2012-03-06|37.0|37.3|36.1|36.7|54208|USD|43
2012-03-07|37.0|38.0|35.3|36.0|65672|USD|44
2012-03-08|36.3|38.7|35.9|38.3|43998|USD|45
2012-03-09|38.6|39.0|37.5|37.7|42637|USD|46
2012-03-12|37.9|38.5|37.8|38.5|32918|USD|47
2012-03-13|38.8|41.6|38.8|41.6|72459|USD|48
2012-03-14|41.5|41.5|39.7|40.5|37436|USD|49
2012-03-15|40.7|42.8|40.5|42.5|48481|USD|50
2012-03-16|43.7|44.8|42.5|43.6|80779|USD|51
2012-03-19|43.4|43.5|40.8|41.7|52010|USD|52
2012-03-20|41.2|41.8|40.4|40.8|36889|USD|53
2012-03-21|41.7|42.0|41.1|41.7|26856|USD|54
2012-03-22|42.6|42.6|40.6|41.5|19230|USD|55
2012-03-23|41.5|41.5|40.0|40.9|35400|USD|56
2012-03-26|41.8|43.1|41.7|42.1|38203|USD|57
2012-03-27|42.3|42.7|41.1|41.3|18343|USD|58
2012-03-28|41.2|42.3|40.8|42.1|16555|USD|59
2012-03-29|41.6|42.4|40.3|41.0|24984|USD|60
2012-03-30|41.1|43.0|40.9|41.2|34702|USD|61
2012-04-02|41.2|42.2|40.8|42.1|34438|USD|62
2012-04-03|42.7|42.7|39.5|40.0|50742|USD|63
2012-04-04|39.7|40.9|39.5|39.7|37121|USD|64
2012-04-05|39.7|39.7|37.1|38.0|72231|USD|65
2012-04-09|37.6|37.9|35.7|36.0|48521|USD|66
2012-04-10|36.5|37.5|36.1|37.1|40852|USD|67
2012-04-11|40.0|43.4|39.9|42.2|124122|USD|68
2012-04-12|42.7|43.3|41.02|42.4|44397|USD|69
2012-04-13|42.4|42.5|40.4|41.9|33008|USD|70
2012-04-16|41.9|41.9|40.0|41.2|35746|USD|71
2012-04-17|41.5|42.85|40.9|41.2|48708|USD|72
2012-04-18|40.7|40.9|40.0|40.0|29942|USD|73
2012-04-19|40.8|41.8|40.4|41.0|34897|USD|74
2012-04-20|42.0|42.0|40.0|40.0|35278|USD|75
2012-04-23|40.0|40.1|38.6|39.0|41564|USD|76
2012-04-24|39.0|40.7|38.7|40.7|33463|USD|77
2012-04-25|41.1|41.7|39.8|41.6|47764|USD|78
2012-04-26|41.3|42.3|40.1|42.2|47329|USD|79
2012-04-27|42.4|43.1|41.4|43.0|45161|USD|80
2012-04-30|42.9|43.0|41.2|41.3|21802|USD|81
2012-05-01|41.1|43.5|40.4|42.1|32013|USD|82
2012-05-02|41.4|42.1|40.45|41.3|36088|USD|83
2012-05-03|41.1|41.5|40.4|41.2|25403|USD|84
2012-05-04|41.0|41.8|40.6|40.9|28819|USD|85
2012-05-07|40.7|41.7|40.4|41.1|18219|USD|86
2012-05-08|40.7|41.1|40.0|41.0|21803|USD|87
2012-05-09|40.2|41.4|39.4|40.9|35612|USD|88
2012-05-10|41.2|41.7|39.9|39.9|18448|USD|89
2012-05-11|39.7|40.4|39.1|40.3|35711|USD|90
2012-05-14|39.4|40.2|38.8|39.1|22976|USD|91
2012-05-15|39.1|39.19|38.5|38.8|19231|USD|92
2012-05-16|38.9|39.8|38.3|38.4|29679|USD|93
2012-05-17|38.4|38.8|35.8|36.1|64097|USD|94
2012-05-18|36.0|36.8|35.1|35.6|58670|USD|95
2012-05-21|35.6|37.0|34.7|36.3|51521|USD|96
2012-05-22|37.0|37.5|35.1|35.4|39793|USD|97
2012-05-23|37.9|39.9|36.49|39.9|56596|USD|98
2012-05-24|40.5|40.5|37.0|38.1|51460|USD|99
2012-05-25|38.0|38.3|37.2|37.3|23585|USD|100
2012-05-29|37.5|39.3|37.3|37.9|32463|USD|101
