Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.39|8.59|8.33|8.5|37530|USD|0
2012-01-04|8.38|8.52|8.3|8.49|53928|USD|1
2012-01-05|8.42|8.5|8.33|8.5|17098|USD|2
2012-01-06|8.47|8.47|8.25|8.3|15516|USD|3
2012-01-09|8.29|8.53|8.25|8.37|49061|USD|4
2012-01-10|8.47|8.59|8.41|8.5|20399|USD|5
2012-01-11|8.47|8.6|8.31|8.48|40482|USD|6
2012-01-12|8.48|8.61|8.35|8.48|42269|USD|7
2012-01-13|8.44|8.51|8.36|8.51|63718|USD|8
2012-01-17|8.52|8.59|8.43|8.59|47769|USD|9
2012-01-18|8.56|8.74|8.49|8.74|84040|USD|10
2012-01-19|8.74|8.77|8.59|8.71|42500|USD|11
2012-01-20|8.73|9.06|8.73|9.06|44304|USD|12
2012-01-23|9.03|9.13|8.97|9.04|46182|USD|13
2012-01-24|9.01|9.07|8.9|9.04|21847|USD|14
2012-01-25|9.0|9.05|8.91|8.98|15400|USD|15
2012-01-26|9.0|9.01|8.74|8.87|15675|USD|16
2012-01-27|8.91|9.03|8.91|9.01|13917|USD|17
2012-01-30|8.93|8.93|8.75|8.83|21255|USD|18
2012-01-31|8.86|8.94|8.74|8.78|105031|USD|19
2012-02-01|8.79|9.1|8.79|9.03|73471|USD|20
2012-02-02|9.1|9.27|8.99|9.2|52207|USD|21
2012-02-03|9.3|9.42|9.11|9.15|56363|USD|22
2012-02-06|9.24|9.24|8.96|9.0|81323|USD|23
2012-02-07|8.83|8.95|8.8|8.85|47706|USD|24
2012-02-08|8.94|8.94|8.69|8.72|72262|USD|25
2012-02-09|8.76|8.8|8.42|8.8|122559|USD|26
2012-02-10|8.71|8.77|8.63|8.71|96500|USD|27
2012-02-13|8.77|8.88|8.7|8.7|68957|USD|28
2012-02-14|8.7|8.76|8.43|8.64|153650|USD|29
2012-02-15|8.65|8.67|8.35|8.45|93486|USD|30
2012-02-16|8.4|8.72|8.28|8.65|117348|USD|31
2012-02-17|8.74|8.74|8.46|8.51|27356|USD|32
2012-02-21|8.49|8.79|8.49|8.75|47459|USD|33
2012-02-22|8.81|8.96|8.72|8.76|32889|USD|34
2012-02-23|8.71|8.98|8.68|8.93|49685|USD|35
2012-02-24|8.96|9.0|8.87|8.92|96482|USD|36
2012-02-27|8.87|9.09|8.82|8.99|85389|USD|37
2012-02-28|9.0|9.04|8.92|9.0|35815|USD|38
2012-02-29|9.06|9.16|8.93|9.06|132502|USD|39
2012-03-01|9.05|9.1|8.86|8.95|60455|USD|40
2012-03-02|8.97|8.99|8.8|8.89|33750|USD|41
2012-03-05|8.86|8.91|8.69|8.85|26827|USD|42
2012-03-06|8.85|8.85|8.64|8.65|67401|USD|43
2012-03-07|8.72|8.82|8.6|8.81|38755|USD|44
2012-03-08|8.87|8.87|8.71|8.85|12597|USD|45
2012-03-09|8.83|8.98|8.75|8.8|19275|USD|46
2012-03-12|8.85|8.85|8.66|8.79|27901|USD|47
2012-03-13|8.82|9.12|8.78|9.06|42869|USD|48
2012-03-14|9.03|9.1|8.96|8.98|36124|USD|49
2012-03-15|9.01|9.21|8.96|9.19|40768|USD|50
2012-03-16|9.19|9.19|8.94|9.03|65419|USD|51
2012-03-19|9.02|9.24|9.02|9.04|21025|USD|52
2012-03-20|9.0|9.13|8.88|8.92|32348|USD|53
2012-03-21|8.97|9.02|8.88|8.88|13359|USD|54
2012-03-22|8.88|8.96|8.83|8.96|24109|USD|55
2012-03-23|8.91|9.15|8.85|9.13|16390|USD|56
2012-03-26|9.21|9.28|9.12|9.22|85604|USD|57
2012-03-27|9.25|9.25|9.16|9.17|49068|USD|58
2012-03-28|9.13|9.14|9.04|9.08|19427|USD|59
2012-03-29|9.04|9.18|9.03|9.11|19715|USD|60
2012-03-30|9.2|9.45|9.14|9.41|78520|USD|61
2012-04-02|9.38|9.54|9.24|9.39|198047|USD|62
2012-04-03|9.36|9.56|9.35|9.54|56864|USD|63
2012-04-04|9.45|9.69|9.41|9.61|65677|USD|64
2012-04-05|9.63|9.9|9.63|9.89|50214|USD|65
2012-04-09|9.74|9.95|9.64|9.9|73132|USD|66
2012-04-10|9.85|9.9|9.75|9.88|56412|USD|67
2012-04-11|9.95|10.03|9.89|10.01|41198|USD|68
2012-04-12|10.05|10.36|10.05|10.28|34406|USD|69
2012-04-13|10.28|10.28|10.01|10.05|37199|USD|70
2012-04-16|9.96|10.4|9.94|10.25|46420|USD|71
2012-04-17|10.35|10.48|10.32|10.45|35505|USD|72
2012-04-18|10.42|10.47|10.23|10.3|17688|USD|73
2012-04-19|10.3|10.5|10.26|10.38|49039|USD|74
2012-04-20|10.38|10.62|10.26|10.6|115148|USD|75
2012-04-23|10.41|10.58|10.3|10.58|101225|USD|76
2012-04-24|10.59|10.75|10.49|10.75|40984|USD|77
2012-04-25|10.89|10.93|10.7|10.89|79440|USD|78
2012-04-26|10.89|10.89|10.76|10.81|64308|USD|79
2012-04-27|10.82|10.82|10.71|10.75|91089|USD|80
2012-04-30|10.75|10.77|10.53|10.58|94805|USD|81
2012-05-01|10.62|10.62|10.32|10.48|85385|USD|82
2012-05-02|10.48|10.84|10.43|10.79|55087|USD|83
2012-05-03|9.31|10.25|9.31|9.71|252078|USD|84
2012-05-04|9.68|9.78|9.28|9.32|90001|USD|85
2012-05-07|9.28|9.31|9.18|9.18|22233|USD|86
2012-05-08|9.18|9.22|9.08|9.19|24099|USD|87
2012-05-09|9.08|9.28|9.08|9.26|69658|USD|88
2012-05-10|9.3|9.51|9.3|9.51|159136|USD|89
2012-05-11|9.42|9.62|9.42|9.56|67986|USD|90
2012-05-14|9.51|9.52|9.4|9.43|130383|USD|91
2012-05-15|9.41|9.56|9.38|9.48|55278|USD|92
2012-05-16|9.47|9.57|9.38|9.45|39915|USD|93
2012-05-17|9.4|9.4|9.19|9.24|61355|USD|94
2012-05-18|9.24|9.34|9.18|9.23|121148|USD|95
2012-05-21|9.22|9.35|9.2|9.32|67321|USD|96
2012-05-22|9.31|9.41|9.09|9.18|73768|USD|97
2012-05-23|9.12|9.15|9.0|9.07|55270|USD|98
2012-05-24|9.14|9.19|9.06|9.15|55210|USD|99
2012-05-25|9.18|9.27|9.09|9.15|40054|USD|100
2012-05-29|9.22|9.22|9.02|9.04|45690|USD|101
2012-05-30|9.0|9.07|8.92|9.04|32881|USD|102
2012-05-31|8.99|9.06|8.95|9.02|54089|USD|103
2012-06-01|8.88|8.88|8.62|8.7|56519|USD|104
2012-06-04|8.74|8.83|8.66|8.7|82428|USD|105
2012-06-05|8.64|8.9|8.6|8.63|41682|USD|106
2012-06-06|8.61|8.73|8.56|8.71|54116|USD|107
2012-06-07|8.8|8.84|8.64|8.73|18954|USD|108
2012-06-08|8.67|8.84|8.66|8.74|13917|USD|109
2012-06-11|8.79|8.79|8.52|8.59|63374|USD|110
2012-06-12|8.61|8.64|8.45|8.64|63561|USD|111
2012-06-13|8.51|8.52|8.25|8.3|79746|USD|112
2012-06-14|8.35|8.59|8.29|8.59|142357|USD|113
2012-06-15|8.64|9.05|8.55|8.95|115579|USD|114
2012-06-18|8.91|9.1|8.85|9.02|139883|USD|115
2012-06-19|9.04|9.22|9.01|9.12|41062|USD|116
2012-06-20|9.11|9.19|9.03|9.08|107118|USD|117
2012-06-21|9.09|9.09|8.78|8.85|27191|USD|118
2012-06-22|8.9|9.21|8.9|9.16|44514|USD|119
2012-06-25|9.08|9.15|9.05|9.07|27743|USD|120
2012-06-26|9.2|9.83|9.15|9.82|223965|USD|121
2012-06-27|9.88|10.06|9.84|10.0|61973|USD|122
2012-06-28|9.94|10.07|9.9|9.99|27798|USD|123
2012-06-29|10.17|10.59|10.13|10.38|70445|USD|124
2012-07-02|10.43|10.5|10.17|10.44|83757|USD|125
2012-07-03|10.46|10.46|10.32|10.41|25103|USD|126
2012-07-05|10.38|10.57|10.38|10.48|50903|USD|127
2012-07-06|10.35|10.49|10.3|10.43|20938|USD|128
2012-07-09|10.45|10.45|10.33|10.4|17170|USD|129
2012-07-10|10.39|10.46|10.28|10.3|23231|USD|130
2012-07-11|10.33|10.44|10.2|10.26|22538|USD|131
2012-07-12|10.19|10.32|10.02|10.09|75338|USD|132
2012-07-13|10.14|10.39|10.14|10.31|30854|USD|133
2012-07-16|10.22|10.26|10.09|10.21|29283|USD|134
2012-07-17|10.3|10.45|10.28|10.3|29298|USD|135
2012-07-18|10.3|10.63|10.25|10.52|131858|USD|136
2012-07-19|10.59|10.62|10.49|10.55|38814|USD|137
2012-07-20|10.5|10.62|10.49|10.52|48704|USD|138
2012-07-23|10.37|10.38|10.15|10.29|15046|USD|139
2012-07-24|10.28|10.53|10.2|10.5|49605|USD|140
2012-07-25|10.5|10.64|10.28|10.51|54534|USD|141
2012-07-26|10.57|10.74|10.41|10.59|26430|USD|142
2012-07-27|10.61|10.98|10.57|10.77|57908|USD|143
2012-07-30|10.83|10.91|10.69|10.82|46178|USD|144
2012-07-31|10.82|10.97|10.67|10.74|87879|USD|145
2012-08-01|10.71|10.9|10.54|10.65|209909|USD|146
2012-08-02|10.5|10.53|10.09|10.09|99984|USD|147
2012-08-03|10.16|10.36|10.16|10.2|60878|USD|148
2012-08-06|10.25|10.44|10.16|10.16|21492|USD|149
2012-08-07|10.24|10.38|10.21|10.31|77136|USD|150
2012-08-08|10.35|10.35|10.14|10.18|92919|USD|151
2012-08-09|10.21|10.27|10.09|10.17|51706|USD|152
2012-08-10|10.14|10.22|9.98|10.03|10500|USD|153
2012-08-13|9.81|9.88|9.77|9.88|20463|USD|154
2012-08-14|9.92|10.15|9.92|10.09|57927|USD|155
2012-08-15|10.05|10.17|9.94|10.05|37278|USD|156
2012-08-16|10.06|10.3|10.06|10.26|23180|USD|157
2012-08-17|10.2|10.54|10.2|10.45|40344|USD|158
