Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|39.57|39.85|38.63|38.79|17645|USD|0
2012-01-04|38.44|38.94|38.17|38.82|10220|USD|1
2012-01-05|38.71|39.8|38.11|39.57|16381|USD|2
2012-01-06|39.47|40.35|39.18|39.95|16681|USD|3
2012-01-09|40.03|40.1|39.08|39.4|19799|USD|4
2012-01-10|39.91|40.14|39.41|40.14|12593|USD|5
2012-01-11|40.1|40.3|39.64|40.26|6522|USD|6
2012-01-12|40.2|40.86|39.55|40.1|8177|USD|7
2012-01-13|40.05|40.4|39.7|39.99|13001|USD|8
2012-01-17|40.2|41.13|39.94|40.5|8285|USD|9
2012-01-18|40.53|40.53|39.78|40.01|8584|USD|10
2012-01-19|40.16|40.16|39.23|39.53|8944|USD|11
2012-01-20|39.6|40.01|39.36|39.44|7991|USD|12
2012-01-23|39.58|39.58|38.63|38.98|14755|USD|13
2012-01-24|38.83|39.26|38.68|38.82|9311|USD|14
2012-01-25|38.78|39.17|38.19|39.08|7797|USD|15
2012-01-26|39.14|39.36|39.13|39.23|5505|USD|16
2012-01-27|39.09|39.96|39.09|39.86|4932|USD|17
2012-01-30|39.62|40.22|38.83|38.83|10851|USD|18
2012-01-31|39.14|39.14|37.94|37.94|11868|USD|19
2012-02-01|37.96|38.12|37.35|37.96|23286|USD|20
2012-02-02|37.86|38.68|37.33|37.86|14361|USD|21
2012-02-03|38.4|39.86|38.27|39.17|11778|USD|22
2012-02-06|39.04|39.66|38.72|38.8|3732|USD|23
2012-02-07|38.73|39.55|38.73|39.26|5521|USD|24
2012-02-08|39.41|39.15|38.34|39.03|7033|USD|25
2012-02-09|39.16|39.47|38.85|39.31|6757|USD|26
2012-02-10|39.21|39.54|38.83|39.3|8377|USD|27
2012-02-13|39.49|40.28|39.44|39.77|11005|USD|28
2012-02-14|39.68|39.97|39.44|39.9|12199|USD|29
2012-02-15|39.94|40.58|39.54|40.13|15861|USD|30
2012-02-16|40.58|45.65|40.58|45.41|31278|USD|31
2012-02-17|45.35|46.4|44.85|45.95|18752|USD|32
2012-02-21|46.25|48.24|45.6|46.05|13041|USD|33
2012-02-22|45.71|46.07|45.5|45.78|11272|USD|34
2012-02-23|45.9|46.71|45.65|46.71|6338|USD|35
2012-02-24|46.83|47.0|45.97|46.61|19740|USD|36
2012-02-27|46.44|46.67|45.66|46.4|14135|USD|37
2012-02-28|46.2|47.42|46.2|46.73|22442|USD|38
2012-02-29|46.68|47.0|44.3|44.61|29653|USD|39
2012-03-01|44.72|45.41|44.72|45.25|10246|USD|40
2012-03-02|45.44|45.74|44.53|44.6|15156|USD|41
2012-03-05|44.59|44.72|44.11|44.68|5753|USD|42
2012-03-06|44.37|44.52|43.07|43.45|19535|USD|43
2012-03-07|43.35|44.45|43.35|44.33|22385|USD|44
2012-03-08|44.35|45.28|44.17|45.14|17954|USD|45
2012-03-09|45.26|45.88|45.1|45.78|10061|USD|46
2012-03-12|45.88|45.88|44.76|44.83|7576|USD|47
2012-03-13|45.22|45.86|44.55|45.78|10436|USD|48
2012-03-14|46.19|46.36|45.91|46.29|13836|USD|49
2012-03-15|46.44|46.49|45.87|46.27|6934|USD|50
2012-03-16|46.14|46.14|45.32|45.42|27166|USD|51
2012-03-19|45.46|45.86|45.16|45.37|14317|USD|52
2012-03-20|45.1|45.21|44.71|45.03|11699|USD|53
2012-03-21|45.12|46.16|44.77|45.81|28731|USD|54
2012-03-22|45.47|46.36|45.25|46.21|44268|USD|55
2012-03-23|46.08|46.12|45.13|45.54|43166|USD|56
2012-03-26|46.0|46.0|45.43|45.83|58862|USD|57
2012-03-27|45.79|46.0|45.44|45.72|62792|USD|58
2012-03-28|45.78|45.79|44.64|44.68|40215|USD|59
2012-03-29|44.24|44.29|43.67|43.88|45986|USD|60
2012-03-30|44.15|44.28|43.1|43.98|52335|USD|61
2012-04-02|43.99|45.85|43.69|45.64|48093|USD|62
2012-04-03|45.53|45.53|43.44|43.68|89426|USD|63
2012-04-04|43.21|45.36|43.14|44.61|53150|USD|64
2012-04-05|44.48|45.19|44.48|44.82|11242|USD|65
2012-04-09|44.2|44.41|43.75|43.97|22447|USD|66
2012-04-10|44.07|44.19|42.57|42.76|31241|USD|67
2012-04-11|43.15|43.15|41.46|41.89|53059|USD|68
2012-04-12|41.78|43.77|41.78|43.26|24699|USD|69
2012-04-13|43.16|43.53|42.02|42.22|21187|USD|70
2012-04-16|42.66|43.2|41.9|42.79|17267|USD|71
2012-04-17|43.01|44.92|43.01|44.42|31103|USD|72
2012-04-18|44.24|44.24|42.92|43.65|17525|USD|73
2012-04-19|43.69|43.69|42.05|42.5|16087|USD|74
2012-04-20|43.65|44.29|42.6|44.06|31205|USD|75
2012-04-23|43.35|43.38|41.74|42.7|32102|USD|76
2012-04-24|42.83|43.72|42.41|43.66|35697|USD|77
2012-04-25|44.0|45.19|43.88|45.18|46715|USD|78
2012-04-26|45.26|45.41|44.14|44.65|31067|USD|79
2012-04-27|44.91|47.29|44.67|47.16|32284|USD|80
2012-04-30|47.17|47.17|45.7|45.94|36039|USD|81
2012-05-01|46.22|47.48|45.42|45.46|55110|USD|82
2012-05-02|45.07|46.32|45.0|45.77|37451|USD|83
2012-05-03|45.73|45.77|44.47|44.95|29959|USD|84
2012-05-04|44.59|44.67|43.23|43.9|41006|USD|85
2012-05-07|43.63|44.53|43.45|44.24|26311|USD|86
2012-05-08|43.9|45.19|43.66|44.96|26446|USD|87
2012-05-09|44.68|44.68|43.56|43.85|35339|USD|88
2012-05-10|43.7|44.41|43.34|43.48|22900|USD|89
2012-05-11|43.05|43.5|42.88|43.2|16895|USD|90
2012-05-14|42.76|43.16|42.25|42.42|24221|USD|91
2012-05-15|42.28|42.97|42.15|42.4|15279|USD|92
2012-05-16|42.74|43.52|42.58|43.11|24697|USD|93
2012-05-17|43.1|43.4|42.12|42.17|35067|USD|94
2012-05-18|42.19|42.98|41.6|41.7|50782|USD|95
2012-05-21|41.98|42.97|41.72|42.83|33660|USD|96
2012-05-22|42.98|44.01|42.13|42.43|36823|USD|97
2012-05-23|41.93|43.52|41.86|43.25|29944|USD|98
2012-05-24|43.52|45.15|42.9|45.02|52803|USD|99
2012-05-25|44.82|44.82|40.05|41.34|96210|USD|100
2012-05-29|41.35|44.0|41.35|43.15|44967|USD|101
2012-05-30|42.62|43.36|42.49|42.9|41338|USD|102
2012-05-31|42.88|43.54|42.18|43.15|42982|USD|103
2012-06-01|43.11|43.11|41.67|42.0|35526|USD|104
2012-06-04|42.25|42.46|40.38|40.95|42466|USD|105
2012-06-05|40.92|40.97|40.1|40.43|37973|USD|106
2012-06-06|40.48|41.75|40.48|41.73|17101|USD|107
2012-06-07|42.34|42.34|41.56|41.86|21413|USD|108
2012-06-08|41.75|41.75|40.91|41.11|23437|USD|109
2012-06-11|41.71|41.71|38.62|38.77|80608|USD|110
2012-06-12|37.63|39.18|37.28|37.51|76529|USD|111
2012-06-13|37.46|38.12|36.75|37.17|105809|USD|112
2012-06-14|37.02|38.83|36.98|38.55|80901|USD|113
2012-06-15|38.63|39.99|38.45|39.83|65064|USD|114
2012-06-18|39.66|39.86|39.04|39.59|36909|USD|115
2012-06-19|39.89|40.42|39.05|39.49|103174|USD|116
2012-06-20|39.4|39.61|38.47|38.78|50350|USD|117
2012-06-21|38.92|38.92|37.18|37.47|49791|USD|118
2012-06-22|37.74|38.48|37.21|37.89|241589|USD|119
2012-06-25|37.43|38.06|35.81|37.35|38325|USD|120
2012-06-26|37.5|38.15|37.32|37.83|27668|USD|121
2012-06-27|37.96|38.31|37.14|37.23|41071|USD|122
2012-06-28|36.91|37.17|36.25|36.97|26443|USD|123
2012-06-29|37.44|39.04|37.26|38.85|32530|USD|124
2012-07-02|38.73|39.3|38.27|39.23|38642|USD|125
2012-07-03|39.18|40.92|39.18|40.91|19081|USD|126
2012-07-05|40.97|41.12|40.52|40.8|20245|USD|127
2012-07-06|40.44|40.8|40.2|40.5|29868|USD|128
2012-07-09|40.17|40.94|39.72|40.59|39685|USD|129
2012-07-10|41.0|41.2|40.58|40.84|26984|USD|130
2012-07-11|41.06|41.23|40.49|40.75|31448|USD|131
2012-07-12|40.39|41.69|40.11|41.47|67184|USD|132
2012-07-13|41.38|44.01|41.38|43.59|69102|USD|133
2012-07-16|43.5|44.53|43.19|43.43|34240|USD|134
2012-07-17|43.48|44.95|43.44|44.27|41006|USD|135
2012-07-18|44.29|45.64|44.15|44.71|40605|USD|136
2012-07-19|44.76|45.5|43.0|44.63|50852|USD|137
2012-07-20|44.24|45.14|44.24|44.9|41645|USD|138
2012-07-23|44.25|45.44|44.0|44.98|34348|USD|139
2012-07-24|45.15|45.25|44.85|45.13|39088|USD|140
2012-07-25|45.48|45.56|44.85|44.96|37191|USD|141
2012-07-26|45.5|46.07|45.22|45.56|41305|USD|142
2012-07-27|45.6|47.92|45.55|47.81|35098|USD|143
2012-07-30|47.72|47.72|46.51|46.53|28342|USD|144
2012-07-31|46.27|46.8|45.88|45.88|28443|USD|145
2012-08-01|46.11|46.35|45.47|45.47|35227|USD|146
2012-08-02|45.24|46.36|45.24|45.84|27649|USD|147
2012-08-03|46.37|47.15|46.01|47.06|17548|USD|148
2012-08-06|47.05|47.7|46.58|46.94|44130|USD|149
2012-08-07|47.14|47.18|46.63|46.79|17854|USD|150
2012-08-08|46.73|47.52|46.61|46.81|11285|USD|151
2012-08-09|46.65|47.1|46.64|46.94|6990|USD|152
2012-08-10|46.83|46.83|46.08|46.13|13570|USD|153
2012-08-13|46.28|46.28|45.71|45.92|32507|USD|154
2012-08-14|46.3|46.7|45.9|45.94|42364|USD|155
2012-08-15|45.61|45.9|45.17|45.46|42840|USD|156
2012-08-16|45.34|49.2|45.32|48.6|141922|USD|157
2012-08-17|44.0|48.78|40.51|45.77|341407|USD|158
2012-08-20|45.68|46.41|45.0|45.02|76622|USD|159
2012-08-21|45.07|45.8|44.9|45.02|40239|USD|160
2012-08-22|45.25|45.55|45.0|45.12|25230|USD|161
2012-08-23|44.99|45.37|44.89|45.24|16257|USD|162
2012-08-24|45.03|45.47|45.0|45.28|13223|USD|163
2012-08-27|45.19|45.67|45.0|45.49|25307|USD|164
2012-08-28|45.28|45.34|44.68|44.74|45165|USD|165
2012-08-29|45.32|45.77|44.86|45.48|13909|USD|166
