Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|18.9|19.63|18.81|19.11|483929|USD|0
2012-01-04|18.99|19.14|18.48|18.96|303283|USD|1
2012-01-05|18.81|19.46|18.66|19.24|337080|USD|2
2012-01-06|19.24|19.24|18.3|18.33|495943|USD|3
2012-01-09|18.46|18.6|18.0|18.35|652744|USD|4
2012-01-10|18.7|18.81|18.35|18.53|580451|USD|5
2012-01-11|18.4|18.76|18.35|18.56|673493|USD|6
2012-01-12|18.6|19.22|18.55|19.18|279346|USD|7
2012-01-13|18.82|19.17|18.63|19.08|370028|USD|8
2012-01-17|19.25|19.32|19.08|19.25|449022|USD|9
2012-01-18|19.24|19.88|19.01|19.84|275440|USD|10
2012-01-19|19.93|20.41|19.79|20.3|287145|USD|11
2012-01-20|20.19|20.72|19.52|20.67|385901|USD|12
2012-01-23|20.62|20.99|20.41|20.79|381964|USD|13
2012-01-24|20.57|21.01|20.3|20.96|317955|USD|14
2012-01-25|20.92|21.48|20.9|21.3|219884|USD|15
2012-01-26|20.71|21.72|20.71|21.19|283920|USD|16
2012-01-27|21.07|21.35|20.78|20.95|245133|USD|17
2012-01-30|20.68|21.24|20.6|21.15|211558|USD|18
2012-01-31|21.3|21.33|20.75|21.1|234241|USD|19
2012-02-01|21.44|21.76|21.08|21.57|498326|USD|20
2012-02-02|21.54|21.88|21.21|21.49|365222|USD|21
2012-02-03|22.0|23.06|21.67|22.79|751573|USD|22
2012-02-06|22.54|22.65|22.08|22.37|298037|USD|23
2012-02-07|22.16|22.51|21.78|22.28|330251|USD|24
2012-02-08|22.27|22.51|21.23|22.13|201305|USD|25
2012-02-09|22.2|22.22|21.68|21.88|261956|USD|26
2012-02-10|21.51|21.84|21.41|21.52|141763|USD|27
2012-02-13|21.85|22.02|21.17|21.71|927764|USD|28
2012-02-14|21.52|22.0|21.2|21.84|453250|USD|29
2012-02-15|22.0|22.14|21.33|21.53|298585|USD|30
2012-02-16|21.57|22.66|21.57|22.31|300285|USD|31
2012-02-17|22.5|22.54|21.5|21.53|473282|USD|32
2012-02-21|21.59|22.0|21.25|21.39|394264|USD|33
2012-02-22|21.38|21.52|21.16|21.36|525778|USD|34
2012-02-23|21.4|22.04|21.09|21.96|206226|USD|35
2012-02-24|21.99|22.13|21.42|21.45|121161|USD|36
2012-02-27|21.15|21.68|20.82|21.45|179687|USD|37
2012-02-28|21.41|21.76|21.11|21.46|180491|USD|38
2012-02-29|21.51|21.66|20.99|21.0|242564|USD|39
2012-03-01|21.06|21.86|21.06|21.47|416030|USD|40
2012-03-02|21.48|21.48|20.45|20.62|249758|USD|41
2012-03-05|20.52|21.24|20.5|21.11|186969|USD|42
2012-03-06|20.77|20.94|20.28|20.45|186096|USD|43
2012-03-07|20.52|20.8|20.33|20.76|293446|USD|44
2012-03-08|20.97|21.4|20.75|21.35|223736|USD|45
2012-03-09|21.35|22.33|21.06|21.72|453231|USD|46
2012-03-12|21.65|21.7|21.23|21.44|932176|USD|47
2012-03-13|21.6|21.66|21.29|21.6|969104|USD|48
