Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|19.57|19.75|18.87|19.37|274954|USD|0
2012-01-04|19.34|19.54|19.16|19.36|172000|USD|1
2012-01-05|19.29|19.5|19.07|19.33|306374|USD|2
2012-01-06|19.38|19.55|19.19|19.42|266004|USD|3
2012-01-09|19.47|19.5|19.35|19.43|228584|USD|4
2012-01-10|19.68|19.68|19.55|19.62|269298|USD|5
2012-01-11|19.62|19.8|19.62|19.74|239796|USD|6
2012-01-12|19.71|20.21|19.71|20.17|248426|USD|7
2012-01-13|20.0|20.79|19.74|19.98|276958|USD|8
2012-01-17|20.19|20.23|19.71|19.76|117902|USD|9
2012-01-18|19.75|20.02|19.32|19.93|234774|USD|10
2012-01-19|20.0|20.41|19.93|20.11|279518|USD|11
2012-01-20|20.04|20.23|20.0|20.03|174976|USD|12
2012-01-23|19.95|20.18|19.8|20.07|234932|USD|13
2012-01-24|20.11|20.34|20.02|20.07|432678|USD|14
2012-01-25|19.96|20.18|19.62|19.91|648184|USD|15
2012-01-26|20.02|20.35|19.77|20.3|248410|USD|16
2012-01-27|20.29|20.5|20.29|20.34|143040|USD|17
2012-01-30|20.26|20.84|20.24|20.75|554910|USD|18
2012-01-31|20.87|21.06|20.77|20.78|808186|USD|19
2012-02-01|20.59|21.75|20.29|21.31|808888|USD|20
2012-02-02|21.58|22.0|21.1|21.18|282248|USD|21
2012-02-03|21.25|21.56|21.25|21.52|338928|USD|22
2012-02-06|21.32|21.68|21.32|21.6|384566|USD|23
2012-02-07|21.55|21.76|21.54|21.66|339234|USD|24
2012-02-08|21.65|21.93|21.65|21.73|288762|USD|25
2012-02-09|21.77|21.92|21.32|21.91|304148|USD|26
2012-02-10|21.52|21.71|20.95|21.52|422340|USD|27
2012-02-13|21.56|21.77|21.55|21.67|315978|USD|28
2012-02-14|21.65|21.93|21.32|21.41|346616|USD|29
2012-02-15|21.46|21.61|21.32|21.38|255556|USD|30
2012-02-16|21.43|21.73|21.32|21.64|421406|USD|31
2012-02-17|21.75|21.77|21.53|21.54|137408|USD|32
2012-02-21|21.52|21.77|21.46|21.61|232214|USD|33
2012-02-22|21.59|21.74|21.2|21.25|267638|USD|34
2012-02-23|21.29|21.66|21.28|21.54|196806|USD|35
2012-02-24|21.54|21.77|21.48|21.73|286014|USD|36
2012-02-27|21.55|21.59|21.31|21.43|473444|USD|37
2012-02-28|21.45|21.51|21.25|21.38|216984|USD|38
2012-02-29|21.44|21.57|21.14|21.26|301196|USD|39
2012-03-01|21.27|21.57|21.26|21.42|216646|USD|40
2012-03-02|21.41|21.52|21.18|21.25|197524|USD|41
2012-03-05|21.25|21.67|21.11|21.59|842136|USD|42
2012-03-06|21.41|21.57|21.27|21.36|341656|USD|43
2012-03-07|21.4|21.51|21.18|21.43|225816|USD|44
