Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|12.08|12.25|11.88|12.13|12552|USD|0
2012-01-04|12.1|12.45|12.1|12.25|27874|USD|1
2012-01-05|12.2|12.4|12.17|12.25|83555|USD|2
2012-01-06|12.11|12.44|12.11|12.2|12010|USD|3
2012-01-09|12.28|12.3|12.13|12.29|14645|USD|4
2012-01-10|12.3|12.45|12.2|12.34|8528|USD|5
2012-01-11|12.38|12.39|12.27|12.39|7022|USD|6
2012-01-12|12.38|12.7|12.3|12.7|19730|USD|7
2012-01-13|12.61|12.72|12.53|12.61|5455|USD|8
2012-01-17|12.72|12.87|12.72|12.86|7163|USD|9
2012-01-18|13.05|13.1|12.89|12.98|17309|USD|10
2012-01-19|12.86|13.47|12.86|13.3|9087|USD|11
2012-01-20|13.15|13.36|13.0|13.15|13472|USD|12
2012-01-23|13.36|13.37|13.14|13.33|9765|USD|13
2012-01-24|13.22|13.48|13.22|13.38|7003|USD|14
2012-01-25|13.43|13.5|13.29|13.45|10420|USD|15
2012-01-26|13.52|13.72|13.32|13.5|10371|USD|16
2012-01-27|13.58|13.65|13.34|13.65|10809|USD|17
2012-01-30|13.65|13.83|13.51|13.56|7125|USD|18
2012-01-31|13.51|13.69|13.45|13.55|8764|USD|19
2012-02-01|13.66|13.97|13.66|13.83|4780|USD|20
2012-02-02|13.98|14.0|13.8|13.8|8688|USD|21
2012-02-03|13.9|14.0|13.4|13.46|11155|USD|22
2012-02-06|13.46|13.57|13.35|13.5|30901|USD|23
2012-02-07|13.57|13.91|13.51|13.76|7017|USD|24
2012-02-08|13.83|14.0|13.83|14.0|7630|USD|25
2012-02-09|13.96|14.0|13.93|14.0|14782|USD|26
2012-02-10|14.0|14.0|13.97|14.0|6659|USD|27
2012-02-13|14.0|14.44|13.91|14.44|11201|USD|28
2012-02-14|14.29|14.67|14.29|14.59|2692|USD|29
2012-02-15|14.79|14.79|14.31|14.32|10242|USD|30
2012-02-16|14.79|14.81|14.63|14.63|2000|USD|31
2012-02-17|14.81|14.82|14.63|14.7|4288|USD|32
2012-02-21|14.57|14.79|14.24|14.3|10665|USD|33
2012-02-22|14.49|14.5|14.25|14.33|3659|USD|34
2012-02-23|14.81|14.81|14.36|14.45|2791|USD|35
2012-02-24|14.5|14.82|14.4|14.79|2011|USD|36
2012-02-27|14.46|14.82|14.46|14.71|4150|USD|37
2012-02-28|14.71|14.82|14.71|14.82|369|USD|38
2012-02-29|14.74|14.82|14.47|14.47|1392|USD|39
2012-03-01|14.48|14.75|14.48|14.5|2199|USD|40
2012-03-02|14.5|14.79|14.47|14.57|10161|USD|41
2012-03-05|14.74|14.74|14.42|14.45|10544|USD|42
2012-03-06|14.12|14.69|14.12|14.31|9155|USD|43
2012-03-07|14.35|14.6|14.23|14.47|2100|USD|44
2012-03-08|14.38|14.53|14.33|14.53|3569|USD|45
2012-03-09|14.59|14.71|14.4|14.6|6545|USD|46
2012-03-12|14.31|14.55|14.21|14.28|6114|USD|47
2012-03-13|14.13|14.26|14.12|14.12|2326|USD|48
2012-03-14|14.12|14.27|14.12|14.15|3991|USD|49
2012-03-15|14.25|14.25|14.0|14.06|12696|USD|50
2012-03-16|14.05|14.1|13.82|13.89|11566|USD|51
2012-03-19|13.88|14.0|13.6|13.99|5567|USD|52
2012-03-20|13.65|13.72|13.14|13.39|10052|USD|53
2012-03-21|13.41|13.5|13.36|13.5|8352|USD|54
2012-03-22|13.39|13.49|13.01|13.49|6470|USD|55
2012-03-23|13.39|13.49|13.15|13.15|10596|USD|56
2012-03-26|13.18|13.25|12.77|12.97|32445|USD|57
2012-03-27|12.98|12.99|12.75|12.9|4012|USD|58
2012-03-28|12.95|12.95|12.84|12.89|10376|USD|59
2012-03-29|12.81|13.0|12.8|12.98|32069|USD|60
2012-03-30|12.99|13.01|12.8|13.01|47555|USD|61
2012-04-02|13.07|13.13|13.01|13.13|47094|USD|62
2012-04-03|13.14|13.19|13.14|13.14|2678|USD|63
2012-04-04|13.15|13.15|12.76|12.96|33432|USD|64
2012-04-05|13.0|13.05|12.75|12.93|14385|USD|65
2012-04-09|13.0|13.0|12.44|12.66|28474|USD|66
2012-04-10|12.67|12.75|12.53|12.75|3050|USD|67
2012-04-11|12.76|12.85|12.65|12.82|14985|USD|68
2012-04-12|12.75|12.82|12.6|12.71|4223|USD|69
2012-04-13|12.7|12.78|12.7|12.72|7431|USD|70
2012-04-16|12.78|12.83|12.71|12.79|4000|USD|71
2012-04-17|12.71|12.8|12.71|12.77|4907|USD|72
2012-04-18|12.75|12.94|12.72|12.85|15151|USD|73
2012-04-19|12.86|12.99|12.85|12.96|32335|USD|74
2012-04-20|12.8|12.94|12.8|12.84|9987|USD|75
2012-04-23|12.85|12.94|12.85|12.94|10670|USD|76
2012-04-24|12.96|13.01|12.91|12.98|9450|USD|77
2012-04-25|13.01|13.09|12.93|13.09|12757|USD|78
2012-04-26|13.03|13.11|12.97|13.11|9591|USD|79
2012-04-27|13.0|13.09|12.9|13.04|10644|USD|80
