Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|9.7|9.7|9.7|9.7|100|USD|0
2012-01-05|9.96|9.96|9.89|9.9|400|USD|1
2012-01-06|9.99|10.0|9.99|10.0|300|USD|2
2012-01-09|10.0|10.0|10.0|10.0|0|USD|3
2012-01-10|10.0|10.0|10.0|10.0|0|USD|4
2012-01-19|9.6|10.0|9.6|10.0|200|USD|5
2012-01-20|10.15|10.16|9.46|10.04|4289|USD|6
2012-01-24|10.07|10.07|10.02|10.02|200|USD|7
2012-01-25|10.36|11.01|10.36|11.01|400|USD|8
2012-01-26|11.0|11.0|9.77|9.77|793|USD|9
2012-01-27|9.99|10.66|9.99|10.46|1400|USD|10
2012-01-30|10.62|10.62|10.05|10.35|2200|USD|11
2012-01-31|10.1|11.31|10.1|11.16|6588|USD|12
2012-02-01|10.8|11.0|10.11|10.26|6249|USD|13
2012-02-02|10.06|10.48|9.86|10.3|3799|USD|14
2012-02-03|10.25|10.28|10.0|10.0|3299|USD|15
2012-02-07|9.87|9.87|9.83|9.83|400|USD|16
2012-02-08|9.81|9.93|9.65|9.92|1382|USD|17
2012-02-09|9.65|10.24|9.65|9.99|987|USD|18
2012-02-16|9.75|10.06|9.75|10.06|600|USD|19
2012-02-21|9.84|9.94|9.81|9.94|1165|USD|20
2012-02-22|9.75|9.95|9.48|9.48|6511|USD|21
2012-02-23|9.55|9.55|8.26|8.64|3091|USD|22
2012-02-24|8.72|9.2|8.7|8.79|5094|USD|23
2012-02-27|8.78|8.89|8.78|8.81|400|USD|24
2012-02-28|8.91|8.91|8.91|8.91|0|USD|25
2012-02-29|8.68|8.68|8.68|8.68|0|USD|26
2012-03-02|8.68|8.68|8.68|8.68|200|USD|27
2012-03-05|8.63|8.63|8.6|8.6|321|USD|28
2012-03-06|8.72|8.72|8.55|8.55|1425|USD|29
2012-03-07|8.5|8.7|8.42|8.7|1200|USD|30
2012-03-09|8.42|8.42|8.27|8.29|970|USD|31
2012-03-12|8.27|8.27|8.27|8.27|270|USD|32
2012-03-14|8.35|8.4|8.35|8.4|400|USD|33
2012-03-15|8.38|8.38|8.31|8.31|500|USD|34
2012-03-16|8.34|8.34|8.34|8.34|480|USD|35
2012-03-19|8.3|8.3|8.3|8.3|100|USD|36
2012-03-21|8.27|8.75|8.27|8.4|1528|USD|37
2012-03-22|8.59|8.6|8.41|8.46|5100|USD|38
2012-03-23|8.3|8.41|8.27|8.39|2682|USD|39
2012-03-28|8.3|8.45|8.08|8.08|5999|USD|40
2012-03-29|8.05|8.05|8.0|8.0|1520|USD|41
2012-03-30|9.6|9.6|8.31|8.75|7308|USD|42
2012-04-02|9.14|9.14|9.14|9.14|240|USD|43
2012-04-03|9.14|9.15|9.12|9.13|601|USD|44
2012-04-04|8.78|9.11|8.78|9.0|2000|USD|45
2012-04-05|9.02|9.21|8.91|9.17|3476|USD|46
2012-04-09|9.18|9.23|8.83|9.16|2296|USD|47
2012-04-10|8.8|8.95|8.8|8.95|200|USD|48
2012-04-11|9.11|9.75|9.11|9.74|1338|USD|49
2012-04-13|9.42|9.6|8.5|9.57|15354|USD|50
2012-04-17|9.57|9.57|9.57|9.57|776|USD|51
2012-04-18|9.46|9.46|9.46|9.46|600|USD|52
2012-04-19|9.31|9.43|8.55|8.63|3893|USD|53
2012-04-20|8.7|9.73|8.7|9.6|5620|USD|54
2012-04-23|9.46|9.55|9.35|9.42|903|USD|55
2012-04-24|9.42|9.42|9.42|9.42|800|USD|56
2012-04-25|9.45|9.45|9.45|9.45|200|USD|57
2012-04-26|9.55|9.59|9.44|9.59|1606|USD|58
2012-04-27|9.71|9.71|9.71|9.71|900|USD|59
2012-05-01|8.75|8.75|8.75|8.75|100|USD|60
2012-05-02|9.01|9.01|9.01|9.01|300|USD|61
2012-05-03|9.02|9.1|9.02|9.05|800|USD|62
2012-05-04|9.05|9.07|9.05|9.07|200|USD|63
2012-05-07|8.8|9.5|8.8|8.82|1000|USD|64
2012-05-08|9.42|9.45|9.42|9.45|200|USD|65
2012-05-09|9.49|9.49|8.78|8.78|1680|USD|66
2012-05-16|9.22|9.22|9.22|9.22|0|USD|67
2012-05-18|8.8|9.5|8.8|9.49|550|USD|68
2012-05-21|9.43|9.43|8.8|9.3|700|USD|69
2012-05-23|9.5|9.5|8.8|8.8|1200|USD|70
2012-05-24|8.81|9.16|8.81|9.01|1137|USD|71
2012-05-25|9.01|9.18|9.01|9.18|400|USD|72
2012-05-31|9.43|9.43|9.43|9.43|100|USD|73
2012-06-01|9.12|9.12|9.12|9.12|300|USD|74
2012-06-04|9.11|9.11|8.8|8.8|5755|USD|75
2012-06-05|8.98|9.0|8.98|9.0|300|USD|76
2012-06-06|8.89|8.89|8.75|8.75|2140|USD|77
2012-06-07|8.79|8.79|8.79|8.79|227|USD|78
2012-06-08|8.75|8.75|8.75|8.75|300|USD|79
2012-06-12|8.29|8.3|8.25|8.3|1000|USD|80
2012-06-14|8.13|8.6|8.13|8.6|1341|USD|81
2012-06-15|8.85|8.85|7.79|7.97|6698|USD|82
2012-06-18|7.81|8.36|7.81|7.9|2715|USD|83
2012-06-19|7.91|7.98|7.91|7.98|200|USD|84
2012-06-21|7.79|7.79|7.79|7.79|605|USD|85
2012-06-22|7.84|7.84|7.84|7.84|100|USD|86
2012-06-25|7.84|7.86|7.84|7.86|1294|USD|87
2012-06-26|7.98|8.15|7.98|8.15|500|USD|88
2012-06-27|8.01|8.1|7.31|7.75|5391|USD|89
2012-06-28|7.76|7.8|7.62|7.62|1400|USD|90
2012-06-29|7.61|7.61|7.61|7.61|300|USD|91
2012-07-02|7.7|7.7|7.7|7.7|0|USD|92
2012-07-03|7.75|7.75|7.75|7.75|100|USD|93
2012-07-06|7.9|7.9|7.8|7.82|424|USD|94
2012-07-12|8.1|8.1|7.96|8.05|900|USD|95
2012-07-13|7.85|8.5|7.85|8.35|1900|USD|96
2012-07-16|8.38|8.39|8.18|8.2|1294|USD|97
2012-07-17|8.15|8.5|8.0|8.41|4200|USD|98
2012-07-18|8.0|8.45|8.0|8.28|2700|USD|99
2012-07-19|8.13|8.36|8.13|8.15|647|USD|100
2012-07-24|8.29|8.29|8.29|8.29|200|USD|101
2012-07-26|7.92|8.09|7.92|7.94|2400|USD|102
2012-07-27|7.91|8.04|7.91|8.03|777|USD|103
2012-07-30|7.92|7.92|7.92|7.92|405|USD|104
2012-07-31|7.8|7.8|7.8|7.8|170|USD|105
2012-08-01|7.7|7.7|7.7|7.7|1050|USD|106
2012-08-02|7.6|7.6|7.6|7.6|960|USD|107
2012-08-03|7.61|7.61|7.6|7.6|540|USD|108
2012-08-07|7.64|7.64|7.64|7.64|100|USD|109
2012-08-08|7.6|7.63|7.6|7.6|2955|USD|110
2012-08-09|7.52|7.55|7.52|7.52|850|USD|111
2012-08-10|7.53|7.53|7.5|7.5|4138|USD|112
2012-08-13|7.5|7.5|7.5|7.5|100|USD|113
2012-08-14|7.57|7.57|7.5|7.5|200|USD|114
2012-08-15|7.52|7.52|7.52|7.52|100|USD|115
2012-08-16|7.52|7.6|7.5|7.6|999|USD|116
2012-08-17|7.53|7.53|7.5|7.5|1100|USD|117
2012-08-20|7.59|8.08|7.59|8.08|1713|USD|118
2012-08-23|7.51|7.94|7.51|7.94|416|USD|119
2012-08-30|7.5|7.5|7.5|7.5|1171|USD|120
2012-09-04|7.5|7.5|7.5|7.5|219|USD|121
2012-09-06|7.65|7.75|7.63|7.75|1000|USD|122
2012-09-07|7.75|7.78|7.74|7.74|783|USD|123
2012-09-10|7.85|7.85|7.85|7.85|800|USD|124
2012-09-11|7.89|7.89|7.51|7.51|1825|USD|125
2012-09-13|7.66|7.66|7.66|7.66|200|USD|126
2012-09-20|7.58|7.64|7.52|7.54|2400|USD|127
2012-09-21|7.64|7.69|6.08|6.08|148538|USD|128
2012-09-24|6.39|6.52|6.04|6.1|34754|USD|129
2012-09-25|6.4|6.65|6.21|6.5|20182|USD|130
2012-09-26|6.57|6.64|6.57|6.58|2838|USD|131
2012-09-27|6.66|7.1|6.66|6.95|15501|USD|132
2012-09-28|7.15|7.16|7.15|7.16|200|USD|133
2012-10-01|7.02|7.02|6.68|6.68|2323|USD|134
2012-10-02|6.52|6.64|6.52|6.64|1800|USD|135
2012-10-03|6.87|7.0|6.62|6.99|4410|USD|136
2012-10-04|6.65|6.67|6.19|6.62|7634|USD|137
2012-10-05|6.84|6.84|6.59|6.59|500|USD|138
2012-10-08|6.61|6.96|6.61|6.88|2500|USD|139
2012-10-09|6.8|6.8|6.43|6.72|2664|USD|140
2012-10-10|6.72|6.72|6.27|6.27|1100|USD|141
2012-10-11|6.7|6.7|6.44|6.44|3500|USD|142
2012-10-15|6.4|6.4|6.4|6.4|100|USD|143
2012-10-16|6.38|6.5|6.38|6.45|7476|USD|144
2012-10-17|6.59|6.6|6.58|6.6|1552|USD|145
2012-10-22|6.62|6.75|6.61|6.75|1200|USD|146
2012-10-23|6.75|6.75|6.75|6.75|300|USD|147
2012-10-25|6.62|6.98|6.62|6.95|4800|USD|148
2012-10-31|6.94|6.95|6.94|6.95|294|USD|149
2012-11-01|6.86|6.86|6.86|6.86|479|USD|150
2012-11-12|6.75|6.75|6.63|6.63|300|USD|151
2012-11-13|6.8|6.8|6.78|6.78|500|USD|152
2012-11-14|6.72|6.72|6.7|6.7|1731|USD|153
2012-11-15|6.7|6.7|6.7|6.7|575|USD|154
2012-11-16|6.86|6.86|6.86|6.86|300|USD|155
2012-11-21|6.77|6.88|6.77|6.88|200|USD|156
2012-11-30|6.95|6.95|6.95|6.95|787|USD|157
2012-12-05|6.97|6.97|6.96|6.96|238|USD|158
2012-12-12|6.85|6.85|6.72|6.78|1290|USD|159
2012-12-13|6.72|6.72|6.72|6.72|1000|USD|160
2012-12-14|6.74|6.74|6.71|6.72|3779|USD|161
2012-12-17|7.13|7.13|6.89|6.89|2810|USD|162
2012-12-19|7.13|7.13|6.82|6.84|1299|USD|163
2012-12-20|7.1|7.1|7.1|7.1|200|USD|164
2012-12-21|6.97|6.97|6.97|6.97|100|USD|165
2012-12-26|6.82|6.82|6.82|6.82|132|USD|166
2012-12-28|6.81|6.81|6.81|6.81|100|USD|167
2013-01-02|6.9|6.9|6.9|6.9|300|USD|168
2013-01-03|6.8|6.8|6.8|6.8|300|USD|169
2013-01-04|6.8|6.81|6.8|6.81|400|USD|170
2013-01-07|6.71|6.71|6.71|6.71|2510|USD|171
2013-01-08|6.71|6.71|6.71|6.71|500|USD|172
2013-01-09|7.01|7.01|7.01|7.01|300|USD|173
2013-01-15|6.97|6.97|6.51|6.7|400|USD|174
2013-01-22|6.46|6.46|6.46|6.46|1000|USD|175
2013-01-23|7.0|7.0|6.97|6.97|500|USD|176
2013-01-25|6.48|6.48|6.48|6.48|700|USD|177
2013-01-28|6.51|6.51|6.51|6.51|100|USD|178
2013-01-29|6.51|6.54|6.51|6.54|500|USD|179
2013-01-30|6.58|6.61|6.5|6.5|3448|USD|180
2013-02-05|6.52|6.63|6.44|6.5|5269|USD|181
2013-02-06|6.7|6.76|6.7|6.73|1100|USD|182
2013-02-07|6.7|6.7|6.68|6.7|1490|USD|183
2013-02-08|6.73|6.82|6.73|6.82|2362|USD|184
2013-02-15|6.98|7.2|6.91|7.2|2488|USD|185
2013-02-20|7.24|7.4|7.19|7.21|1842|USD|186
2013-02-21|7.57|7.79|7.57|7.79|6644|USD|187
2013-02-22|8.2|8.4|7.95|7.95|2100|USD|188
2013-02-25|7.92|7.92|7.83|7.83|400|USD|189
2013-02-26|7.99|8.0|7.98|7.98|1000|USD|190
2013-02-27|7.98|8.74|7.8|7.89|4741|USD|191
2013-03-01|7.88|7.88|7.88|7.88|200|USD|192
2013-03-04|8.7|8.7|8.65|8.65|300|USD|193
2013-03-06|7.83|7.84|7.83|7.84|200|USD|194
2013-03-07|7.83|7.83|7.83|7.83|100|USD|195
2013-03-08|7.88|8.7|7.88|7.88|1800|USD|196
2013-03-11|7.87|7.87|7.87|7.87|300|USD|197
2013-03-12|7.83|7.83|7.4|7.4|800|USD|198
2013-03-13|8.1|8.71|7.51|7.54|2799|USD|199
2013-03-19|7.71|8.25|7.71|8.0|477|USD|200
2013-03-21|8.0|8.0|8.0|8.0|100|USD|201
2013-03-22|8.01|8.01|8.01|8.01|200|USD|202
2013-03-27|8.0|8.0|8.0|8.0|1000|USD|203
2013-03-28|8.37|8.39|8.01|8.03|1640|USD|204
2013-04-01|8.07|8.07|8.07|8.07|100|USD|205
2013-04-02|8.13|8.13|8.13|8.13|100|USD|206
2013-04-03|8.36|8.36|8.33|8.33|200|USD|207
2013-04-04|8.18|8.4|8.02|8.02|1460|USD|208
2013-04-09|8.0|8.0|8.0|8.0|100|USD|209
2013-04-12|8.15|8.46|8.15|8.46|382|USD|210
2013-04-15|8.5|8.5|8.46|8.47|800|USD|211
2013-04-22|8.25|8.25|8.25|8.25|200|USD|212
2013-04-25|8.3|8.3|8.1|8.25|1100|USD|213
2013-04-26|8.25|8.25|8.25|8.25|100|USD|214
2013-04-29|7.56|7.58|7.56|7.58|202|USD|215
2013-05-02|7.63|7.76|7.4|7.4|2774|USD|216
2013-05-03|7.7|7.7|7.4|7.4|1281|USD|217
2013-05-06|7.41|7.62|7.4|7.62|770|USD|218
2013-05-08|7.4|7.4|7.4|7.4|500|USD|219
2013-05-09|7.4|7.51|7.4|7.4|701|USD|220
2013-05-10|7.35|7.36|7.23|7.23|1400|USD|221
2013-05-13|7.14|7.14|7.14|7.14|800|USD|222
2013-05-14|7.11|7.13|7.11|7.13|600|USD|223
2013-05-15|7.75|7.75|7.7|7.7|400|USD|224
2013-05-16|7.25|7.25|7.2|7.2|1400|USD|225
2013-05-20|7.11|7.11|6.6|7.11|1099|USD|226
2013-05-21|7.01|7.5|7.01|7.5|419|USD|227
2013-05-22|7.37|7.37|7.3|7.3|401|USD|228
2013-05-23|7.04|7.34|7.0|7.04|2602|USD|229
2013-05-24|7.23|7.23|7.16|7.17|1100|USD|230
2013-05-28|7.03|7.11|7.01|7.11|1488|USD|231
2013-05-29|7.06|7.56|7.06|7.21|2400|USD|232
2013-05-30|7.2|7.75|7.2|7.27|1200|USD|233
2013-05-31|7.55|7.9|7.55|7.89|3164|USD|234
2013-06-03|7.61|7.63|7.61|7.62|1687|USD|235
2013-06-04|7.45|7.62|7.45|7.55|927|USD|236
2013-06-05|7.26|7.6|7.26|7.43|969|USD|237
2013-06-07|7.64|7.64|7.27|7.27|661|USD|238
2013-06-10|7.3|7.75|7.16|7.29|4570|USD|239
2013-06-11|7.34|7.34|7.34|7.34|300|USD|240
2013-06-12|7.07|7.2|7.07|7.2|1080|USD|241
2013-06-13|7.07|7.34|7.07|7.33|595|USD|242
2013-06-14|7.25|7.25|7.25|7.25|297|USD|243
2013-06-17|7.09|7.09|7.06|7.06|1120|USD|244
2013-06-18|7.05|7.19|7.05|7.19|474|USD|245
2013-06-19|7.07|7.2|7.07|7.2|200|USD|246
2013-06-20|7.09|7.28|7.05|7.06|5525|USD|247
2013-06-21|7.17|7.17|7.17|7.17|200|USD|248
2013-06-26|7.34|7.34|7.34|7.34|400|USD|249
2013-06-27|7.39|7.39|7.24|7.24|300|USD|250
2013-06-28|7.28|7.28|7.05|7.11|1294|USD|251
2013-07-05|7.4|7.4|7.06|7.4|1700|USD|252
2013-07-08|7.21|7.21|7.21|7.21|700|USD|253
2013-07-09|7.11|7.11|7.11|7.11|419|USD|254
2013-07-10|7.1|7.3|7.1|7.25|1694|USD|255
2013-07-11|7.66|7.7|7.49|7.49|1374|USD|256
2013-07-15|7.29|7.49|7.19|7.37|1901|USD|257
2013-07-16|7.23|7.4|7.07|7.4|1327|USD|258
2013-07-17|7.41|7.41|7.41|7.41|300|USD|259
2013-07-18|7.6|7.6|7.6|7.6|300|USD|260
2013-07-19|7.51|7.69|7.31|7.43|3100|USD|261
2013-07-22|7.53|7.57|7.32|7.57|1300|USD|262
2013-07-24|7.55|7.6|7.32|7.44|1700|USD|263
2013-07-25|7.32|7.32|7.32|7.32|100|USD|264
2013-07-29|7.33|7.46|7.33|7.36|400|USD|265
2013-07-30|7.34|7.45|7.34|7.4|704|USD|266
2013-07-31|7.3|7.38|7.3|7.38|200|USD|267
2013-08-01|7.26|7.45|7.26|7.43|1511|USD|268
2013-08-02|7.3|7.31|7.25|7.31|1699|USD|269
2013-08-08|7.43|7.65|7.42|7.65|1962|USD|270
2013-08-09|7.67|7.89|7.66|7.8|4499|USD|271
