Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|7.78|8.24|7.7|8.21|82458|USD|0
2012-01-04|8.21|8.21|7.97|8.05|43350|USD|1
2012-01-05|8.01|8.01|7.67|7.94|31076|USD|2
2012-01-06|7.92|7.96|7.76|7.86|34813|USD|3
2012-01-09|7.7|8.14|7.68|8.12|41161|USD|4
2012-01-10|8.2|8.48|7.93|8.11|58142|USD|5
2012-01-11|8.1|8.23|7.96|8.17|20963|USD|6
2012-01-12|8.17|9.12|8.17|9.1|99030|USD|7
2012-01-13|8.97|9.46|8.76|8.95|63098|USD|8
2012-01-17|9.0|9.15|8.83|8.87|73661|USD|9
2012-01-18|8.91|8.98|8.86|8.98|44828|USD|10
2012-01-19|8.98|9.88|8.95|9.63|70885|USD|11
2012-01-20|9.63|9.94|9.54|9.83|69794|USD|12
2012-01-23|9.84|9.98|9.59|9.9|34612|USD|13
2012-01-24|9.82|9.95|9.24|9.83|28824|USD|14
2012-01-25|9.79|10.03|9.76|9.92|43431|USD|15
2012-01-26|10.16|10.16|9.82|9.92|39734|USD|16
2012-01-27|9.93|10.1|9.93|10.07|49332|USD|17
2012-01-30|10.05|10.16|9.97|10.01|66821|USD|18
2012-01-31|10.06|10.44|9.94|9.98|61978|USD|19
2012-02-01|10.04|10.22|10.04|10.17|58516|USD|20
2012-02-02|10.24|10.32|10.2|10.29|50483|USD|21
2012-02-03|10.42|10.97|10.25|10.85|129527|USD|22
2012-02-06|10.84|10.95|10.3|10.55|52572|USD|23
2012-02-07|10.58|10.69|10.3|10.56|86963|USD|24
2012-02-08|10.63|10.63|10.3|10.45|92195|USD|25
2012-02-09|9.25|10.65|7.88|10.44|176069|USD|26
2012-02-10|10.22|10.65|10.0|10.29|56419|USD|27
2012-02-13|10.42|10.96|10.41|10.82|62436|USD|28
2012-02-14|10.9|11.53|10.84|11.4|121357|USD|29
2012-02-15|11.43|11.8|11.4|11.66|100077|USD|30
2012-02-16|11.84|12.12|11.08|12.03|110239|USD|31
2012-02-17|12.11|12.25|11.96|12.07|51006|USD|32
2012-02-21|12.1|12.17|11.71|11.72|40851|USD|33
2012-02-22|11.58|11.68|11.17|11.31|83887|USD|34
2012-02-23|11.31|11.82|11.25|11.81|46384|USD|35
2012-02-24|11.86|11.87|11.38|11.42|52437|USD|36
2012-02-27|11.38|11.82|11.15|11.66|67841|USD|37
2012-02-28|11.67|11.94|11.46|11.7|47216|USD|38
2012-02-29|11.73|11.87|11.07|11.07|108943|USD|39
2012-03-01|11.09|11.55|11.09|11.3|35920|USD|40
2012-03-02|11.35|11.49|11.0|11.06|49808|USD|41
2012-03-05|11.15|11.49|10.95|11.07|44756|USD|42
2012-03-06|11.02|11.02|10.44|10.83|64851|USD|43
2012-03-07|10.38|11.15|10.38|11.08|46882|USD|44
2012-03-08|11.18|11.58|10.91|11.28|58543|USD|45
2012-03-09|11.27|11.43|10.87|11.21|63962|USD|46
2012-03-12|11.09|11.54|11.02|11.16|40408|USD|47
2012-03-13|11.2|11.2|10.88|11.11|55863|USD|48
2012-03-14|11.04|11.23|10.82|11.01|19201|USD|49
2012-03-15|11.01|11.15|10.86|11.05|26507|USD|50
2012-03-16|11.07|11.37|10.71|10.83|41844|USD|51
2012-03-19|10.77|12.13|10.77|11.87|80144|USD|52
2012-03-20|11.76|12.02|11.68|11.79|29461|USD|53
2012-03-21|11.74|11.88|11.65|11.69|21395|USD|54
2012-03-22|11.54|11.55|11.32|11.48|20765|USD|55
2012-03-23|11.66|11.92|11.66|11.83|13009|USD|56
2012-03-26|11.95|12.01|11.82|11.96|18382|USD|57
2012-03-27|12.02|12.17|11.9|11.9|27257|USD|58
2012-03-28|11.96|12.0|11.31|11.4|99585|USD|59
2012-03-29|11.36|11.36|10.99|11.14|332540|USD|60
2012-03-30|11.26|11.26|10.88|10.89|33820|USD|61
2012-04-02|10.87|10.91|10.58|10.75|112054|USD|62
2012-04-03|10.75|10.76|10.07|10.22|69320|USD|63
2012-04-04|10.11|10.25|9.64|9.87|136206|USD|64
2012-04-05|9.78|9.78|9.5|9.7|45724|USD|65
2012-04-09|9.5|9.62|9.4|9.56|41188|USD|66
2012-04-10|9.52|9.59|9.16|9.31|55330|USD|67
2012-04-11|9.42|9.53|9.34|9.42|23716|USD|68
2012-04-12|9.39|9.5|9.2|9.29|35662|USD|69
2012-04-13|9.25|9.25|9.08|9.09|17620|USD|70
2012-04-16|9.1|9.29|9.0|9.01|32401|USD|71
2012-04-17|9.12|9.27|9.05|9.16|30947|USD|72
2012-04-18|9.14|9.16|8.8|8.92|60355|USD|73
2012-04-19|8.93|9.12|8.83|8.96|36526|USD|74
2012-04-20|9.08|9.08|8.91|8.96|21172|USD|75
2012-04-23|8.9|9.19|8.77|8.86|52339|USD|76
2012-04-24|8.83|9.01|8.79|9.01|19540|USD|77
2012-04-25|9.16|9.16|8.93|8.98|30791|USD|78
2012-04-26|8.99|9.14|8.96|9.07|19355|USD|79
2012-04-27|9.13|9.32|9.04|9.16|26317|USD|80
2012-04-30|9.08|9.38|9.07|9.1|84805|USD|81
2012-05-01|9.15|9.35|9.06|9.06|55109|USD|82
2012-05-02|9.02|9.16|8.79|8.81|43124|USD|83
2012-05-03|8.8|8.91|8.73|8.87|18572|USD|84
2012-05-04|8.85|8.85|8.53|8.55|20383|USD|85
2012-05-07|8.54|8.75|8.54|8.61|16097|USD|86
2012-05-08|8.58|8.72|8.5|8.63|13121|USD|87
2012-05-09|8.52|8.52|7.15|7.38|160109|USD|88
2012-05-10|7.44|7.44|6.73|6.84|95455|USD|89
