Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|16.74|16.95|16.29|16.34|712437|USD|0
2012-01-04|16.23|16.58|16.01|16.55|1276528|USD|1
2012-01-05|16.49|16.67|16.07|16.65|1708723|USD|2
2012-01-06|16.69|16.8|16.42|16.6|902201|USD|3
2012-01-09|16.7|16.85|16.41|16.8|668208|USD|4
2012-01-10|17.09|17.32|17.02|17.31|755419|USD|5
2012-01-11|17.27|17.32|17.08|17.28|591257|USD|6
2012-01-12|17.25|17.95|17.12|17.93|828688|USD|7
2012-01-13|17.68|17.83|17.47|17.72|487683|USD|8
2012-01-17|17.85|17.98|17.61|17.71|493996|USD|9
2012-01-18|17.66|17.88|17.53|17.87|428893|USD|10
2012-01-19|17.92|18.1|17.67|17.83|665352|USD|11
2012-01-20|17.87|18.34|17.87|18.2|397056|USD|12
2012-01-23|18.18|18.31|17.97|18.2|324833|USD|13
2012-01-24|18.14|18.4|17.96|18.33|421998|USD|14
2012-01-25|18.3|18.59|18.11|18.56|212362|USD|15
2012-01-26|18.66|18.67|18.19|18.55|361278|USD|16
2012-01-27|18.44|18.81|18.22|18.74|479073|USD|17
2012-01-30|18.54|18.58|18.23|18.4|285588|USD|18
2012-01-31|18.57|18.6|18.3|18.41|251891|USD|19
2012-02-01|18.67|19.35|18.51|19.31|607545|USD|20
2012-02-02|19.41|19.41|18.78|18.96|508125|USD|21
2012-02-03|19.35|20.15|19.04|19.96|732790|USD|22
2012-02-06|20.01|20.27|19.75|20.12|609849|USD|23
2012-02-07|20.09|20.77|19.97|20.75|707559|USD|24
2012-02-08|20.75|21.0|20.37|20.67|652990|USD|25
2012-02-09|20.75|20.98|20.29|20.8|424740|USD|26
2012-02-10|20.44|20.66|20.13|20.29|507804|USD|27
2012-02-13|20.59|20.81|20.52|20.61|465085|USD|28
2012-02-14|20.41|21.03|20.24|21.0|300851|USD|29
2012-02-15|21.15|21.16|20.54|20.65|358686|USD|30
2012-02-16|20.68|21.1|20.68|21.03|396680|USD|31
2012-02-17|21.17|21.19|20.93|21.04|307079|USD|32
2012-02-21|21.17|21.17|20.48|20.93|850972|USD|33
