Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|28.31|28.99|27.73|27.75|3353406|USD|0
2012-01-04|27.86|28.3|27.82|28.18|2587774|USD|1
2012-01-05|28.12|28.5|27.91|28.47|2947914|USD|2
2012-01-06|28.48|28.5|28.11|28.16|3045946|USD|3
2012-01-09|28.34|28.57|28.28|28.52|5016252|USD|4
2012-01-10|28.81|28.93|28.69|28.84|2260844|USD|5
2012-01-11|28.88|29.14|28.82|29.02|1965980|USD|6
2012-01-12|29.09|29.12|28.77|28.9|2528647|USD|7
2012-01-13|28.79|28.89|28.05|28.14|3737256|USD|8
2012-01-17|28.45|28.56|27.99|28.21|3728709|USD|9
2012-01-18|28.25|28.82|28.04|28.81|2179493|USD|10
2012-01-19|28.76|28.76|28.12|28.67|3669036|USD|11
2012-01-20|28.71|28.71|28.43|28.53|2893235|USD|12
2012-01-23|28.58|29.09|28.52|28.9|4032985|USD|13
2012-01-24|28.77|29.16|28.77|29.09|2077925|USD|14
2012-01-25|28.95|29.63|28.8|29.53|2550783|USD|15
2012-01-26|29.7|29.75|29.41|29.55|2191027|USD|16
2012-01-27|29.5|29.74|29.32|29.35|2953120|USD|17
2012-01-30|29.0|29.71|28.97|29.53|3750094|USD|18
2012-01-31|30.06|31.48|30.03|31.0|11850760|USD|19
2012-02-01|30.44|31.69|30.32|31.0|7179388|USD|20
2012-02-02|31.01|31.36|30.92|31.06|4883869|USD|21
2012-02-03|31.23|31.75|31.16|31.53|3614837|USD|22
2012-02-06|31.22|31.76|31.18|31.75|2731885|USD|23
2012-02-07|31.52|32.21|31.39|32.0|3877308|USD|24
2012-02-08|32.1|32.15|31.71|31.75|3343609|USD|25
2012-02-09|31.86|32.23|31.8|32.19|3377715|USD|26
2012-02-10|31.98|32.21|31.86|32.16|7522018|USD|27
2012-02-13|32.27|32.59|32.27|32.4|7738153|USD|28
2012-02-14|32.41|32.54|32.27|32.49|2886194|USD|29
2012-02-15|32.68|32.69|32.31|32.39|4024486|USD|30
2012-02-16|32.55|32.79|32.44|32.59|3712538|USD|31
2012-02-17|32.68|32.74|32.22|32.44|5398217|USD|32
2012-02-21|32.06|32.29|31.9|32.02|3510540|USD|33
2012-02-22|31.9|32.2|31.71|32.01|3176802|USD|34
2012-02-23|31.99|32.47|31.91|32.31|3018796|USD|35
2012-02-24|32.39|32.39|32.09|32.16|4679515|USD|36
2012-02-27|31.89|32.47|31.84|32.33|1939353|USD|37
2012-02-28|32.34|32.69|32.29|32.59|2440852|USD|38
2012-02-29|32.63|32.7|32.43|32.44|2816056|USD|39
2012-03-01|32.62|32.95|32.47|32.82|2509969|USD|40
2012-03-02|32.86|32.89|32.4|32.68|2431162|USD|41
2012-03-05|32.68|33.1|32.6|33.03|2555220|USD|42
2012-03-06|32.8|33.13|32.21|32.23|4139433|USD|43
2012-03-07|32.28|32.56|32.19|32.5|2061269|USD|44
2012-03-08|32.97|33.16|32.62|33.06|1689584|USD|45
2012-03-09|33.06|33.4|32.97|33.39|1503158|USD|46
2012-03-12|33.43|33.54|33.28|33.39|1462154|USD|47
2012-03-13|33.65|33.65|33.25|33.53|3260003|USD|48
2012-03-14|33.5|33.58|33.31|33.42|1885211|USD|49
2012-03-15|33.43|33.48|33.04|33.36|1868975|USD|50
2012-03-16|33.36|33.46|32.97|33.06|3768105|USD|51
2012-03-19|33.39|33.7|33.0|33.53|1719500|USD|52
2012-03-20|33.28|33.62|33.25|33.5|1654197|USD|53
2012-03-21|33.55|33.55|33.3|33.32|1619302|USD|54
2012-03-22|33.03|33.7|33.03|33.64|1715193|USD|55
2012-03-23|33.61|33.82|33.27|33.76|1733593|USD|56
2012-03-26|34.0|34.48|33.81|34.38|2376426|USD|57
2012-03-27|34.55|34.62|34.23|34.38|1561353|USD|58
2012-03-28|34.45|34.45|33.83|34.1|1475106|USD|59
2012-03-29|33.94|34.07|33.66|34.03|1302989|USD|60
2012-03-30|34.22|34.37|33.64|33.66|2367382|USD|61
2012-04-02|33.62|34.23|33.62|34.13|3419969|USD|62
2012-04-03|34.14|34.56|34.05|34.24|2883402|USD|63
2012-04-04|34.01|34.25|33.83|33.88|3045377|USD|64
2012-04-05|33.67|34.07|33.67|33.92|3573796|USD|65
2012-04-09|33.46|33.73|33.25|33.64|2199383|USD|66
2012-04-10|33.42|33.75|32.94|33.0|2527556|USD|67
2012-04-11|33.24|33.75|33.08|33.68|1980228|USD|68
2012-04-12|33.85|34.5|33.76|34.3|2659110|USD|69
2012-04-13|34.17|34.34|33.96|34.13|2739867|USD|70
2012-04-16|31.43|32.67|30.55|31.01|16693027|USD|71
2012-04-17|31.4|31.88|31.18|31.8|5541419|USD|72
2012-04-18|31.77|32.41|31.67|32.11|4167593|USD|73
2012-04-19|32.06|32.35|31.74|31.76|4060134|USD|74
2012-04-20|31.95|32.44|31.76|32.06|2725855|USD|75
2012-04-23|31.76|31.83|31.32|31.81|2786415|USD|76
2012-04-24|31.85|32.43|31.85|32.33|3042515|USD|77
2012-04-25|32.46|32.98|32.3|32.88|2625148|USD|78
2012-04-26|32.77|33.33|32.51|33.24|3088452|USD|79
2012-04-27|33.43|33.65|33.14|33.52|2045349|USD|80
2012-04-30|33.42|33.71|33.32|33.6|2526078|USD|81
2012-05-01|33.67|34.07|33.63|33.8|2390989|USD|82
2012-05-02|33.57|33.95|33.33|33.87|5600210|USD|83
2012-05-03|33.76|33.89|33.35|33.59|2682492|USD|84
2012-05-04|33.35|33.44|32.85|32.98|2327018|USD|85
2012-05-07|32.97|33.02|32.72|32.93|2720572|USD|86
2012-05-08|32.59|32.69|31.95|32.52|2772809|USD|87
2012-05-09|32.23|32.23|31.68|32.09|2660129|USD|88
2012-05-10|32.5|32.72|32.28|32.42|11598320|USD|89
2012-05-11|32.33|32.82|32.2|32.47|3321735|USD|90
2012-05-14|32.14|32.27|31.7|31.87|7603003|USD|91
2012-05-15|31.89|32.41|31.75|31.98|1888299|USD|92
2012-05-16|32.19|32.35|31.96|32.08|2964030|USD|93
2012-05-17|32.12|32.15|31.05|31.07|3292655|USD|94
2012-05-18|31.15|31.62|31.04|31.13|3997129|USD|95
2012-05-21|30.99|31.33|30.58|31.25|2178550|USD|96
2012-05-22|31.37|31.55|31.19|31.36|2526009|USD|97
2012-05-23|31.27|31.34|30.72|31.17|3398691|USD|98
2012-05-24|31.21|31.26|30.73|31.04|4139236|USD|99
2012-05-25|31.14|31.41|30.8|31.26|2631369|USD|100
2012-05-29|31.56|31.77|31.2|31.51|1825857|USD|101
2012-05-30|31.23|31.38|30.93|31.17|1640041|USD|102
2012-05-31|31.19|31.34|30.84|31.13|2339224|USD|103
2012-06-01|30.75|31.02|30.41|30.56|3368129|USD|104
2012-06-04|30.51|30.79|30.15|30.58|2234290|USD|105
2012-06-05|30.3|30.83|30.28|30.78|2214920|USD|106
2012-06-06|31.08|31.65|31.02|31.57|5318433|USD|107
2012-06-07|31.88|32.05|31.46|31.54|2826698|USD|108
2012-06-08|31.73|31.89|31.26|31.69|2025599|USD|109
2012-06-11|31.93|32.0|31.37|31.39|2477865|USD|110
2012-06-12|31.59|32.15|31.45|32.11|2196749|USD|111
2012-06-13|31.95|32.23|31.63|31.76|2012547|USD|112
2012-06-14|31.9|32.33|31.8|32.13|1948986|USD|113
2012-06-15|32.33|32.69|32.11|32.41|2721725|USD|114
2012-06-18|32.35|32.62|32.03|32.42|1486497|USD|115
2012-06-19|32.53|32.77|32.35|32.43|2262636|USD|116
2012-06-20|32.53|32.63|32.17|32.44|1725489|USD|117
2012-06-21|32.6|32.74|31.94|32.02|1555472|USD|118
2012-06-22|32.28|32.37|32.0|32.21|1651180|USD|119
2012-06-25|32.05|32.05|31.42|31.66|1507413|USD|120
2012-06-26|31.79|32.15|31.71|31.94|1727775|USD|121
2012-06-27|32.08|32.27|31.81|31.85|1524352|USD|122
2012-06-28|31.74|31.85|31.34|31.81|1941396|USD|123
2012-06-29|32.38|32.76|32.33|32.44|2531594|USD|124
2012-07-02|32.56|32.95|32.3|32.51|1991578|USD|125
2012-07-03|32.59|32.75|32.4|32.74|1094040|USD|126
2012-07-05|32.58|32.95|32.52|32.82|1718918|USD|127
2012-07-06|32.68|32.89|31.99|32.41|1946768|USD|128
2012-07-09|32.47|32.51|31.73|31.8|2663683|USD|129
2012-07-10|31.88|32.01|31.41|31.58|2527360|USD|130
2012-07-11|31.64|31.69|31.16|31.43|2222729|USD|131
2012-07-12|31.19|31.24|30.74|31.09|2904643|USD|132
