Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.1|3.1|2.93|3.01|234130|USD|0
2012-01-04|2.94|3.01|2.78|2.82|498777|USD|1
2012-01-05|2.78|2.85|2.58|2.61|529586|USD|2
2012-01-06|2.6|2.67|2.56|2.57|446017|USD|3
2012-01-09|2.6|2.6|2.54|2.56|252819|USD|4
2012-01-10|2.58|2.64|2.55|2.56|214705|USD|5
2012-01-11|2.55|2.85|2.51|2.76|337556|USD|6
2012-01-12|2.76|2.87|2.68|2.85|268753|USD|7
2012-01-13|2.83|2.83|2.66|2.67|138848|USD|8
2012-01-17|2.7|2.84|2.53|2.59|225089|USD|9
2012-01-18|2.57|2.66|2.47|2.55|259741|USD|10
2012-01-19|2.6|2.7|2.58|2.66|200709|USD|11
2012-01-20|2.66|2.74|2.61|2.74|137696|USD|12
2012-01-23|2.75|2.82|2.75|2.78|135838|USD|13
2012-01-24|2.78|2.81|2.75|2.77|277393|USD|14
2012-01-25|2.77|2.84|2.72|2.8|143869|USD|15
2012-01-26|2.82|3.18|2.78|3.11|562941|USD|16
2012-01-27|3.1|3.1|2.92|3.05|170679|USD|17
2012-01-30|3.01|3.01|2.92|2.98|134813|USD|18
2012-01-31|3.01|3.03|2.84|2.93|149044|USD|19
2012-02-01|2.96|3.1|2.91|3.09|171960|USD|20
2012-02-02|3.11|3.18|2.97|3.0|242422|USD|21
2012-02-03|3.03|3.14|2.95|3.08|222699|USD|22
2012-02-06|3.07|3.55|3.06|3.45|911523|USD|23
2012-02-07|3.55|3.73|3.23|3.28|1049227|USD|24
2012-02-08|3.29|3.35|3.1|3.2|270120|USD|25
2012-02-09|3.18|3.21|3.06|3.07|250514|USD|26
2012-02-10|3.05|3.05|2.89|2.91|402057|USD|27
2012-02-13|2.95|3.2|2.87|3.04|416245|USD|28
2012-02-14|3.02|3.02|2.87|2.9|399628|USD|29
2012-02-15|2.92|3.04|2.85|2.94|205324|USD|30
