Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|22.0|25.0|22.0|25.0|212|USD|0
2012-01-04|26.0|27.0|26.0|27.0|277|USD|1
2012-01-05|27.8|27.8|26.0|26.0|153|USD|2
2012-01-06|26.0|26.0|25.0|26.0|205|USD|3
2012-01-09|26.0|26.0|25.0|25.0|416|USD|4
2012-01-10|25.0|26.4|25.0|26.0|621|USD|5
2012-01-11|26.0|26.0|25.8|25.8|178|USD|6
2012-01-12|25.8|26.8|25.0|25.0|1200|USD|7
2012-01-13|25.2|26.2|24.0|24.0|1395|USD|8
2012-01-17|25.0|25.2|24.4|24.4|300|USD|9
2012-01-18|24.4|25.0|24.2|24.2|502|USD|10
2012-01-19|23.0|24.0|23.0|24.0|252|USD|11
2012-01-20|25.0|32.0|23.4|29.0|3996|USD|12
2012-01-23|32.0|32.0|24.2|24.5|2233|USD|13
2012-01-24|24.5|29.0|24.5|25.0|515|USD|14
2012-01-25|25.0|28.0|25.0|26.0|757|USD|15
2012-01-26|26.0|29.0|26.0|28.4|2486|USD|16
2012-01-27|28.0|29.0|28.0|29.0|387|USD|17
2012-01-30|28.0|28.0|26.2|28.0|268|USD|18
2012-01-31|28.6|28.6|25.8|27.0|235|USD|19
2012-02-01|25.02|26.0|24.0|25.0|1161|USD|20
2012-02-02|24.0|25.8|22.0|22.0|1935|USD|21
2012-02-03|23.5|24.0|23.5|24.0|1350|USD|22
2012-02-06|24.0|24.0|22.0|24.0|3407|USD|23
2012-02-07|24.0|25.0|23.6|25.0|1304|USD|24
2012-02-08|23.1|25.0|20.6|23.6|3874|USD|25
2012-02-09|24.0|24.0|23.0|23.2|509|USD|26
2012-02-10|24.2|24.8|24.0|24.2|2409|USD|27
2012-02-13|23.6|24.8|23.6|24.8|318|USD|28
2012-02-14|23.6|27.0|23.6|24.0|572|USD|29
2012-02-15|24.0|27.0|24.0|26.4|863|USD|30
2012-02-16|27.0|27.0|25.4|26.6|3669|USD|31
2012-02-17|27.0|27.0|26.0|26.8|1237|USD|32
2012-02-21|25.0|27.0|25.0|26.2|1540|USD|33
2012-02-22|26.2|26.4|25.0|26.0|1086|USD|34
2012-02-23|26.0|26.0|24.2|26.0|302|USD|35
2012-02-24|24.2|27.0|24.2|26.0|66|USD|36
2012-02-27|25.6|25.6|24.2|25.0|588|USD|37
2012-02-28|25.6|26.0|23.2|25.0|528|USD|38
2012-02-29|26.0|26.0|24.0|25.0|406|USD|39
2012-03-01|24.0|24.0|23.2|24.0|299|USD|40
2012-03-02|23.2|25.0|23.2|25.0|1348|USD|41
2012-03-05|24.8|26.4|23.6|26.0|1028|USD|42
2012-03-06|26.4|26.4|25.4|26.4|455|USD|43
2012-03-07|26.2|26.2|26.0|26.02|298|USD|44
2012-03-08|27.0|28.2|27.0|28.02|939|USD|45
2012-03-09|28.6|28.6|27.4|27.4|1194|USD|46
2012-03-12|27.0|27.0|26.0|27.0|231|USD|47
2012-03-13|26.0|27.3|26.0|27.0|173|USD|48
2012-03-14|26.0|28.0|26.0|28.0|180|USD|49
2012-03-15|28.6|28.6|27.6|28.0|630|USD|50
2012-03-16|27.0|28.6|26.0|27.0|321|USD|51
2012-03-19|25.5|28.6|25.0|27.0|482|USD|52
2012-03-20|27.5|28.0|26.0|28.0|604|USD|53
2012-03-21|26.0|27.5|25.6|27.44|1225|USD|54
2012-03-22|25.6|27.5|25.6|27.0|227|USD|55
2012-03-23|27.0|28.0|27.0|27.0|311|USD|56
2012-03-26|27.0|28.0|27.0|27.02|907|USD|57
2012-03-27|27.02|27.8|27.02|27.02|138|USD|58
2012-03-28|27.02|27.8|27.02|27.8|834|USD|59
2012-03-29|27.0|28.0|27.0|27.4|1038|USD|60
2012-03-30|28.0|29.0|25.7|27.0|2203|USD|61
2012-04-02|29.0|31.0|28.0|30.4|1062|USD|62
2012-04-03|29.0|31.96|29.0|29.2|1801|USD|63
2012-04-04|29.2|30.0|28.0|29.0|801|USD|64
2012-04-05|29.0|29.0|27.6|28.0|820|USD|65
2012-04-09|28.0|28.0|24.5|26.0|2288|USD|66
2012-04-10|25.0|26.0|25.0|26.0|572|USD|67
2012-04-11|25.0|26.0|24.52|26.0|262|USD|68
2012-04-12|24.6|26.0|24.6|26.0|30|USD|69
2012-04-13|26.0|28.0|24.8|28.0|295|USD|70
2012-04-16|28.0|28.0|26.0|28.0|99|USD|71
2012-04-17|25.4|28.0|24.0|24.3|1301|USD|72
2012-04-18|26.0|26.0|24.58|25.0|68|USD|73
2012-04-19|24.3|25.8|22.0|25.0|1760|USD|74
2012-04-20|22.6|25.0|22.0|25.0|2217|USD|75
2012-04-23|24.0|24.0|21.4|24.0|1511|USD|76
2012-04-24|23.2|24.0|22.0|23.8|180|USD|77
2012-04-25|24.0|24.0|22.8|24.0|684|USD|78
2012-04-26|22.4|22.4|22.0|22.4|308|USD|79
2012-04-27|22.02|22.4|22.02|22.3|335|USD|80
2012-04-30|22.0|24.0|21.6|24.0|176|USD|81
2012-05-01|22.2|23.9|22.2|23.0|143|USD|82
2012-05-02|23.8|24.8|23.6|24.6|1190|USD|83
2012-05-03|23.6|23.6|22.0|22.2|494|USD|84
2012-05-04|23.0|23.0|22.3|22.3|68|USD|85
2012-05-07|22.3|23.0|22.3|23.0|130|USD|86
2012-05-08|23.0|24.0|22.3|24.0|398|USD|87
2012-05-09|23.0|24.6|23.0|23.0|169|USD|88
2012-05-10|24.0|24.0|23.0|23.0|25|USD|89
2012-05-11|23.0|24.0|23.0|24.0|228|USD|90
2012-05-14|23.0|24.0|23.0|24.0|292|USD|91
2012-05-15|24.0|24.0|23.2|23.2|319|USD|92
2012-05-16|23.2|23.2|16.2|18.0|7350|USD|93
2012-05-17|16.6|20.0|16.0|19.6|4295|USD|94
2012-05-18|18.0|18.0|16.2|17.6|2364|USD|95
2012-05-21|17.6|18.0|17.0|17.4|1002|USD|96
2012-05-22|17.4|17.4|16.0|16.4|1317|USD|97
2012-05-23|16.4|16.8|16.4|16.8|136|USD|98
2012-05-24|16.4|17.8|16.4|17.0|254|USD|99
2012-05-25|17.0|18.0|17.0|18.0|183|USD|100
2012-05-29|18.0|19.8|17.2|17.6|716|USD|101
2012-05-30|17.6|17.6|17.0|17.0|1550|USD|102
2012-05-31|16.4|19.0|16.4|19.0|100|USD|103
2012-06-01|16.4|18.0|16.0|18.0|1063|USD|104
2012-06-04|18.0|18.0|17.0|17.0|95|USD|105
2012-06-05|17.0|18.0|17.0|18.0|21|USD|106
2012-06-06|18.0|18.0|16.22|17.0|405|USD|107
2012-06-07|17.8|18.0|16.22|18.0|210|USD|108
2012-06-08|16.4|18.0|16.4|16.4|680|USD|109
2012-06-11|16.4|17.0|16.4|17.0|31|USD|110
2012-06-12|17.2|18.0|16.4|18.0|908|USD|111
2012-06-13|18.0|18.0|16.2|16.6|223|USD|112
2012-06-14|17.0|17.0|15.6|15.6|1149|USD|113
2012-06-15|16.2|18.0|16.0|17.0|2281|USD|114
2012-06-18|18.0|18.0|8.4|11.9|20365|USD|115
2012-06-19|12.0|14.0|10.62|14.0|12178|USD|116
2012-06-20|16.0|16.0|11.0|13.8|4779|USD|117
2012-06-21|12.0|14.0|10.22|13.0|9327|USD|118
2012-06-22|13.0|13.0|8.0|11.0|8276|USD|119
2012-06-25|10.02|13.4|10.02|12.2|1337|USD|120
2012-06-26|12.2|13.0|12.2|12.8|968|USD|121
2012-06-27|12.8|14.8|12.8|14.0|3003|USD|122
2012-06-28|14.0|14.4|11.6|14.0|793|USD|123
2012-06-29|13.8|14.36|12.0|14.0|1796|USD|124
2012-07-02|14.0|14.0|12.0|14.0|69|USD|125
2012-07-05|12.0|14.0|12.0|14.0|683|USD|126
2012-07-06|14.0|14.0|12.0|13.8|382|USD|127
2012-07-09|12.0|14.0|12.0|14.0|1426|USD|128
2012-07-10|14.0|14.0|12.4|13.6|272|USD|129
2012-07-11|12.6|13.6|12.2|13.6|855|USD|130
2012-07-12|13.6|15.6|11.82|14.4|2822|USD|131
2012-07-13|14.4|17.0|14.0|16.0|4781|USD|132
2012-07-16|16.0|17.0|14.6|16.0|1482|USD|133
2012-07-17|14.6|16.8|14.6|16.6|406|USD|134
2012-07-18|16.6|16.6|15.0|16.4|334|USD|135
2012-07-19|15.2|16.2|15.2|16.0|874|USD|136
2012-07-20|16.0|16.0|15.0|16.0|687|USD|137
2012-07-23|15.0|17.2|14.2|14.2|1681|USD|138
2012-07-24|14.0|15.1|13.8|15.0|3267|USD|139
2012-07-25|15.0|15.8|15.0|15.0|120|USD|140
2012-07-26|14.2|15.0|14.2|15.0|225|USD|141
2012-07-27|14.6|15.4|14.2|15.4|260|USD|142
2012-07-30|16.0|17.8|15.0|16.0|491|USD|143
2012-07-31|16.0|16.0|15.0|16.0|376|USD|144
2012-08-01|16.0|16.0|15.2|15.2|39|USD|145
2012-08-02|15.2|15.2|15.2|15.2|55|USD|146
2012-08-03|16.0|16.8|16.0|16.4|639|USD|147
2012-08-06|15.2|16.6|15.0|16.6|550|USD|148
2012-08-07|16.2|16.2|12.6|14.0|2231|USD|149
2012-08-08|13.4|13.6|10.08|11.96|11584|USD|150
2012-08-09|11.96|12.0|10.08|11.0|5835|USD|151
2012-08-10|10.2|15.4|10.2|14.0|2386|USD|152
2012-08-13|14.0|14.0|10.62|13.8|503|USD|153
2012-08-14|12.0|13.8|10.8|13.8|2285|USD|154
2012-08-15|12.0|12.0|11.0|11.0|302|USD|155
2012-08-16|11.0|13.0|11.0|12.2|902|USD|156
2012-08-17|11.6|13.0|11.6|11.6|408|USD|157
2012-08-20|11.02|11.8|11.02|11.8|67|USD|158
2012-08-21|11.8|11.8|11.04|11.2|1090|USD|159
2012-08-22|11.18|12.0|11.18|12.0|1315|USD|160
2012-08-23|11.98|11.98|11.24|11.4|314|USD|161
2012-08-24|11.9|11.9|11.34|11.8|258|USD|162
2012-08-27|11.34|11.34|11.2|11.2|234|USD|163
2012-08-28|11.2|11.8|11.2|11.4|1045|USD|164
2012-08-29|11.4|12.0|11.4|12.0|420|USD|165
2012-08-30|11.6|12.0|11.6|12.0|34|USD|166
2012-08-31|11.6|12.0|11.6|12.0|174|USD|167
2012-09-04|12.0|12.4|11.6|12.4|781|USD|168
2012-09-05|12.0|12.6|12.0|12.6|189|USD|169
2012-09-06|11.62|12.0|11.62|12.0|413|USD|170
2012-09-07|12.0|12.0|11.4|11.4|302|USD|171
2012-09-10|11.7|11.8|10.62|11.4|3698|USD|172
