Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|40.74|40.91|39.78|40.18|317042|USD|0
2012-01-04|40.14|40.25|39.44|39.8|473074|USD|1
2012-01-05|39.69|40.51|39.58|40.31|314719|USD|2
2012-01-06|40.16|41.3|39.68|40.76|384562|USD|3
2012-01-09|40.83|41.13|40.32|40.93|195750|USD|4
2012-01-10|41.5|41.93|41.28|41.71|259414|USD|5
2012-01-11|41.44|41.76|40.85|41.52|195700|USD|6
2012-01-12|41.44|41.96|41.34|41.8|236734|USD|7
2012-01-13|41.35|41.99|41.25|41.9|234880|USD|8
2012-01-17|39.42|42.2|39.42|41.84|522527|USD|9
2012-01-18|41.93|42.18|41.52|42.17|225342|USD|10
2012-01-19|42.17|42.17|41.51|41.86|219996|USD|11
2012-01-20|41.69|42.03|41.33|41.94|131287|USD|12
2012-01-23|41.91|41.95|41.18|41.59|136470|USD|13
2012-01-24|41.54|43.04|41.19|42.98|341289|USD|14
2012-01-25|43.0|43.4|42.86|43.2|217041|USD|15
2012-01-26|43.31|44.3|43.03|44.2|401080|USD|16
2012-01-27|43.81|44.68|43.57|44.52|445569|USD|17
2012-01-30|43.99|44.25|43.81|44.0|372860|USD|18
2012-01-31|44.32|44.32|43.98|44.05|219816|USD|19
2012-02-01|44.17|45.71|44.13|45.66|407013|USD|20
2012-02-02|45.52|46.3|44.93|45.92|506584|USD|21
2012-02-03|46.69|47.38|46.2|47.21|447361|USD|22
2012-02-06|47.18|47.27|46.72|47.05|322700|USD|23
2012-02-07|46.92|47.48|46.89|47.04|245380|USD|24
2012-02-08|46.95|47.99|46.95|47.63|397648|USD|25
2012-02-09|47.9|49.25|47.26|47.3|661730|USD|26
2012-02-10|46.21|46.21|44.05|45.26|1697216|USD|27
2012-02-13|46.45|47.94|45.11|45.9|475109|USD|28
2012-02-14|45.82|46.45|45.52|45.76|730519|USD|29
2012-02-15|46.04|46.32|44.87|45.01|361643|USD|30
2012-02-16|45.17|46.07|45.04|45.83|390513|USD|31
2012-02-17|46.08|46.16|45.49|45.5|310427|USD|32
2012-02-21|45.56|45.8|45.22|45.52|409338|USD|33
2012-02-22|45.45|45.87|45.27|45.59|261942|USD|34
2012-02-23|45.59|46.06|45.44|45.94|269659|USD|35
2012-02-24|45.82|46.31|45.05|45.79|305978|USD|36
2012-02-27|45.39|45.62|44.92|45.41|396516|USD|37
2012-02-28|45.47|45.85|45.32|45.38|172599|USD|38
2012-02-29|45.46|46.04|45.38|45.52|205371|USD|39
2012-03-01|45.89|46.83|45.72|46.01|343214|USD|40
2012-03-02|45.84|46.29|44.43|44.72|534148|USD|41
2012-03-05|44.71|46.13|44.71|46.0|431546|USD|42
2012-03-06|44.08|45.98|44.08|44.24|800297|USD|43
2012-03-07|44.81|45.86|44.75|45.64|300202|USD|44
2012-03-08|46.06|46.31|45.49|45.94|212267|USD|45
2012-03-09|45.88|47.03|45.6|46.89|287159|USD|46
2012-03-12|46.99|47.33|46.58|46.77|158195|USD|47
2012-03-13|46.94|47.71|46.68|47.69|265922|USD|48
2012-03-14|47.54|47.66|47.14|47.6|343298|USD|49
2012-03-15|47.61|47.62|46.5|46.92|363238|USD|50
2012-03-16|47.16|47.16|46.22|46.45|357234|USD|51
2012-03-19|46.47|46.6|46.09|46.23|246428|USD|52
2012-03-20|46.14|46.6|46.08|46.47|256097|USD|53
2012-03-21|46.44|47.12|46.21|46.68|182683|USD|54
2012-03-22|46.22|46.73|45.95|46.66|146922|USD|55
2012-03-23|46.49|47.25|46.28|47.12|170254|USD|56
2012-03-26|47.54|48.09|47.2|47.77|174959|USD|57
2012-03-27|47.86|47.99|47.15|47.25|139164|USD|58
2012-03-28|47.18|47.99|46.87|47.66|216887|USD|59
2012-03-29|47.14|47.5|46.75|47.37|163527|USD|60
2012-03-30|46.87|47.03|45.65|46.66|401607|USD|61
2012-04-02|46.53|47.07|46.38|46.86|264798|USD|62
2012-04-03|46.81|47.19|46.4|46.63|221777|USD|63
2012-04-04|46.15|47.27|45.86|46.08|178033|USD|64
2012-04-05|45.87|46.29|45.79|46.19|117576|USD|65
2012-04-09|45.54|45.68|45.22|45.39|114108|USD|66
2012-04-10|45.11|45.6|44.67|44.9|288947|USD|67
2012-04-11|45.39|46.42|45.09|46.42|295994|USD|68
2012-04-12|46.37|47.16|46.28|47.07|204952|USD|69
2012-04-13|46.69|47.06|46.36|46.57|186801|USD|70
2012-04-16|46.68|47.33|46.36|47.01|200971|USD|71
2012-04-17|47.27|48.99|47.27|48.35|469557|USD|72
2012-04-18|48.22|48.38|46.84|48.14|473353|USD|73
2012-04-19|48.01|48.18|47.41|47.96|255400|USD|74
2012-04-20|48.52|48.52|47.81|48.25|235211|USD|75
2012-04-23|47.77|47.91|46.96|47.67|217070|USD|76
2012-04-24|47.68|48.54|47.68|48.32|306813|USD|77
2012-04-25|48.77|49.43|48.77|49.2|254594|USD|78
2012-04-26|49.09|49.8|48.82|49.56|162414|USD|79
2012-04-27|49.73|50.37|49.32|50.16|185017|USD|80
2012-04-30|50.05|50.4|49.25|49.29|240631|USD|81
2012-05-01|49.16|49.58|48.83|48.87|353681|USD|82
2012-05-02|48.58|49.9|48.48|49.86|143115|USD|83
2012-05-03|49.9|50.74|49.42|50.3|339723|USD|84
2012-05-04|50.0|50.58|49.42|50.25|225328|USD|85
2012-05-07|50.25|50.85|50.2|50.41|115986|USD|86
2012-05-08|49.93|50.41|49.49|50.17|213944|USD|87
2012-05-09|49.62|50.11|48.77|49.91|288139|USD|88
2012-05-10|50.16|50.68|49.82|50.6|123287|USD|89
2012-05-11|50.3|51.25|50.24|51.07|161095|USD|90
2012-05-14|50.67|51.92|50.38|51.55|459118|USD|91
2012-05-15|51.49|51.49|50.39|50.78|212244|USD|92
2012-05-16|50.83|51.56|50.63|50.75|188307|USD|93
2012-05-17|50.68|50.93|49.23|49.24|278375|USD|94
2012-05-18|49.03|50.0|48.89|49.24|267398|USD|95
2012-05-21|49.52|49.87|48.7|49.76|176319|USD|96
2012-05-22|49.84|50.56|49.61|49.85|266989|USD|97
2012-05-23|49.26|49.95|48.73|49.85|194182|USD|98
2012-05-24|49.85|50.05|49.24|50.05|171361|USD|99
2012-05-25|49.95|50.4|49.77|50.15|117809|USD|100
2012-05-29|50.79|51.39|50.51|50.87|199601|USD|101
2012-05-30|50.4|51.11|50.2|50.81|258362|USD|102
2012-05-31|50.72|51.1|50.12|50.7|431966|USD|103
2012-06-01|50.0|50.35|48.18|48.26|355687|USD|104
2012-06-04|48.35|50.34|47.98|50.22|717290|USD|105
2012-06-05|52.0|53.99|48.62|51.2|1199771|USD|106
2012-06-06|51.2|52.64|51.15|52.0|663647|USD|107
2012-06-07|52.57|53.1|50.2|50.32|630913|USD|108
2012-06-08|50.15|52.0|50.15|51.7|337987|USD|109
2012-06-11|52.0|52.0|49.88|49.91|349191|USD|110
2012-06-12|50.27|51.04|50.13|50.87|296282|USD|111
2012-06-13|50.89|51.18|49.42|49.97|436484|USD|112
2012-06-14|50.06|50.94|50.06|50.43|344940|USD|113
2012-06-15|51.01|51.44|50.61|51.13|589946|USD|114
2012-06-18|50.99|53.3|50.81|53.19|751366|USD|115
2012-06-19|53.42|54.53|53.41|54.47|776374|USD|116
2012-06-20|54.59|54.81|52.78|53.04|340197|USD|117
2012-06-21|52.8|52.93|51.11|51.23|386385|USD|118
2012-06-22|51.64|52.87|51.3|52.79|625012|USD|119
2012-06-25|51.82|53.43|51.55|53.28|357412|USD|120
2012-06-26|53.35|53.83|53.17|53.8|244424|USD|121
2012-06-27|54.64|54.71|53.48|53.81|407012|USD|122
2012-06-28|53.25|53.77|52.86|53.76|339078|USD|123
2012-06-29|54.63|55.03|54.17|54.86|406547|USD|124
2012-07-02|54.83|55.76|54.51|55.76|458287|USD|125
2012-07-03|55.36|55.86|54.88|55.43|203376|USD|126
2012-07-05|55.36|55.4|54.92|55.25|215852|USD|127
2012-07-06|55.0|55.1|54.5|54.91|143884|USD|128
2012-07-09|54.85|55.01|54.29|54.84|213705|USD|129
2012-07-10|55.0|55.67|54.84|55.11|286550|USD|130
2012-07-11|55.18|55.29|54.57|54.99|157760|USD|131
2012-07-12|54.41|55.2|54.06|54.78|147956|USD|132
2012-07-13|55.01|55.43|54.77|54.95|201317|USD|133
2012-07-16|54.97|55.01|54.1|54.45|189954|USD|134
2012-07-17|54.94|55.0|53.91|54.39|140633|USD|135
2012-07-18|54.2|54.84|54.05|54.46|177824|USD|136
2012-07-19|54.76|54.76|52.53|52.55|417964|USD|137
2012-07-20|52.05|52.16|51.21|51.3|332853|USD|138
2012-07-23|50.7|51.13|50.5|50.71|196239|USD|139
2012-07-24|50.79|51.3|50.04|50.73|243328|USD|140
