Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|44.14|44.35|42.5|42.85|210277|USD|0
2012-01-04|42.77|43.0|41.99|42.88|261636|USD|1
2012-01-05|42.89|43.7|42.48|42.66|329624|USD|2
2012-01-06|42.56|43.0|42.16|42.53|163282|USD|3
2012-01-09|42.72|42.74|41.94|42.25|296526|USD|4
2012-01-10|42.77|43.59|42.73|43.41|171639|USD|5
2012-01-11|43.33|44.05|42.94|44.0|102256|USD|6
2012-01-12|44.2|44.93|44.17|44.74|158985|USD|7
2012-01-13|44.21|44.97|44.08|44.81|109995|USD|8
2012-01-17|44.95|46.17|44.81|45.29|184086|USD|9
2012-01-18|45.01|46.96|42.93|43.0|500156|USD|10
2012-01-19|43.01|44.1|42.24|42.63|261883|USD|11
2012-01-20|42.48|43.23|41.72|42.05|202161|USD|12
2012-01-23|42.15|42.15|40.7|41.0|175921|USD|13
2012-01-24|40.73|42.03|40.58|41.96|201144|USD|14
2012-01-25|41.88|42.86|41.51|42.66|121481|USD|15
2012-01-26|42.71|42.83|41.02|41.28|80346|USD|16
2012-01-27|41.05|41.58|40.16|41.32|95225|USD|17
2012-01-30|41.03|41.24|40.42|40.59|102388|USD|18
2012-01-31|40.9|41.27|40.17|40.19|166763|USD|19
2012-02-01|40.39|42.08|40.01|42.04|195470|USD|20
2012-02-02|41.88|42.47|41.0|41.19|124174|USD|21
2012-02-03|41.81|41.89|41.29|41.46|150822|USD|22
2012-02-06|41.25|41.25|40.25|40.56|95303|USD|23
2012-02-07|40.38|40.62|40.06|40.47|166978|USD|24
2012-02-08|40.62|41.41|40.38|41.14|120353|USD|25
2012-02-09|41.33|42.31|41.2|41.92|107994|USD|26
2012-02-10|41.62|41.62|40.48|40.65|117026|USD|27
2012-02-13|40.81|41.73|40.55|41.55|97276|USD|28
2012-02-14|41.39|41.44|40.7|41.29|130224|USD|29
2012-02-15|41.41|41.94|41.37|41.67|147583|USD|30
2012-02-16|41.52|42.26|40.94|41.79|122101|USD|31
2012-02-17|41.94|42.61|41.36|42.02|115957|USD|32
2012-02-21|42.18|42.68|41.65|42.12|117491|USD|33
2012-02-22|41.99|42.73|41.75|42.7|106916|USD|34
2012-02-23|42.7|43.27|42.57|43.0|101994|USD|35
2012-02-24|43.05|43.54|43.0|43.31|83363|USD|36
2012-02-27|43.22|44.37|43.0|43.96|160672|USD|37
2012-02-28|43.46|43.78|40.97|41.33|416686|USD|38
2012-02-29|42.74|44.13|38.78|39.16|779490|USD|39
2012-03-01|39.06|39.28|37.78|38.89|296899|USD|40
2012-03-02|38.8|38.99|37.95|38.26|165162|USD|41
2012-03-05|38.34|39.02|37.83|38.54|231664|USD|42
2012-03-06|38.12|38.69|37.83|38.24|138559|USD|43
2012-03-07|38.41|38.65|38.09|38.3|268858|USD|44
2012-03-08|38.48|39.17|38.25|39.03|167441|USD|45
2012-03-09|38.97|39.51|38.88|39.0|202632|USD|46
2012-03-12|39.1|39.57|38.9|39.48|366641|USD|47
2012-03-13|39.77|40.0|39.37|39.98|161735|USD|48
2012-03-14|39.86|40.08|39.09|39.41|229117|USD|49
2012-03-15|39.34|39.43|38.52|39.26|217627|USD|50
2012-03-16|39.32|40.0|38.71|39.47|218511|USD|51
2012-03-19|39.79|39.9|39.29|39.63|127840|USD|52
2012-03-20|39.51|39.87|39.13|39.52|102508|USD|53
2012-03-21|39.58|39.84|39.07|39.38|123177|USD|54
2012-03-22|39.15|39.35|38.39|38.56|134556|USD|55
2012-03-23|38.52|38.66|37.69|38.23|180157|USD|56
2012-03-26|38.58|39.37|38.58|38.9|234288|USD|57
2012-03-27|38.45|38.74|37.9|38.03|398947|USD|58
