Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.38|1.46|1.35|1.42|24991|USD|0
2012-01-04|1.42|1.44|1.34|1.41|32800|USD|1
2012-01-05|1.42|1.46|1.39|1.4|15268|USD|2
2012-01-06|1.5|1.5|1.4|1.4|14400|USD|3
2012-01-09|1.41|1.41|1.36|1.36|13788|USD|4
2012-01-10|1.4|1.47|1.37|1.37|30900|USD|5
2012-01-11|1.38|1.49|1.38|1.41|16893|USD|6
2012-01-12|1.38|1.43|1.37|1.42|2900|USD|7
2012-01-13|1.4|1.44|1.39|1.4|27613|USD|8
2012-01-17|1.45|1.5|1.37|1.39|114650|USD|9
2012-01-18|1.405|1.48|1.39|1.4|37717|USD|10
2012-01-19|1.44|1.49|1.36|1.49|401530|USD|11
2012-01-20|1.47|1.47|1.38|1.4|69287|USD|12
2012-01-23|1.4|1.5|1.37|1.5|111012|USD|13
2012-01-24|1.46|1.47|1.41|1.47|43452|USD|14
2012-01-25|1.46|1.5|1.46|1.485|23600|USD|15
2012-01-26|1.53|1.6|1.52|1.52|58995|USD|16
2012-01-27|1.53|1.66|1.53|1.57|29194|USD|17
2012-01-30|1.56|1.6|1.53|1.53|31163|USD|18
2012-01-31|1.54|1.65|1.47|1.56|419176|USD|19
2012-02-01|1.56|1.83|1.56|1.77|208909|USD|20
2012-02-02|1.82|1.9|1.77|1.8748|158159|USD|21
2012-02-03|1.89|2.05|1.88|1.952|115445|USD|22
2012-02-06|2.0|2.1|1.85|2.0|94390|USD|23
2012-02-07|1.95|2.131|1.95|2.03|141763|USD|24
2012-02-08|2.1|2.2|2.09|2.2|127099|USD|25
2012-02-09|2.2|2.2|2.05|2.06|140012|USD|26
2012-02-10|1.94|1.94|1.67|1.92|313149|USD|27
2012-02-13|1.76|1.9|1.75|1.9|74951|USD|28
2012-02-14|1.9|1.94|1.88|1.91|73280|USD|29
2012-02-15|1.91|1.91|1.86|1.91|30210|USD|30
2012-02-16|1.88|1.89|1.85|1.85|34999|USD|31
2012-02-17|1.86|1.86|1.8|1.86|27400|USD|32
2012-02-21|1.825|1.86|1.77|1.77|58953|USD|33
2012-02-22|1.77|1.9|1.75|1.9|46926|USD|34
2012-02-23|1.86|1.92|1.86|1.87|115387|USD|35
2012-02-24|1.8899|1.91|1.87|1.91|2076|USD|36
2012-02-27|1.89|1.89|1.77|1.79|91736|USD|37
2012-02-28|1.79|1.85|1.72|1.77|56152|USD|38
2012-02-29|1.73|1.78|1.7|1.74|15165|USD|39
2012-03-01|1.72|1.78|1.65|1.7|40109|USD|40
2012-03-02|1.69|1.708|1.6|1.65|8754|USD|41
2012-03-05|1.64|1.72|1.63|1.66|39500|USD|42
