Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|7.52|7.73|7.39|7.42|101599|USD|0
2012-01-04|7.4|7.65|7.37|7.62|40193|USD|1
2012-01-05|7.59|7.59|7.44|7.47|58687|USD|2
2012-01-06|7.45|7.5|7.39|7.4|33462|USD|3
2012-01-09|7.46|7.54|7.4|7.51|62160|USD|4
2012-01-10|7.58|7.63|7.52|7.61|53918|USD|5
2012-01-11|7.6|8.18|7.55|8.01|99621|USD|6
2012-01-12|8.01|8.23|7.86|8.22|100873|USD|7
2012-01-13|8.11|8.27|8.09|8.25|81800|USD|8
2012-01-17|8.32|8.43|8.16|8.29|50861|USD|9
2012-01-18|8.29|8.72|8.21|8.69|64155|USD|10
2012-01-19|8.72|8.88|8.62|8.85|28035|USD|11
2012-01-20|8.85|8.87|8.71|8.75|90081|USD|12
2012-01-23|8.77|8.79|8.5|8.77|39975|USD|13
2012-01-24|8.75|8.92|8.43|8.87|60589|USD|14
2012-01-25|8.85|8.85|8.61|8.81|26581|USD|15
2012-01-26|8.88|8.88|8.51|8.65|30166|USD|16
2012-01-27|8.63|8.73|8.53|8.61|29029|USD|17
2012-01-30|8.55|8.93|8.55|8.92|57442|USD|18
2012-01-31|8.97|8.97|8.74|8.87|27305|USD|19
2012-02-01|8.97|8.99|8.75|8.96|63423|USD|20
2012-02-02|8.97|8.97|8.7|8.76|63448|USD|21
2012-02-03|8.95|9.3|8.83|9.3|113016|USD|22
2012-02-06|9.25|9.25|8.93|8.95|27419|USD|23
2012-02-07|8.92|9.23|8.89|9.22|58293|USD|24
2012-02-08|9.23|9.26|8.94|9.11|44568|USD|25
2012-02-09|9.1|9.17|8.95|9.03|26478|USD|26
2012-02-10|8.95|8.99|8.89|8.91|41752|USD|27
2012-02-13|9.01|9.07|8.94|9.04|77927|USD|28
2012-02-14|8.98|9.16|8.8|9.15|105302|USD|29
2012-02-15|9.18|9.23|8.89|8.97|112896|USD|30
2012-02-16|9.32|10.24|9.15|10.13|516851|USD|31
2012-02-17|10.13|10.24|10.0|10.14|209481|USD|32
2012-02-21|10.17|10.24|9.78|10.13|164113|USD|33
2012-02-22|10.1|10.21|10.0|10.1|100210|USD|34
2012-02-23|10.12|10.5|9.99|10.45|130167|USD|35
2012-02-24|10.46|10.59|10.42|10.47|112392|USD|36
2012-02-27|10.38|10.39|10.15|10.23|210999|USD|37
2012-02-28|10.25|10.34|10.16|10.25|70210|USD|38
2012-02-29|10.31|10.44|10.16|10.3|111273|USD|39
2012-03-01|10.36|10.75|10.25|10.25|149862|USD|40
2012-03-02|10.5|10.91|10.4|10.68|308134|USD|41
2012-03-05|10.67|10.67|10.49|10.62|129098|USD|42
2012-03-06|10.48|10.77|10.48|10.58|119652|USD|43
2012-03-07|10.62|10.77|10.42|10.71|232379|USD|44
2012-03-08|10.78|11.0|10.66|11.0|106622|USD|45
2012-03-09|10.98|11.1|10.78|11.0|216634|USD|46
2012-03-12|11.0|11.18|10.97|11.14|94191|USD|47
2012-03-13|11.25|11.27|11.07|11.27|196957|USD|48
2012-03-14|11.25|11.39|11.12|11.24|128410|USD|49
2012-03-15|11.23|11.33|11.04|11.27|200774|USD|50
2012-03-16|11.32|11.7|11.13|11.5|378173|USD|51
2012-03-19|11.5|12.36|11.31|12.22|326842|USD|52
2012-03-20|12.05|12.22|11.9|12.19|185493|USD|53
2012-03-21|12.25|12.36|12.16|12.26|88710|USD|54
2012-03-22|12.15|12.35|12.09|12.28|51603|USD|55
2012-03-23|12.28|12.32|12.0|12.29|90148|USD|56
2012-03-26|12.4|12.55|12.28|12.5|126566|USD|57
2012-03-27|12.55|12.78|12.5|12.56|92333|USD|58
2012-03-28|12.64|12.92|12.45|12.68|107000|USD|59
2012-03-29|12.56|13.05|12.56|13.02|107835|USD|60
2012-03-30|13.15|13.44|12.52|12.63|186371|USD|61
2012-04-02|12.58|13.2|12.53|12.82|168756|USD|62
2012-04-03|12.81|13.0|12.6|12.66|109475|USD|63
2012-04-04|12.55|12.73|12.03|12.69|179482|USD|64
2012-04-05|12.6|12.9|12.6|12.83|100928|USD|65
2012-04-09|12.63|12.94|12.63|12.86|83452|USD|66
2012-04-10|12.87|12.96|12.6|12.62|187639|USD|67
2012-04-11|12.71|12.87|12.43|12.87|112435|USD|68
2012-04-12|12.89|13.18|12.88|13.16|69789|USD|69
2012-04-13|13.07|13.48|12.79|12.95|54425|USD|70
2012-04-16|13.08|13.12|12.79|12.96|100798|USD|71
2012-04-17|13.04|13.46|13.04|13.36|86928|USD|72
2012-04-18|13.35|13.43|13.16|13.41|90272|USD|73
2012-04-19|13.45|13.45|12.98|13.03|105063|USD|74
2012-04-20|13.39|13.39|12.63|12.85|177794|USD|75
2012-04-23|12.68|12.78|12.23|12.48|197471|USD|76
2012-04-24|12.46|12.93|12.26|12.88|93996|USD|77
2012-04-25|12.97|13.25|12.56|13.09|322349|USD|78
2012-04-26|13.05|13.12|12.84|13.0|156338|USD|79
2012-04-27|13.0|13.22|12.82|13.01|331553|USD|80
2012-04-30|12.97|13.0|12.77|12.82|142446|USD|81
2012-05-01|12.79|13.24|12.71|12.78|172556|USD|82
2012-05-02|11.94|12.99|11.02|12.8|257791|USD|83
2012-05-03|12.8|13.26|12.52|13.19|158823|USD|84
2012-05-04|13.09|13.2|12.82|13.04|93924|USD|85
2012-05-07|12.96|13.07|12.81|12.85|86061|USD|86
2012-05-08|12.77|13.02|12.58|12.83|67599|USD|87
2012-05-09|12.71|12.93|12.55|12.75|102684|USD|88
2012-05-10|12.84|13.05|12.63|12.99|101950|USD|89
2012-05-11|12.85|13.08|12.85|12.93|65270|USD|90
2012-05-14|12.78|13.09|12.63|12.76|102379|USD|91
2012-05-15|12.74|13.1|12.72|12.83|60511|USD|92
2012-05-16|12.95|12.96|12.78|12.8|139310|USD|93
2012-05-17|12.85|12.85|11.64|11.8|205645|USD|94
2012-05-18|11.77|11.8|11.28|11.46|226490|USD|95
2012-05-21|11.47|11.79|11.38|11.72|61928|USD|96
2012-05-22|11.72|11.84|11.61|11.74|139534|USD|97
2012-05-23|11.61|11.78|11.51|11.76|102598|USD|98
2012-05-24|11.78|11.94|11.69|11.9|72810|USD|99
2012-05-25|11.93|12.02|11.73|11.73|43499|USD|100
2012-05-29|11.78|11.95|11.62|11.87|53992|USD|101
2012-05-30|11.75|11.82|11.74|11.75|48479|USD|102
2012-05-31|11.75|11.79|11.56|11.71|170104|USD|103
2012-06-01|11.47|11.56|10.82|10.84|144706|USD|104
2012-06-04|10.91|11.16|10.63|11.11|128060|USD|105
2012-06-05|11.05|11.42|10.92|11.21|59136|USD|106
2012-06-06|11.31|11.7|11.31|11.45|99184|USD|107
2012-06-07|11.61|11.75|11.35|11.41|75971|USD|108
2012-06-08|11.35|11.62|11.35|11.51|86574|USD|109
2012-06-11|11.67|11.86|11.53|11.56|138842|USD|110
2012-06-12|11.66|11.82|11.3|11.6|90054|USD|111
2012-06-13|11.6|11.75|11.37|11.45|70472|USD|112
2012-06-14|11.41|11.99|11.26|11.8|214894|USD|113
2012-06-15|11.8|12.19|11.8|12.12|123682|USD|114
2012-06-18|12.07|12.29|12.07|12.22|68308|USD|115
2012-06-19|12.31|12.69|12.31|12.59|104166|USD|116
2012-06-20|12.62|12.83|12.44|12.64|126036|USD|117
2012-06-21|12.68|12.68|12.08|12.14|68407|USD|118
2012-06-22|12.27|12.56|12.11|12.36|882601|USD|119
2012-06-25|12.15|12.61|12.13|12.55|126622|USD|120
2012-06-26|12.59|12.76|12.43|12.68|97944|USD|121
2012-06-27|12.74|12.77|12.41|12.53|53091|USD|122
2012-06-28|12.39|12.67|12.16|12.67|47700|USD|123
2012-06-29|12.97|13.31|12.84|13.29|94013|USD|124
2012-07-02|13.32|13.62|13.29|13.51|109497|USD|125
2012-07-03|13.52|13.88|13.49|13.8|34687|USD|126
2012-07-05|13.81|13.82|13.45|13.54|65731|USD|127
2012-07-06|13.36|13.36|12.82|13.07|69226|USD|128
2012-07-09|13.25|13.51|13.15|13.45|64836|USD|129
2012-07-10|13.6|13.77|13.37|13.43|84312|USD|130
2012-07-11|13.37|13.47|13.01|13.05|139491|USD|131
2012-07-12|12.99|13.11|12.64|12.92|102630|USD|132
2012-07-13|12.94|13.22|12.94|13.13|45937|USD|133
2012-07-16|13.13|13.13|12.79|12.83|87852|USD|134
2012-07-17|12.94|13.12|12.71|12.88|39356|USD|135
2012-07-18|12.88|13.16|12.83|13.11|121048|USD|136
2012-07-19|13.16|13.16|12.56|12.65|65446|USD|137
2012-07-20|12.55|12.81|12.5|12.66|143121|USD|138
2012-07-23|12.5|12.64|12.24|12.35|118444|USD|139
2012-07-24|12.4|12.4|11.89|11.96|96851|USD|140
2012-07-25|12.01|12.24|11.81|11.87|50273|USD|141
2012-07-26|12.11|12.2|11.71|12.05|89253|USD|142
2012-07-27|9.31|12.32|9.31|12.15|213303|USD|143
2012-07-30|12.19|12.5|12.11|12.29|112835|USD|144
2012-07-31|12.31|13.18|12.3|12.92|87281|USD|145
2012-08-01|13.04|13.27|12.52|12.53|92975|USD|146
2012-08-02|12.41|12.75|12.27|12.61|76377|USD|147
2012-08-03|12.87|13.2|12.58|13.03|76972|USD|148
2012-08-06|13.13|13.2|12.9|13.03|62562|USD|149
2012-08-07|13.13|13.2|12.79|12.82|87703|USD|150
2012-08-08|12.77|13.2|12.68|13.11|102754|USD|151
2012-08-09|13.04|13.25|12.93|13.05|52862|USD|152
2012-08-10|13.06|13.06|12.84|12.97|52577|USD|153
2012-08-13|13.01|13.01|12.38|12.5|55462|USD|154
2012-08-14|12.54|12.72|12.52|12.65|61081|USD|155
2012-08-15|12.67|12.92|12.6|12.83|62693|USD|156
2012-08-16|12.86|13.27|12.61|13.06|109705|USD|157
2012-08-17|13.1|13.46|13.02|13.39|100913|USD|158
2012-08-20|13.33|13.34|12.99|13.15|57752|USD|159
2012-08-21|13.15|13.59|13.15|13.23|90501|USD|160
2012-08-22|13.24|13.48|13.09|13.33|42753|USD|161
2012-08-23|13.26|13.35|12.86|13.0|74984|USD|162
2012-08-24|12.94|13.19|12.89|13.01|31228|USD|163
2012-08-27|13.04|13.2|12.98|13.06|25956|USD|164
2012-08-28|13.08|13.25|13.05|13.11|66735|USD|165
2012-08-29|13.16|13.25|12.89|13.16|32395|USD|166
2012-08-30|13.1|13.1|12.86|12.97|56069|USD|167
2012-08-31|13.14|13.14|12.91|13.02|45663|USD|168
2012-09-04|12.97|13.25|12.83|13.18|81765|USD|169
2012-09-05|13.18|13.32|13.02|13.06|50812|USD|170
2012-09-06|13.18|13.6|13.07|13.15|64675|USD|171
2012-09-07|13.22|13.24|12.94|13.14|72663|USD|172
2012-09-10|13.11|13.11|12.95|13.01|68553|USD|173
2012-09-11|13.06|13.35|12.94|13.34|67694|USD|174
2012-09-12|13.38|13.44|13.25|13.44|42053|USD|175
2012-09-13|13.43|13.58|13.28|13.45|83790|USD|176
2012-09-14|13.54|13.59|13.37|13.4|77122|USD|177
2012-09-17|13.29|13.37|13.21|13.29|37890|USD|178
