Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|21.44|21.52|20.85|20.88|1599729|USD|0
2012-01-04|20.87|20.98|20.75|20.93|1330817|USD|1
2012-01-05|20.78|20.98|20.55|20.96|1441955|USD|2
2012-01-06|20.89|21.12|20.81|21.09|1029709|USD|3
2012-01-09|21.05|21.27|21.02|21.23|1138586|USD|4
2012-01-10|21.44|21.7|21.38|21.63|1272333|USD|5
2012-01-11|21.53|22.04|20.86|21.95|1782099|USD|6
2012-01-12|22.0|22.26|21.86|22.24|1358610|USD|7
2012-01-13|22.08|22.31|22.04|22.14|947653|USD|8
2012-01-17|22.48|22.59|22.27|22.32|809657|USD|9
2012-01-18|22.29|22.48|22.13|22.47|741508|USD|10
2012-01-19|22.47|22.9|22.37|22.84|1058470|USD|11
2012-01-20|22.86|22.86|22.33|22.37|1748336|USD|12
2012-01-23|22.35|22.59|22.16|22.31|1226309|USD|13
2012-01-24|22.2|22.43|22.15|22.32|760146|USD|14
2012-01-25|22.31|22.8|22.28|22.72|867888|USD|15
2012-01-26|22.83|22.88|22.55|22.65|1014825|USD|16
2012-01-27|22.57|22.58|22.27|22.31|768654|USD|17
2012-01-30|22.14|22.18|21.82|21.98|1388467|USD|18
2012-01-31|22.12|22.18|21.86|21.9|1414285|USD|19
2012-02-01|22.14|22.31|22.0|22.2|1193001|USD|20
2012-02-02|22.15|22.38|21.89|22.32|2387643|USD|21
2012-02-03|22.51|22.86|22.49|22.81|1981552|USD|22
2012-02-06|22.67|22.93|22.63|22.8|884301|USD|23
2012-02-07|22.72|23.2|22.66|23.13|1430647|USD|24
2012-02-08|23.09|23.38|22.98|23.17|1089253|USD|25
2012-02-09|23.2|23.21|22.92|23.0|1228799|USD|26
2012-02-10|22.84|22.96|22.75|22.88|1094684|USD|27
2012-02-13|23.13|23.15|22.96|23.07|920017|USD|28
2012-02-14|23.02|23.13|22.88|23.09|747440|USD|29
2012-02-15|23.2|23.39|23.13|23.37|2097959|USD|30
2012-02-16|23.73|23.81|22.7|22.96|2205821|USD|31
2012-02-17|23.03|23.24|21.86|23.1|2201807|USD|32
2012-02-21|23.15|23.17|22.7|22.79|1086570|USD|33
2012-02-22|22.72|22.84|22.49|22.6|1175205|USD|34
2012-02-23|22.55|22.65|22.47|22.56|1437569|USD|35
2012-02-24|22.7|22.77|22.5|22.75|1159860|USD|36
2012-02-27|22.5|22.93|22.5|22.76|1065919|USD|37
2012-02-28|22.91|23.38|22.8|23.36|1899816|USD|38
2012-02-29|23.25|23.95|23.21|23.83|2056451|USD|39
2012-03-01|23.81|23.92|23.51|23.76|1567945|USD|40
2012-03-02|23.78|24.35|23.71|24.19|2380889|USD|41
2012-03-05|24.1|24.39|24.02|24.28|1562913|USD|42
2012-03-06|24.07|24.18|23.65|23.79|1611242|USD|43
2012-03-07|23.82|23.91|23.62|23.78|1199208|USD|44
2012-03-08|23.84|24.16|23.84|24.05|889936|USD|45
2012-03-09|24.14|24.21|24.01|24.1|876466|USD|46
2012-03-12|23.89|24.01|23.61|23.86|2050731|USD|47
2012-03-13|23.97|24.67|23.88|24.6|1896374|USD|48
2012-03-14|24.51|24.78|24.39|24.47|1663161|USD|49
2012-03-15|24.5|24.59|24.19|24.45|955888|USD|50
2012-03-16|24.34|24.56|24.04|24.48|2125625|USD|51
2012-03-19|24.41|24.64|24.38|24.57|690376|USD|52
2012-03-20|24.41|24.46|24.09|24.22|943371|USD|53
2012-03-21|24.3|24.75|24.27|24.69|1190182|USD|54
2012-03-22|24.57|24.69|24.4|24.61|950413|USD|55
2012-03-23|24.6|24.76|24.34|24.72|853314|USD|56
2012-03-26|24.88|25.0|24.79|24.93|1005990|USD|57
2012-03-27|25.0|25.3|24.9|25.29|1869265|USD|58
2012-03-28|25.23|25.34|25.12|25.22|2371564|USD|59
2012-03-29|25.15|25.26|24.91|25.24|1437369|USD|60
2012-03-30|25.66|25.99|25.41|25.85|2011018|USD|61
2012-04-02|25.79|26.11|25.76|26.05|1535770|USD|62
2012-04-03|26.0|26.21|25.88|26.09|1327903|USD|63
2012-04-04|25.71|26.08|25.44|26.02|1680711|USD|64
2012-04-05|26.03|26.5|25.89|26.43|1483287|USD|65
2012-04-09|25.84|26.08|25.8|25.96|2037465|USD|66
2012-04-10|25.93|26.03|25.35|25.41|1354950|USD|67
2012-04-11|25.73|26.04|25.73|25.9|1218648|USD|68
2012-04-12|26.01|26.27|25.89|26.2|1591868|USD|69
2012-04-13|26.23|26.6|26.16|26.41|1528379|USD|70
2012-04-16|26.58|26.58|26.31|26.51|1679089|USD|71
2012-04-17|26.69|26.82|26.51|26.77|1499494|USD|72
2012-04-18|26.62|26.79|26.54|26.65|970684|USD|73
2012-04-19|26.7|26.8|26.43|26.51|1349963|USD|74
2012-04-20|26.57|26.85|26.44|26.8|2114885|USD|75
2012-04-23|26.56|26.58|26.15|26.33|1190238|USD|76
2012-04-24|26.39|26.58|26.21|26.3|1213204|USD|77
2012-04-25|26.52|26.68|26.4|26.67|1427263|USD|78
2012-04-26|26.56|27.31|26.56|27.26|1239889|USD|79
2012-04-27|27.47|28.1|27.35|28.04|1330265|USD|80
2012-04-30|28.07|28.09|27.65|27.81|1583604|USD|81
2012-05-01|27.9|28.2|27.59|27.65|1932772|USD|82
2012-05-02|27.57|27.71|27.53|27.67|2120797|USD|83
2012-05-03|27.71|28.28|27.64|28.16|3027337|USD|84
2012-05-04|28.11|28.15|27.29|27.3|2566182|USD|85
2012-05-07|27.3|27.75|27.14|27.63|2574917|USD|86
2012-05-08|27.19|27.37|25.64|25.95|4494366|USD|87
2012-05-09|25.75|25.97|25.04|25.78|2890979|USD|88
2012-05-10|26.02|26.16|25.7|25.94|1487336|USD|89
2012-05-11|25.82|26.29|25.75|26.25|1723714|USD|90
2012-05-14|25.98|26.32|25.84|25.85|1771817|USD|91
2012-05-15|25.82|26.42|25.82|25.97|1085804|USD|92
2012-05-16|26.08|26.36|26.04|26.15|1390003|USD|93
2012-05-17|26.16|26.21|25.07|25.07|1307677|USD|94
2012-05-18|25.13|25.28|24.65|24.71|1358963|USD|95
2012-05-21|24.79|25.5|24.64|25.48|1092580|USD|96
2012-05-22|25.49|25.71|25.16|25.3|1888251|USD|97
2012-05-23|25.2|25.51|24.79|25.43|1344546|USD|98
2012-05-24|25.54|25.87|25.46|25.71|1149828|USD|99
2012-05-25|25.76|25.89|25.6|25.83|682277|USD|100
2012-05-29|25.95|26.16|25.78|26.08|690559|USD|101
2012-05-30|25.86|25.9|25.59|25.65|995485|USD|102
2012-05-31|25.7|25.8|25.34|25.59|1432993|USD|103
2012-06-01|25.39|25.51|24.81|24.85|1408139|USD|104
2012-06-04|24.94|25.09|24.65|24.78|1228761|USD|105
2012-06-05|24.77|25.1|24.52|25.04|1053658|USD|106
2012-06-06|25.16|25.72|25.09|25.7|896050|USD|107
2012-06-07|25.99|26.06|25.73|25.81|1185561|USD|108
2012-06-08|25.71|26.12|25.61|26.06|1186906|USD|109
2012-06-11|26.34|26.56|26.22|26.25|1473110|USD|110
2012-06-12|26.31|26.63|26.23|26.63|1180504|USD|111
2012-06-13|26.48|26.56|25.59|25.71|1484445|USD|112
2012-06-14|25.79|25.93|25.36|25.57|1917920|USD|113
2012-06-15|25.76|25.94|25.58|25.86|2408590|USD|114
2012-06-18|25.7|26.2|25.65|26.15|1438172|USD|115
2012-06-19|26.35|26.59|26.24|26.48|1261805|USD|116
2012-06-20|26.41|26.94|26.36|26.83|1195702|USD|117
2012-06-21|26.89|27.14|26.6|26.81|1845812|USD|118
2012-06-22|26.88|27.2|26.87|27.07|3848425|USD|119
2012-06-25|26.79|26.9|26.47|26.79|1215902|USD|120
2012-06-26|26.98|27.38|26.86|27.0|2005729|USD|121
2012-06-27|27.11|27.58|27.04|27.3|1638158|USD|122
2012-06-28|27.19|27.24|26.65|27.13|1276363|USD|123
2012-06-29|27.58|27.74|27.4|27.59|1752173|USD|124
2012-07-02|27.68|28.05|27.6|28.02|1033114|USD|125
2012-07-03|28.06|28.15|27.76|27.87|638897|USD|126
2012-07-05|27.85|27.93|27.35|27.46|1448197|USD|127
2012-07-06|27.25|27.52|26.8|26.98|1366979|USD|128
2012-07-09|26.9|26.97|26.1|26.29|1946478|USD|129
2012-07-10|26.51|26.55|25.54|25.67|1996618|USD|130
2012-07-11|25.69|25.8|25.26|25.55|1797864|USD|131
2012-07-12|25.42|25.75|24.82|25.66|2566711|USD|132
2012-07-13|25.21|25.8|25.21|25.74|1452117|USD|133
2012-07-16|25.61|25.73|25.2|25.23|1561958|USD|134
2012-07-17|25.33|25.99|25.26|25.87|1623266|USD|135
2012-07-18|25.85|25.92|25.66|25.8|1293814|USD|136
2012-07-19|25.81|26.37|25.81|26.07|1045540|USD|137
2012-07-20|26.04|26.04|25.53|25.6|1313561|USD|138
2012-07-23|25.29|25.31|24.93|25.16|976429|USD|139
2012-07-24|25.14|25.34|24.88|25.08|1254061|USD|140
2012-07-25|25.09|25.48|25.08|25.23|1259751|USD|141
2012-07-26|25.7|25.91|25.43|25.8|1023873|USD|142
2012-07-27|26.0|26.66|25.96|26.57|1375758|USD|143
2012-07-30|26.48|26.56|25.85|26.02|2001110|USD|144
