Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.83|17.83|17.36|17.71|49349|USD|0
2012-01-04|17.67|17.73|17.44|17.57|27287|USD|1
2012-01-05|17.51|17.85|17.51|17.71|23047|USD|2
2012-01-06|17.75|17.85|17.6|17.63|29156|USD|3
2012-01-09|17.78|17.82|17.59|17.75|47959|USD|4
2012-01-10|17.85|17.85|17.62|17.85|51484|USD|5
2012-01-11|17.72|17.91|17.65|17.9|23123|USD|6
2012-01-12|17.78|17.92|17.68|17.82|26393|USD|7
2012-01-13|17.67|17.85|17.61|17.64|33260|USD|8
2012-01-17|17.88|17.94|17.66|17.87|39715|USD|9
2012-01-18|17.88|18.01|17.82|18.0|59482|USD|10
2012-01-19|18.0|18.0|17.8|17.97|28012|USD|11
2012-01-20|17.93|18.19|17.85|17.93|36125|USD|12
2012-01-23|18.0|18.0|17.78|17.82|28410|USD|13
2012-01-24|17.82|18.0|17.76|17.99|36019|USD|14
2012-01-25|17.99|18.1|17.79|18.02|24724|USD|15
2012-01-26|18.1|18.12|17.95|18.08|36357|USD|16
2012-01-27|18.05|18.12|18.0|18.1|25411|USD|17
2012-01-30|18.09|18.2|17.83|18.18|38293|USD|18
2012-01-31|18.37|18.37|18.0|18.12|37768|USD|19
2012-02-01|18.19|18.42|18.08|18.4|57953|USD|20
2012-02-02|18.4|18.5|18.29|18.43|20245|USD|21
2012-02-03|18.59|18.82|18.42|18.73|60412|USD|22
2012-02-06|18.56|18.92|18.17|18.28|50680|USD|23
2012-02-07|18.13|18.42|18.01|18.26|37199|USD|24
2012-02-08|18.29|18.59|18.11|18.34|59229|USD|25
2012-02-09|18.44|18.53|18.21|18.46|14306|USD|26
2012-02-10|18.3|18.54|18.3|18.38|19281|USD|27
2012-02-13|18.51|18.51|17.91|18.31|88606|USD|28
2012-02-14|18.16|18.27|18.05|18.23|29763|USD|29
2012-02-15|18.28|18.28|18.02|18.14|31229|USD|30
2012-02-16|18.05|18.3|18.05|18.3|23742|USD|31
2012-02-17|18.28|18.28|18.06|18.13|47408|USD|32
2012-02-21|18.27|18.3|18.1|18.11|48710|USD|33
2012-02-22|18.1|18.27|18.07|18.16|47158|USD|34
2012-02-23|18.19|18.42|18.14|18.38|28045|USD|35
2012-02-24|18.4|18.48|18.31|18.41|33209|USD|36
2012-02-27|18.26|18.43|18.1|18.31|13751|USD|37
2012-02-28|18.31|18.46|18.3|18.31|20503|USD|38
2012-02-29|18.46|18.46|17.87|17.87|60718|USD|39
2012-03-01|17.86|18.02|17.64|17.64|43189|USD|40
2012-03-02|17.65|17.68|17.24|17.25|48020|USD|41
2012-03-05|17.24|17.43|17.18|17.33|53051|USD|42
2012-03-06|17.15|17.37|16.96|17.09|60590|USD|43
2012-03-07|17.1|17.12|16.92|17.07|38200|USD|44
2012-03-08|17.12|17.2|16.9|17.02|37194|USD|45
2012-03-09|16.96|17.41|16.8|17.2|71613|USD|46
2012-03-12|17.21|17.61|17.17|17.56|32226|USD|47
2012-03-13|17.73|18.07|17.39|18.06|51130|USD|48
2012-03-14|18.08|18.1|17.59|17.73|26569|USD|49
2012-03-15|17.76|17.87|17.44|17.65|29637|USD|50
2012-03-16|17.68|17.71|17.5|17.51|41768|USD|51
2012-03-19|17.58|17.99|17.53|17.86|32497|USD|52
2012-03-20|17.67|17.88|17.61|17.74|15488|USD|53
2012-03-21|17.78|17.88|17.7|17.77|17713|USD|54
2012-03-22|17.66|17.77|17.41|17.58|14859|USD|55
2012-03-23|17.5|17.88|17.35|17.85|26327|USD|56
2012-03-26|17.9|17.95|17.74|17.95|22786|USD|57
2012-03-27|17.9|18.02|17.74|17.86|31298|USD|58
2012-03-28|17.89|17.89|17.32|17.41|40425|USD|59
2012-03-29|17.35|17.5|17.21|17.41|20085|USD|60
2012-03-30|17.6|17.6|17.16|17.21|33155|USD|61
2012-04-02|17.2|17.4|17.2|17.36|42199|USD|62
2012-04-03|17.37|17.49|17.17|17.19|23096|USD|63
2012-04-04|17.1|17.21|17.01|17.06|48442|USD|64
2012-04-05|17.01|17.15|17.0|17.06|19935|USD|65
2012-04-09|16.9|17.24|16.89|16.95|40356|USD|66
2012-04-10|16.96|17.0|16.7|16.74|56823|USD|67
2012-04-11|16.93|17.07|16.86|16.96|37342|USD|68
2012-04-12|17.02|17.2|16.94|16.98|57086|USD|69
2012-04-13|16.95|17.06|16.85|16.87|34674|USD|70
2012-04-16|16.92|17.05|16.89|17.0|32459|USD|71
2012-04-17|17.17|17.66|16.92|17.32|74947|USD|72
2012-04-18|17.17|17.17|16.81|16.81|17588|USD|73
2012-04-19|16.88|16.96|16.7|16.8|23144|USD|74
2012-04-20|17.07|17.37|16.86|17.09|35983|USD|75
2012-04-23|16.92|17.13|16.87|16.92|25132|USD|76
2012-04-24|16.92|17.22|16.92|17.22|38089|USD|77
2012-04-25|17.3|17.3|16.96|17.06|41981|USD|78
2012-04-26|16.98|17.31|16.98|17.18|50799|USD|79
2012-04-27|17.2|17.35|17.14|17.17|24920|USD|80
2012-04-30|17.24|17.29|16.9|16.99|79067|USD|81
2012-05-01|17.4|17.4|16.95|16.95|49989|USD|82
2012-05-02|16.94|17.29|16.94|17.14|27297|USD|83
2012-05-03|17.09|17.18|16.99|17.05|21360|USD|84
2012-05-04|17.11|17.34|16.96|16.96|55802|USD|85
2012-05-07|16.95|17.16|16.89|17.01|23494|USD|86
2012-05-08|16.92|17.17|16.89|17.14|13556|USD|87
2012-05-09|17.01|17.17|16.97|17.05|19185|USD|88
2012-05-10|17.17|17.36|16.91|17.13|24173|USD|89
2012-05-11|16.98|17.12|16.9|16.97|42837|USD|90
2012-05-14|16.98|17.02|16.75|16.75|33343|USD|91
2012-05-15|16.81|17.2|16.75|16.8|56957|USD|92
2012-05-16|16.69|16.85|16.59|16.62|29923|USD|93
2012-05-17|16.67|16.8|16.6|16.66|45246|USD|94
2012-05-18|16.59|16.65|16.29|16.35|46367|USD|95
2012-05-21|16.46|16.46|16.06|16.39|42713|USD|96
2012-05-22|16.37|16.45|16.07|16.2|29924|USD|97
2012-05-23|16.14|16.17|15.8|16.14|40049|USD|98
2012-05-24|16.21|16.32|15.91|16.14|35177|USD|99
2012-05-25|16.2|16.47|16.06|16.11|23596|USD|100
2012-05-29|16.19|16.31|15.9|16.02|35675|USD|101
2012-05-30|15.95|15.95|15.82|15.82|34909|USD|102
2012-05-31|15.91|16.12|15.56|15.84|53941|USD|103
2012-06-01|15.6|15.92|15.6|15.77|33957|USD|104
2012-06-04|15.9|16.01|15.83|15.94|42774|USD|105
2012-06-05|15.89|16.28|15.84|15.92|64637|USD|106
2012-06-06|16.0|16.23|15.87|15.91|63993|USD|107
2012-06-07|16.1|16.26|15.92|15.98|65384|USD|108
2012-06-08|16.0|16.25|16.0|16.21|49850|USD|109
2012-06-11|16.3|16.36|15.83|15.83|35830|USD|110
2012-06-12|15.9|16.34|15.83|16.31|27242|USD|111
2012-06-13|16.34|16.5|16.06|16.22|36682|USD|112
2012-06-14|16.19|16.59|16.05|16.56|21179|USD|113
2012-06-15|16.42|16.71|16.37|16.65|63319|USD|114
2012-06-18|16.55|16.64|16.3|16.38|58598|USD|115
2012-06-19|16.37|16.75|16.37|16.52|39436|USD|116
2012-06-20|16.59|16.67|16.41|16.53|25474|USD|117
2012-06-21|16.57|16.57|16.3|16.47|24584|USD|118
2012-06-22|16.51|17.01|16.36|16.4|273033|USD|119
2012-06-25|16.33|16.67|16.33|16.5|58397|USD|120
2012-06-26|16.84|16.84|16.37|16.54|29594|USD|121
2012-06-27|16.6|16.89|16.36|16.78|33891|USD|122
2012-06-28|16.58|16.7|16.35|16.52|46172|USD|123
2012-06-29|16.89|16.89|16.57|16.66|50925|USD|124
2012-07-02|16.73|16.75|16.52|16.73|38190|USD|125
2012-07-03|16.73|16.95|16.73|16.91|21954|USD|126
2012-07-05|16.9|16.91|16.59|16.82|20395|USD|127
2012-07-06|16.66|16.83|16.62|16.75|31774|USD|128
2012-07-09|16.79|16.91|16.53|16.84|42036|USD|129
2012-07-10|16.92|17.09|16.79|16.92|38846|USD|130
2012-07-11|16.98|17.04|16.68|16.89|61286|USD|131
2012-07-12|16.85|17.1|16.52|16.92|73900|USD|132
2012-07-13|17.01|17.21|16.81|17.21|44438|USD|133
2012-07-16|17.18|17.25|17.07|17.1|25631|USD|134
2012-07-17|17.2|17.74|17.14|17.38|37882|USD|135
2012-07-18|17.28|17.51|17.15|17.24|26909|USD|136
2012-07-19|17.22|17.38|17.15|17.18|38221|USD|137
2012-07-20|17.21|17.44|17.19|17.28|21782|USD|138
2012-07-23|17.25|17.35|17.03|17.03|27612|USD|139
2012-07-24|17.13|17.21|16.9|17.16|24812|USD|140
2012-07-25|17.29|17.4|17.09|17.23|26286|USD|141
2012-07-26|17.38|17.38|17.08|17.28|25346|USD|142
2012-07-27|17.25|17.44|17.21|17.4|23127|USD|143
2012-07-30|17.43|17.5|17.3|17.44|17705|USD|144
2012-07-31|17.55|17.55|17.22|17.29|54018|USD|145
2012-08-01|17.42|17.5|17.13|17.13|46882|USD|146
2012-08-02|17.15|17.39|17.0|17.19|39985|USD|147
2012-08-03|17.4|17.51|17.14|17.29|24177|USD|148
2012-08-06|17.4|17.52|17.21|17.31|61544|USD|149
2012-08-07|17.37|17.47|17.01|17.22|100641|USD|150
2012-08-08|17.15|17.34|16.96|17.06|90089|USD|151
2012-08-09|17.0|17.46|17.0|17.4|25186|USD|152
2012-08-10|17.43|17.59|17.35|17.54|30508|USD|153
