Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|39.62|39.7|38.43|38.89|181137|USD|0
2012-01-04|38.58|39.44|37.98|38.16|435528|USD|1
2012-01-05|37.84|38.78|37.84|38.5|294048|USD|2
2012-01-06|38.54|38.89|38.12|38.28|127827|USD|3
2012-01-09|38.29|38.34|37.58|37.99|100905|USD|4
2012-01-10|38.53|38.59|37.73|37.81|140839|USD|5
2012-01-11|37.71|38.31|37.71|37.98|80992|USD|6
2012-01-12|38.18|38.39|37.5|37.71|86564|USD|7
2012-01-13|37.19|37.63|36.88|37.14|196941|USD|8
2012-01-17|37.52|37.96|37.1|37.23|63681|USD|9
2012-01-18|37.31|38.03|37.05|37.93|97253|USD|10
2012-01-19|38.11|38.49|37.58|37.59|41781|USD|11
2012-01-20|36.84|37.52|36.53|36.75|194843|USD|12
2012-01-23|36.75|37.47|36.73|37.45|206959|USD|13
2012-01-24|37.34|37.8|37.26|37.62|93767|USD|14
2012-01-25|37.56|38.59|37.28|38.3|106100|USD|15
2012-01-26|38.48|39.06|37.89|38.68|125811|USD|16
2012-01-27|38.49|38.88|38.38|38.85|73763|USD|17
2012-01-30|38.67|39.09|37.85|37.87|110561|USD|18
2012-01-31|38.13|38.13|37.23|37.48|87353|USD|19
2012-02-01|37.77|40.32|37.58|39.91|258486|USD|20
2012-02-02|39.99|39.99|39.26|39.46|187523|USD|21
2012-02-03|40.0|40.84|39.54|40.35|119914|USD|22
2012-02-06|40.1|40.1|38.96|39.2|77874|USD|23
2012-02-07|39.04|39.24|38.5|38.64|153988|USD|24
2012-02-08|38.64|39.27|38.1|38.33|77276|USD|25
2012-02-09|38.51|38.51|37.66|38.09|68894|USD|26
2012-02-10|37.71|38.02|37.11|37.18|87890|USD|27
2012-02-13|37.51|38.1|37.19|37.99|162896|USD|28
2012-02-14|37.97|38.29|37.22|37.57|94979|USD|29
2012-02-15|37.64|37.97|37.13|37.14|58857|USD|30
2012-02-16|37.23|38.08|37.23|37.8|112128|USD|31
2012-02-17|37.98|38.31|37.89|38.07|65616|USD|32
2012-02-21|38.07|38.66|37.21|37.35|80837|USD|33
2012-02-22|37.19|37.67|36.67|37.66|130880|USD|34
2012-02-23|36.4|38.74|36.0|38.25|462220|USD|35
2012-02-24|38.42|39.55|37.76|38.8|142279|USD|36
2012-02-27|38.51|38.88|38.0|38.5|210040|USD|37
2012-02-28|38.6|38.77|38.1|38.72|170380|USD|38
2012-02-29|38.88|39.01|38.18|38.18|167351|USD|39
2012-03-01|38.56|39.16|38.27|38.64|170254|USD|40
2012-03-02|38.67|38.77|36.85|37.09|153561|USD|41
2012-03-05|36.52|37.44|36.46|36.72|295633|USD|42
2012-03-06|36.29|36.55|35.8|35.89|109488|USD|43
2012-03-07|35.99|36.39|35.8|36.36|151708|USD|44
2012-03-08|36.51|37.35|36.3|37.2|79160|USD|45
2012-03-09|37.15|38.27|36.88|37.89|121854|USD|46
2012-03-12|37.85|38.01|37.18|37.31|68565|USD|47
2012-03-13|37.69|37.69|36.53|36.9|184599|USD|48
2012-03-14|36.85|37.15|36.61|36.72|68854|USD|49
2012-03-15|36.84|37.62|36.55|37.47|118123|USD|50
2012-03-16|37.6|37.89|37.36|37.83|171831|USD|51
2012-03-19|37.7|38.22|37.55|38.0|105107|USD|52
2012-03-20|37.66|37.66|37.12|37.27|46946|USD|53
2012-03-21|37.41|37.58|37.11|37.21|45181|USD|54
2012-03-22|36.91|37.15|36.54|37.05|59558|USD|55
2012-03-23|36.99|37.17|36.59|37.06|42713|USD|56
2012-03-26|37.41|38.3|37.23|38.26|146022|USD|57
2012-03-27|38.18|38.64|37.98|38.29|120624|USD|58
2012-03-28|38.28|38.28|37.89|38.04|63908|USD|59
2012-03-29|37.69|38.13|37.43|38.02|49535|USD|60
2012-03-30|38.33|38.33|37.29|37.56|79999|USD|61
2012-04-02|37.33|38.68|37.1|38.51|185468|USD|62
2012-04-03|38.09|38.55|37.64|38.34|230561|USD|63
2012-04-04|37.87|38.01|37.36|37.81|149424|USD|64
2012-04-05|37.57|37.76|37.4|37.62|40113|USD|65
2012-04-09|36.95|37.42|36.55|37.07|87051|USD|66
2012-04-10|36.98|37.25|36.62|36.7|178481|USD|67
2012-04-11|37.07|37.53|36.85|37.41|111461|USD|68
2012-04-12|37.47|37.58|37.12|37.49|101774|USD|69
2012-04-13|37.26|37.56|36.71|36.76|130733|USD|70
2012-04-16|36.78|37.68|36.77|37.29|49964|USD|71
2012-04-17|37.59|38.16|37.5|37.53|46800|USD|72
2012-04-18|37.35|37.78|37.21|37.49|83048|USD|73
2012-04-19|37.52|38.48|36.79|37.19|68077|USD|74
2012-04-20|38.11|39.15|37.49|39.07|143823|USD|75
2012-04-23|38.56|39.99|38.24|39.0|304131|USD|76
2012-04-24|38.9|39.1|38.23|38.69|95794|USD|77
2012-04-25|39.22|40.0|38.59|38.79|172525|USD|78
2012-04-26|35.0|36.89|34.72|35.61|1115409|USD|79
2012-04-27|35.56|35.85|35.0|35.5|543604|USD|80
2012-04-30|35.4|35.4|35.07|35.24|246409|USD|81
2012-05-01|35.32|35.68|35.0|35.0|430653|USD|82
2012-05-02|35.0|35.0|34.28|34.4|214368|USD|83
2012-05-03|34.34|34.5|33.6|34.18|154976|USD|84
2012-05-04|33.95|34.05|33.08|33.21|144328|USD|85
2012-05-07|33.05|33.53|32.73|33.52|174235|USD|86
2012-05-08|33.17|33.67|33.03|33.55|118111|USD|87
2012-05-09|33.11|33.48|32.94|33.14|102055|USD|88
2012-05-10|33.3|33.98|33.15|33.66|108526|USD|89
2012-05-11|33.51|34.4|33.35|34.22|165557|USD|90
2012-05-14|33.78|33.91|32.72|32.8|108377|USD|91
2012-05-15|32.95|33.05|32.35|32.48|126077|USD|92
2012-05-16|32.51|32.53|32.1|32.27|122117|USD|93
2012-05-17|32.33|32.47|31.74|31.93|85365|USD|94
2012-05-18|31.83|32.21|31.75|31.83|106367|USD|95
2012-05-21|31.79|32.44|31.6|32.43|56808|USD|96
