Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|21.96|22.67|21.85|21.99|1153899|USD|0
2012-01-04|21.92|21.98|21.6|21.83|240792|USD|1
2012-01-05|21.66|21.93|21.38|21.63|245755|USD|2
2012-01-06|21.71|21.98|21.5|21.64|273864|USD|3
2012-01-09|21.59|21.89|21.09|21.3|403174|USD|4
2012-01-10|21.58|21.62|21.31|21.44|184319|USD|5
2012-01-11|21.33|21.93|21.33|21.91|217634|USD|6
2012-01-12|21.85|22.03|21.69|21.88|178265|USD|7
2012-01-13|21.61|21.93|21.61|21.74|151860|USD|8
2012-01-17|21.96|21.96|21.58|21.58|165995|USD|9
2012-01-18|21.15|21.66|21.14|21.62|330263|USD|10
2012-01-19|21.66|21.86|21.37|21.66|169920|USD|11
2012-01-20|21.51|21.69|21.28|21.48|283051|USD|12
2012-01-23|21.5|21.53|21.13|21.51|246009|USD|13
2012-01-24|21.22|21.49|21.01|21.35|240602|USD|14
2012-01-25|21.36|21.42|21.21|21.36|202802|USD|15
2012-01-26|21.4|21.58|21.34|21.55|232437|USD|16
2012-01-27|21.42|21.67|21.38|21.62|223668|USD|17
2012-01-30|21.52|21.64|21.47|21.53|210852|USD|18
2012-01-31|21.69|21.69|21.16|21.2|296300|USD|19
2012-02-01|21.54|22.09|21.44|22.07|568291|USD|20
2012-02-02|22.04|22.64|21.96|22.6|362608|USD|21
2012-02-03|22.96|23.46|22.74|23.21|341720|USD|22
2012-02-06|23.17|23.2|22.95|23.15|128147|USD|23
2012-02-07|23.21|23.43|23.04|23.19|166317|USD|24
2012-02-08|23.3|23.39|22.94|23.24|159545|USD|25
2012-02-09|23.32|23.4|23.21|23.33|199107|USD|26
2012-02-10|23.08|23.22|22.97|23.07|167672|USD|27
2012-02-13|23.3|23.43|23.05|23.17|133309|USD|28
2012-02-14|22.97|23.17|22.82|22.99|171264|USD|29
2012-02-15|23.04|23.47|22.82|22.99|280750|USD|30
2012-02-16|23.07|23.32|22.93|23.32|336125|USD|31
2012-02-17|23.41|23.67|23.17|23.6|413472|USD|32
2012-02-21|23.57|23.86|23.4|23.56|189097|USD|33
2012-02-22|23.45|23.84|22.86|23.75|578870|USD|34
2012-02-23|23.99|24.59|22.85|23.03|1363456|USD|35
2012-02-24|22.97|23.62|22.86|23.38|437649|USD|36
2012-02-27|23.15|23.63|22.79|23.57|603597|USD|37
2012-02-28|23.59|24.44|23.55|24.15|963361|USD|38
2012-02-29|24.25|24.25|23.56|23.85|683402|USD|39
2012-03-01|23.99|23.99|23.34|23.34|413905|USD|40
2012-03-02|23.3|23.54|22.8|22.84|425438|USD|41
2012-03-05|22.7|22.98|22.66|22.84|436570|USD|42
2012-03-06|22.56|22.79|22.44|22.54|242828|USD|43
2012-03-07|22.95|23.12|22.7|23.07|253060|USD|44
2012-03-08|23.16|23.4|23.06|23.17|299507|USD|45
2012-03-09|23.2|23.61|23.14|23.61|486379|USD|46
2012-03-12|23.61|23.75|23.47|23.59|190035|USD|47
2012-03-13|23.79|24.05|23.61|23.96|483425|USD|48
2012-03-14|23.84|23.98|23.68|23.88|264734|USD|49
2012-03-15|23.9|24.09|23.6|24.09|323455|USD|50
2012-03-16|24.17|24.18|23.89|23.94|424209|USD|51
2012-03-19|23.96|24.0|23.7|23.82|291693|USD|52
2012-03-20|23.59|23.81|23.59|23.76|359580|USD|53
2012-03-21|23.78|23.8|23.63|23.64|158219|USD|54
2012-03-22|23.47|23.7|23.23|23.32|300920|USD|55
2012-03-23|23.24|23.56|23.08|23.51|494975|USD|56
2012-03-26|23.83|23.97|23.75|23.91|363137|USD|57
2012-03-27|23.94|23.99|23.75|23.76|499196|USD|58
2012-03-28|23.79|23.99|23.64|23.81|325331|USD|59
2012-03-29|23.64|24.21|23.64|24.17|433870|USD|60
