Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|72.79|72.79|69.61|70.31|168973|USD|0
2012-01-04|70.33|70.33|69.23|69.61|189721|USD|1
2012-01-05|69.46|70.85|68.11|70.58|223561|USD|2
2012-01-06|65.96|66.24|56.55|60.63|3265515|USD|3
2012-01-09|61.17|61.47|57.75|59.67|777235|USD|4
2012-01-10|60.76|60.76|58.63|59.08|505583|USD|5
2012-01-11|58.52|59.39|58.52|59.11|277626|USD|6
2012-01-12|59.52|61.42|59.11|60.86|560874|USD|7
2012-01-13|60.23|61.08|60.01|60.97|273636|USD|8
2012-01-17|61.85|63.27|61.47|63.2|315032|USD|9
2012-01-18|63.55|66.63|63.25|65.98|553052|USD|10
2012-01-19|66.54|66.91|65.84|66.47|279217|USD|11
2012-01-20|66.46|67.95|66.05|67.24|291997|USD|12
2012-01-23|67.78|67.88|66.37|66.8|255052|USD|13
2012-01-24|66.64|67.46|65.95|67.2|261248|USD|14
2012-01-25|66.31|68.97|66.31|68.25|250686|USD|15
2012-01-26|68.67|68.77|67.16|67.7|229003|USD|16
2012-01-27|67.29|67.77|66.55|67.26|132537|USD|17
2012-01-30|67.02|67.35|66.09|66.56|130313|USD|18
2012-01-31|66.67|66.88|65.26|66.65|160350|USD|19
2012-02-01|67.29|67.29|65.82|66.23|233973|USD|20
2012-02-02|66.77|67.37|65.43|66.91|366772|USD|21
2012-02-03|67.99|67.99|65.88|66.01|360382|USD|22
2012-02-06|65.98|66.57|64.35|66.36|397966|USD|23
2012-02-07|65.06|68.6|65.04|68.52|323469|USD|24
2012-02-08|68.9|69.85|68.23|69.68|281619|USD|25
2012-02-09|69.95|72.08|69.7|71.2|425800|USD|26
2012-02-10|70.27|72.1|69.8|72.03|305569|USD|27
2012-02-13|72.25|73.44|70.7|72.8|397223|USD|28
2012-02-14|72.17|72.81|71.54|72.63|220167|USD|29
2012-02-15|72.29|72.47|69.36|69.72|279625|USD|30
2012-02-16|69.75|70.54|69.55|69.72|211408|USD|31
2012-02-17|70.0|70.1|66.89|68.09|524460|USD|32
2012-02-21|68.8|69.74|67.7|68.06|323110|USD|33
2012-02-22|67.81|68.53|67.27|67.64|230373|USD|34
2012-02-23|67.74|69.24|67.4|68.2|244495|USD|35
2012-02-24|68.07|68.72|67.17|67.73|239963|USD|36
2012-02-27|67.85|67.85|66.42|66.75|249038|USD|37
2012-02-28|66.55|67.2|64.2|65.53|548246|USD|38
2012-02-29|65.5|66.08|64.33|64.63|439739|USD|39
2012-03-01|65.18|65.66|64.64|64.71|385505|USD|40
2012-03-02|64.94|65.67|63.05|63.49|441729|USD|41
2012-03-05|63.5|64.27|63.08|64.0|281438|USD|42
2012-03-06|63.6|64.0|63.06|63.86|231736|USD|43
2012-03-07|64.1|64.68|63.16|64.64|324160|USD|44
2012-03-08|64.97|67.49|64.74|66.91|320419|USD|45
2012-03-09|67.14|68.15|66.47|67.57|207126|USD|46
2012-03-12|67.86|69.08|67.71|68.64|256032|USD|47
2012-03-13|68.9|69.72|68.33|69.69|271830|USD|48
2012-03-14|69.97|70.25|69.02|69.23|231414|USD|49
2012-03-15|69.51|70.49|68.66|70.46|197739|USD|50
2012-03-16|70.77|70.77|68.56|68.95|332765|USD|51
2012-03-19|68.79|69.04|68.11|68.48|204124|USD|52
2012-03-20|68.04|69.43|67.43|68.78|198771|USD|53
2012-03-21|68.76|69.92|68.36|69.32|123373|USD|54
2012-03-22|69.06|70.17|68.31|70.06|138394|USD|55
2012-03-23|70.01|70.4|68.73|70.25|178196|USD|56
2012-03-26|70.48|72.28|70.27|71.99|210104|USD|57
2012-03-27|71.82|73.08|71.82|72.61|243301|USD|58
2012-03-28|72.75|73.67|71.5|71.8|308846|USD|59
2012-03-29|71.43|72.22|70.89|71.8|200142|USD|60
2012-03-30|72.47|73.25|71.78|72.81|170902|USD|61
2012-04-02|72.95|74.05|72.95|73.63|213392|USD|62
2012-04-03|73.78|74.46|72.0|72.28|316651|USD|63
2012-04-04|71.43|71.88|70.0|71.08|290190|USD|64
2012-04-05|70.5|75.62|69.57|74.56|832020|USD|65
2012-04-09|73.54|75.94|73.51|75.32|348625|USD|66
2012-04-10|75.04|76.32|73.5|75.15|347307|USD|67
2012-04-11|75.7|76.5|74.78|75.23|277330|USD|68
2012-04-12|75.64|78.38|75.53|78.0|367119|USD|69
2012-04-13|77.94|77.94|76.41|76.68|269045|USD|70
2012-04-16|77.33|77.52|74.17|75.38|236516|USD|71
2012-04-17|76.04|78.94|75.94|78.01|349455|USD|72
2012-04-18|78.35|79.39|77.78|79.25|287853|USD|73
2012-04-19|79.12|79.75|77.34|78.16|366100|USD|74
2012-04-20|79.01|80.63|78.31|79.97|294481|USD|75
2012-04-23|79.44|81.3|78.47|81.21|473457|USD|76
