Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|19.23|19.27|18.82|18.83|296036|USD|0
2012-01-04|18.8|18.98|18.71|18.9|380596|USD|1
2012-01-05|18.84|19.16|18.64|19.07|870742|USD|2
2012-01-06|19.09|19.27|18.97|19.05|384756|USD|3
2012-01-09|19.18|19.18|18.98|19.02|240466|USD|4
2012-01-10|19.27|19.27|19.0|19.12|247036|USD|5
2012-01-11|19.09|19.26|19.05|19.25|161008|USD|6
2012-01-12|19.23|19.33|19.14|19.2|196166|USD|7
2012-01-13|19.02|19.31|19.02|19.2|151446|USD|8
2012-01-17|19.38|19.43|19.25|19.29|282830|USD|9
2012-01-18|19.27|19.5|19.08|19.39|199982|USD|10
2012-01-19|19.45|19.48|19.27|19.43|429228|USD|11
2012-01-20|19.45|19.59|19.3|19.57|198230|USD|12
2012-01-23|19.63|19.63|19.33|19.48|190704|USD|13
2012-01-24|19.44|19.57|19.23|19.5|233432|USD|14
2012-01-25|19.5|19.68|19.39|19.58|191564|USD|15
2012-01-26|19.68|19.7|19.36|19.45|242736|USD|16
2012-01-27|19.36|19.52|19.25|19.5|211724|USD|17
2012-01-30|19.41|19.61|19.3|19.48|227438|USD|18
2012-01-31|19.52|19.65|19.32|19.36|362444|USD|19
2012-02-01|19.36|19.86|19.36|19.82|750928|USD|20
2012-02-02|19.89|19.93|19.73|19.76|215778|USD|21
2012-02-03|20.0|20.28|19.95|20.21|186332|USD|22
2012-02-06|20.18|20.21|19.87|20.16|190414|USD|23
2012-02-07|20.06|20.11|19.86|19.91|285392|USD|24
2012-02-08|19.98|20.04|19.51|19.67|173692|USD|25
2012-02-09|19.67|19.71|19.46|19.54|191270|USD|26
2012-02-10|19.34|19.54|19.31|19.34|157890|USD|27
2012-02-13|19.47|19.93|19.47|19.8|325258|USD|28
2012-02-14|19.75|19.91|19.7|19.91|168870|USD|29
2012-02-15|19.98|19.98|19.45|19.62|226654|USD|30
2012-02-16|19.62|20.14|19.59|20.14|209446|USD|31
2012-02-17|20.23|20.23|20.03|20.18|210848|USD|32
2012-02-21|20.25|20.41|19.94|20.14|270130|USD|33
2012-02-22|20.3|20.3|18.16|18.76|1274734|USD|34
2012-02-23|18.75|18.95|18.2|18.46|944794|USD|35
2012-02-24|18.39|18.48|18.3|18.43|394838|USD|36
2012-02-27|18.39|18.49|18.13|18.3|461722|USD|37
2012-02-28|18.38|18.59|18.19|18.54|324616|USD|38
2012-02-29|18.61|18.79|18.55|18.58|449026|USD|39
2012-03-01|18.61|18.8|18.2|18.5|347098|USD|40
2012-03-02|18.52|18.52|18.26|18.29|286434|USD|41
